ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,ITPR1,SEC13,MFN2,SNX6,PSEN1,PICALM,RAB1A,SIGMAR1,VPS35,PLG,NCSTN,SEC31A,RAB1B,RTN4,PLCG2,SEC24C,SEC24B,APBA1,APBA2,SAR1B,AP4E1,SEC16A,COPA,SEC23B,COPB2,COPE,COPB1,OSBP,LRP1,RTN3,IDE,SNX4,SEC24A,SORL1,EIF2S1,VLDLR,COPG1,GGA2,AP3B2,MAPK14,APP,ABCA7,SORT1,COPZ1,CLU,APOE,HSPA5,AP4S1,BACE1,SAR1A,BIN1,PREB,ITPR2,ADAM10,SYK,ARF6,ECE1,MAP2K3,MAPKAPK2,AP2A1,AP4B1,HSPA9,MIA3,ADAM17,TMED10,AP2B1,SREBF2,VPS29,SEC23A,TMED2,VPS26A,COPG2,AP1G1,GGA3,AP4M1,VDAC1,SEC24D,GGA1,TMED9,GORASP1
11,COPE,COPB1,SAR1B,APBA1,RAB1A,VDAC1,SNX4,GGA1,SNX6,SORT1,SIGMAR1,TMED2,BIN1,SEC24A,ITPR1,SEC23A,SEC31A,CLU,RTN3,APP,PICALM,COPG1,SEC24C,HSPA9,COPB2,IDE,RAB1B,MFN2,OSBP,AP4E1,SORL1,APBA2,AP2B1,SEC23B,AP3B2,BACE1,SEC24B,VLDLR,VPS35,APOE,COPZ1,COPA,PLG,PSEN1,ADAM10,RTN4,MAPKAPK2,PLCG2,SEC13,GGA2,TMED10,AP2A1,PREB,MAPK14,HSPA5,VPS29,SEC16A,EIF2S1,GGA3,LRP1,AP1G1,TMED9,AP4S1,AP4B1,MIA3,COPG2,VPS26A,ECE1,SAR1A,MAP2K3,ITPR2,ADAM17,GORASP1,ARF6,SYK,SEC24D,ABCA7,NCSTN,AP4M1,SREBF2
12,SEC23A,SEC31A,IDE,SAR1B,SEC13,MFN2,VPS35,SORL1,SEC23B,SEC24B,APOE,APP,ITPR1,RAB1B,SEC24C,CLU,SNX6,VLDLR,OSBP,TMED10,AP3B2,PLCG2,COPB2,PSEN1,SORT1,COPZ1,COPG1,GGA2,SEC24A,BIN1,COPA,AP2B1,PICALM,AP4E1,APBA1,NCSTN,RAB1A,PLG,SEC16A,RTN3,RTN4,COPB1,LRP1,SYK,APBA2,PREB,MAPK14,COPE,TMED9,ADAM10,AP1G1,SIGMAR1,GGA1,VDAC1,MAPKAPK2,TMED2,HSPA9,GGA3,AP4S1,ITPR2,VPS29,SAR1A,AP4B1,VPS26A,ECE1,COPG2,SNX4,ABCA7,ADAM17,BACE1,MAP2K3,ARF6,AP4M1,EIF2S1,MIA3,HSPA5,SREBF2,SEC24D,AP2A1,GORASP1
13,COPE,GGA3,SNX6,SNX4,VDAC1,PLCG2,MFN2,SEC24B,PLG,SIGMAR1,APP,APBA2,NCSTN,CLU,PSEN1,SEC24A,IDE,ADAM10,SEC24C,RTN4,SEC13,SEC31A,COPZ1,COPA,SEC23B,GGA1,RAB1A,COPB2,PICALM,APOE,VPS35,ABCA7,ITPR1,TMED10,RAB1B,BIN1,MAPKAPK2,SAR1B,AP2B1,SORL1,COPB1,EIF2S1,SORT1,OSBP,COPG1,HSPA9,ARF6,BACE1,AP4E1,AP3B2,SEC23A,HSPA5,APBA1,PREB,LRP1,GGA2,VLDLR,ITPR2,RTN3,VPS29,MAPK14,MAP2K3,AP2A1,SYK,AP4B1,SEC16A,AP1G1,VPS26A,ECE1,ADAM17,SAR1A,TMED2,MIA3,COPG2,AP4M1,GORASP1,TMED9,AP4S1,SREBF2,SEC24D
14,BIN1,SEC23B,RAB1B,APOE,SORL1,SNX6,RTN4,SEC24B,SORT1,SEC24A,ITPR1,OSBP,CLU,PLG,COPB2,TMED10,MAPKAPK2,IDE,AP4E1,SNX4,COPG1,SEC16A,SEC24C,MAPK14,SAR1B,SIGMAR1,PICALM,VPS29,GGA3,RAB1A,NCSTN,VLDLR,APP,PSEN1,COPB1,AP3B2,SEC13,VPS35,SEC31A,BACE1,PLCG2,APBA2,LRP1,COPZ1,SEC23A,HSPA9,AP4B1,MFN2,APBA1,COPE,GGA2,PREB,TMED2,COPA,SAR1A,ADAM10,ECE1,RTN3,EIF2S1,ARF6,MAP2K3,AP2A1,ITPR2,AP2B1,AP1G1,HSPA5,ABCA7,VDAC1,ADAM17,VPS26A,AP4S1,COPG2,GGA1,SREBF2,GORASP1,MIA3,SEC24D,AP4M1,SYK,TMED9
15,RTN4,SIGMAR1,COPB1,COPB2,BIN1,SEC24A,PLG,SEC23B,TMED2,MFN2,SEC13,VPS35,SORL1,OSBP,IDE,CLU,LRP1,SEC24B,TMED10,SEC16A,COPE,ITPR1,APOE,RAB1A,APBA1,RAB1B,SORT1,RTN3,COPG1,COPA,SAR1B,PLCG2,PICALM,PSEN1,AP2B1,APP,SEC31A,ABCA7,AP4E1,MAPK14,SEC24C,SNX6,APBA2,EIF2S1,SNX4,COPZ1,AP3B2,NCSTN,ITPR2,SEC23A,HSPA9,GGA2,SYK,AP1G1,GGA1,COPG2,SAR1A,PREB,HSPA5,MAPKAPK2,AP2A1,AP4S1,ADAM17,AP4B1,ECE1,ADAM10,BACE1,MAP2K3,VLDLR,TMED9,VDAC1,ARF6,GGA3,VPS29,SEC24D,VPS26A,MIA3,SREBF2,GORASP1,AP4M1
16,LRP1,COPG1,SNX4,SEC13,AP4E1,PICALM,VLDLR,SEC24B,SEC31A,ADAM10,COPB1,SEC16A,SORL1,PLCG2,OSBP,PSEN1,SEC23A,VPS35,COPZ1,IDE,GGA3,APP,CLU,SAR1B,SEC23B,ITPR1,APOE,RAB1B,SIGMAR1,COPB2,SEC24C,TMED10,APBA1,SEC24A,SNX6,GGA2,AP3B2,RAB1A,RTN3,PLG,RTN4,NCSTN,HSPA5,COPE,BIN1,MFN2,TMED2,HSPA9,ABCA7,VPS29,APBA2,EIF2S1,GGA1,PREB,SYK,VDAC1,SAR1A,AP4B1,COPA,BACE1,COPG2,MAPKAPK2,AP2A1,SORT1,AP4S1,ARF6,AP2B1,MAP2K3,MAPK14,MIA3,AP1G1,GORASP1,SEC24D,ADAM17,AP4M1,SREBF2,ITPR2,VPS26A,ECE1,TMED9
17,PICALM,PSEN1,MAPK14,NCSTN,SEC24A,SEC24B,APBA1,PLCG2,IDE,SEC13,APP,SEC24C,BIN1,RTN4,SAR1B,SNX6,SNX4,ABCA7,TMED10,RAB1B,SORT1,OSBP,TMED2,SEC23A,CLU,GGA2,VLDLR,AP4E1,VPS35,APOE,SAR1A,AP3B2,RTN3,SEC31A,GGA3,EIF2S1,LRP1,GGA1,APBA2,COPB2,COPG1,ITPR1,MFN2,SEC23B,SORL1,ARF6,COPA,PREB,ITPR2,PLG,AP2B1,COPZ1,HSPA9,AP2A1,RAB1A,MAPKAPK2,VPS29,HSPA5,VDAC1,SIGMAR1,COPG2,ECE1,MAP2K3,AP1G1,COPB1,ADAM17,AP4S1,MIA3,SEC16A,BACE1,ADAM10,AP4B1,COPE,SEC24D,SYK,GORASP1,SREBF2,AP4M1,VPS26A,TMED9
18,COPG1,OSBP,PSEN1,RTN3,AP3B2,SORL1,COPB2,SEC13,SNX4,SAR1A,APP,AP4E1,APOE,SEC23B,SEC23A,NCSTN,COPB1,GGA3,IDE,EIF2S1,LRP1,MAPKAPK2,RAB1B,SEC31A,SEC24C,SORT1,CLU,APBA1,SEC24B,COPZ1,VDAC1,PICALM,ABCA7,MFN2,PLCG2,SEC24A,SEC16A,ITPR1,SNX6,VPS35,GGA1,BIN1,SAR1B,RTN4,AP2B1,VLDLR,PLG,MAPK14,TMED10,APBA2,SIGMAR1,ADAM10,AP4B1,VPS29,ARF6,TMED9,PREB,HSPA9,AP1G1,COPG2,MAP2K3,HSPA5,RAB1A,ITPR2,COPE,TMED2,MIA3,ECE1,GGA2,SEC24D,AP2A1,BACE1,COPA,SREBF2,AP4M1,SYK,AP4S1,VPS26A,ADAM17,GORASP1
19,VPS35,SIGMAR1,SEC31A,BIN1,SAR1B,SEC23B,NCSTN,SNX4,SEC24B,IDE,EIF2S1,APOE,SEC13,AP4E1,RAB1A,SEC24A,APBA2,BACE1,APBA1,RAB1B,MFN2,PSEN1,PLG,VDAC1,CLU,APP,SORL1,PICALM,GGA2,VLDLR,COPZ1,SORT1,SEC24C,AP3B2,PLCG2,COPA,OSBP,RTN3,COPB1,COPB2,SEC23A,SNX6,COPG1,LRP1,AP2B1,PREB,RTN4,ITPR1,TMED10,HSPA9,AP1G1,AP2A1,COPG2,AP4B1,GGA1,ADAM10,HSPA5,COPE,SEC16A,VPS29,SAR1A,ARF6,VPS26A,ABCA7,ECE1,ADAM17,MAPK14,ITPR2,TMED9,MAP2K3,MIA3,GGA3,AP4S1,SEC24D,SYK,MAPKAPK2,TMED2,GORASP1,AP4M1,SREBF2
