model,gene,term,coef,se,t,p
M1_braak_only,APP,braaksc,-0.05619801047682915,0.027402012565265633,-2.050871641014605,0.04069387406921647
M1_braak_only,APLP1,braaksc,-0.06677476687386513,0.019168694928113177,-3.483532244854707,0.0005292461540068566
M1_braak_only,APLP2,braaksc,-0.03863817507735879,0.018816356843754236,-2.0534354975407507,0.04044396447895353
M2_az_plus_braak,APP,AZscore,0.7984182773253419,0.01795676301183517,44.46337442884947,5.047710315717707e-196
M2_az_plus_braak,APP,braaksc,0.014245692891122578,0.013549762927118666,1.0513610435656455,0.29349782976244876
M2_az_plus_braak,APLP1,AZscore,0.5357552346199443,0.014054300085922136,38.120378200590565,1.9978427959478212e-165
M2_az_plus_braak,APLP1,braaksc,-0.019505579911081972,0.01060505360266301,-1.839272166072218,0.06634780990512239
M2_az_plus_braak,APLP2,AZscore,0.5514543869411271,0.012100915595537453,45.57129438573154,3.8233258905468206e-201
M2_az_plus_braak,APLP2,braaksc,0.010016133519846801,0.0091310743151501,1.0969282665050955,0.27309385534010194
M3_az_braak,AZscore,braaksc,-0.08822907161385943,0.029904367087671108,-2.9503741495413314,0.003292119684872761
M4_az_only,APP,AZscore,0.7962108419622798,0.017835088565598248,44.64294298476741,5.2860541699751583e-197
M4_az_only,APLP1,AZscore,0.538777713568627,0.013984354070818949,38.52717907742987,1.4533532889982708e-167
M4_az_only,APLP2,AZscore,0.5499023411753053,0.01201985673312745,45.74949214325836,4.105089248314544e-202
