gene,r_az,p_az,r_ctrl,p_ctrl
APP,0.8711841274432315,1.9963115215594884e-197,0.475084115189006,5.209243293067711e-37
APLP1,0.8433526839260737,1.2677782682038232e-172,0.2665389106018797,8.98930156348671e-12
APLP2,0.8777106501263594,4.358359236252305e-204,0.5173417959752673,1.0921475841076657e-44
