gene,M1_beta_braak,M1_p_braak,M2_beta_az,M2_p_az,M2_beta_braak,M2_p_braak,M3_beta_az,M3_p_az
TMED9,-0.03219594696974997,0.01167039501458388,0.28100677211265834,5.596601894089511e-80,-0.00740298034904298,0.44254694907199515,0.28215389782563355,2.3274542721766946e-81
TMED10,0.008139469262962223,0.6202883632235849,0.2202167782307613,1.0513915118393256e-25,0.027568991160057288,0.06942520313652752,0.2159448367761889,4.498319732751216e-25
TMED2,-0.014497736663848348,0.43594075007919925,0.4359453847644612,4.0271142892355295e-94,0.02396531990826665,0.07343322963670097,0.43223184867625875,1.0577728608110648e-93
