gene,r_az,p_az,r_ctrl,p_ctrl,specificity
TMED9,0.6689380475573661,1.8097565468872935e-83,0.44413092572525625,4.990497624760631e-32,0.22480712183210982
TMED10,0.3907440898611795,1.47448053514771e-24,0.8026728031896879,5.563029435249587e-144,-0.41192871332850844
TMED2,0.7036436444921434,7.283667071500514e-96,0.6057483436210114,9.472453768658696e-65,0.09789530087113207
