ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,AP2A1,AP2B1,VLDLR,SEC24A,EIF2S1,HSPA5,SAR1A,RAB1A,COPG1,BACE1,ECE1,COPB1,ADAM17,BIN1,SORL1,ARF6,SEC16A,AP4S1,SNX6,AP3B2,NCSTN,ABCA7,SORT1,SYK,APBA2,VDAC1,TMED10,SEC23A,GGA1,GGA3,RAB1B,IDE,VPS26A,TMED2,GGA2,RTN4,TMED9,APBA1,COPG2,PLG,SEC31A,SEC13,AP4E1,SNX4,PLCG2,SEC24B,VPS35,VPS29,MIA3,MAP2K3,MAPK14,SEC23B,COPA,PSEN1,ITPR1,ADAM10,LRP1,RTN3,PREB,SIGMAR1,APP,AP4B1,PICALM,AP4M1,CLU,ITPR2,AP1G1,SEC24C,SEC24D,MFN2,APOE,SREBF2,OSBP,HSPA9,COPZ1,SAR1B,MAPKAPK2,COPE,COPB2,GORASP1
1,EIF2S1,SYK,AP2B1,RAB1B,BACE1,COPG1,SNX6,RTN4,SEC16A,SAR1A,ARF6,SORT1,RAB1A,SEC31A,BIN1,SORL1,GGA1,AP2A1,HSPA5,ECE1,ADAM17,VDAC1,APBA1,VLDLR,NCSTN,SEC24A,GGA3,AP4S1,APBA2,PLG,COPG2,COPB1,PICALM,TMED10,PLCG2,SAR1B,AP3B2,SEC13,TMED9,RTN3,SEC23B,IDE,GGA2,SEC24B,VPS26A,ITPR1,AP4B1,MFN2,AP4M1,AP1G1,ADAM10,SIGMAR1,TMED2,AP4E1,MIA3,COPZ1,SEC23A,SNX4,MAP2K3,APOE,SEC24C,COPA,PREB,HSPA9,APP,VPS29,ABCA7,MAPKAPK2,SEC24D,ITPR2,PSEN1,LRP1,COPB2,COPE,MAPK14,CLU,OSBP,VPS35,SREBF2,GORASP1
2,COPG1,SORT1,COPB1,AP2A1,ARF6,BIN1,SEC16A,PLCG2,SNX6,RTN4,RAB1A,AP2B1,ADAM17,SYK,HSPA5,SAR1A,GGA2,VPS29,EIF2S1,VPS35,ECE1,VDAC1,SORL1,NCSTN,SEC23A,AP4S1,COPA,BACE1,GGA1,APBA1,MAPK14,SEC23B,ABCA7,VLDLR,SEC24A,VPS26A,SEC31A,SAR1B,ITPR1,SEC13,MFN2,PICALM,APBA2,IDE,TMED10,AP3B2,RTN3,TMED2,COPG2,CLU,COPE,RAB1B,PREB,LRP1,HSPA9,AP1G1,PLG,TMED9,PSEN1,APP,GGA3,AP4E1,SEC24D,SNX4,AP4B1,ADAM10,APOE,MAPKAPK2,MIA3,SEC24B,SEC24C,SIGMAR1,MAP2K3,COPB2,AP4M1,GORASP1,ITPR2,SREBF2,COPZ1,OSBP
3,AP2A1,SAR1A,ARF6,BIN1,RAB1A,BACE1,COPG1,RTN4,ECE1,SORL1,SNX6,SYK,SEC16A,HSPA5,COPB1,AP1G1,PLCG2,NCSTN,SEC13,AP4S1,VPS35,AP2B1,GGA1,EIF2S1,GGA2,ADAM17,SORT1,VLDLR,SEC24A,APBA2,ABCA7,GGA3,SNX4,PICALM,VPS29,COPG2,MFN2,RAB1B,PLG,SEC23B,VDAC1,TMED2,TMED10,MAP2K3,MAPK14,PSEN1,TMED9,HSPA9,APBA1,VPS26A,AP4E1,SEC24C,CLU,GORASP1,SEC23A,PREB,ITPR2,COPA,COPZ1,MIA3,APP,SAR1B,MAPKAPK2,IDE,SREBF2,SEC24D,APOE,SEC24B,OSBP,AP4B1,LRP1,AP4M1,AP3B2,ITPR1,COPE,RTN3,SEC31A,SIGMAR1,COPB2,ADAM10
4,SORL1,PLG,VPS29,AP2B1,SNX6,AP2A1,SEC16A,PLCG2,ADAM17,SAR1A,RAB1A,VPS35,EIF2S1,SEC24C,ARF6,SYK,GGA2,RTN4,BIN1,HSPA5,COPG1,NCSTN,AP4S1,VLDLR,SEC13,SORT1,TMED10,BACE1,SEC24A,ECE1,SAR1B,APBA1,MAPK14,SEC23A,SNX4,VPS26A,IDE,GGA3,SEC31A,PICALM,APBA2,AP4B1,PREB,COPB1,TMED9,MAPKAPK2,GGA1,SEC24B,SEC24D,TMED2,ADAM10,VDAC1,RTN3,HSPA9,COPB2,COPZ1,OSBP,RAB1B,SEC23B,MAP2K3,AP3B2,COPE,MIA3,PSEN1,SREBF2,MFN2,COPA,COPG2,AP4E1,SIGMAR1,APOE,APP,AP1G1,ITPR2,ITPR1,LRP1,AP4M1,GORASP1,CLU,ABCA7
5,SORT1,SNX6,BIN1,SYK,EIF2S1,APBA1,AP1G1,HSPA5,BACE1,RTN4,ARF6,SEC16A,COPB1,COPG1,ECE1,SEC24A,SAR1A,ADAM17,VLDLR,COPG2,ABCA7,RAB1A,GGA1,SEC23A,AP4S1,RAB1B,VDAC1,TMED10,MAP2K3,NCSTN,VPS35,PLCG2,GGA3,PLG,AP2A1,APBA2,ITPR1,TMED2,MFN2,SEC13,SORL1,AP2B1,SNX4,COPE,IDE,SEC24B,ADAM10,HSPA9,SEC24C,MAPK14,PREB,RTN3,COPA,GORASP1,SEC24D,COPB2,PSEN1,COPZ1,APP,AP3B2,MIA3,SIGMAR1,SEC23B,LRP1,SAR1B,GGA2,OSBP,SREBF2,AP4E1,TMED9,MAPKAPK2,ITPR2,VPS29,AP4M1,PICALM,AP4B1,VPS26A,CLU,SEC31A,APOE
6,AP2B1,ARF6,COPG1,BACE1,BIN1,AP2A1,SNX6,RTN4,SEC16A,EIF2S1,HSPA5,ECE1,NCSTN,AP4S1,ADAM17,SAR1A,RAB1A,VPS35,SYK,APBA2,VLDLR,GGA1,SORT1,SEC24A,PLCG2,APBA1,COPB1,VDAC1,SEC13,SAR1B,TMED10,IDE,COPG2,OSBP,SEC23A,PLG,SEC23B,AP4B1,SNX4,SEC24B,MFN2,TMED2,SEC24C,TMED9,ABCA7,SORL1,ITPR1,PICALM,VPS26A,AP1G1,AP3B2,LRP1,COPA,GGA2,MAPK14,RAB1B,GORASP1,SEC24D,HSPA9,ADAM10,SREBF2,GGA3,SIGMAR1,PSEN1,COPZ1,MIA3,COPB2,CLU,AP4E1,MAP2K3,VPS29,COPE,PREB,RTN3,SEC31A,AP4M1,MAPKAPK2,ITPR2,APOE,APP
7,COPG1,EIF2S1,BACE1,SYK,AP2A1,RAB1A,ADAM17,BIN1,SNX6,AP2B1,SORT1,SEC24A,RTN4,AP1G1,ECE1,HSPA5,COPB1,SAR1A,TMED2,VLDLR,VDAC1,VPS35,SAR1B,SEC23A,MAPK14,GGA2,NCSTN,IDE,APBA1,GGA3,SNX4,APBA2,ITPR1,VPS26A,PLCG2,SEC24C,PREB,PLG,SEC13,TMED9,GGA1,COPA,COPZ1,AP4S1,RAB1B,ARF6,ADAM10,SORL1,MAP2K3,APP,MAPKAPK2,SEC16A,TMED10,AP3B2,SEC24B,MIA3,AP4B1,SREBF2,COPE,SEC31A,ABCA7,PSEN1,COPB2,SEC24D,CLU,SIGMAR1,ITPR2,RTN3,COPG2,GORASP1,OSBP,SEC23B,PICALM,AP4M1,AP4E1,HSPA9,LRP1,MFN2,APOE,VPS29
8,ADAM17,SAR1A,RTN4,RAB1A,SEC16A,ARF6,BACE1,HSPA5,EIF2S1,IDE,SNX6,VPS35,VLDLR,SEC24A,SYK,SORT1,PICALM,SORL1,BIN1,GGA2,PLCG2,COPG1,SEC31A,MAPK14,ABCA7,TMED10,GGA3,AP4S1,SEC13,SNX4,APBA2,ECE1,TMED9,SEC24C,AP2A1,AP3B2,COPB1,SAR1B,APBA1,AP4B1,ITPR1,VPS29,COPZ1,MFN2,OSBP,PLG,SEC23A,AP2B1,PSEN1,APOE,COPE,RAB1B,AP4E1,SEC24B,NCSTN,RTN3,MIA3,SIGMAR1,VPS26A,AP4M1,ADAM10,LRP1,GORASP1,VDAC1,MAP2K3,TMED2,COPB2,COPA,ITPR2,APP,SREBF2,COPG2,GGA1,CLU,SEC24D,SEC23B,HSPA9,MAPKAPK2,AP1G1,PREB
9,RAB1A,ARF6,SNX6,SAR1A,ADAM17,BIN1,SEC16A,HSPA5,EIF2S1,RTN4,SYK,AP2A1,AP2B1,ECE1,BACE1,SEC24A,COPB1,VLDLR,COPG1,VPS29,SORT1,SEC23A,VDAC1,PLG,NCSTN,APBA1,VPS26A,SORL1,GGA1,COPG2,PLCG2,SEC13,MFN2,APBA2,ABCA7,AP1G1,ITPR1,AP4S1,SEC24C,TMED10,AP4B1,CLU,COPE,TMED2,IDE,SIGMAR1,MIA3,APP,ADAM10,MAP2K3,GGA3,MAPKAPK2,SEC23B,SEC31A,MAPK14,SAR1B,COPZ1,SNX4,LRP1,PREB,HSPA9,RAB1B,SEC24B,TMED9,GGA2,COPA,AP3B2,COPB2,OSBP,RTN3,AP4M1,SREBF2,VPS35,ITPR2,APOE,GORASP1,AP4E1,PICALM,PSEN1,SEC24D
