feature,r2_null,r2_full,delta_r2,n
TMED2,0.16881353679190025,0.16936418434216816,0.000550647550267902,633
TMED10,0.16881353679190025,0.1741730875271681,0.005359550735267837,633
TMED9,0.16881353679190025,0.17863943974510021,0.009825902953199961,633
H8_ratio,0.16881353679190025,0.16881359640489235,5.961299209822357e-08,633
PC1,0.16881353679190025,0.17704243959766075,0.008228902805760496,633
