feature,mean_auc,sd_auc,n_folds
TMED2,0.5761373676944317,0.045903931710726126,50
TMED10,0.47177772664519096,0.04093549718066469,50
TMED9,0.57783202945237,0.062272657108295035,50
H8_ratio,0.4919608835710999,0.04696764227896696,50
PC1,0.5634098021168891,0.05287760844879055,50
