u,value_median,p_-2,p_-1,p_+1,p_+2,p_+3,p_+4,p_+5
0.0234093637454982,2.0416665,0.46689895470383275,0.4087403598971722,0.5558312655086849,0.48695652173913045,0.5588972431077694,0.5040650406504065,0.477124183006536
0.02581032412965186,2.1250000000000018,0.43902439024390244,0.48586118251928023,0.5459057071960298,0.47391304347826085,0.47619047619047616,0.5040650406504065,0.5032679738562091
0.028211284513805522,2.333333333166665,0.4355400696864111,0.6349614395886889,0.6178660049627791,0.46956521739130436,0.47619047619047616,0.5691056910569106,0.6078431372549019
0.030612244897959183,2.33333333333333,0.7247386759581882,0.7095115681233933,0.6129032258064516,0.5434782608695652,0.5864661654135338,0.5934959349593496,0.6862745098039216
0.033013205282112844,2.375,0.5121951219512195,0.5861182519280206,0.543424317617866,0.5260869565217391,0.49373433583959897,0.5447154471544715,0.6797385620915033
0.03541416566626651,2.5,0.4634146341463415,0.45758354755784064,0.6650124069478908,0.5695652173913044,0.5739348370927319,0.6504065040650406,0.8235294117647058
0.03781512605042017,2.5,0.5749128919860628,0.6580976863753213,0.5905707196029777,0.5347826086956522,0.43107769423558895,0.5365853658536586,0.803921568627451
0.04021608643457383,2.5416666665000003,0.47038327526132406,0.480719794344473,0.56575682382134,0.5521739130434783,0.5087719298245614,0.5365853658536586,0.6666666666666666
0.042617046818727494,2.58333333333333,0.40418118466898956,0.41645244215938304,0.49627791563275436,0.41739130434782606,0.5288220551378446,0.44715447154471544,0.6535947712418301
0.045018007202881155,2.625,0.42857142857142855,0.4267352185089974,0.5732009925558312,0.5304347826086957,0.506265664160401,0.5528455284552846,0.6993464052287581
0.047418967587034816,2.666666833333333,0.3344947735191638,0.2390745501285347,0.607940446650124,0.6130434782608696,0.5964912280701754,0.6585365853658537,0.6993464052287581
0.04981992797118847,2.75,0.28222996515679444,0.2570694087403599,0.5682382133995038,0.5260869565217391,0.6541353383458647,0.6260162601626016,0.6535947712418301
0.052220888355342145,2.75,0.3832752613240418,0.4267352185089974,0.5880893300248139,0.591304347826087,0.5964912280701754,0.5365853658536586,0.5686274509803921
0.05462184873949579,2.8316666666666666,0.1254355400696864,0.17994858611825193,0.5210918114143921,0.5434782608695652,0.5263157894736842,0.5528455284552846,0.45098039215686275
0.057022809123649466,2.908333333333333,0.2613240418118467,0.32390745501285345,0.49627791563275436,0.46956521739130436,0.48872180451127817,0.5284552845528455,0.5098039215686274
0.05942376950780311,2.958333333333333,0.4181184668989547,0.4241645244215938,0.5583126550868487,0.47391304347826085,0.556390977443609,0.5934959349593496,0.5816993464052288
0.06182472989195679,3.0,0.4076655052264808,0.40359897172236503,0.5831265508684863,0.5434782608695652,0.5789473684210527,0.6178861788617886,0.6339869281045751
0.06422569027611044,3.0,0.5679442508710801,0.532133676092545,0.5459057071960298,0.48695652173913045,0.46616541353383456,0.6585365853658537,0.5816993464052288
0.0666266506602641,3.0,0.7317073170731707,0.6143958868894601,0.6401985111662531,0.45652173913043476,0.6090225563909775,0.6666666666666666,0.8235294117647058
0.06902761104441776,3.0,0.3902439024390244,0.3161953727506427,0.6426799007444168,0.5739130434782609,0.7368421052631579,0.6829268292682927,0.8169934640522876
0.07142857142857142,3.0,0.36585365853658536,0.2493573264781491,0.6377171215880894,0.5652173913043478,0.7268170426065163,0.7154471544715447,0.8431372549019608
0.07382953181272509,3.0,0.11498257839721254,0.18766066838046272,0.6153846153846154,0.5869565217391305,0.631578947368421,0.6016260162601627,0.673202614379085
0.07623049219687875,3.0483333335,0.16376306620209058,0.12853470437017994,0.5930521091811415,0.5478260869565217,0.6190476190476191,0.5447154471544715,0.5947712418300654
0.07863145258103241,3.08333333333333,0.0975609756097561,0.20051413881748073,0.6104218362282878,0.5173913043478261,0.6616541353383458,0.5528455284552846,0.5947712418300654
0.08103241296518607,3.08333333333333,0.7386759581881533,0.7403598971722365,0.5583126550868487,0.5608695652173913,0.6190476190476191,0.5365853658536586,0.46405228758169936
0.08343337334933973,3.0833333333333313,0.578397212543554,0.44473007712082263,0.45161290322580644,0.5304347826086957,0.49874686716791977,0.4959349593495935,0.5490196078431373
0.08583433373349339,3.1183333335,0.313588850174216,0.11311053984575835,0.771712158808933,0.782608695652174,0.7844611528822055,0.7886178861788617,0.8300653594771242
0.08823529411764706,3.16666666666667,0.47735191637630664,0.2442159383033419,0.7270471464019851,0.691304347826087,0.7393483709273183,0.7154471544715447,0.8562091503267973
0.09063625450180071,3.166666667,0.47038327526132406,0.4781491002570694,0.6153846153846154,0.5652173913043478,0.6867167919799498,0.7479674796747967,0.8627450980392157
