u,value_median,p_-2,p_-1,p_+1,p_+2,p_+3,p_+4,p_+5
0.10317460317460317,2.0,0.25177304964539005,0.34349030470914127,0.5272727272727272,0.5535714285714286,0.5756756756756757,0.5462184873949579,0.541095890410959
0.11375661375661375,2.025,0.39361702127659576,0.3988919667590028,0.5064935064935064,0.5044642857142857,0.4945945945945946,0.48739495798319327,0.5136986301369864
0.12433862433862433,2.115,0.2801418439716312,0.5096952908587258,0.4779220779220779,0.5267857142857143,0.5243243243243243,0.4789915966386555,0.5958904109589042
0.1349206349206349,2.16,0.35106382978723405,0.41274238227146814,0.5194805194805194,0.53125,0.581081081081081,0.48739495798319327,0.7671232876712328
0.1455026455026455,2.16,0.32978723404255317,0.32409972299168976,0.4935400516795866,0.46875,0.48533333333333334,0.5609756097560976,0.43790849673202614
0.15608465608465608,2.185,0.36879432624113473,0.43213296398891965,0.4702842377260982,0.53125,0.504,0.5609756097560976,0.5294117647058824
0.16666666666666666,2.21,0.32978723404255317,0.3407202216066482,0.45714285714285713,0.46875,0.518918918918919,0.42016806722689076,0.6506849315068494
0.17724867724867724,2.25,0.36524822695035464,0.3656509695290859,0.45194805194805193,0.5089285714285714,0.45675675675675675,0.42857142857142855,0.821917808219178
0.18783068783068782,2.25,0.41134751773049644,0.42105263157894735,0.5012987012987012,0.5491071428571429,0.5540540540540541,0.4789915966386555,0.5342465753424658
0.1984126984126984,2.29,0.5638297872340425,0.46814404432132967,0.5246753246753246,0.5267857142857143,0.6270270270270271,0.48739495798319327,0.5753424657534246
0.20899470899470898,2.33,0.5283687943262412,0.5013850415512465,0.574025974025974,0.5133928571428571,0.5405405405405406,0.37815126050420167,0.5821917808219178
0.21957671957671954,2.33,0.4716312056737589,0.5595567867036011,0.5584415584415584,0.5401785714285714,0.5513513513513514,0.5546218487394958,0.4383561643835616
0.23015873015873015,2.415,0.6914893617021277,0.703601108033241,0.4675324675324675,0.5758928571428571,0.5513513513513514,0.5378151260504201,0.4589041095890411
0.24074074074074076,2.45,0.624113475177305,0.5263157894736842,0.4883116883116883,0.5892857142857143,0.44324324324324327,0.5210084033613446,0.6712328767123288
0.2513227513227513,2.5,0.6205673758865248,0.6814404432132964,0.43896103896103894,0.5580357142857143,0.5216216216216216,0.5546218487394958,0.4589041095890411
0.26190476190476186,2.5,0.5531914893617021,0.554016620498615,0.4935400516795866,0.6026785714285714,0.47733333333333333,0.5528455284552846,0.5294117647058824
0.27248677248677244,2.5,0.28368794326241137,0.4265927977839335,0.5478036175710594,0.49107142857142855,0.47733333333333333,0.5528455284552846,0.5424836601307189
0.2830687830687831,2.5,0.4929078014184397,0.5041551246537396,0.5400516795865633,0.47767857142857145,0.48533333333333334,0.4959349593495935,0.5947712418300654
0.2936507936507936,2.5,0.22340425531914893,0.3047091412742382,0.5788113695090439,0.4017857142857143,0.5093333333333333,0.5934959349593496,0.5882352941176471
0.3042328042328042,2.5,0.31560283687943264,0.2880886426592798,0.5297157622739018,0.45535714285714285,0.5066666666666667,0.5609756097560976,0.5359477124183006
0.31481481481481477,2.5,0.29432624113475175,0.32409972299168976,0.5478036175710594,0.4419642857142857,0.49866666666666665,0.6260162601626016,0.5686274509803921
0.3253968253968254,2.5,0.425531914893617,0.5401662049861495,0.5426356589147286,0.5714285714285714,0.456,0.5528455284552846,0.49019607843137253
0.33597883597883593,2.5,0.5230769230769231,0.5459770114942529,0.45478723404255317,0.5045454545454545,0.4945054945054945,0.6422764227642277,0.5294117647058824
0.3465608465608465,2.58,0.47692307692307695,0.4482758620689655,0.4787234042553192,0.5045454545454545,0.45054945054945056,0.5691056910569106,0.7777777777777778
0.3571428571428571,2.6,0.3546099290780142,0.4487534626038781,0.37467700258397935,0.47767857142857145,0.43466666666666665,0.5203252032520326,0.8431372549019608
0.36772486772486773,2.66,0.41843971631205673,0.5484764542936288,0.4573643410852713,0.44642857142857145,0.4666666666666667,0.5121951219512195,0.7777777777777778
0.37830687830687826,2.67,0.5957446808510638,0.7229916897506925,0.5167958656330749,0.45089285714285715,0.5093333333333333,0.6016260162601627,0.5359477124183006
0.38888888888888884,2.75,0.44680851063829785,0.5457063711911357,0.4418604651162791,0.45535714285714285,0.49866666666666665,0.5528455284552846,0.48366013071895425
0.3994708994708994,2.75,0.4645390070921986,0.518005540166205,0.4418604651162791,0.46875,0.5093333333333333,0.5447154471544715,0.49673202614379086
0.41005291005291006,2.75,0.5638297872340425,0.5983379501385041,0.5012919896640827,0.47767857142857145,0.5093333333333333,0.5691056910569106,0.6274509803921569
0.42063492063492064,2.75,0.5106382978723404,0.5401662049861495,0.5839793281653747,0.5803571428571429,0.5786666666666667,0.5121951219512195,0.6535947712418301
0.43121693121693117,2.785,0.4153846153846154,0.41954022988505746,0.625,0.6818181818181818,0.4697802197802198,0.5040650406504065,0.6143790849673203
0.44179894179894175,2.83,0.5692307692307692,0.5890804597701149,0.6037234042553191,0.6363636363636364,0.4945054945054945,0.4878048780487805,0.6339869281045751
0.4523809523809524,2.915,0.46153846153846156,0.46839080459770116,0.6329787234042553,0.5272727272727272,0.5851648351648352,0.6504065040650406,0.6601307189542484
0.46296296296296297,2.95,0.4307692307692308,0.4109195402298851,0.6409574468085106,0.5681818181818182,0.5824175824175825,0.5365853658536586,0.6928104575163399
0.4735449735449736,3.0,0.5346153846153846,0.5488505747126436,0.6117021276595744,0.5954545454545455,0.5137362637362637,0.6422764227642277,0.6209150326797386
0.4841269841269841,3.0,0.43846153846153846,0.46839080459770116,0.5877659574468085,0.5818181818181818,0.48626373626373626,0.7235772357723578,0.5686274509803921
0.4947089947089947,3.0,0.4846153846153846,0.49137931034482757,0.6143617021276596,0.55,0.5467032967032966,0.45528455284552843,0.5816993464052288
0.5052910052910053,3.0,0.6461538461538462,0.6551724137931034,0.5345744680851063,0.44545454545454544,0.5,0.5772357723577236,0.6143790849673203
0.5158730158730159,3.0,0.38076923076923075,0.4482758620689655,0.5957446808510638,0.5409090909090909,0.45054945054945056,0.5691056910569106,0.46405228758169936
0.5264550264550264,3.0,0.7076923076923077,0.6781609195402298,0.5452127659574468,0.4590909090909091,0.49175824175824173,0.5365853658536586,0.42483660130718953
0.537037037037037,3.0,0.31153846153846154,0.2614942528735632,0.5638297872340425,0.5681818181818182,0.5027472527472527,0.3821138211382114,0.49019607843137253
0.5476190476190477,3.0,0.34615384615384615,0.28160919540229884,0.5478723404255319,0.5,0.5274725274725275,0.3333333333333333,0.7254901960784313
0.5582010582010583,3.0,0.29615384615384616,0.29310344827586204,0.4920212765957447,0.4909090909090909,0.47802197802197804,0.3983739837398374,0.6666666666666666
0.5687830687830687,3.0,0.3423076923076923,0.21839080459770116,0.6170212765957447,0.5545454545454546,0.5164835164835165,0.42276422764227645,0.8235294117647058
0.5793650793650793,3.0,0.3230769230769231,0.31896551724137934,0.5132978723404256,0.509090909090909,0.5247252747252747,0.5040650406504065,0.7189542483660131
0.58994708994709,3.0,0.5923076923076923,0.5229885057471264,0.5106382978723404,0.5454545454545454,0.5027472527472527,0.4715447154471545,0.43790849673202614
0.6005291005291006,3.0,0.46923076923076923,0.34195402298850575,0.4732620320855615,0.44545454545454544,0.479108635097493,0.44537815126050423,0.4794520547945205
0.611111111111111,3.0,0.5230769230769231,0.39080459770114945,0.4919786096256685,0.42272727272727273,0.4986072423398329,0.5546218487394958,0.4383561643835616
0.6216931216931216,3.08,0.5153846153846153,0.4339080459770115,0.5106951871657754,0.4772727272727273,0.48746518105849584,0.4369747899159664,0.5
0.6322751322751323,3.115,0.3153846153846154,0.35344827586206895,0.42819148936170215,0.5181818181818182,0.5137362637362637,0.4796747967479675,0.5947712418300654
0.6428571428571429,3.16,0.35384615384615387,0.28735632183908044,0.4521276595744681,0.5227272727272727,0.5054945054945055,0.3333333333333333,0.5490196078431373
0.6534391534391534,3.16,0.4346153846153846,0.34770114942528735,0.526595744680851,0.5227272727272727,0.48626373626373626,0.44715447154471544,0.5555555555555556
0.664021164021164,3.205,0.3076923076923077,0.2959770114942529,0.4787234042553192,0.5272727272727272,0.489010989010989,0.3983739837398374,0.5294117647058824
0.6746031746031746,3.25,0.4,0.3333333333333333,0.48404255319148937,0.5181818181818182,0.45879120879120877,0.36585365853658536,0.5490196078431373
0.6851851851851852,3.25,0.40384615384615385,0.3649425287356322,0.5159574468085106,0.5545454545454546,0.49725274725274726,0.45528455284552843,0.49019607843137253
0.6957671957671957,3.3,0.36153846153846153,0.3448275862068966,0.4867021276595745,0.4590909090909091,0.5604395604395604,0.4796747967479675,0.5947712418300654
0.7063492063492063,3.33,0.27692307692307694,0.26436781609195403,0.5531914893617021,0.5136363636363637,0.5494505494505495,0.4634146341463415,0.7058823529411765
0.716931216931217,3.33,0.3076923076923077,0.21551724137931033,0.5186170212765957,0.5181818181818182,0.5027472527472527,0.37398373983739835,0.5490196078431373
0.7275132275132276,3.415,0.3192307692307692,0.34195402298850575,0.5053191489361702,0.4318181818181818,0.4835164835164835,0.3983739837398374,0.49673202614379086
0.738095238095238,3.5,0.27307692307692305,0.3620689655172414,0.4920212765957447,0.5227272727272727,0.5467032967032966,0.3983739837398374,0.45751633986928103
0.7486772486772486,3.5,0.38846153846153847,0.46264367816091956,0.5478723404255319,0.5272727272727272,0.5357142857142857,0.43089430894308944,0.43137254901960786
0.7592592592592593,3.5,0.39615384615384613,0.40804597701149425,0.5638297872340425,0.4772727272727273,0.4945054945054945,0.5203252032520326,0.5032679738562091
0.7698412698412699,3.5,0.35,0.3563218390804598,0.550531914893617,0.5363636363636364,0.5274725274725275,0.4146341463414634,0.6797385620915033
0.7804232804232804,3.5,0.3576923076923077,0.32471264367816094,0.526595744680851,0.5136363636363637,0.521978021978022,0.44715447154471544,0.6666666666666666
0.7910052910052909,3.5,0.3423076923076923,0.31896551724137934,0.5585106382978723,0.5454545454545454,0.5521978021978022,0.4878048780487805,0.6339869281045751
0.8015873015873016,3.5,0.38461538461538464,0.4367816091954023,0.5319148936170213,0.5727272727272728,0.5961538461538461,0.6178861788617886,0.5816993464052288
0.8121693121693122,3.6,0.35384615384615387,0.5517241379310345,0.6595744680851063,0.6636363636363637,0.7857142857142857,0.6097560975609756,0.5816993464052288
0.8227513227513226,3.66,0.24615384615384617,0.2413793103448276,0.6409574468085106,0.5909090909090909,0.5192307692307693,0.6260162601626016,0.7124183006535948
0.8333333333333334,3.705,0.4807692307692308,0.3879310344827586,0.5531914893617021,0.5909090909090909,0.4945054945054945,0.6422764227642277,0.7516339869281046
0.8439153439153438,3.75,0.5307692307692308,0.34195402298850575,0.5691489361702128,0.5545454545454546,0.5082417582417582,0.6260162601626016,0.6143790849673203
0.8544973544973546,3.875,0.5230769230769231,0.4339080459770115,0.4787234042553192,0.4681818181818182,0.47527472527472525,0.6260162601626016,0.803921568627451
0.865079365079365,4.0,0.6115384615384616,0.46839080459770116,0.601063829787234,0.6,0.5027472527472527,0.4878048780487805,0.5816993464052288
0.8756613756613756,4.0,0.7038461538461539,0.49712643678160917,0.4946808510638298,0.4681818181818182,0.5439560439560439,0.35772357723577236,0.46405228758169936
0.8862433862433863,4.0,0.6653846153846154,0.47701149425287354,0.4787234042553192,0.39545454545454545,0.4945054945054945,0.37398373983739835,0.5424836601307189
0.8968253968253969,4.165,0.5038461538461538,0.4827586206896552,0.5425531914893617,0.4772727272727273,0.510989010989011,0.42276422764227645,0.477124183006536
