u,value_median,p_-2,p_-1,p_+1,p_+2,p_+3,p_+4,p_+5
0.10317460317460317,2.5,0.36538461538461536,0.3879310344827586,0.4946808510638298,0.4636363636363636,0.510989010989011,0.5691056910569106,0.47058823529411764
0.11375661375661375,2.75,0.4230769230769231,0.47413793103448276,0.5452127659574468,0.4318181818181818,0.4835164835164835,0.5528455284552846,0.5228758169934641
0.12433862433862433,2.875,0.4846153846153846,0.4827586206896552,0.5797872340425532,0.509090909090909,0.4807692307692308,0.4715447154471545,0.5555555555555556
0.1349206349206349,3.0,0.6807692307692308,0.7413793103448276,0.48936170212765956,0.4772727272727273,0.48626373626373626,0.4878048780487805,0.49673202614379086
0.1455026455026455,3.0,0.4153846153846154,0.6350574712643678,0.5186170212765957,0.4409090909090909,0.46703296703296704,0.6260162601626016,0.5424836601307189
0.15608465608465608,3.315,0.35384615384615387,0.3132183908045977,0.4734042553191489,0.4954545454545455,0.5082417582417582,0.5691056910569106,0.49673202614379086
0.16666666666666666,3.5,0.21631205673758866,0.1883656509695291,0.4909560723514212,0.41964285714285715,0.544,0.5040650406504065,0.5228758169934641
0.17724867724867724,3.5,0.1879432624113475,0.1523545706371191,0.49870801033591733,0.44642857142857145,0.5306666666666666,0.4878048780487805,0.5751633986928104
0.18783068783068782,3.5,0.18085106382978725,0.15512465373961218,0.4806201550387597,0.5,0.552,0.43902439024390244,0.5424836601307189
0.1984126984126984,4.0,0.1916376306620209,0.16966580976863754,0.5086848635235732,0.47391304347826085,0.5037593984962406,0.6016260162601627,0.5686274509803921
0.20899470899470898,4.0,0.3205574912891986,0.35218508997429304,0.4640198511166253,0.508695652173913,0.5012531328320802,0.6260162601626016,0.5424836601307189
0.21957671957671954,4.25,0.5400696864111498,0.4987146529562982,0.5037220843672456,0.47391304347826085,0.49373433583959897,0.5691056910569106,0.5294117647058824
0.23015873015873015,4.5,0.49477351916376305,0.43444730077120824,0.5459057071960298,0.5434782608695652,0.5338345864661654,0.5040650406504065,0.5228758169934641
0.24074074074074076,4.5,0.18815331010452963,0.14395886889460155,0.49379652605459057,0.48695652173913045,0.5012531328320802,0.5609756097560976,0.5098039215686274
0.2513227513227513,4.5,0.34146341463414637,0.26735218508997427,0.47146401985111663,0.5565217391304348,0.44862155388471175,0.5040650406504065,0.49019607843137253
0.26190476190476186,4.75,0.3693379790940767,0.27249357326478146,0.46898263027295284,0.5521739130434783,0.48370927318295737,0.5528455284552846,0.477124183006536
0.27248677248677244,5.0,0.4326241134751773,0.3462603878116344,0.4754521963824289,0.45982142857142855,0.4826666666666667,0.5365853658536586,0.49673202614379086
0.2830687830687831,5.0,0.4078014184397163,0.33240997229916897,0.5167958656330749,0.5133928571428571,0.472,0.4959349593495935,0.5163398692810458
0.2936507936507936,5.0,0.5177304964539007,0.3878116343490305,0.5400516795865633,0.5178571428571429,0.49333333333333335,0.5203252032520326,0.49673202614379086
0.3042328042328042,5.125,0.5602836879432624,0.481994459833795,0.5142118863049095,0.45535714285714285,0.536,0.5365853658536586,0.5490196078431373
0.31481481481481477,5.375,0.5354609929078015,0.46814404432132967,0.537467700258398,0.5089285714285714,0.47733333333333333,0.6016260162601627,0.46405228758169936
0.3253968253968254,6.0,0.3723404255319149,0.23822714681440443,0.5064599483204134,0.48660714285714285,0.4746666666666667,0.4878048780487805,0.5032679738562091
0.33597883597883593,6.205,0.13829787234042554,0.16897506925207756,0.5167958656330749,0.5267857142857143,0.49866666666666665,0.5284552845528455,0.49673202614379086
0.3465608465608465,6.5,0.2801418439716312,0.24930747922437674,0.5142118863049095,0.5044642857142857,0.5493333333333333,0.5772357723577236,0.46405228758169936
0.3571428571428571,6.5,0.20567375886524822,0.23268698060941828,0.5529715762273901,0.5625,0.5173333333333333,0.5284552845528455,0.6209150326797386
0.36772486772486773,6.5,0.4929078014184397,0.3878116343490305,0.5322997416020672,0.4419642857142857,0.4693333333333333,0.5203252032520326,0.5032679738562091
0.37830687830687826,6.5,0.4397163120567376,0.4404432132963989,0.6227390180878553,0.5133928571428571,0.528,0.5447154471544715,0.46405228758169936
0.38888888888888884,6.5,0.33687943262411346,0.40443213296398894,0.6020671834625323,0.5446428571428571,0.536,0.4878048780487805,0.48366013071895425
0.3994708994708994,6.9399999999999995,0.36879432624113473,0.4515235457063712,0.5762273901808785,0.5446428571428571,0.5173333333333333,0.43902439024390244,0.477124183006536
0.41005291005291006,7.0,0.15602836879432624,0.27977839335180055,0.5710594315245479,0.5044642857142857,0.5226666666666666,0.5447154471544715,0.5294117647058824
0.42063492063492064,7.0,0.24615384615384617,0.41954022988505746,0.4867021276595745,0.5272727272727272,0.532967032967033,0.4959349593495935,0.4444444444444444
0.43121693121693117,7.0,0.3,0.3505747126436782,0.4946808510638298,0.5,0.5494505494505495,0.5203252032520326,0.3660130718954248
0.44179894179894175,7.5,0.32269503546099293,0.43490304709141275,0.4909560723514212,0.47767857142857145,0.5013333333333333,0.5203252032520326,0.46405228758169936
0.4523809523809524,7.5,0.28368794326241137,0.4099722991689751,0.5376623376623376,0.45089285714285715,0.5162162162162162,0.5294117647058824,0.4794520547945205
0.46296296296296297,7.5,0.38652482269503546,0.3074792243767313,0.43376623376623374,0.48660714285714285,0.5162162162162162,0.5126050420168067,0.4520547945205479
0.4735449735449736,8.0,0.30851063829787234,0.2631578947368421,0.44415584415584414,0.48214285714285715,0.518918918918919,0.48739495798319327,0.5
0.4841269841269841,8.0,0.4078014184397163,0.3739612188365651,0.4883116883116883,0.5223214285714286,0.6027027027027027,0.5126050420168067,0.7328767123287672
0.4947089947089947,8.0,0.2730496453900709,0.31301939058171746,0.4857142857142857,0.49107142857142855,0.5405405405405406,0.5294117647058824,0.4383561643835616
0.5052910052910053,8.0,0.30141843971631205,0.29362880886426596,0.4909090909090909,0.48214285714285715,0.6,0.4957983193277311,0.6712328767123288
0.5158730158730159,8.085,0.2907801418439716,0.27146814404432135,0.5012987012987012,0.4642857142857143,0.5459459459459459,0.5126050420168067,0.5753424657534246
0.5264550264550264,8.25,0.29432624113475175,0.3628808864265928,0.4675324675324675,0.5446428571428571,0.5513513513513514,0.5546218487394958,0.6164383561643836
0.537037037037037,8.5,0.31560283687943264,0.4182825484764543,0.4675324675324675,0.5089285714285714,0.47297297297297297,0.4957983193277311,0.5068493150684932
0.5476190476190477,8.75,0.24468085106382978,0.4265927977839335,0.4831168831168831,0.5,0.4702702702702703,0.6302521008403361,0.4863013698630137
0.5582010582010583,9.0,0.49645390070921985,0.554016620498615,0.4935064935064935,0.48214285714285715,0.5027027027027027,0.5966386554621849,0.4452054794520548
0.5687830687830687,9.75,0.4858156028368794,0.481994459833795,0.5194805194805194,0.5267857142857143,0.4702702702702703,0.5546218487394958,0.4520547945205479
0.5793650793650793,10.0,0.3262411347517731,0.3739612188365651,0.5376623376623376,0.49107142857142855,0.4972972972972973,0.5042016806722689,0.636986301369863
0.58994708994709,10.25,0.20567375886524822,0.26869806094182824,0.587012987012987,0.5446428571428571,0.5081081081081081,0.47058823529411764,0.684931506849315
0.6005291005291006,10.5,0.2198581560283688,0.18559556786703602,0.5402597402597402,0.5267857142857143,0.4756756756756757,0.5210084033613446,0.6712328767123288
0.611111111111111,10.75,0.2907801418439716,0.21606648199445982,0.548051948051948,0.5044642857142857,0.5162162162162162,0.5882352941176471,0.6506849315068494
0.6216931216931216,11.0,0.28222996515679444,0.14910025706940874,0.5286783042394015,0.4434782608695652,0.5126903553299492,0.5546218487394958,0.6438356164383562
