u,value_median,p_-2,p_-1,p_+1,p_+2,p_+3,p_+4,p_+5
0.10317460317460317,2.0,0.18846153846153846,0.2557471264367816,0.6382978723404256,0.6,0.4642857142857143,0.7723577235772358,0.7189542483660131
0.11375661375661375,3.0,0.24615384615384617,0.3218390804597701,0.6170212765957447,0.5681818181818182,0.5192307692307693,0.7398373983739838,0.6993464052287581
0.12433862433862433,3.0,0.28076923076923077,0.27298850574712646,0.6436170212765957,0.5409090909090909,0.510989010989011,0.6178861788617886,0.5947712418300654
0.1349206349206349,3.0,0.3269230769230769,0.35919540229885055,0.5212765957446809,0.4772727272727273,0.510989010989011,0.4796747967479675,0.6274509803921569
0.1455026455026455,3.0,0.29615384615384616,0.4051724137931034,0.6063829787234043,0.5545454545454546,0.5357142857142857,0.5365853658536586,0.5947712418300654
0.15608465608465608,3.0,0.35,0.367816091954023,0.6117021276595744,0.4409090909090909,0.4478021978021978,0.5365853658536586,0.6405228758169934
0.16666666666666666,3.0,0.45,0.5431034482758621,0.5079787234042553,0.44545454545454544,0.4642857142857143,0.4796747967479675,0.5686274509803921
0.17724867724867724,3.0,0.49230769230769234,0.5229885057471264,0.4601063829787234,0.4772727272727273,0.4725274725274725,0.5853658536585366,0.5751633986928104
0.18783068783068782,3.0,0.4807692307692308,0.4425287356321839,0.6196808510638298,0.5454545454545454,0.45054945054945056,0.4959349593495935,0.5490196078431373
0.1984126984126984,3.0,0.19615384615384615,0.22413793103448276,0.5638297872340425,0.4636363636363636,0.4532967032967033,0.43089430894308944,0.5359477124183006
0.20899470899470898,3.0,0.38846153846153847,0.382183908045977,0.6223404255319149,0.4863636363636364,0.4697802197802198,0.4959349593495935,0.5163398692810458
0.21957671957671954,3.0,0.3769230769230769,0.4367816091954023,0.5267379679144385,0.4727272727272727,0.5376044568245125,0.5714285714285714,0.5068493150684932
0.23015873015873015,3.0,0.5384615384615384,0.6091954022988506,0.4654255319148936,0.5318181818181819,0.46153846153846156,0.5934959349593496,0.5163398692810458
0.24074074074074076,3.0,0.2037735849056604,0.384,0.4387755102040816,0.5176991150442478,0.45103092783505155,0.5609756097560976,0.6078431372549019
0.2513227513227513,3.0,0.4307692307692308,0.5660919540229885,0.5159574468085106,0.5454545454545454,0.5027472527472527,0.5934959349593496,0.6013071895424836
0.26190476190476186,3.0,0.21254355400696864,0.3393316195372751,0.5186104218362283,0.5173913043478261,0.49122807017543857,0.5853658536585366,0.6013071895424836
0.27248677248677244,3.0,0.35815602836879434,0.4903047091412742,0.5064599483204134,0.5,0.472,0.5934959349593496,0.48366013071895425
0.2830687830687831,3.0,0.35815602836879434,0.4792243767313019,0.5038961038961038,0.46875,0.46216216216216216,0.5294117647058824,0.5
