ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,VLDLR,TMED10,AP2A1,AP1G1,COPA,COPB2,IDE,RTN4,BACE1,SAR1A,TMED2,SEC24C,BIN1,SNX6,APBA1,AP4S1,ADAM10,TMED9,CLU,HSPA9,RTN3,HSPA5,MIA3,OSBP,RAB1A,COPG2,NCSTN,SEC31A,SAR1B,AP2B1,APP,COPE,LRP1,SEC13,PICALM,VPS35,MFN2,COPB1,PSEN1,ITPR2,EIF2S1,ABCA7,VDAC1,VPS29,COPZ1,GGA3,AP4B1,SORT1,AP3B2,ADAM17,VPS26A,PREB,MAPKAPK2,SORL1,PLG,ARF6,SEC23A,AP4M1,SEC24A,SREBF2,MAP2K3,GGA2,SEC24D,COPG1,ITPR1,SEC16A,GORASP1,AP4E1,SYK,MAPK14,SEC24B,SNX4,GGA1,SIGMAR1,SEC23B,APOE,ECE1,RAB1B,APBA2,PLCG2
1,AP2A1,AP2B1,COPB2,SEC24C,COPA,VPS35,AP1G1,SEC13,PLG,SORL1,COPE,SEC23A,ITPR2,VPS29,VDAC1,ADAM10,APBA1,SNX6,SORT1,NCSTN,SAR1A,ARF6,AP4B1,TMED9,RTN3,ITPR1,PSEN1,COPZ1,SREBF2,HSPA5,RTN4,GGA2,SEC24A,HSPA9,GGA3,TMED10,MIA3,ABCA7,SEC23B,SEC31A,AP4S1,MAPKAPK2,IDE,ADAM17,MFN2,VPS26A,OSBP,TMED2,EIF2S1,AP3B2,BIN1,COPG1,MAP2K3,PICALM,LRP1,APOE,BACE1,ECE1,VLDLR,MAPK14,RAB1A,APP,RAB1B,GORASP1,AP4E1,SYK,COPB1,GGA1,SEC16A,CLU,PREB,PLCG2,SNX4,SIGMAR1,SAR1B,SEC24B,COPG2,SEC24D,APBA2,AP4M1
2,AP2B1,APBA1,COPB2,TMED9,CLU,ITPR2,SORT1,ABCA7,BIN1,OSBP,COPZ1,HSPA5,ADAM10,NCSTN,SAR1A,TMED2,PREB,COPE,AP4B1,RAB1B,SEC24D,COPB1,HSPA9,SYK,SEC24C,GGA2,SEC23B,GGA3,LRP1,SEC13,MIA3,SEC31A,SEC23A,MAP2K3,VPS29,SNX4,AP2A1,AP4E1,PLG,SEC24A,COPA,SNX6,RTN4,RAB1A,SORL1,PICALM,SAR1B,AP4S1,PSEN1,TMED10,VPS26A,MAPK14,VPS35,SEC16A,SREBF2,AP1G1,VDAC1,ADAM17,VLDLR,EIF2S1,ECE1,MAPKAPK2,APP,MFN2,RTN3,AP4M1,SEC24B,COPG2,ITPR1,BACE1,AP3B2,IDE,GORASP1,APBA2,PLCG2,ARF6,APOE,COPG1,SIGMAR1,GGA1
3,OSBP,RTN4,AP4E1,GORASP1,APOE,VPS29,BIN1,AP1G1,SORL1,APBA1,RTN3,ADAM10,MAPK14,SNX6,MFN2,RAB1A,COPG1,SORT1,AP2B1,AP2A1,VDAC1,GGA3,COPZ1,ITPR2,COPE,PLG,HSPA9,HSPA5,SEC23A,PREB,PICALM,SEC13,VPS26A,LRP1,SYK,SEC24C,BACE1,TMED9,COPB1,IDE,PSEN1,SEC24A,SAR1A,VPS35,TMED2,RAB1B,MAPKAPK2,ITPR1,ABCA7,APP,COPB2,ADAM17,AP3B2,SEC16A,ARF6,AP4B1,VLDLR,TMED10,CLU,MAP2K3,EIF2S1,SEC23B,SNX4,ECE1,SEC31A,COPG2,MIA3,COPA,SREBF2,APBA2,AP4M1,SIGMAR1,AP4S1,NCSTN,PLCG2,GGA2,GGA1,SEC24B,SAR1B,SEC24D
4,SEC24C,COPZ1,AP4B1,GGA3,ITPR1,TMED10,TMED9,PICALM,VDAC1,RAB1A,AP2B1,PREB,VPS35,ABCA7,AP1G1,SEC31A,COPB1,BIN1,PLG,SEC23A,MFN2,VPS26A,COPE,RTN4,HSPA5,MAPKAPK2,SNX4,RTN3,SAR1B,IDE,AP4E1,ADAM10,NCSTN,SAR1A,SEC24A,LRP1,COPG1,ADAM17,SORL1,SNX6,SEC23B,SORT1,BACE1,COPA,AP2A1,VPS29,COPB2,EIF2S1,HSPA9,AP4S1,MIA3,APBA1,TMED2,GGA2,APOE,MAPK14,SREBF2,SEC16A,ARF6,ITPR2,SEC24D,RAB1B,AP3B2,VLDLR,PSEN1,APBA2,APP,COPG2,CLU,SYK,OSBP,SEC13,MAP2K3,PLCG2,SEC24B,AP4M1,GGA1,SIGMAR1,ECE1,GORASP1
5,ADAM10,LRP1,SEC13,COPB1,TMED2,CLU,BIN1,SEC23A,AP2A1,RAB1A,MFN2,GGA3,COPG1,AP2B1,PREB,SAR1B,NCSTN,AP1G1,SORT1,OSBP,VPS29,PSEN1,VDAC1,SNX6,AP4E1,AP4B1,TMED9,ARF6,HSPA5,APBA1,SORL1,PLG,SEC24A,ABCA7,APOE,EIF2S1,IDE,VPS26A,ADAM17,SEC24C,VPS35,ITPR2,RTN4,AP4S1,MAPK14,RTN3,BACE1,HSPA9,PICALM,AP3B2,SREBF2,GGA2,AP4M1,RAB1B,SEC31A,COPB2,MIA3,SAR1A,SEC16A,VLDLR,SNX4,MAP2K3,ITPR1,ECE1,TMED10,SYK,SEC24D,COPZ1,COPA,APBA2,PLCG2,APP,SEC24B,COPE,COPG2,SEC23B,MAPKAPK2,GORASP1,SIGMAR1,GGA1
6,EIF2S1,VPS35,AP2B1,COPB1,PREB,CLU,TMED9,IDE,MFN2,TMED10,SEC23B,APBA1,RAB1A,AP2A1,ADAM10,VPS29,COPZ1,NCSTN,RAB1B,TMED2,SAR1A,RTN4,AP4S1,SEC13,ITPR2,AP4E1,SORL1,SNX4,AP4B1,SEC24A,SAR1B,SNX6,GGA3,PSEN1,COPB2,ABCA7,VLDLR,COPE,AP4M1,HSPA9,SEC31A,LRP1,MAP2K3,VDAC1,SEC24C,MIA3,RTN3,GORASP1,BACE1,BIN1,SORT1,ARF6,ITPR1,VPS26A,ECE1,APBA2,COPG1,AP3B2,APP,MAPKAPK2,APOE,OSBP,COPA,SREBF2,PLG,AP1G1,MAPK14,COPG2,SEC23A,PICALM,GGA2,SEC16A,SEC24D,SYK,ADAM17,HSPA5,SIGMAR1,SEC24B,GGA1,PLCG2
7,OSBP,AP2B1,VPS26A,SEC23A,SNX4,COPE,EIF2S1,VLDLR,TMED10,SAR1B,HSPA9,SEC24C,MFN2,ITPR2,AP3B2,VPS29,VDAC1,IDE,TMED2,NCSTN,BIN1,SREBF2,AP1G1,TMED9,GGA2,LRP1,SEC24D,AP4S1,COPZ1,ITPR1,PLG,SEC24A,APBA1,ADAM10,ABCA7,SAR1A,COPG1,AP2A1,MAPKAPK2,COPB2,SNX6,APOE,HSPA5,RAB1A,CLU,PREB,RTN3,RTN4,VPS35,AP4E1,SEC31A,SEC23B,SORT1,SORL1,GGA3,COPB1,RAB1B,SYK,PICALM,COPA,ADAM17,MAPK14,ARF6,PSEN1,SEC13,AP4B1,COPG2,ECE1,APP,SEC16A,MAP2K3,GORASP1,APBA2,AP4M1,BACE1,SEC24B,PLCG2,MIA3,SIGMAR1,GGA1
8,COPE,SNX4,HSPA9,IDE,TMED10,SNX6,ADAM10,AP2A1,COPA,AP4B1,SEC13,SAR1A,COPB2,COPG2,TMED2,RTN3,RAB1A,AP3B2,SAR1B,BIN1,SEC23A,GGA3,COPG1,OSBP,MFN2,EIF2S1,SORT1,VPS29,VDAC1,SYK,SEC31A,COPZ1,VPS26A,APBA1,PREB,TMED9,MIA3,AP4S1,AP4E1,RTN4,COPB1,PLG,VPS35,PICALM,MAPK14,LRP1,AP2B1,CLU,VLDLR,HSPA5,BACE1,SEC23B,ITPR2,PSEN1,ITPR1,ABCA7,SEC24C,MAP2K3,NCSTN,SREBF2,SEC24A,GGA2,ADAM17,RAB1B,MAPKAPK2,SEC24D,SORL1,AP4M1,APOE,SEC16A,APBA2,ECE1,AP1G1,GORASP1,GGA1,ARF6,SEC24B,PLCG2,APP,SIGMAR1
9,VPS26A,TMED10,AP1G1,AP2A1,BIN1,APBA1,EIF2S1,SEC13,ADAM10,COPZ1,ITPR1,NCSTN,AP4B1,GGA3,COPE,COPA,VPS35,SORL1,TMED2,SEC24C,SEC31A,TMED9,SEC24A,SNX4,RTN3,HSPA5,ARF6,AP2B1,MIA3,MFN2,VPS29,VLDLR,MAPKAPK2,SORT1,COPB2,SEC23A,SEC24D,IDE,ADAM17,VDAC1,RAB1B,SNX6,SEC23B,RTN4,AP4E1,SAR1B,BACE1,SEC16A,SYK,SAR1A,LRP1,COPG2,PLG,ITPR2,PREB,APOE,GGA2,ABCA7,OSBP,COPB1,HSPA9,COPG1,ECE1,PICALM,AP4S1,MAPK14,RAB1A,MAP2K3,SREBF2,APBA2,AP3B2,GORASP1,APP,PSEN1,CLU,PLCG2,SEC24B,GGA1,AP4M1,SIGMAR1
