region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron <= 0.103 (lower half)  AND  PMI <= 6.83 (lower half),2,220,0.65091,0.63266,0.00924,1.97617,0.0199,0.10971,False
race = White  AND  isHispanic = FALSE,2,430,0.65103,0.63945,0.00586,1.97486,0.02985,0.14053,False
celltype_neuron <= 0.103 (lower half)  AND  isHispanic = FALSE,2,343,0.65117,0.63785,0.00676,1.97108,0.05473,0.18199,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,140,0.64766,0.62586,0.01125,1.93912,0.02488,0.13029,False
celltype_neuron <= -0.0632 (low third)  AND  PMI 5.17-10 (middle third),2,96,0.64649,0.62031,0.01354,1.9331,0.01493,0.08934,False
PMI <= 5.17 (low third)  AND  Braak = Stage III,2,50,0.63778,0.60492,0.01704,1.92765,0.03483,0.1489,False
PMI <= 6.83 (lower half)  AND  cohort = ROS,2,109,0.64487,0.62088,0.01248,1.9219,0.01493,0.08934,False
race = White,1,465,0.64974,0.63969,0.00523,1.91996,0.0398,0.15882,False
celltype_neuron <= -0.0632 (low third)  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,199,0.64965,0.63218,0.00911,1.91773,0.02985,0.14053,False
race = White  AND  reag = Intermediate Likelihood,2,144,0.64742,0.62586,0.01125,1.91714,0.02488,0.13029,False
PMI <= 5.17 (low third)  AND  ageDeath > 83.6 (upper half),2,171,0.64707,0.62836,0.00978,1.91315,0.01493,0.08934,False
race = White  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,403,0.64974,0.63877,0.00575,1.90837,0.0398,0.15882,False
PMI <= 5.17 (low third)  AND  amyCerad = Moderate/Probable/C2,2,62,0.64097,0.60994,0.01645,1.88663,0.0398,0.15882,False
PMI <= 6.83 (lower half)  AND  Braak = Stage III,2,71,0.63722,0.61159,0.01371,1.86967,0.03483,0.1489,False
PMI <= 6.83 (lower half)  AND  celltype_endothelial <= -0.0425 (lower half),2,206,0.64923,0.63281,0.00897,1.82978,0.02985,0.14053,False
PMI <= 5.17 (low third)  AND  cohort = ROS,2,85,0.64099,0.61449,0.01459,1.81635,0.0199,0.10971,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia -0.289-0.179 (middle third),2,159,0.64608,0.62746,0.0103,1.80772,0.02985,0.14053,False
PMI <= 6.83 (lower half)  AND  isHispanic = FALSE,2,341,0.65004,0.63785,0.00676,1.80294,0.0597,0.18951,False
celltype_neuron <= 0.103 (lower half)  AND  dataContributionGroup = Rush,2,191,0.64816,0.63188,0.00905,1.79898,0.04478,0.16751,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_microglia -0.289-0.179 (middle third),2,101,0.64464,0.62031,0.01354,1.79656,0.02985,0.14053,False
race = White  AND  dataContributionGroup = Emory,2,62,0.6394,0.60994,0.01645,1.79128,0.0398,0.15882,False
celltype_neuron <= 0.103 (lower half)  AND  Braak = Stage IV,2,76,0.64059,0.61449,0.01459,1.78883,0.0199,0.10971,False
race = White  AND  ageDeath > 83.6 (upper half),2,308,0.65008,0.63769,0.007,1.76878,0.0398,0.15882,False
celltype_neuron <= 0.103 (lower half)  AND  bScore = Braak Stage III-IV,2,142,0.64572,0.62586,0.01125,1.76657,0.0398,0.15882,False
celltype_neuron <= -0.0632 (low third),1,322,0.64965,0.63701,0.00723,1.74825,0.03483,0.1489,False
PMI <= 6.83 (lower half)  AND  ageDeath <= 83.6 (lower half),2,160,0.64545,0.62746,0.0103,1.7473,0.03483,0.1489,False
PMI <= 5.17 (low third)  AND  apoeGenotype = 33,2,125,0.64248,0.6223,0.01165,1.7322,0.0597,0.18951,False
celltype_neuron <= 0.103 (lower half)  AND  amyCerad = Moderate/Probable/C2,2,78,0.63976,0.61449,0.01459,1.73172,0.02985,0.14053,False
PMI <= 6.83 (lower half)  AND  dataContributionGroup = Rush,2,181,0.64619,0.62963,0.00957,1.73001,0.05473,0.18199,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_endothelial -0.298-0.239 (middle third),2,124,0.64235,0.6223,0.01165,1.72076,0.0597,0.18951,False
celltype_neuron <= -0.0632 (low third)  AND  bScore = Braak Stage III-IV,2,84,0.63946,0.61449,0.01459,1.71156,0.02985,0.14053,False
celltype_neuron <= 0.103 (lower half)  AND  PMI 5.17-10 (middle third),2,143,0.64509,0.62586,0.01125,1.7103,0.04478,0.16751,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,95,0.64317,0.62031,0.01354,1.68757,0.04975,0.17517,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_oligodendrocyte <= -0.482 (low third),2,87,0.6422,0.61751,0.01471,1.67841,0.04478,0.16751,False
race = White  AND  ageDeath 79-87.7 (middle third),2,152,0.64735,0.62824,0.01157,1.65192,0.06468,0.19781,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte > -0.11 (upper half),2,204,0.64719,0.63218,0.00911,1.64761,0.04478,0.16751,False
race = White  AND  amyCerad = Moderate/Probable/C2,2,98,0.64255,0.62031,0.01354,1.64187,0.05473,0.18199,False
race = White  AND  celltype_astrocyte <= -0.213 (low third),2,145,0.6443,0.62586,0.01125,1.64035,0.04975,0.17517,False
celltype_neuron <= -0.0632 (low third)  AND  ageDeath > 83.6 (upper half),2,150,0.64705,0.62824,0.01157,1.6262,0.06965,0.20698,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath > 83.6 (upper half),2,246,0.64684,0.63428,0.00773,1.62421,0.04975,0.17517,False
PMI <= 5.17 (low third)  AND  dataContributionGroup = Rush,2,113,0.64108,0.62088,0.01248,1.61875,0.04478,0.16751,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_endothelial -0.298-0.239 (middle third),2,70,0.63378,0.61159,0.01371,1.61845,0.0597,0.18951,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_endothelial > -0.0425 (upper half),2,273,0.64802,0.6353,0.0079,1.60851,0.05473,0.18199,False
celltype_neuron <= -0.0632 (low third)  AND  isHispanic = FALSE,2,208,0.64717,0.63281,0.00897,1.59989,0.04478,0.16751,False
PMI <= 5.17 (low third)  AND  celltype_neuron <= -0.0632 (low third),2,80,0.63758,0.61449,0.01459,1.58283,0.03483,0.1489,False
PMI <= 6.83 (lower half)  AND  amyCerad = Moderate/Probable/C2,2,79,0.63709,0.61449,0.01459,1.54926,0.04478,0.16751,False
celltype_neuron <= -0.0632 (low third)  AND  sex = female,2,199,0.64624,0.63218,0.00911,1.54382,0.05473,0.18199,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte -0.213-0.236 (middle third),2,70,0.63273,0.61159,0.01371,1.54178,0.06965,0.20698,False
cohort = Emory,1,97,0.64114,0.62031,0.01354,1.53765,0.06468,0.19781,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte -0.213-0.236 (middle third),2,137,0.643,0.62586,0.01125,1.52411,0.0597,0.18951,False
celltype_neuron <= 0.103 (lower half)  AND  cohort = ROS,2,98,0.64064,0.62031,0.01354,1.50098,0.06468,0.19781,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte <= 0.0206 (lower half),2,212,0.64627,0.63281,0.00897,1.49982,0.05473,0.18199,False
PMI <= 6.83 (lower half)  AND  ADoutcome = Control,2,88,0.63954,0.61751,0.01471,1.49762,0.07463,0.2202,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_astrocyte > 0.0206 (upper half),2,174,0.643,0.62836,0.00978,1.49638,0.08458,0.23314,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_astrocyte <= -0.213 (low third),2,151,0.64537,0.62824,0.01157,1.48099,0.08458,0.23314,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_endothelial > -0.0425 (upper half),2,180,0.64376,0.62963,0.00957,1.47633,0.08458,0.23314,False
PMI <= 6.83 (lower half)  AND  bScore = Braak Stage I-II,2,61,0.63421,0.60994,0.01645,1.47579,0.06965,0.20698,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia <= -0.0479 (lower half),2,165,0.64249,0.62746,0.0103,1.459,0.06468,0.19781,False
celltype_neuron <= 0.103 (lower half)  AND  ageDeath 79-87.7 (middle third),2,138,0.64216,0.62586,0.01125,1.44965,0.0597,0.18951,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte > 0.323 (high third),2,92,0.63874,0.61751,0.01471,1.44372,0.08955,0.23576,False
PMI <= 5.17 (low third)  AND  ADoutcome = Control,2,57,0.63368,0.60994,0.01645,1.44357,0.08955,0.23576,False
amyA = Thal Phase 3,1,61,0.63362,0.60994,0.01645,1.43964,0.08955,0.23576,False
amyThal = Phase 3,1,61,0.63362,0.60994,0.01645,1.43964,0.08955,0.23576,False
celltype_neuron <= -0.0632 (low third)  AND  apoeGenotype = 33,2,129,0.64077,0.62339,0.01211,1.43524,0.04975,0.17517,False
race = White  AND  apoeGenotype = 34,2,126,0.64044,0.62339,0.01211,1.40806,0.05473,0.18199,False
celltype_endothelial -0.298-0.239 (middle third),1,321,0.64711,0.63701,0.00723,1.39636,0.06468,0.19781,False
celltype_neuron <= 0.103 (lower half)  AND  Braak = Stage III,2,66,0.63066,0.61159,0.01371,1.39117,0.09453,0.23576,False
celltype_neuron <= -0.0632 (low third)  AND  amyAny = 1,2,168,0.64193,0.62836,0.00978,1.38685,0.1194,0.26898,False
race = White  AND  celltype_astrocyte > 0.0206 (upper half),2,241,0.64425,0.6335,0.00778,1.38148,0.0796,0.22845,False
PMI <= 5.17 (low third)  AND  celltype_neuron -0.0632-0.277 (middle third),2,111,0.63802,0.62088,0.01248,1.37337,0.0796,0.22845,False
celltype_microglia <= -0.289 (low third),1,322,0.64692,0.63701,0.00723,1.3699,0.06965,0.20698,False
PMI <= 5.17 (low third)  AND  ageDeath > 87.7 (high third),2,115,0.6382,0.6223,0.01165,1.36488,0.08458,0.23314,False
race = White  AND  amyAny = 1,2,312,0.64725,0.63769,0.007,1.36484,0.0796,0.22845,False
race = White  AND  celltype_endothelial > 0.239 (high third),2,158,0.64148,0.62746,0.0103,1.36181,0.08955,0.23576,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte > 0.323 (high third),2,137,0.64115,0.62586,0.01125,1.35983,0.0796,0.22845,False
PMI <= 6.83 (lower half)  AND  isHispanic = TRUE,2,68,0.63022,0.61159,0.01371,1.35914,0.10448,0.24873,False
PMI <= 6.83 (lower half)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,205,0.64445,0.63218,0.00911,1.34713,0.08955,0.23576,False
PMI <= 5.17 (low third)  AND  celltype_endothelial <= -0.0425 (lower half),2,148,0.64343,0.62824,0.01157,1.31328,0.09453,0.23576,False
