protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
AP3B2,AP4E1,2,0.6,0.6,AP4E1->AP3B2,0.1189,0.3535,AP3B2->AP4E1,0.0749,0.1401,,0.0,0.0,0,0.0646
RAB1A,SEC13,2,0.6,0.6,,0.0,0.0,SEC13->RAB1A,0.0709,-0.02,SEC13->RAB1A,0.1227,-0.071,1,0.06453333333333333
APP,GGA2,2,0.6,0.6,,0.0,0.0,APP->GGA2,0.0732,-0.0358,GGA2->APP,0.1198,-1.6599,0,0.06433333333333334
ITPR1,SYK,2,0.6,0.6,ITPR1->SYK,0.0941,-0.1005,SYK->ITPR1,0.0985,-0.12,,0.0,0.0,0,0.0642
BIN1,PICALM,2,0.4,0.4,BIN1->PICALM,0.0588,0.0383,PICALM->BIN1,0.1306,0.3767,,0.0,0.0,0,0.06313333333333333
RAB1A,RTN4,2,0.4,0.4,RTN4->RAB1A,0.1141,0.0445,,0.0,0.0,RAB1A->RTN4,0.0742,-0.0485,0,0.06276666666666667
COPG1,RAB1B,2,0.6,0.6,RAB1B->COPG1,0.0888,-0.0582,COPG1->RAB1B,0.0984,-0.3466,,0.0,0.0,0,0.062400000000000004
SEC24D,SEC31A,2,0.6,0.6,SEC31A->SEC24D,0.0907,0.3331,SEC31A->SEC24D,0.0896,0.1777,,0.0,0.0,1,0.06010000000000001
SAR1A,SAR1B,2,0.4,0.4,SAR1B->SAR1A,0.0785,0.1511,SAR1A->SAR1B,0.1016,0.606,,0.0,0.0,0,0.06003333333333333
COPA,RTN4,2,0.4,0.4,COPA->RTN4,0.0713,-0.7993,COPA->RTN4,0.1086,0.5584,,0.0,0.0,1,0.05996666666666667
ARF6,COPB2,2,0.4,0.4,ARF6->COPB2,0.0895,0.047,COPB2->ARF6,0.0902,0.2426,,0.0,0.0,0,0.0599
HSPA9,RAB1A,2,0.4,0.4,HSPA9->RAB1A,0.0695,0.0886,RAB1A->HSPA9,0.107,0.0424,,0.0,0.0,0,0.05883333333333333
PICALM,SORL1,2,0.4,0.4,PICALM->SORL1,0.088,0.2048,PICALM->SORL1,0.0884,0.2982,,0.0,0.0,1,0.0588
GORASP1,TMED10,2,0.4,0.2,GORASP1->TMED10,0.1125,0.1309,GORASP1->TMED10,0.0621,0.0345,,0.0,0.0,1,0.0582
SNX6,VPS35,2,0.6,0.6,SNX6->VPS35,0.0949,-0.3816,VPS35->SNX6,0.0752,0.0708,,0.0,0.0,0,0.0567
COPG2,RAB1B,2,0.6,0.6,RAB1B->COPG2,0.1136,-0.2867,RAB1B->COPG2,0.0558,-0.1075,,0.0,0.0,1,0.056466666666666665
AP2B1,GGA2,2,0.4,0.4,GGA2->AP2B1,0.0753,-0.0682,AP2B1->GGA2,0.0922,0.2421,,0.0,0.0,0,0.05583333333333334
BACE1,NCSTN,2,0.6,0.6,,0.0,0.0,BACE1->NCSTN,0.0518,0.1611,BACE1->NCSTN,0.1145,0.2861,1,0.055433333333333334
AP2A1,SEC16A,2,0.4,0.4,SEC16A->AP2A1,0.0763,-0.3018,AP2A1->SEC16A,0.0881,0.0326,,0.0,0.0,0,0.054799999999999995
COPG1,SEC31A,2,0.2,0.2,COPG1->SEC31A,0.0785,0.1164,SEC31A->COPG1,0.0858,-0.0199,,0.0,0.0,0,0.054766666666666665
ARF6,COPB1,2,0.4,0.4,COPB1->ARF6,0.0774,0.6003,ARF6->COPB1,0.0836,0.0414,,0.0,0.0,0,0.05366666666666666
APP,SORT1,2,0.6,0.6,APP->SORT1,0.0974,-0.0677,SORT1->APP,0.0544,-0.4221,,0.0,0.0,0,0.0506
MFN2,PSEN1,2,0.4,0.4,PSEN1->MFN2,0.0739,0.0087,PSEN1->MFN2,0.0775,0.1081,,0.0,0.0,1,0.05046666666666666
ARF6,RAB1B,2,0.4,0.4,ARF6->RAB1B,0.1059,0.1689,RAB1B->ARF6,0.0389,-0.0635,,0.0,0.0,0,0.04826666666666666
COPZ1,RTN3,2,0.4,0.4,,0.0,0.0,RTN3->COPZ1,0.041,0.0861,COPZ1->RTN3,0.1022,-0.1439,0,0.04773333333333333
APP,SNX6,2,0.4,0.4,,0.0,0.0,SNX6->APP,0.0425,0.5626,SNX6->APP,0.099,2.051,1,0.04716666666666667
RTN4,VDAC1,2,0.4,0.4,VDAC1->RTN4,0.0575,0.5319,RTN4->VDAC1,0.0832,-0.0597,,0.0,0.0,0,0.0469
SORL1,VPS29,2,0.6,0.6,SORL1->VPS29,0.0883,0.0308,SORL1->VPS29,0.0521,0.1265,,0.0,0.0,1,0.0468
COPG2,TMED10,2,0.6,0.6,TMED10->COPG2,0.0722,0.0648,TMED10->COPG2,0.0679,-0.1018,,0.0,0.0,1,0.0467
COPB1,SEC24C,2,0.2,0.2,COPB1->SEC24C,0.0679,0.2286,SEC24C->COPB1,0.0685,0.0125,,0.0,0.0,0,0.045466666666666676
APP,TMED2,2,0.4,0.4,APP->TMED2,0.0563,0.0589,,0.0,0.0,APP->TMED2,0.0793,-0.0275,1,0.0452
COPB2,SEC31A,2,0.2,0.2,COPB2->SEC31A,0.0524,-0.0373,SEC31A->COPB2,0.0779,0.029,,0.0,0.0,0,0.04343333333333333
COPB2,SEC13,2,0.2,0.2,COPB2->SEC13,0.0558,0.1297,SEC13->COPB2,0.0718,0.0843,,0.0,0.0,0,0.04253333333333333
RAB1B,SAR1B,2,0.6,0.6,SAR1B->RAB1B,0.0771,-0.0932,SAR1B->RAB1B,0.05,0.0019,,0.0,0.0,1,0.042366666666666664
ABCA7,SORL1,2,0.4,0.4,ABCA7->SORL1,0.0838,-0.1195,ABCA7->SORL1,0.0359,0.0627,,0.0,0.0,1,0.0399
PICALM,SEC13,2,0.2,0.2,SEC13->PICALM,0.0367,0.0476,PICALM->SEC13,0.082,0.1365,,0.0,0.0,0,0.03956666666666667
BACE1,VPS26A,2,0.2,0.6,,0.0,0.0,BACE1->VPS26A,0.0728,0.1842,BACE1->VPS26A,0.0404,0.0546,1,0.037733333333333334
MIA3,SEC31A,2,0.2,0.2,MIA3->SEC31A,0.0317,0.026,SEC31A->MIA3,0.0806,0.0839,,0.0,0.0,0,0.03743333333333334
RAB1B,RTN4,2,0.4,0.4,RAB1B->RTN4,0.0663,0.4154,RTN4->RAB1B,0.0459,-0.1536,,0.0,0.0,0,0.037399999999999996
RAB1B,VDAC1,2,0.4,0.4,VDAC1->RAB1B,0.0677,0.0373,RAB1B->VDAC1,0.0443,-0.0283,,0.0,0.0,0,0.03733333333333333
COPG1,SEC24C,2,0.2,0.2,SEC24C->COPG1,0.0563,0.0209,SEC24C->COPG1,0.0539,-0.0255,,0.0,0.0,1,0.03673333333333333
MIA3,SEC13,2,0.2,0.2,MIA3->SEC13,0.0472,0.06,MIA3->SEC13,0.0625,0.014,,0.0,0.0,1,0.036566666666666664
COPE,RTN3,2,0.4,0.4,COPE->RTN3,0.0731,-0.4944,COPE->RTN3,0.0345,0.1958,,0.0,0.0,1,0.035866666666666665
AP1G1,COPB1,2,0.2,0.2,COPB1->AP1G1,0.0565,0.223,AP1G1->COPB1,0.0507,0.1208,,0.0,0.0,0,0.03573333333333333
SEC24B,SREBF2,2,0.2,0.6,SEC24B->SREBF2,0.0358,0.1645,SREBF2->SEC24B,0.0708,0.0037,,0.0,0.0,0,0.03553333333333333
EIF2S1,HSPA9,2,0.2,0.2,HSPA9->EIF2S1,0.0461,0.1193,EIF2S1->HSPA9,0.0602,0.1691,,0.0,0.0,0,0.03543333333333334
COPA,PREB,2,0.2,0.2,PREB->COPA,0.0294,0.034,PREB->COPA,0.0763,0.0405,,0.0,0.0,1,0.03523333333333333
COPB2,SAR1B,2,0.2,0.2,,0.0,0.0,SAR1B->COPB2,0.0581,0.1193,SAR1B->COPB2,0.0445,0.0273,1,0.0342
GGA3,SEC24C,2,0.2,0.2,GGA3->SEC24C,0.0306,0.1517,GGA3->SEC24C,0.0718,0.0823,,0.0,0.0,1,0.034133333333333335
OSBP,SEC24D,2,0.4,0.2,,0.0,0.0,SEC24D->OSBP,0.0567,0.0825,SEC24D->OSBP,0.0454,0.0584,1,0.03403333333333333
COPB2,SEC24C,2,0.2,0.2,SEC24C->COPB2,0.0538,0.157,COPB2->SEC24C,0.0477,0.0304,,0.0,0.0,0,0.03383333333333333
COPG2,SAR1A,2,0.4,0.4,SAR1A->COPG2,0.0485,0.1215,SAR1A->COPG2,0.0516,0.022,,0.0,0.0,1,0.03336666666666666
OSBP,SEC13,2,0.2,0.2,SEC13->OSBP,0.0597,0.2796,OSBP->SEC13,0.04,-0.0429,,0.0,0.0,0,0.03323333333333334
RAB1A,SAR1A,2,0.2,0.2,RAB1A->SAR1A,0.0305,0.1815,RAB1A->SAR1A,0.0689,0.1892,,0.0,0.0,1,0.033133333333333334
APP,MFN2,2,0.2,0.2,MFN2->APP,0.0299,-0.4284,,0.0,0.0,MFN2->APP,0.0695,0.3236,1,0.033133333333333334
HSPA5,MFN2,2,0.2,0.2,HSPA5->MFN2,0.0544,0.127,MFN2->HSPA5,0.0445,0.197,,0.0,0.0,0,0.032966666666666665
COPE,SEC31A,2,0.2,0.2,COPE->SEC31A,0.0318,-0.0398,SEC31A->COPE,0.0668,-0.0155,,0.0,0.0,0,0.03286666666666666
COPB2,PREB,2,0.2,0.2,COPB2->PREB,0.0465,0.2221,PREB->COPB2,0.051,-0.0222,,0.0,0.0,0,0.0325
PREB,TMED9,2,0.2,0.2,PREB->TMED9,0.0414,0.0281,PREB->TMED9,0.0552,0.0639,,0.0,0.0,1,0.0322
COPG1,COPG2,2,0.2,0.2,COPG1->COPG2,0.0471,-0.2386,COPG1->COPG2,0.0487,-0.5571,,0.0,0.0,1,0.031933333333333334
COPZ1,SEC13,2,0.2,0.2,SEC13->COPZ1,0.0345,0.2542,SEC13->COPZ1,0.0595,0.1336,,0.0,0.0,1,0.03133333333333333
HSPA5,ITPR1,2,0.2,0.2,HSPA5->ITPR1,0.0404,0.2273,HSPA5->ITPR1,0.0534,0.2742,,0.0,0.0,1,0.031266666666666665
COPB2,SEC23A,2,0.2,0.2,SEC23A->COPB2,0.0469,0.0255,SEC23A->COPB2,0.0461,0.0274,,0.0,0.0,1,0.031
ARF6,RAB1A,2,0.2,0.2,ARF6->RAB1A,0.028,0.1016,RAB1A->ARF6,0.0647,0.4086,,0.0,0.0,0,0.030899999999999997
COPE,SEC13,2,0.2,0.2,SEC13->COPE,0.0317,-0.044,SEC13->COPE,0.0609,0.0623,,0.0,0.0,1,0.030866666666666667
HSPA9,ITPR2,2,0.2,0.2,HSPA9->ITPR2,0.0564,-0.2517,HSPA9->ITPR2,0.0336,-0.0727,,0.0,0.0,1,0.03
COPB1,SEC24A,2,0.2,0.2,SEC24A->COPB1,0.0358,0.0563,COPB1->SEC24A,0.0493,0.0451,,0.0,0.0,0,0.028366666666666665
HSPA5,SEC13,2,0.2,0.2,SEC13->HSPA5,0.0468,0.1958,SEC13->HSPA5,0.0377,0.2893,,0.0,0.0,1,0.028166666666666663
APP,VPS29,2,0.2,0.2,,0.0,0.0,VPS29->APP,0.028,0.077,APP->VPS29,0.0564,0.0208,0,0.028133333333333333
AP2B1,COPG1,2,0.2,0.2,AP2B1->COPG1,0.0278,0.0339,AP2B1->COPG1,0.055,0.1188,,0.0,0.0,1,0.0276
CLU,VDAC1,2,0.2,0.2,VDAC1->CLU,0.0259,0.1975,VDAC1->CLU,0.0569,-0.5308,,0.0,0.0,1,0.0276
VDAC1,VPS35,2,0.2,0.2,VPS35->VDAC1,0.0524,-0.3196,VPS35->VDAC1,0.0302,-0.4926,,0.0,0.0,1,0.027533333333333337
HSPA5,VDAC1,2,0.2,0.2,HSPA5->VDAC1,0.0508,0.1437,HSPA5->VDAC1,0.0303,-0.0684,,0.0,0.0,1,0.027033333333333336
HSPA5,SEC31A,2,0.2,0.2,HSPA5->SEC31A,0.0427,0.0679,SEC31A->HSPA5,0.0351,-0.0829,,0.0,0.0,0,0.025933333333333336
ARF6,SYK,2,0.2,0.2,ARF6->SYK,0.047,-0.1758,SYK->ARF6,0.0291,-0.0409,,0.0,0.0,0,0.025366666666666666
HSPA5,SAR1A,2,0.2,0.2,HSPA5->SAR1A,0.032,0.1771,HSPA5->SAR1A,0.039,0.1114,,0.0,0.0,1,0.02366666666666667
AP2A1,COPB1,2,0.2,0.2,COPB1->AP2A1,0.035,0.2174,AP2A1->COPB1,0.0332,-0.0542,,0.0,0.0,0,0.022733333333333338
LRP1,RTN4,2,0.2,0.2,,0.0,0.0,RTN4->LRP1,0.0288,-0.0685,RTN4->LRP1,0.0392,-0.1646,1,0.02266666666666667
COPB1,SAR1A,2,0.2,0.2,COPB1->SAR1A,0.0304,-0.1,COPB1->SAR1A,0.0364,-0.012,,0.0,0.0,1,0.022266666666666667
BIN1,SORL1,2,0.2,0.2,,0.0,0.0,SORL1->BIN1,0.0175,-0.0694,SORL1->BIN1,0.0492,-0.2154,1,0.022233333333333338
COPB1,GGA2,2,0.2,0.2,COPB1->GGA2,0.0337,-0.3594,GGA2->COPB1,0.0327,0.03,,0.0,0.0,0,0.022133333333333335
LRP1,SORT1,2,0.2,0.2,LRP1->SORT1,0.0235,0.1927,SORT1->LRP1,0.0406,0.1564,,0.0,0.0,0,0.021366666666666662
HSPA5,RAB1A,2,0.2,0.2,HSPA5->RAB1A,0.0313,0.0566,RAB1A->HSPA5,0.0312,0.2161,,0.0,0.0,0,0.020833333333333332
COPB2,SEC24A,2,0.2,0.2,COPB2->SEC24A,0.0288,0.0221,COPB2->SEC24A,0.0336,-0.0393,,0.0,0.0,1,0.0208
AP2B1,COPG2,2,0.2,0.2,AP2B1->COPG2,0.0384,0.0655,COPG2->AP2B1,0.0232,0.119,,0.0,0.0,0,0.02053333333333333
COPB2,GGA1,2,0.2,0.2,COPB2->GGA1,0.0315,0.1601,COPB2->GGA1,0.0278,0.1354,,0.0,0.0,1,0.019766666666666665
BIN1,PSEN1,2,0.2,0.2,BIN1->PSEN1,0.0327,-0.1823,BIN1->PSEN1,0.0258,0.1209,,0.0,0.0,1,0.0195
COPG1,HSPA5,2,0.2,0.2,HSPA5->COPG1,0.0237,-0.069,COPG1->HSPA5,0.0342,0.0767,,0.0,0.0,0,0.0193
MIA3,SAR1B,2,0.2,0.2,,0.0,0.0,MIA3->SAR1B,0.0187,-0.0135,SAR1B->MIA3,0.0379,0.0931,0,0.018866666666666667
COPB2,SEC23B,2,0.2,0.2,COPB2->SEC23B,0.0258,0.0352,COPB2->SEC23B,0.0217,0.0947,,0.0,0.0,1,0.015833333333333335
BIN1,VPS35,2,0.2,0.2,BIN1->VPS35,0.0255,0.1024,VPS35->BIN1,0.0213,-0.0083,,0.0,0.0,0,0.015599999999999998
