protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
RAB1B,TMED2,3,0.6,0.6,RAB1B->TMED2,0.1816,0.4544,RAB1B->TMED2,0.1619,0.1648,RAB1B->TMED2,0.1138,-0.002,1,0.15243333333333334
SEC24C,TMED10,3,0.6,0.6,SEC24C->TMED10,0.1332,-0.1886,TMED10->SEC24C,0.1928,0.0231,SEC24C->TMED10,0.1189,0.3122,0,0.14830000000000002
ADAM10,VDAC1,3,0.6,0.6,ADAM10->VDAC1,0.0912,-0.0735,VDAC1->ADAM10,0.1396,-0.1599,ADAM10->VDAC1,0.1877,-0.4167,0,0.13949999999999999
AP1G1,PICALM,3,0.6,0.6,AP1G1->PICALM,0.1293,0.1179,AP1G1->PICALM,0.1109,-0.1271,AP1G1->PICALM,0.1776,0.0449,1,0.13926666666666668
AP2B1,SEC24C,3,0.4,0.4,SEC24C->AP2B1,0.1398,0.1391,AP2B1->SEC24C,0.1375,0.1804,AP2B1->SEC24C,0.1133,0.1313,0,0.1302
AP2A1,ARF6,3,0.6,0.6,ARF6->AP2A1,0.0802,0.0463,AP2A1->ARF6,0.1564,0.0162,AP2A1->ARF6,0.121,-0.0046,0,0.11920000000000001
SEC24B,TMED2,3,0.6,0.6,SEC24B->TMED2,0.0962,0.372,TMED2->SEC24B,0.1336,0.042,SEC24B->TMED2,0.1252,-0.1203,0,0.11833333333333333
AP1G1,VPS35,3,0.2,0.2,AP1G1->VPS35,0.132,1.0704,VPS35->AP1G1,0.1202,0.2152,AP1G1->VPS35,0.0951,0.5817,0,0.11576666666666667
CLU,SORL1,3,0.4,0.4,CLU->SORL1,0.0658,-0.1083,CLU->SORL1,0.1687,-0.2284,SORL1->CLU,0.1085,-0.6554,0,0.11433333333333333
AP2B1,GGA3,3,0.4,0.4,GGA3->AP2B1,0.0531,0.0207,AP2B1->GGA3,0.1923,0.6075,AP2B1->GGA3,0.0747,0.1903,0,0.1067
BIN1,SNX4,3,0.4,0.4,SNX4->BIN1,0.0471,0.0797,SNX4->BIN1,0.1376,0.2821,BIN1->SNX4,0.1351,0.4517,0,0.10659999999999999
SAR1B,SEC24B,3,0.6,0.6,SAR1B->SEC24B,0.0816,0.0789,SAR1B->SEC24B,0.097,0.0756,SEC24B->SAR1B,0.1242,0.245,0,0.10093333333333333
ITPR2,MFN2,3,0.4,0.4,MFN2->ITPR2,0.0714,-0.1756,MFN2->ITPR2,0.1014,-0.2756,MFN2->ITPR2,0.1273,-0.4385,1,0.10003333333333335
AP1G1,SORT1,3,0.6,0.6,AP1G1->SORT1,0.0813,-0.234,AP1G1->SORT1,0.0841,0.2308,AP1G1->SORT1,0.1324,-0.4155,1,0.09926666666666666
COPA,HSPA5,3,0.4,0.4,COPA->HSPA5,0.0495,0.0371,HSPA5->COPA,0.1226,0.0116,HSPA5->COPA,0.1066,0.1486,0,0.0929
APP,VPS26A,3,0.2,0.6,APP->VPS26A,0.0297,-0.0373,VPS26A->APP,0.0709,-0.3204,VPS26A->APP,0.1468,-0.8962,0,0.08246666666666667
AP2A1,BIN1,3,0.4,0.4,AP2A1->BIN1,0.0546,0.3264,AP2A1->BIN1,0.0945,-0.1443,BIN1->AP2A1,0.0899,0.0668,0,0.07966666666666666
COPB1,SEC31A,3,0.2,0.2,COPB1->SEC31A,0.0855,0.206,SEC31A->COPB1,0.1002,0.0964,SEC31A->COPB1,0.0388,0.0712,0,0.07483333333333334
COPA,SEC31A,3,0.2,0.2,SEC31A->COPA,0.0416,0.0327,SEC31A->COPA,0.1101,0.1683,SEC31A->COPA,0.0692,0.1626,1,0.07363333333333333
COPB1,SEC13,3,0.2,0.2,COPB1->SEC13,0.0694,0.0572,COPB1->SEC13,0.0797,0.0461,SEC13->COPB1,0.0552,0.0214,0,0.06810000000000001
COPA,SEC13,3,0.2,0.2,COPA->SEC13,0.0399,0.0571,COPA->SEC13,0.0895,0.0876,SEC13->COPA,0.0629,0.3252,0,0.06409999999999999
COPG1,SEC13,3,0.2,0.2,SEC13->COPG1,0.0556,0.0475,SEC13->COPG1,0.0629,-0.0486,COPG1->SEC13,0.0713,0.449,0,0.06326666666666667
BACE1,SORT1,3,0.2,0.6,BACE1->SORT1,0.0237,0.0508,SORT1->BACE1,0.126,0.1037,BACE1->SORT1,0.0387,-0.0211,0,0.06280000000000001
COPB1,HSPA5,3,0.2,0.2,HSPA5->COPB1,0.039,-0.0648,HSPA5->COPB1,0.0666,0.0548,HSPA5->COPB1,0.0757,0.079,1,0.06043333333333334
BIN1,SNX6,3,0.2,0.2,SNX6->BIN1,0.0515,0.3148,SNX6->BIN1,0.0648,0.531,SNX6->BIN1,0.0567,0.5203,1,0.057666666666666665
SAR1A,TMED10,3,0.2,0.2,SAR1A->TMED10,0.0499,0.1901,SAR1A->TMED10,0.0769,0.1881,SAR1A->TMED10,0.0446,-0.2219,1,0.057133333333333335
COPG2,SEC13,3,0.2,0.2,SEC13->COPG2,0.0516,0.288,SEC13->COPG2,0.0451,0.0407,COPG2->SEC13,0.064,0.1327,0,0.05356666666666667
COPE,PREB,3,0.2,0.2,COPE->PREB,0.0505,0.1125,COPE->PREB,0.0473,0.1274,PREB->COPE,0.0593,0.3015,0,0.052366666666666666
SAR1A,TMED2,3,0.2,0.2,TMED2->SAR1A,0.0339,0.0061,SAR1A->TMED2,0.076,0.0895,TMED2->SAR1A,0.0471,0.1805,0,0.052333333333333336
COPE,HSPA5,3,0.2,0.2,COPE->HSPA5,0.0379,0.0321,HSPA5->COPE,0.0705,0.0496,HSPA5->COPE,0.0483,0.0763,0,0.05223333333333333
COPB1,MIA3,3,0.2,0.2,MIA3->COPB1,0.0447,0.0916,COPB1->MIA3,0.0649,0.1013,MIA3->COPB1,0.043,0.0485,0,0.05086666666666667
COPB1,SEC23A,3,0.2,0.2,SEC23A->COPB1,0.0467,0.1746,SEC23A->COPB1,0.0641,-0.0285,SEC23A->COPB1,0.0415,-0.0066,1,0.050766666666666675
AP2B1,BIN1,3,0.2,0.2,BIN1->AP2B1,0.0507,0.0801,AP2B1->BIN1,0.0601,0.2712,BIN1->AP2B1,0.0413,0.1894,0,0.0507
HSPA5,SAR1B,3,0.2,0.2,HSPA5->SAR1B,0.0319,0.1224,HSPA5->SAR1B,0.0635,0.2907,SAR1B->HSPA5,0.0499,0.2766,0,0.04843333333333333
COPG1,SEC23A,3,0.2,0.2,COPG1->SEC23A,0.0239,-0.0956,SEC23A->COPG1,0.0496,-0.0669,SEC23A->COPG1,0.0661,0.237,0,0.046533333333333336
BACE1,CLU,3,0.2,0.2,BACE1->CLU,0.0347,0.2149,BACE1->CLU,0.0385,0.4281,BACE1->CLU,0.0565,0.4582,1,0.04323333333333334
APP,RTN4,3,0.2,0.2,APP->RTN4,0.0381,-0.1575,APP->RTN4,0.0256,-0.0264,RTN4->APP,0.0473,1.0485,0,0.037000000000000005
COPB1,COPZ1,2,1.0,1.0,COPZ1->COPB1,0.4731,0.2813,COPZ1->COPB1,0.4921,0.1182,,0.0,0.0,1,0.32173333333333337
