pair,jaccard,shared,expected_by_chance,fold,p_hypergeom,direction_agree
ROSMAP-Diverse,0.41865079365079366,211,178.07951070336392,1.1848639923066355,1.8304596791725951e-09,0.5592417061611374
ROSMAP-Banner,0.29605263157894735,90,54.8822629969419,1.6398740701529546,1.3735553039378065e-11,0.45555555555555555
Diverse-Banner,0.26195426195426197,126,101.45565749235475,1.241921871232216,5.120562602675102e-08,0.5555555555555556
