source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
SORL1,CLU,0.4,0.0,0.0,400,0.0009621676665410702,0.003957595307659496,0
SORL1,GGA2,0.8,0.0,0.0,400,0.00443094099583515,0.01448917705638094,0
SORL1,PICALM,0.4,0.0,0.0,400,8.923309118612854e-06,5.778063528289907e-05,0
SORL1,SORT1,0.6,0.0,0.0,400,0.14828975357427765,0.26353668162385213,0
SORL1,VPS26A,1.0,0.0,0.0,400,0.10764998737287068,0.20057860895116075,0
SORT1,ABCA7,0.4,0.0,0.0,280,0.0845909353439375,0.16713737678228133,0
SIGMAR1,VDAC1,0.4,0.0,0.0,216,0.750082133762492,0.8399892388367634,0
SNX6,BACE1,0.8,0.0,0.0,400,0.8022054553711406,0.8758637192199098,0
SEC24B,SEC13,0.6,0.0,0.0,400,0.5042011543192493,0.6555617394130995,0
SEC24D,SAR1A,0.6,0.0,0.0,392,0.12071667702473281,0.22239072330753593,0
SEC24D,SAR1B,0.6,0.0,0.0,392,0.3904570691034606,0.5527249419776261,0
SEC24D,SEC13,0.6,0.0,0.0,392,0.1632055594743733,0.284630495723307,0
SEC24D,SEC31A,0.6,0.0,0.0,392,0.0027045953449021513,0.009458852168802177,0
SEC24D,SREBF2,0.2,0.0,0.0,256,0.6378109150295617,0.7681921518035605,0
SEC24D,TMED2,0.8,0.0,0.0,392,0.02795423178184055,0.0684721632409128,0
SORL1,BIN1,0.2,0.0,0.0,400,0.8964212330407858,0.9395184077062081,0
SEC31A,COPB1,0.2,0.0,0.0,400,3.2625286114891564e-19,1.1853853955077269e-17,0
SEC31A,COPB2,0.2,0.0,0.0,400,1.0425298838283192e-07,9.88137020324233e-07,0
SEC24D,PREB,0.6,0.0,0.0,392,0.778963457061749,0.8562052116275358,0
SEC24A,GORASP1,0.6,0.0,0.0,264,0.058070375889334086,0.12370692453297881,0
SEC24B,SEC16A,0.8,0.0,0.0,400,0.17238381928847227,0.2974644269516118,0
SEC24C,COPA,0.4,0.0,0.0,400,3.0409689459359294e-05,0.00018079942642200888,0
SEC24C,COPB1,0.2,0.0,0.0,400,3.029821956289553e-12,5.21448305108781e-11,0
SEC24C,GGA3,0.2,0.0,0.0,400,0.002156889134511511,0.007924749966126562,0
SEC24C,GORASP1,0.6,0.0,0.0,264,0.31693271922776933,0.4710772690340026,0
APP,LRP1,0.8,0.0,0.0,312,0.47977894209361865,0.6338897537964174,0
APP,MFN2,0.2,0.0,0.0,312,0.008114405975245334,0.024343217925736002,0
APP,NCSTN,0.4,0.0,0.0,304,0.4635276287158027,0.6181200061459137,0
SEC31A,SAR1B,0.6,0.0,0.0,400,0.021615681462025322,0.05483583514000399,0
SEC24C,SEC13,0.6,0.0,0.0,400,2.809468235648385e-13,5.9270716971420775e-12,0
APP,AP2A1,0.8,0.0,0.0,312,0.4991349008073985,0.6502673807331446,0
APP,AP2B1,0.8,0.0,0.0,312,0.6891099000085003,0.8014355336213973,0
APP,AP3B2,0.4,0.0,0.0,192,0.0022769981121947554,0.008227385444062816,0
SNX6,SNX4,0.6,0.0,0.0,400,0.2946863737664348,0.44758044828226246,0
SNX6,VPS29,0.8,0.0,0.0,400,0.9960479093704626,0.9975732507324389,0
SORL1,ABCA7,0.4,0.0,0.0,280,0.00041851992632171634,0.001936962862073176,0
SORL1,ADAM10,0.2,0.0,0.0,400,0.4485929533747081,0.6036771993070471,0
SORL1,APP,1.0,0.0,0.0,312,5.632219165026345e-06,3.877338246239189e-05,0
SEC31A,SAR1A,0.6,0.0,0.0,400,8.511736268930473e-09,1.0705145230539479e-07,0
SEC24C,SAR1B,0.6,0.0,0.0,400,0.002599526401491582,0.009156219705162881,0
BIN1,ARF6,0.2,0.0,0.0,400,0.08636568288772209,0.17012998978485014,0
BIN1,CLU,0.8,0.0,0.0,400,0.6038548853084336,0.7409401406974025,0
BIN1,SNX4,0.4,0.0,0.0,400,0.018508232445714735,0.04872082302601555,0
COPA,COPB2,1.0,0.0,0.0,400,8.48470198488138e-06,5.548995098112423e-05,0
SEC23A,SEC24B,1.0,0.0,0.0,400,4.857332787881077e-05,0.00026694921372052304,0
