source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
COPB1,GGA3,0.2,0.0983,0.4071,190,5.921377971069821e-13,7.903226924652373e-12,1
BIN1,PICALM,0.4,0.0966,0.4966,190,0.0007936511219286742,0.0030177199636125173,1
VPS26A,SNX6,0.4,0.0945,0.3269,190,0.001033068484212852,0.0038607245067154585,1
SAR1B,SAR1A,0.4,0.0934,0.0108,174,0.0019292783162222357,0.006640779046364959,1
SEC24C,COPA,0.4,0.0934,0.0981,190,0.001182425278192756,0.004344416471562148,1
SEC24C,SEC13,0.6,0.0926,0.0307,190,0.03342650267723918,0.08546495490017067,0
RTN4,LRP1,0.2,0.0925,-0.7183,190,1.852775616836054e-11,1.9864184482143923e-10,1
RAB1B,SEC31A,0.6,0.0924,0.1705,190,0.03379105870325794,0.08598969802307661,0
AP2B1,GGA3,0.4,0.0923,0.137,190,0.0013636980152479912,0.004900321439407617,1
VDAC1,APOE,0.4,0.0908,0.2309,190,0.0016400171063733293,0.005735674799829719,1
TMED2,SEC24C,0.6,0.0894,-0.1136,190,0.040190575749985864,0.09994158380414736,0
RTN3,COPE,0.4,0.089,-0.0597,190,0.0020222480386911045,0.006852591799502499,1
APP,AP2B1,0.8,0.0885,-0.0414,190,0.12845181391032418,0.28002495432450675,0
VDAC1,APP,0.2,0.088,0.0643,190,2.0907326555199978e-10,1.925829798183209e-09,1
SEC13,COPG1,0.2,0.0866,-0.0023,190,4.389747245020692e-10,3.932732463347305e-09,1
SEC23A,TMED2,0.6,0.0861,0.1147,190,0.04828889029030726,0.11962475094644298,0
AP1G1,AP3B2,0.6,0.0857,0.0042,190,0.049390398910548944,0.12189177693395853,0
COPE,COPB2,1.0,0.0857,-0.0512,190,0.23985362264566962,0.4964059152223669,0
HSPA5,MFN2,0.2,0.0854,0.4666,190,8.090350750673305e-10,7.054785854587122e-09,1
SEC23A,SEC31A,0.8,0.0842,0.0353,190,0.14845172567207646,0.3152189239920065,0
COPB2,SAR1B,0.2,0.084,0.7838,174,7.790401821901175e-09,6.213320477467523e-08,1
SAR1B,HSPA5,0.2,0.0838,0.0849,174,8.821185953778985e-09,6.867923349727924e-08,1
HSPA5,APOE,0.4,0.0837,0.2893,190,0.003762407008525581,0.012002996017442584,1
SNX4,BIN1,0.4,0.0832,-0.0402,190,0.003974755339986034,0.012497548040148394,1
ARF6,RAB1A,0.2,0.0826,0.0009,190,3.2161427512900474e-09,2.6885008529789623e-08,1
SEC24B,SAR1A,0.6,0.0817,0.0481,164,0.08225231483517939,0.18874741720072744,0
PREB,COPB2,0.2,0.0811,0.2279,123,3.2912504443324485e-06,1.8881384128012467e-05,1
COPB2,SEC23A,0.2,0.0808,0.0397,190,7.297548850769056e-09,5.892094998028349e-08,1
APP,APOE,0.2,0.0807,0.1599,190,7.89062210254265e-09,6.217429945858907e-08,1
MIA3,SEC23B,0.8,0.08,0.0,0,1.0,1.0,0
HSPA5,APBA1,0.6,0.08,0.3189,180,0.07453073852930653,0.17284788297222153,0
SEC16A,SEC23B,0.8,0.08,0.0,0,1.0,1.0,0
SEC13,SEC23B,0.8,0.08,0.0,0,1.0,1.0,0
SEC23B,SEC31A,0.8,0.08,0.0,0,1.0,1.0,0
COPE,SEC24B,0.2,0.0796,1.5619,164,1.330390762948493e-07,9.063287072586608e-07,1
APP,VPS26A,0.2,0.0792,0.2555,190,1.5760179348680032e-08,1.1985066620972955e-07,1
PICALM,SEC16A,0.2,0.0791,-0.5609,28,0.037297292058927324,0.09381703464053258,0
SNX6,BIN1,0.2,0.0787,0.2018,190,1.9170825629183045e-08,1.4411172369523807e-07,1
HSPA5,COPG1,0.2,0.0786,0.1624,190,2.0440951168470335e-08,1.5191343254749544e-07,1
RAB1A,COPE,0.6,0.0782,0.0186,190,0.07325613352981612,0.17049648159608452,0
VPS26A,ARF6,0.2,0.0778,0.3593,190,2.941349198044849e-08,2.1373804172459237e-07,1
SEC23A,COPG1,0.2,0.0754,0.2322,190,8.14760737295004e-08,5.668654491392901e-07,1
COPB2,RTN4,0.4,0.075,0.0015,190,0.009586145926466604,0.02786373082626293,1
COPG2,TMED2,0.6,0.0735,0.0385,91,0.24748259493428576,0.5089736386384367,0
SEC23A,RAB1B,0.6,0.0719,0.0093,190,0.09946069117048185,0.22507713503631535,0
SEC24C,MIA3,0.6,0.0715,0.0437,170,0.12141285258166386,0.26825677563651407,0
RTN3,APP,0.2,0.0706,-0.0602,190,5.801029174862855e-07,3.5456757760376705e-06,1
AP2A1,BIN1,0.4,0.0703,0.0844,190,0.015300462265494955,0.04190612031710411,1
APOE,IDE,0.2,0.0698,-0.0793,51,0.012035788161659428,0.034372949597053566,1
SEC23A,SAR1A,1.0,0.0691,0.1879,190,0.34363000908976843,0.6769097167009294,0
SEC31A,SEC16A,0.8,0.0687,0.9234,28,0.6639590295884413,1.0,0
SAR1B,TMED2,0.6,0.0687,-0.0415,174,0.13255919354696719,0.28611786329939454,0
MIA3,SORT1,0.2,0.067,0.0583,170,7.877631608683055e-06,4.2578273322964615e-05,1
VDAC1,IDE,0.2,0.0663,0.18,51,0.017447969882805656,0.047545717930645416,1
COPB1,SEC24C,0.2,0.0662,0.1974,190,3.0373274052137554e-06,1.773582252687318e-05,1
SEC13,ARF6,0.2,0.0655,0.2152,190,3.920750442853859e-06,2.2297137301099337e-05,1
APP,RTN4,0.2,0.0646,-0.0586,190,5.473455151146664e-06,3.05952108448711e-05,1
PICALM,ADAM10,0.2,0.064,0.3843,189,7.108871964500397e-06,3.874335220652716e-05,1
ITPR1,HSPA9,0.8,0.0638,-0.0933,190,0.2737089684347518,0.5524866214701472,0
SEC13,MIA3,0.2,0.0623,0.2664,170,3.539359987648687e-05,0.00017274189790464486,1
SEC24C,AP2B1,0.4,0.0623,-0.0109,190,0.031833839927163717,0.0819658713085239,0
PREB,TMED9,0.2,0.0621,0.2173,123,0.0004703066122086818,0.0018754910023443775,1
LRP1,IDE,0.2,0.0617,0.2212,51,0.02750171574308583,0.07163510215270805,0
HSPA5,SAR1A,0.2,0.0617,0.7035,190,1.5131144362227252e-05,7.85378445467986e-05,1
VDAC1,CLU,0.2,0.0614,-0.4119,190,1.6637779682900077e-05,8.434967374121434e-05,1
SEC31A,PREB,0.4,0.061,0.3297,123,0.09218264195817391,0.20933141611335326,0
PICALM,CLU,0.4,0.0609,0.0813,190,0.03602833224850301,0.09132763290899601,0
PREB,SEC16A,0.6,0.06,0.0,14,0.7070605919099052,1.0,0
CLU,IDE,0.2,0.0577,0.1698,51,0.039934271213753716,0.09968325715188904,0
COPB1,SAR1A,0.2,0.0574,0.2396,190,5.98265763771903e-05,0.00028017266117419084,1
AP2A1,SEC16A,0.4,0.056,-1.0238,28,0.47742391960582925,0.8921006954920352,0
COPB2,COPB1,1.0,0.0558,-0.0664,190,0.44453889845172545,0.8426911292389231,0
SEC24C,SEC16A,0.8,0.0558,1.7431,28,0.7242189013028385,1.0,0
SEC24C,GGA3,0.2,0.0555,0.2334,190,0.00010624444406487379,0.0004825268501279684,1
SEC13,COPA,0.2,0.0554,0.0652,190,0.0001106239390614391,0.0004989521113529736,1
PICALM,SEC24C,0.4,0.0551,-0.1095,190,0.05814683889215933,0.14136815106123496,0
EIF2S1,TMED9,0.4,0.0548,-0.255,190,0.0592935329958058,0.14343228416134565,0
RAB1B,SAR1A,0.4,0.0548,-0.3511,190,0.05943447860508359,0.14343228416134565,0
COPA,SAR1A,0.2,0.0546,0.009,190,0.0001380081960859412,0.0006098470286500375,1
RAB1A,PREB,0.2,0.0544,-0.5342,123,0.0023533328833693513,0.007852447478181406,1
HSPA9,RAB1A,0.4,0.0517,-0.2381,190,0.07568197964961433,0.1742817418691823,0
HSPA5,SEC31A,0.2,0.0516,0.2833,190,0.0003266737147987738,0.0013712660462624076,1
HSPA5,SEC13,0.2,0.0513,0.0661,190,0.0003570554702390696,0.0014686432549456069,1
SAR1A,RAB1A,0.2,0.0511,-0.008,190,0.0003745554306371138,0.0015214860350103877,1
RAB1A,SEC24C,0.6,0.0508,0.0764,190,0.24572185036548452,0.5069466565899902,0
TMED10,SAR1A,0.2,0.0503,-0.0328,190,0.00046298173269717713,0.0018576076882451157,1
MIA3,SEC31A,0.2,0.0501,0.0937,170,0.0009916089790890975,0.0037486258515853745,1
TMED2,SEC16A,0.6,0.0497,-0.5197,28,0.6750080834684666,1.0,0
VDAC1,HSPA5,0.2,0.0497,-0.022,190,0.0005519663640167436,0.002174614470282833,1
VPS35,SORL1,0.8,0.0494,-0.1815,170,0.42389303780632576,0.808239203280866,0
SEC13,SAR1A,0.6,0.0486,-0.1122,190,0.2668985498633907,0.5420858745672593,0
MIA3,SAR1A,0.2,0.0486,-0.0375,170,0.0014184593598432526,0.005069248204029985,1
HSPA5,RAB1A,0.2,0.0485,0.0029,190,0.0007394223852993222,0.002844601411680922,1
ITPR1,HSPA5,0.2,0.0485,0.0212,190,0.0007482280096910081,0.0028616439668884166,1
APP,GGA3,0.6,0.0482,-0.0035,190,0.270870203991572,0.548449267524731,0
TMED9,TMED2,0.8,0.0475,0.0289,190,0.41558882117276186,0.7974095872228724,0
RAB1B,SEC13,0.6,0.0471,-0.39,190,0.28119464036726316,0.5658501378467388,0
COPB2,SEC24B,0.2,0.0465,0.6401,164,0.002763334104447208,0.00908151007190188,1
RTN4,SORT1,0.2,0.0464,-0.2733,190,0.0012646878296677547,0.00462070302012688,1
ADAM10,APOE,0.2,0.0463,0.0351,189,0.0013594899018637685,0.004900321439407617,1
COPG2,TMED10,0.6,0.0463,-0.0635,91,0.4667489878367114,0.877166201279337,0
PREB,COPA,0.2,0.0457,-0.0076,123,0.011074659708197212,0.03190672885092941,1
SEC23A,COPA,0.4,0.0455,0.0972,190,0.1183553134714893,0.2623877118995051,0
SORL1,APOE,0.4,0.0448,0.0014,170,0.146244105429558,0.31154281742974244,0
RAB1A,RAB1B,0.4,0.0448,0.0757,190,0.12378041757209382,0.27256698010824704,0
SEC24C,SEC31A,0.6,0.0446,0.0592,190,0.30851203978809927,0.6170240795761985,0
VPS35,ARF6,0.2,0.044,-0.573,190,0.0022672737122190227,0.007643283545315674,1
HSPA5,COPB1,0.2,0.0437,0.0565,190,0.002480270682019018,0.008233995056042833,1
ARF6,BIN1,0.2,0.0436,-0.0446,190,0.0024939625891998965,0.008237634006751173,1
AP3B2,APP,0.4,0.0436,0.1835,190,0.13402831530057005,0.2874479401014933,0
BIN1,IDE,0.2,0.043,-0.0098,51,0.1292920318490276,0.28092022866865135,0
SEC24B,SEC16A,0.8,0.0422,0.0742,24,0.8065444889655198,1.0,0
COPG1,SEC31A,0.2,0.042,0.0867,190,0.00365678413957808,0.011770662895427124,1
VDAC1,VPS35,0.2,0.0416,0.0039,190,0.004015535204763017,0.012565358966100542,1
HSPA5,SEC23A,0.2,0.0412,-0.0713,190,0.0043154011806077995,0.013439392248178575,1
COPB2,SEC31A,0.2,0.0411,0.1662,190,0.004433848824802793,0.013742830006734723,1
SNX4,VPS35,0.2,0.0402,-0.1162,190,0.00542609469338845,0.016429008932759476,1
SEC23A,SEC23B,0.4,0.04,0.0,0,1.0,1.0,0
RAB1B,SEC23B,0.4,0.04,0.0,0,1.0,1.0,0
RAB1A,SEC23B,0.4,0.04,0.0,0,1.0,1.0,0
SEC13,COPZ1,0.2,0.04,0.1473,150,0.014215676616638064,0.03973099362086023,1
LRP1,CLU,0.2,0.0397,-0.0693,190,0.006089141157956561,0.018184010581294936,1
COPA,SEC31A,0.2,0.0392,0.0943,190,0.0066542617152278855,0.019691797112031843,1
RAB1A,SEC31A,0.6,0.039,-0.1188,190,0.3733375206340444,0.7288439955064628,0
GGA1,COPB2,0.2,0.0388,0.1279,67,0.11540216351007719,0.25671093515506965,0
COPA,COPG2,1.0,0.0388,-0.5405,91,0.7151951899117996,1.0,0
SORL1,ADAM10,0.2,0.0383,0.135,169,0.012616603162897205,0.0358750368197164,1
SORL1,GGA3,0.2,0.0381,0.0682,170,0.012877366100509267,0.036300850990228714,1
ADAM10,IDE,0.2,0.0375,0.304,51,0.1882376918588348,0.3920619441900572,0
SORT1,LRP1,0.2,0.0369,-0.2172,190,0.01079529670774338,0.031239486933027305,1
AP2B1,COPG2,0.2,0.0362,-1.6556,91,0.08597584459783725,0.1966021061782712,0
BIN1,AP2B1,0.2,0.0355,-0.1504,190,0.014201455231376899,0.03973099362086023,1
COPG2,RTN3,0.4,0.0341,0.051,91,0.4218570903527148,0.806709172779753,0
SORT1,VPS29,0.2,0.0341,-0.1669,190,0.01859184823120076,0.0498322489475627,1
VPS35,BIN1,0.2,0.0341,-0.0125,190,0.01856491611164616,0.0498322489475627,1
COPG2,SEC13,0.2,0.0338,-0.0274,91,0.10919409192401931,0.24373015740037077,0
RAB1A,RTN4,0.4,0.0335,-0.0824,190,0.25100248198836467,0.5129863225637202,0
SEC24C,SAR1B,0.6,0.0324,0.2107,174,0.4793307877317045,0.8931120660300136,0
COPB2,SEC16A,0.2,0.032,0.3351,28,0.41577472361314904,0.7974095872228724,0
TMED10,SEC24C,0.6,0.0312,0.024,190,0.476379004359944,0.8921006954920352,0
COPE,PREB,0.2,0.0307,-0.2232,123,0.09038976058687123,0.20597527325370657,0
COPE,SEC13,0.2,0.0304,0.0294,190,0.03655650121987051,0.0923086941999819,0
SEC24C,COPB2,0.2,0.0301,-0.2135,190,0.038008338856784306,0.09523928587102275,0
HSPA5,PICALM,0.4,0.0291,-0.0441,190,0.31908533984409765,0.6342912226688141,0
SEC24C,SAR1A,0.6,0.0288,0.1712,190,0.5103288885222474,0.9412632532732846,0
SORT1,SORL1,0.6,0.028,-0.4964,170,0.5451877335731479,0.9987472766298002,0
PICALM,LRP1,0.2,0.0271,-0.2211,190,0.06246201896557044,0.1501844132480995,0
COPB1,SEC31A,0.2,0.0267,0.0833,190,0.06618274058844337,0.1568243200900071,0
SEC23A,COPB1,0.2,0.0267,-0.0557,190,0.06588584883969778,0.1566885277860449,0
VDAC1,MFN2,0.2,0.0259,0.1807,190,0.07536677344595127,0.17416915135566124,0
HSPA5,TMED2,0.6,0.0258,0.0867,190,0.5562115334138349,1.0,0
AP2B1,ARF6,0.6,0.025,0.4113,190,0.5687060298886724,1.0,0
BIN1,SAR1A,0.4,0.0244,0.0779,190,0.40361094867025893,0.7809513622199684,0
TMED2,APP,0.4,0.024,0.0621,190,0.41061164162977026,0.7921534325246895,0
COPG2,RAB1A,0.6,0.0238,-0.0032,91,0.709007887486031,1.0,0
APP,VPS29,0.2,0.0236,0.1496,190,0.1052395326283054,0.23603753307708308,0
VDAC1,HSPA9,0.8,0.0236,0.0268,190,0.6862359911065669,1.0,0
PICALM,SORL1,0.4,0.0226,0.3091,170,0.4639203708792251,0.8743628892075308,0
VPS26A,BIN1,0.2,0.0223,-0.008,190,0.12544792234747398,0.2753118832726442,0
SEC13,HSPA9,0.2,0.0222,-0.0026,190,0.12753702612138487,0.2789605855631629,0
MFN2,VPS35,0.2,0.0221,-0.0414,190,0.12981815845062544,0.28112938949241406,0
COPE,SEC16A,0.2,0.0211,0.7287,28,0.593900462169609,1.0,0
COPB1,SEC16A,0.2,0.021,0.477,28,0.5950482825301392,1.0,0
AP2B1,COPZ1,0.2,0.0201,0.2151,150,0.22176822631522747,0.4604330793973294,0
PREB,SEC23B,0.2,0.02,0.0,0,1.0,1.0,0
COPB2,SEC23B,0.2,0.02,0.0,0,1.0,1.0,0
COPG1,SEC23B,0.2,0.02,0.0,0,1.0,1.0,0
HSPA5,SEC23B,0.2,0.02,0.0,0,1.0,1.0,0
COPA,SEC23B,0.2,0.02,0.0,0,1.0,1.0,0
HSPA5,MAPK14,0.2,0.02,0.0,0,1.0,1.0,0
APOE,MAPK14,0.2,0.02,0.0,0,1.0,1.0,0
COPB1,SEC23B,0.2,0.02,0.0,0,1.0,1.0,0
SEC23B,TMED10,0.2,0.02,0.0,0,1.0,1.0,0
SEC23B,TMED2,0.2,0.02,0.0,0,1.0,1.0,0
COPG2,SEC23B,0.2,0.02,0.0,0,1.0,1.0,0
COPE,SEC31A,0.2,0.0199,0.0735,190,0.17126953036662607,0.36016164906679565,0
SORT1,VPS35,0.4,0.0192,0.0511,190,0.5109303591926851,0.9412632532732846,0
AP2B1,COPA,0.2,0.0192,-0.0055,190,0.18692541687446976,0.39182443152533086,0
GGA1,APP,0.6,0.0186,0.0217,67,0.8030286841699701,1.0,0
HSPA5,EIF2S1,0.6,0.0174,-0.0133,190,0.6906837877782378,1.0,0
SAR1A,TMED2,0.2,0.0163,-0.0581,190,0.2641184632136974,0.5381105138372527,0
COPG1,COPG2,0.2,0.0161,0.0164,91,0.4471946176326733,0.845275375525342,0
BIN1,SORL1,0.2,0.0156,0.1792,170,0.3135001524350002,0.625088718574665,0
PREB,TMED2,0.6,0.0151,0.0234,123,0.7823211780306428,1.0,0
VPS35,RAB1A,0.2,0.0145,-0.025,190,0.3210636634475153,0.6362898057414395,0
AP2B1,COPG1,0.2,0.0141,0.4451,190,0.33508569077148787,0.6620726337297675,0
APP,VPS35,0.4,0.0133,0.0778,190,0.6497916810532179,1.0,0
SEC13,COPB1,0.2,0.0124,-0.3085,190,0.39624007760142677,0.7712530081884914,0
ITPR2,HSPA9,0.2,0.012,0.0292,125,0.5051165047961867,0.9384835060701878,0
COPE,HSPA5,0.2,0.0114,-0.0468,190,0.4340960142517723,0.8252871898856369,0
RTN3,GGA3,0.2,0.0097,-0.4734,190,0.507157994254921,0.9396071621606752,0
SEC31A,TMED2,0.6,0.0094,0.0564,190,0.8295866561601564,1.0,0
APP,MFN2,0.2,0.0093,-0.1024,190,0.5242707135229088,0.9631265355168043,0
PREB,RAB1B,0.2,0.0077,0.0006,123,0.6738969525415381,1.0,0
CLU,SORL1,0.4,0.0071,-0.1884,170,0.8195478631035953,1.0,0
SEC23A,SEC24B,1.0,0.0071,-0.0384,164,0.9279328948880375,1.0,0
RAB1A,TMED2,0.6,0.0068,-0.0138,190,0.8774294960183185,1.0,0
GGA1,SORL1,0.8,0.0061,0.0871,60,0.9538666724678467,1.0,0
COPB2,RAB1B,0.6,0.0053,0.0226,190,0.9032944417706006,1.0,0
VPS29,BIN1,0.2,0.0052,-0.2578,190,0.7225568355412316,1.0,0
AP1G1,VPS35,0.2,0.0052,0.3469,190,0.7239399303267671,1.0,0
TMED9,COPE,1.0,0.0042,-0.0248,190,0.9546166579775155,1.0,0
COPG1,SEC24C,0.2,0.0032,-0.0085,190,0.8285593576960408,1.0,0
HSPA9,EIF2S1,0.2,0.003,0.0005,190,0.8389575115128789,1.0,0
ARF6,GGA1,0.6,0.0027,0.6527,67,0.9709127553169126,1.0,0
RTN4,GGA3,0.2,0.001,0.2488,190,0.9435333888730709,1.0,0
SEC23B,SREBF2,0.2,0.0,0.0,0,1.0,1.0,0
SEC23B,SEC23A,0.4,0.0,0.0,0,1.0,1.0,0
SEC23B,SYK,0.4,0.0,0.0,0,1.0,1.0,0
SEC23B,SEC24D,1.0,0.0,0.0,0,1.0,1.0,0
SEC23B,SEC24A,1.0,0.0,0.0,0,1.0,1.0,0
APOE,BACE1,0.2,0.0,0.0,0,1.0,1.0,0
APOE,BIN1,0.8,0.0,0.0,190,0.05167957540238916,0.12665388077469716,0
APOE,CLU,0.6,0.0,0.0,190,1.5803580418950997e-14,2.650138870254859e-13,0
APOE,HSPA5,0.4,0.0,0.0,190,0.003762407008525581,0.012002996017442584,0
