source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
SEC13,PREB,0.4,0.0,0.0,676,7.346300318346527e-29,8.897185941108572e-28,0
SEC13,SEC23A,0.8,0.0,0.0,676,9.608432587713904e-25,8.268309095216965e-24,0
SEC13,RAB1B,0.6,0.0,0.0,676,0.7219560770703606,0.7578800552231394,0
SEC13,SAR1A,0.6,0.0,0.0,676,5.397615604911925e-14,2.1925718047281982e-13,0
SEC23A,SEC24C,1.0,0.0,0.0,676,1.6893475377717203e-88,1.5783332710038643e-86,0
SEC23A,SEC31A,0.8,0.0,0.0,676,4.647598835445311e-44,1.048113668407322e-42,0
SEC23A,TMED9,0.4,0.0,0.0,676,4.951513307547459e-16,2.2422777602463796e-15,0
SEC23A,RAB1A,0.6,0.0,0.0,676,2.5807487061438943e-10,8.273576734402485e-10,0
SEC23A,RAB1B,0.6,0.0,0.0,676,8.887048120830405e-06,2.0181005107719042e-05,0
VDAC1,ITPR2,0.4,0.0,0.0,676,1.72586898710623e-17,8.818111855995894e-17,0
BIN1,VPS29,0.2,0.0,0.0,676,0.05732557430638713,0.07682566720569095,0
BIN1,VPS35,0.2,0.0,0.0,676,0.005637796584616825,0.009014960797895853,0
SEC13,PSEN1,0.2,0.0,0.0,676,0.4025323603019064,0.4538297008088411,0
SEC13,SEC24A,0.6,0.0,0.0,676,1.738553307776738e-07,4.622007574333279e-07,0
COPB2,COPG1,1.0,0.0,0.0,676,2.345623229242721e-43,4.9485083610475475e-42,0
COPB1,SEC24C,0.2,0.0,0.0,676,4.86642218264751e-20,2.9744300069639923e-19,0
COPB1,SEC31A,0.2,0.0,0.0,676,3.291126099552396e-44,7.687130246811669e-43,0
COPG1,COPB1,1.0,0.0,0.0,676,2.0378821162830327e-86,1.480861004499004e-84,0
COPG1,COPE,1.0,0.0,0.0,676,1.0671977050334795e-25,9.970675701312794e-25,0
COPE,SEC16A,0.2,0.0,0.0,676,1.1938636515690378e-18,6.616837526492803e-18,0
COPE,SEC31A,0.2,0.0,0.0,676,4.6506282930546e-19,2.6679920207523755e-18,0
COPG1,AP2B1,0.2,0.0,0.0,676,3.4974629582735746e-13,1.3298492876226267e-12,0
COPB2,SEC13,0.2,0.0,0.0,676,5.0804340642047805e-22,3.6115259543368765e-21,0
COPE,COPZ1,1.0,0.0,0.0,676,1.319044798603509e-29,1.6914809770327351e-28,0
COPE,HSPA5,0.2,0.0,0.0,676,3.2286259410120848e-21,2.0906152132890136e-20,0
COPB1,AP2A1,0.2,0.0,0.0,676,1.4137868915222057e-05,3.1342936510356696e-05,0
COPB1,ARF6,0.4,0.0,0.0,676,4.170966103682348e-08,1.1607709922588323e-07,0
COPB1,COPA,1.0,0.0,0.0,676,1.4666273646727869e-105,2.3979357412400067e-103,0
