source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
LRP1,SORL1,0.6,0.0,0.0,676,4.334774224485304e-34,6.749862720984259e-33,0
VLDLR,SORL1,0.2,0.0,0.0,676,0.0011228443565152008,0.00195824055776251,0
TMED2,SAR1A,0.2,0.0,0.0,676,1.1564692588432159e-24,9.822479159525496e-24,0
NCSTN,TMED10,0.8,0.0,0.0,676,0.8075314757453894,0.8290825512362396,0
ADAM17,LRP1,0.6,0.0,0.0,676,0.25869852760252265,0.3081763880729505,0
ADAM10,ABCA7,0.2,0.0,0.0,629,0.7461409182832744,0.7770321027981871,0
ADAM10,ADAM17,0.4,0.0,0.0,676,0.002563670640701573,0.004321238657265023,0
ADAM10,NCSTN,0.4,0.0,0.0,676,0.010390386931894029,0.01591408209240912,0
ADAM10,PSEN1,0.6,0.0,0.0,676,0.6950355265448497,0.7367151286229039,0
AP1G1,SORL1,0.6,0.0,0.0,676,0.009134940528498604,0.014224407394376396,0
TMED10,SAR1B,0.6,0.0,0.0,676,1.7569287348082307e-05,3.804739710478751e-05,0
MFN2,SIGMAR1,0.2,0.0,0.0,656,3.8063975362017764e-06,8.986945807494447e-06,0
MFN2,VPS35,0.2,0.0,0.0,676,0.569761191280095,0.6200063545710185,0
MIA3,COPB1,0.2,0.0,0.0,676,5.0372105416428886e-18,2.722591482838388e-17,0
MIA3,GORASP1,0.2,0.0,0.0,533,0.18894655083969178,0.23448015986557574,0
PICALM,PSEN1,0.2,0.0,0.0,676,0.0007680027030778085,0.0013723326989423137,0
PICALM,SEC24C,0.4,0.0,0.0,676,2.0341819365563175e-24,1.6424135635899154e-23,0
PICALM,SORT1,0.6,0.0,0.0,676,0.0010549766011114852,0.0018547169277605144,0
PICALM,APP,0.8,0.0,0.0,676,0.03167187997877224,0.04473738554236942,0
PICALM,CLU,0.4,0.0,0.0,676,5.688700818388753e-13,2.1381668593254276e-12,0
TMED9,EIF2S1,0.4,0.0,0.0,676,2.7403581831495016e-25,2.524217256027851e-24,0
PICALM,LRP1,0.2,0.0,0.0,676,0.0031499375498905634,0.005228576542204133,0
PICALM,ADAM10,0.2,0.0,0.0,676,0.3198933125937523,0.3683476510367776,0
PICALM,AP1G1,0.6,0.0,0.0,676,1.3114915683771916e-06,3.2489222943889517e-06,0
PICALM,AP2A1,1.0,0.0,0.0,676,2.0950842619248315e-17,1.0621589979060773e-16,0
PICALM,AP2B1,1.0,0.0,0.0,676,1.6657259767398127e-13,6.523262208310404e-13,0
PICALM,AP4M1,0.2,0.0,0.0,609,0.7997483043529549,0.8223826903252084,0
NCSTN,TMED9,0.4,0.0,0.0,676,0.4031728687613711,0.4538297008088411,0
OSBP,SEC23A,0.4,0.0,0.0,676,1.3268039513036824e-17,6.832517985453608e-17,0
OSBP,SEC24D,0.4,0.0,0.0,676,5.915030208144213e-14,2.3879196025471083e-13,0
OSBP,SORT1,0.2,0.0,0.0,676,0.7946079896785034,0.8196744877756171,0
PICALM,GGA2,0.4,0.0,0.0,676,1.8459958159671348e-21,1.2319196567780676e-20,0
TMED2,SEC24D,0.4,0.0,0.0,676,0.0491177709736893,0.06748534079158153,0
