step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
2,proteomePC9,proteomePC6 + proteomePC9,0.5975,0.59866,-0.00141,-2.97,400,proteome-derived
2,proteomePC10,proteomePC6 + proteomePC10,0.5991,0.59858,0.00019,1.35,400,proteome-derived
3,Study,proteomePC6 + proteomePC2 + Study,0.60377,0.60414,-0.00034,-0.75,400,technical
3,msex,proteomePC6 + proteomePC2 + msex,0.60399,0.60418,-0.00012,-0.53,400,clinical/pathology
3,educ,proteomePC6 + proteomePC2 + educ,0.60453,0.60438,0.00042,0.21,400,clinical/pathology
3,apoe_genotype,proteomePC6 + proteomePC2 + apoe_genotype,0.60518,0.60408,0.00106,3.43,400,clinical/pathology
3,age_at_visit_max,proteomePC6 + proteomePC2 + age_at_visit_max,0.604,0.60421,-0.00011,-0.38,400,clinical/pathology
3,age_first_ad_dx,proteomePC6 + proteomePC2 + age_first_ad_dx,0.57664,0.57641,-0.02747,0.18,132,clinical/pathology
3,age_death,proteomePC6 + proteomePC2 + age_death,0.60355,0.60444,-0.00057,-3.1,400,clinical/pathology
3,cts_mmse30_first_ad_dx,proteomePC6 + proteomePC2 + cts_mmse30_first_ad_dx,0.57673,0.57654,-0.02738,0.09,126,clinical/pathology
3,cts_mmse30_lv,proteomePC6 + proteomePC2 + cts_mmse30_lv,0.60445,0.60436,0.00034,0.19,400,clinical/pathology
3,pmi,proteomePC6 + proteomePC2 + pmi,0.6053,0.60441,0.00118,3.53,398,technical
3,braaksc,proteomePC6 + proteomePC2 + braaksc,0.60339,0.60425,-0.00072,-1.79,400,clinical/pathology
3,ceradsc,proteomePC6 + proteomePC2 + ceradsc,0.60226,0.60417,-0.00185,-3.89,400,clinical/pathology
3,cogdx,proteomePC6 + proteomePC2 + cogdx,0.60384,0.60403,-0.00027,-0.31,400,clinical/pathology
3,dcfdx_lv,proteomePC6 + proteomePC2 + dcfdx_lv,0.60272,0.60392,-0.0014,-2.08,400,clinical/pathology
3,celltype_neuron,proteomePC6 + proteomePC2 + celltype_neuron,0.61218,0.60396,0.00807,23.83,400,proteome-derived
3,celltype_astrocyte,proteomePC6 + proteomePC2 + celltype_astrocyte,0.60178,0.60417,-0.00233,-6.97,400,proteome-derived
3,celltype_microglia,proteomePC6 + proteomePC2 + celltype_microglia,0.60423,0.60379,0.00011,0.9,400,proteome-derived
3,celltype_oligodendrocyte,proteomePC6 + proteomePC2 + celltype_oligodendrocyte,0.61099,0.6041,0.00687,16.48,400,proteome-derived
3,celltype_endothelial,proteomePC6 + proteomePC2 + celltype_endothelial,0.60475,0.6045,0.00064,0.52,400,proteome-derived
3,proteomePC1,proteomePC6 + proteomePC2 + proteomePC1,0.60026,0.60422,-0.00385,-6.46,400,proteome-derived
3,proteomePC3,proteomePC6 + proteomePC2 + proteomePC3,0.59553,0.60437,-0.00859,-17.49,400,proteome-derived
3,proteomePC4,proteomePC6 + proteomePC2 + proteomePC4,0.58751,0.60456,-0.0166,-20.5,400,proteome-derived
3,proteomePC5,proteomePC6 + proteomePC2 + proteomePC5,0.60614,0.60413,0.00202,3.09,400,proteome-derived
3,proteomePC7,proteomePC6 + proteomePC2 + proteomePC7,0.60646,0.60449,0.00235,2.73,400,proteome-derived
3,proteomePC8,proteomePC6 + proteomePC2 + proteomePC8,0.60729,0.60417,0.00318,4.24,400,proteome-derived
3,proteomePC9,proteomePC6 + proteomePC2 + proteomePC9,0.60476,0.60438,0.00065,1.3,400,proteome-derived
3,proteomePC10,proteomePC6 + proteomePC2 + proteomePC10,0.60419,0.60404,8e-05,0.27,400,proteome-derived
4,Study,proteomePC6 + proteomePC2 + celltype_neuron + Study,0.61151,0.61233,-0.00067,-2.54,400,technical
4,msex,proteomePC6 + proteomePC2 + celltype_neuron + msex,0.61284,0.61221,0.00065,1.37,400,clinical/pathology
4,educ,proteomePC6 + proteomePC2 + celltype_neuron + educ,0.612,0.61205,-0.00018,-0.11,400,clinical/pathology
4,apoe_genotype,proteomePC6 + proteomePC2 + celltype_neuron + apoe_genotype,0.61322,0.61224,0.00104,2.56,400,clinical/pathology
4,age_at_visit_max,proteomePC6 + proteomePC2 + celltype_neuron + age_at_visit_max,0.61257,0.61248,0.00038,0.15,400,clinical/pathology
4,age_first_ad_dx,proteomePC6 + proteomePC2 + celltype_neuron + age_first_ad_dx,0.58042,0.58063,-0.03176,-0.14,132,clinical/pathology
4,age_death,proteomePC6 + proteomePC2 + celltype_neuron + age_death,0.6123,0.61208,0.00012,0.4,400,clinical/pathology
4,cts_mmse30_first_ad_dx,proteomePC6 + proteomePC2 + celltype_neuron + cts_mmse30_first_ad_dx,0.57915,0.57899,-0.03303,0.2,126,clinical/pathology
4,cts_mmse30_lv,proteomePC6 + proteomePC2 + celltype_neuron + cts_mmse30_lv,0.61311,0.61201,0.00093,1.61,400,clinical/pathology
4,pmi,proteomePC6 + proteomePC2 + celltype_neuron + pmi,0.61232,0.61188,0.00013,0.71,398,technical
4,braaksc,proteomePC6 + proteomePC2 + celltype_neuron + braaksc,0.61199,0.61212,-0.00019,-0.46,400,clinical/pathology
4,ceradsc,proteomePC6 + proteomePC2 + celltype_neuron + ceradsc,0.61056,0.61232,-0.00163,-3.33,400,clinical/pathology
4,cogdx,proteomePC6 + proteomePC2 + celltype_neuron + cogdx,0.61248,0.61211,0.00029,0.49,400,clinical/pathology
4,dcfdx_lv,proteomePC6 + proteomePC2 + celltype_neuron + dcfdx_lv,0.61163,0.6122,-0.00055,-1.43,400,clinical/pathology
4,celltype_astrocyte,proteomePC6 + proteomePC2 + celltype_neuron + celltype_astrocyte,0.61245,0.61211,0.00026,0.68,400,proteome-derived
4,celltype_microglia,proteomePC6 + proteomePC2 + celltype_neuron + celltype_microglia,0.6127,0.61214,0.00051,0.82,400,proteome-derived
4,celltype_oligodendrocyte,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte,0.61855,0.61206,0.00636,10.32,400,proteome-derived
4,celltype_endothelial,proteomePC6 + proteomePC2 + celltype_neuron + celltype_endothelial,0.61393,0.61209,0.00175,3.07,400,proteome-derived
4,proteomePC1,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC1,0.60338,0.61218,-0.00881,-27.66,400,proteome-derived
4,proteomePC3,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC3,0.59813,0.61235,-0.01405,-31.07,400,proteome-derived
4,proteomePC4,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC4,0.59811,0.61178,-0.01407,-22.63,400,proteome-derived
4,proteomePC5,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC5,0.61324,0.61209,0.00105,2.95,400,proteome-derived
4,proteomePC7,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC7,0.61697,0.612,0.00479,8.93,400,proteome-derived
4,proteomePC8,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC8,0.61482,0.612,0.00263,5.88,400,proteome-derived
4,proteomePC9,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC9,0.6153,0.61211,0.00311,6.19,400,proteome-derived
4,proteomePC10,proteomePC6 + proteomePC2 + celltype_neuron + proteomePC10,0.6124,0.61213,0.00022,0.54,400,proteome-derived
5,Study,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte + Study,0.61761,0.61794,-0.00094,-0.42,400,technical
5,msex,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte + msex,0.61822,0.61861,-0.00033,-0.9,400,clinical/pathology
5,educ,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte + educ,0.61855,0.6186,0.0,-0.12,400,clinical/pathology
5,apoe_genotype,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte + apoe_genotype,0.62027,0.61879,0.00172,2.39,400,clinical/pathology
5,age_at_visit_max,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte + age_at_visit_max,0.61873,0.61844,0.00019,0.47,400,clinical/pathology
5,age_first_ad_dx,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte + age_first_ad_dx,0.58746,0.58693,-0.03109,0.2,132,clinical/pathology
5,age_death,proteomePC6 + proteomePC2 + celltype_neuron + celltype_oligodendrocyte + age_death,0.61814,0.61853,-0.0004,-0.89,400,clinical/pathology
