region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
celltype_microglia > 0.00693 (upper half)  AND  celltype_oligodendrocyte <= -0.129 (lower half),2,42,42,0.57595,0.56628,0.70283,0.23383,0.7872,0.65098,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_oligodendrocyte > -0.129 (upper half),2,53,53,0.57718,0.56943,0.64945,0.26368,0.75298,0.65098,0.6387,False
TangleTotal 6-11.8 (middle third),1,63,62,0.57647,0.56789,0.72276,0.24378,0.74052,0.65098,0.6387,False
sex = female  AND  pmi <= 3 (lower half),2,50,49,0.57676,0.56943,0.61368,0.26368,0.71927,0.65098,0.6387,False
celltype_astrocyte <= 0.00686 (lower half),1,95,95,0.58089,0.57602,0.52656,0.27861,0.7131,0.65098,0.6387,False
celltype_neuron > 0.187 (high third),1,63,63,0.57595,0.56789,0.67873,0.24876,0.69037,0.65098,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  lastMMSE <= 25 (lower half),2,56,56,0.57576,0.56789,0.66313,0.24876,0.67261,0.65098,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  PlaqueTotal > 12.1 (upper half),2,53,53,0.57561,0.56943,0.51771,0.29353,0.6288,0.65821,0.6387,False
PlaqueTotal > 12.1 (upper half),1,95,94,0.58014,0.57456,0.60565,0.27861,0.62239,0.65098,0.6387,False
PlaqueTotal > 13.5 (high third)  AND  TangleTotal > 11.8 (high third),2,40,40,0.57349,0.56628,0.52355,0.30348,0.61271,0.65098,0.6387,False
sex = female  AND  celltype_astrocyte <= 0.00686 (lower half),2,43,43,0.57324,0.56628,0.50572,0.30846,0.59534,0.65821,0.6387,False
apoeGenotype = e3-3  AND  ageDeath > 86 (upper half),2,48,48,0.57475,0.56943,0.44575,0.30348,0.56097,0.65821,0.6387,False
celltype_neuron -0.147-0.187 (middle third),1,63,62,0.57434,0.56789,0.54311,0.28856,0.53591,0.65821,0.6387,False
pmi <= 3 (lower half),1,117,116,0.58042,0.57689,0.50155,0.30846,0.48716,0.65821,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_neuron <= -0.147 (low third),2,44,44,0.57153,0.56628,0.38167,0.36816,0.47462,0.65821,0.6387,False
celltype_microglia > 0.00693 (upper half)  AND  ageDeath <= 86 (lower half),2,53,53,0.57333,0.56943,0.32709,0.34328,0.44912,0.65821,0.6387,False
PlaqueTotal > 13.5 (high third)  AND  celltype_neuron <= -1.75e-05 (lower half),2,42,42,0.57116,0.56628,0.35449,0.37313,0.44816,0.65821,0.6387,False
lastMMSE > 28 (high third),1,48,48,0.5732,0.56943,0.31566,0.34826,0.43835,0.65821,0.6387,False
celltype_microglia <= -0.272 (low third),1,64,63,0.57332,0.56789,0.45708,0.31343,0.43792,0.65821,0.6387,False
apoeGenotype = e3-3  AND  PlaqueTotal <= 12.1 (lower half),2,56,56,0.57324,0.56789,0.4507,0.31343,0.43065,0.65821,0.6387,False
ageDeath <= 82 (low third),1,73,73,0.57517,0.57023,0.47443,0.31841,0.42486,0.65821,0.6387,False
pmi <= 2.5 (low third),1,65,64,0.57291,0.56789,0.42296,0.33831,0.39906,0.65821,0.6387,False
