region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
CERAD = 3  AND  PlaqueTotal > 12.1 (upper half),2,82,82,0.54747,0.53959,1.24519,0.0995,1.18354,0.4034,0.33194,False
CERAD = 3  AND  apoeGenotype = e3-3,2,44,44,0.54877,0.53528,1.24778,0.10945,1.17406,0.4034,0.33194,False
lastMMSE <= 25 (lower half)  AND  TangleTotal > 8 (upper half),2,83,83,0.54735,0.53959,1.22698,0.0995,1.16517,0.40928,0.33194,False
lastMMSE <= 25 (lower half)  AND  celltype_oligodendrocyte > 0.391 (high third),2,45,45,0.54827,0.53528,1.20159,0.11443,1.12901,0.4034,0.33194,False
celltype_astrocyte -0.237-0.251 (middle third),1,63,63,0.54754,0.53774,1.21302,0.1194,1.10639,0.4034,0.33194,False
ageDeath <= 86 (lower half)  AND  pmi 2.5-3.25 (middle third),2,40,40,0.54798,0.53528,1.17467,0.1194,1.10276,0.4034,0.33194,False
lastMMSE <= 25 (lower half)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,61,61,0.54748,0.53774,1.20545,0.1194,1.09938,0.4034,0.33194,False
CERAD = 3  AND  celltype_astrocyte <= -0.0155 (lower half),2,41,41,0.54777,0.53528,1.15591,0.1194,1.08446,0.4034,0.33194,False
celltype_neuron <= 0.0182 (lower half)  AND  sex = male,2,53,53,0.54687,0.53544,1.21599,0.0995,1.0744,0.45642,0.33194,False
CERAD = 3  AND  celltype_oligodendrocyte > 0.391 (high third),2,46,46,0.54619,0.53544,1.14312,0.10945,1.00482,0.46481,0.33194,False
CERAD = 3  AND  TangleTotal > 8 (upper half),2,80,80,0.54613,0.53959,1.03375,0.1393,0.97025,0.46481,0.36534,False
celltype_neuron <= 0.0182 (lower half)  AND  TangleTotal > 8 (upper half),2,53,53,0.54547,0.53544,1.06697,0.13433,0.93209,0.46481,0.35907,False
lastMMSE 18-28 (middle third),1,75,75,0.54579,0.53959,0.97997,0.17413,0.916,0.46481,0.4034,False
CERAD = 3  AND  celltype_oligodendrocyte <= -0.073 (lower half),2,44,44,0.54578,0.53528,0.97094,0.1592,0.90407,0.46481,0.39852,False
lastMMSE <= 25 (lower half)  AND  sex = male,2,59,59,0.54574,0.53774,0.99016,0.16418,0.89985,0.46481,0.39852,False
TangleTotal > 8 (upper half),1,92,92,0.54682,0.54056,1.06603,0.14925,0.89316,0.46481,0.38419,False
CERAD = 3  AND  sex = male,2,65,65,0.54538,0.53774,0.94564,0.16915,0.85859,0.46481,0.39852,False
celltype_neuron <= 0.0182 (lower half)  AND  apoeGenotype = e3-3,2,43,43,0.54523,0.53528,0.92057,0.16418,0.85495,0.46481,0.39852,False
lastMMSE <= 25 (lower half)  AND  ageDeath <= 82 (low third),2,45,45,0.54506,0.53528,0.90448,0.16915,0.83925,0.46481,0.39852,False
celltype_neuron <= 0.0182 (lower half)  AND  pmi > 3 (upper half),2,42,42,0.54451,0.53528,0.85352,0.18408,0.78956,0.46481,0.41946,False
CERAD = 3  AND  celltype_astrocyte > -0.0155 (upper half),2,65,65,0.54475,0.53774,0.86798,0.199,0.78662,0.49396,0.43907,False
CERAD = 3  AND  celltype_oligodendrocyte > -0.073 (upper half),2,62,62,0.54468,0.53774,0.85931,0.199,0.77858,0.49396,0.43907,False
celltype_oligodendrocyte > -0.073 (upper half),1,95,95,0.54473,0.54006,0.80644,0.23383,0.74286,0.50004,0.48984,False
ageDeath <= 86 (lower half)  AND  diagnosis = control,2,47,47,0.54322,0.53544,0.82755,0.22886,0.70344,0.50575,0.48984,False
diagnosis = Alzheimer Disease,1,90,90,0.54548,0.54056,0.83826,0.24378,0.68903,0.52333,0.48984,False
CERAD = 3  AND  ageDeath <= 82 (low third),2,49,49,0.54299,0.53544,0.80352,0.24378,0.68049,0.50575,0.48984,False
CERAD = 3  AND  ageDeath > 86 (upper half),2,43,43,0.54328,0.53528,0.74032,0.23383,0.67916,0.49705,0.48984,False
celltype_oligodendrocyte > 0.391 (high third),1,63,63,0.54344,0.53774,0.70559,0.23881,0.63612,0.52333,0.48984,False
lastMMSE <= 25 (lower half)  AND  diagnosis = Alzheimer Disease,2,86,86,0.54505,0.54056,0.76441,0.25373,0.62285,0.52333,0.48984,False
ageDeath <= 86 (lower half)  AND  TangleTotal > 11.8 (high third),2,47,47,0.54239,0.53544,0.73962,0.24876,0.61947,0.50849,0.48984,False
lastMMSE <= 25 (lower half)  AND  celltype_astrocyte > -0.0155 (upper half),2,65,65,0.54309,0.53774,0.66215,0.25373,0.59586,0.52333,0.48984,False
TangleTotal 6-11.8 (middle third),1,63,63,0.54291,0.53774,0.6401,0.26866,0.57543,0.53686,0.51155,False
pmi <= 2.5 (low third),1,65,65,0.54276,0.53774,0.62186,0.27363,0.55853,0.53886,0.51398,False
CERAD = 3  AND  sex = female,2,41,41,0.54171,0.53528,0.59508,0.30846,0.53752,0.52333,0.57167,False
lastMMSE <= 25 (lower half)  AND  sex = female,2,40,40,0.54138,0.53528,0.56437,0.32836,0.50757,0.52333,0.58515,False
CERAD = 3  AND  pmi > 3 (upper half),2,44,44,0.5412,0.53528,0.54773,0.32836,0.49134,0.52557,0.58515,False
ageDeath <= 86 (lower half)  AND  celltype_oligodendrocyte <= -0.073 (lower half),2,47,47,0.54,0.53544,0.48508,0.32836,0.37638,0.62061,0.58515,False
celltype_neuron <= 0.0182 (lower half)  AND  celltype_astrocyte > -0.0155 (upper half),2,50,50,0.53974,0.53544,0.45726,0.33831,0.34981,0.62151,0.58781,False
celltype_neuron <= 0.0182 (lower half)  AND  PlaqueTotal <= 12.1 (lower half),2,46,46,0.53952,0.53544,0.43407,0.33831,0.32765,0.63968,0.58781,False
celltype_neuron <= 0.0182 (lower half)  AND  TangleTotal <= 8 (lower half),2,42,42,0.53841,0.53528,0.28903,0.39303,0.23904,0.67468,0.67447,False
CERAD = 3  AND  pmi 2.5-3.25 (middle third),2,43,43,0.53834,0.53528,0.28335,0.39801,0.2335,0.67468,0.67468,False
TangleTotal > 11.8 (high third),1,63,63,0.53974,0.53774,0.24751,0.41294,0.21158,0.73271,0.69154,False
lastMMSE <= 25 (lower half)  AND  pmi > 3 (upper half),2,45,45,0.53689,0.53528,0.14907,0.42289,0.10255,0.73432,0.69154,False
celltype_neuron <= 0.0182 (lower half)  AND  diagnosis = control,2,41,41,0.53674,0.53528,0.13456,0.42289,0.0884,0.73432,0.69154,False
