source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
SYK,APP,0.6,0.0,0.0,162,0.7741205438942154,0.8774260584173602,0
SYK,ARF6,0.2,0.0,0.0,162,0.01188220905369911,0.05250651838594067,0
SYK,ITPR2,0.6,0.0,0.0,162,0.8600014491739648,0.9306418763082207,0
SYK,PLCG2,1.0,0.0,0.0,153,0.9902684465558063,0.990993997637853,0
TMED10,HSPA5,0.4,0.0,0.0,189,0.000844132299676609,0.006134028044316692,0
ITPR1,MFN2,0.6,0.0,0.0,189,0.0008042259536949487,0.005976861064960187,0
HSPA9,RAB1A,0.4,0.0,0.0,189,0.19600959753647798,0.4175579048496958,0
HSPA9,SIGMAR1,0.2,0.0,0.0,154,0.534161393325712,0.7217800645351563,0
HSPA9,VDAC1,0.8,0.0,0.0,189,0.00032164219184000587,0.00292158324254672,0
IDE,ADAM10,0.2,0.0,0.0,189,0.017478600031566146,0.06970124646734305,0
IDE,APP,0.8,0.0,0.0,189,0.628117807191778,0.781605210276236,0
IDE,BACE1,0.2,0.0,0.0,181,0.3184632931141565,0.541011884216245,0
IDE,BIN1,0.2,0.0,0.0,189,0.02047986450833451,0.07787111272355098,0
IDE,ECE1,0.4,0.0,0.0,189,0.7345948708550246,0.8518174566297626,0
COPB1,HSPA5,0.2,0.0,0.0,189,7.801710254567643e-08,1.8897475949952736e-06,0
PLG,APP,0.6,0.0,0.0,189,0.9621880436951505,0.9832359071509819,0
PLG,CLU,0.2,0.0,0.0,189,0.32563077825534864,0.5502907725555505,0
PREB,GORASP1,0.2,0.0,0.0,52,0.20905361455859564,0.4289649175563961,0
HSPA5,VDAC1,0.2,0.0,0.0,189,0.032088160007934415,0.11138586061942293,0
HSPA9,HSPA5,0.8,0.0,0.0,189,2.1151659227005373e-05,0.0002712389242051277,0
HSPA9,ITPR2,0.2,0.0,0.0,189,0.45002984265560336,0.6659208262597934,0
PSEN1,SORL1,0.4,0.0,0.0,189,0.3062746053165545,0.5373686338333695,0
PSEN1,VLDLR,0.6,0.0,0.0,189,0.1629445765090191,0.3665369527141286,0
PSEN1,VPS35,0.2,0.0,0.0,189,0.9858232505649825,0.9903662148533005,0
PLG,APOE,0.2,0.0,0.0,189,0.9161925043938614,0.9526071508324091,0
OSBP,SREBF2,0.6,0.0,0.0,68,0.5095579386310723,0.7015808249783607,0
PICALM,ABCA7,0.4,0.0,0.0,113,0.11835061456558439,0.28667148861441555,0
PICALM,ADAM10,0.2,0.0,0.0,189,0.27297036713808587,0.5028806200234033,0
PICALM,AP1G1,0.6,0.0,0.0,189,3.551099715790519e-05,0.00041471771680839275,0
PICALM,AP2A1,1.0,0.0,0.0,189,0.00851931501743985,0.04096788251033574,0
PICALM,AP2B1,1.0,0.0,0.0,189,4.146512138966087e-05,0.0004675549894627278,0
ITPR1,PLCG2,0.8,0.0,0.0,180,0.9492957421230781,0.9731025318941897,0
PREB,SEC23A,0.6,0.0,0.0,189,0.42519691419969446,0.6466948415967445,0
PREB,SEC24B,0.6,0.0,0.0,189,0.19736534476818995,0.41908095934544226,0
ITPR1,ITPR2,0.8,0.0,0.0,189,0.21715602490807542,0.4311627868021847,0
PSEN1,ADAM10,0.6,0.0,0.0,189,0.007792028836791486,0.03802975268105696,0
PSEN1,ADAM17,0.2,0.0,0.0,189,0.6819382942830872,0.8175021634714983,0
PSEN1,APBA1,0.6,0.0,0.0,189,0.11156809549889522,0.2763846002131723,0
PSEN1,APBA2,0.4,0.0,0.0,189,0.09821458708268646,0.2489625579537866,0
IDE,NCSTN,0.2,0.0,0.0,189,0.43436661104726493,0.6515499165708973,0
IDE,PICALM,0.2,0.0,0.0,189,0.19001725936879293,0.4101362627960085,0
IDE,PLG,0.2,0.0,0.0,189,0.3137323201928437,0.5399498352792625,0
IDE,VDAC1,0.2,0.0,0.0,189,0.37712832377867267,0.6041080899879904,0
ITPR1,HSPA5,0.2,0.0,0.0,189,0.4238276729737973,0.6461149140439707,0
ITPR1,HSPA9,0.8,0.0,0.0,189,0.09215579553570345,0.23822091019901206,0
PREB,SEC24C,0.6,0.0,0.0,189,0.2148715675142177,0.4305796203217409,0
PSEN1,APP,1.0,0.0,0.0,189,0.976838914130033,0.9854961945799218,0
PSEN1,BACE1,0.4,0.0,0.0,181,0.8597454264720089,0.9306418763082207,0
PSEN1,BIN1,0.2,0.0,0.0,189,0.6019122360512412,0.7677335799167139,0
PSEN1,HSPA5,0.4,0.0,0.0,189,0.30938510549853016,0.5373686338333695,0
PSEN1,IDE,0.2,0.0,0.0,189,0.3692863254658083,0.5963290292707126,0
PSEN1,ITPR2,0.4,0.0,0.0,189,0.43226686179272134,0.6498908680745742,0
GORASP1,TMED2,0.4,0.0,0.0,52,0.9669170624013129,0.9852385835774959,0
RAB1A,VPS35,0.2,0.0,0.0,189,0.38487154008718594,0.6051165116069489,0
RAB1B,ARF6,0.4,0.0,0.0,189,0.7837950937702833,0.8837965367685608,0
RAB1A,COPA,0.6,0.0,0.0,189,0.20185305530218262,0.42402784556394124,0
RAB1B,COPE,0.6,0.0,0.0,189,0.639453166806807,0.7847351650501896,0
RAB1B,COPG1,0.6,0.0,0.0,189,0.03218949183038369,0.11138586061942293,0
RAB1B,COPG2,0.6,0.0,0.0,189,0.012601137453489017,0.0545771118846478,0
RAB1B,GORASP1,0.6,0.0,0.0,52,0.5659901407660985,0.7500009275490465,0
RAB1B,PREB,0.2,0.0,0.0,189,0.038400109006061375,0.12748056492367582,0
GORASP1,COPB1,0.6,0.0,0.0,52,0.03974883740179661,0.13050975231116904,0
GORASP1,GGA3,0.2,0.0,0.0,52,0.28022522617397755,0.5104938660662433,0
GORASP1,HSPA5,0.6,0.0,0.0,52,0.16932662000709267,0.3753885067275885,0
GORASP1,SEC24D,0.6,0.0,0.0,52,0.004399675830787873,0.023978233277793908,0
RAB1B,COPB1,0.6,0.0,0.0,189,0.21867030235801507,0.4311627868021847,0
RAB1A,COPB1,0.6,0.0,0.0,189,0.05413770257705443,0.1686002737399695,0
RAB1A,COPB2,0.6,0.0,0.0,189,0.31278491460313285,0.5397396679431369,0
RAB1A,COPG1,0.6,0.0,0.0,189,2.3306867020333997e-07,4.916997106870463e-06,0
RAB1A,COPG2,0.6,0.0,0.0,189,0.3883838704249575,0.6076628020524454,0
HSPA5,PLG,0.2,0.0,0.0,189,0.20061250276864695,0.42402784556394124,0
