step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
3,CERAD,celltype_neuron + proteomePC9 + CERAD,0.5348,0.53678,-0.00205,-2.86,190,clinical/pathology
3,Braak,celltype_neuron + proteomePC9 + Braak,0.53752,0.53672,0.00066,1.07,190,clinical/pathology
3,PlaqueTotal,celltype_neuron + proteomePC9 + PlaqueTotal,0.53412,0.53701,-0.00274,-3.39,190,clinical/pathology
3,TangleTotal,celltype_neuron + proteomePC9 + TangleTotal,0.53557,0.53689,-0.00128,-1.06,190,clinical/pathology
3,lastMMSE,celltype_neuron + proteomePC9 + lastMMSE,0.53236,0.53645,-0.00449,-4.19,190,clinical/pathology
3,celltype_astrocyte,celltype_neuron + proteomePC9 + celltype_astrocyte,0.53495,0.53662,-0.00191,-1.85,190,proteome-derived
3,celltype_microglia,celltype_neuron + proteomePC9 + celltype_microglia,,,,,32,proteome-derived
3,celltype_oligodendrocyte,celltype_neuron + proteomePC9 + celltype_oligodendrocyte,0.53812,0.53704,0.00126,0.84,190,proteome-derived
3,celltype_endothelial,celltype_neuron + proteomePC9 + celltype_endothelial,0.53209,0.5313,-0.00476,0.96,101,proteome-derived
3,proteomePC1,celltype_neuron + proteomePC9 + proteomePC1,0.5318,0.53692,-0.00505,-5.35,190,proteome-derived
3,proteomePC2,celltype_neuron + proteomePC9 + proteomePC2,0.51918,0.53689,-0.01767,-29.2,190,proteome-derived
3,proteomePC3,celltype_neuron + proteomePC9 + proteomePC3,0.52649,0.5367,-0.01037,-8.12,190,proteome-derived
3,proteomePC4,celltype_neuron + proteomePC9 + proteomePC4,0.53511,0.53632,-0.00174,-1.38,190,proteome-derived
3,proteomePC5,celltype_neuron + proteomePC9 + proteomePC5,0.53833,0.53713,0.00148,1.11,190,proteome-derived
3,proteomePC6,celltype_neuron + proteomePC9 + proteomePC6,0.53657,0.53684,-0.00028,-0.19,190,proteome-derived
3,proteomePC7,celltype_neuron + proteomePC9 + proteomePC7,0.53546,0.5366,-0.0014,-1.01,190,proteome-derived
3,proteomePC8,celltype_neuron + proteomePC9 + proteomePC8,0.53704,0.53649,0.00019,0.4,190,proteome-derived
3,proteomePC10,celltype_neuron + proteomePC9 + proteomePC10,0.53535,0.53701,-0.0015,-2.17,190,proteome-derived
