step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
2,proteomePC1,celltype_oligodendrocyte + proteomePC1,0.6053,0.60015,0.00523,58.88,964,proteome-derived
2,proteomePC2,celltype_oligodendrocyte + proteomePC2,0.6116,0.60012,0.01153,68.17,964,proteome-derived
2,proteomePC3,celltype_oligodendrocyte + proteomePC3,0.58904,0.60014,-0.01103,-67.5,964,proteome-derived
2,proteomePC4,celltype_oligodendrocyte + proteomePC4,0.59668,0.60015,-0.00339,-33.69,964,proteome-derived
2,proteomePC5,celltype_oligodendrocyte + proteomePC5,0.59707,0.60012,-0.003,-53.15,964,proteome-derived
2,proteomePC6,celltype_oligodendrocyte + proteomePC6,0.60416,0.60012,0.00408,62.56,964,proteome-derived
2,proteomePC7,celltype_oligodendrocyte + proteomePC7,0.59766,0.60008,-0.00241,-29.36,964,proteome-derived
2,proteomePC8,celltype_oligodendrocyte + proteomePC8,0.6017,0.60003,0.00162,7.93,964,proteome-derived
2,proteomePC9,celltype_oligodendrocyte + proteomePC9,0.60101,0.59997,0.00093,5.44,964,proteome-derived
2,proteomePC10,celltype_oligodendrocyte + proteomePC10,0.60194,0.60016,0.00187,20.14,964,proteome-derived
3,dataContributionGroup,celltype_oligodendrocyte + reag + dataContributionGroup,0.62087,0.6194,0.00163,4.59,676,technical
3,cohort,celltype_oligodendrocyte + reag + cohort,0.62243,0.61918,0.00319,2.89,676,technical
3,sex,celltype_oligodendrocyte + reag + sex,0.61903,0.6192,-0.00021,-0.51,676,clinical/pathology
3,race,celltype_oligodendrocyte + reag + race,0.61878,0.6192,-0.00046,-0.78,673,clinical/pathology
3,isHispanic,celltype_oligodendrocyte + reag + isHispanic,0.61924,0.61927,-0.0,-0.18,675,clinical/pathology
3,ageDeath,celltype_oligodendrocyte + reag + ageDeath,0.61903,0.6192,-0.00021,-1.23,676,clinical/pathology
3,PMI,celltype_oligodendrocyte + reag + PMI,0.62039,0.62036,0.00115,0.16,662,technical
3,apoeGenotype,celltype_oligodendrocyte + reag + apoeGenotype,0.61876,0.61851,-0.00048,0.68,607,clinical/pathology
3,amyThal,celltype_oligodendrocyte + reag + amyThal,0.61859,0.62075,-0.00065,-2.13,200,clinical/pathology
3,amyA,celltype_oligodendrocyte + reag + amyA,0.61878,0.61997,-0.00047,-0.95,207,clinical/pathology
3,amyCerad,celltype_oligodendrocyte + reag + amyCerad,0.62019,0.61933,0.00094,1.07,676,clinical/pathology
3,Braak,celltype_oligodendrocyte + reag + Braak,0.61934,0.61801,0.0001,1.72,641,clinical/pathology
3,mayoDx,celltype_oligodendrocyte + reag + mayoDx,,,,,0,clinical/pathology
3,amyAny,celltype_oligodendrocyte + reag + amyAny,0.62045,0.61948,0.00121,4.42,676,clinical/pathology
3,bScore,celltype_oligodendrocyte + reag + bScore,0.6192,0.61822,-4e-05,3.8,641,clinical/pathology
3,ADoutcome,celltype_oligodendrocyte + reag + ADoutcome,0.6197,0.61923,0.00046,1.48,676,clinical/pathology
