region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
ageDeath <= 86 (lower half)  AND  pmi 2.5-3.25 (middle third),2,40,0.54798,0.53576,0.01108,1.10276,0.1393,0.4034,False
lastMMSE <= 25 (lower half)  AND  celltype_oligodendrocyte > -0.073 (upper half),2,61,0.54748,0.53789,0.00872,1.09938,0.13433,0.4034,False
CERAD = 3  AND  celltype_astrocyte <= -0.0155 (lower half),2,41,0.54777,0.53576,0.01108,1.08446,0.1393,0.4034,False
celltype_neuron <= 0.0182 (lower half)  AND  sex = male,2,53,0.54687,0.53629,0.00985,1.0744,0.16418,0.45642,False
CERAD = 3  AND  celltype_oligodendrocyte > 0.391 (high third),2,46,0.54619,0.53629,0.00985,1.00482,0.17413,0.46481,False
CERAD = 3  AND  TangleTotal > 8 (upper half),2,80,0.54613,0.54005,0.00627,0.97025,0.18905,0.46481,False
celltype_neuron <= 0.0182 (lower half)  AND  TangleTotal > 8 (upper half),2,53,0.54547,0.53629,0.00985,0.93209,0.18408,0.46481,False
lastMMSE 18-28 (middle third),1,75,0.54579,0.54005,0.00627,0.916,0.20398,0.46481,False
CERAD = 3  AND  celltype_oligodendrocyte <= -0.073 (lower half),2,44,0.54578,0.53576,0.01108,0.90407,0.19403,0.46481,False
lastMMSE <= 25 (lower half)  AND  sex = male,2,59,0.54574,0.53789,0.00872,0.89985,0.19403,0.46481,False
TangleTotal > 8 (upper half),1,92,0.54682,0.54096,0.00655,0.89316,0.18905,0.46481,False
CERAD = 3  AND  sex = male,2,65,0.54538,0.53789,0.00872,0.85859,0.20398,0.46481,False
celltype_neuron <= 0.0182 (lower half)  AND  apoeGenotype = e3-3,2,43,0.54523,0.53576,0.01108,0.85495,0.199,0.46481,False
lastMMSE <= 25 (lower half)  AND  ageDeath <= 82 (low third),2,45,0.54506,0.53576,0.01108,0.83925,0.20398,0.46481,False
celltype_neuron <= 0.0182 (lower half)  AND  pmi > 3 (upper half),2,42,0.54451,0.53576,0.01108,0.78956,0.20398,0.46481,False
CERAD = 3  AND  celltype_astrocyte > -0.0155 (upper half),2,65,0.54475,0.53789,0.00872,0.78662,0.22388,0.49396,False
