region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron > 0.0321 (upper half)  AND  cogdx = 1,2,90,0.6171,0.59593,0.01201,1.76193,0.04478,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,69,0.61365,0.59085,0.01304,1.74865,0.04975,0.27227,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte > 0.164 (high third),2,40,0.6062,0.57936,0.01553,1.72867,0.04975,0.27227,False
celltype_neuron > 0.0321 (upper half)  AND  apoe_genotype = 33,2,134,0.62413,0.60656,0.01017,1.72807,0.02985,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  dcfdx_lv = 1,2,93,0.61669,0.59593,0.01201,1.72761,0.04478,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  age_at_visit_max 85.7-90 (middle third),2,163,0.62589,0.61023,0.00913,1.71487,0.03483,0.26427,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte -0.371-0.164 (middle third),2,51,0.61087,0.58435,0.01562,1.6974,0.06965,0.29528,False
celltype_neuron > 0.194 (high third)  AND  age_death <= 86.8 (low third),2,53,0.61044,0.58435,0.01562,1.66982,0.06965,0.29528,False
celltype_neuron > 0.0321 (upper half)  AND  educ <= 14 (low third),2,77,0.61825,0.59548,0.01378,1.6522,0.0597,0.29528,False
cts_mmse30_lv <= 26 (lower half)  AND  age_death 86.8-90 (middle third),2,165,0.62515,0.61023,0.00913,1.63443,0.0398,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  pmi > 6.5 (upper half),2,99,0.61681,0.599,0.01092,1.63088,0.04478,0.26427,False
celltype_neuron > 0.0321 (upper half)  AND  age_at_visit_max <= 85.7 (low third),2,78,0.61789,0.59548,0.01378,1.62575,0.0597,0.29528,False
celltype_astrocyte > 0.235 (high third)  AND  msex = 0,2,88,0.61541,0.59593,0.01201,1.62178,0.04975,0.27227,False
celltype_neuron > 0.194 (high third)  AND  msex = 1,2,46,0.60929,0.58435,0.01562,1.59629,0.06965,0.29528,False
celltype_neuron > 0.194 (high third)  AND  pmi > 6.5 (upper half),2,65,0.61183,0.58907,0.01434,1.58709,0.0597,0.29528,False
cts_mmse30_lv <= 26 (lower half)  AND  msex = 0,2,149,0.62332,0.60722,0.01018,1.58108,0.0398,0.26427,False
cts_mmse30_lv <= 26 (lower half)  AND  Study = MAP,2,123,0.62121,0.60413,0.01094,1.5617,0.04975,0.27227,False
celltype_neuron > 0.194 (high third)  AND  cogdx = 1,2,63,0.6109,0.58907,0.01434,1.52266,0.06468,0.29528,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte > -0.127 (upper half),2,90,0.61417,0.59593,0.01201,1.51858,0.05473,0.29415,False
celltype_neuron > 0.0321 (upper half)  AND  ceradsc = 4,2,57,0.61077,0.58907,0.01434,1.51356,0.06468,0.29528,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia <= -0.284 (low third),2,65,0.61072,0.58907,0.01434,1.51016,0.06468,0.29528,False
cts_mmse30_lv <= 26 (lower half)  AND  pmi 5.67-7.61 (middle third),2,70,0.61049,0.59085,0.01304,1.50636,0.06965,0.29528,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte > 0.235 (high third),2,69,0.61003,0.59085,0.01304,1.47108,0.06965,0.29528,False
celltype_neuron > 0.194 (high third)  AND  cts_mmse30_lv 23-28 (middle third),2,61,0.60993,0.58907,0.01434,1.45477,0.06468,0.29528,False
celltype_astrocyte > 0.235 (high third),1,133,0.62122,0.60656,0.01017,1.4423,0.06468,0.29528,False
