region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron > 0.194 (high third)  AND  cts_mmse30_lv <= 23 (low third),2,45,0.58186,0.57936,0.01553,0.16097,0.43781,0.66894,False
celltype_astrocyte > 0.235 (high third)  AND  age_at_visit_max <= 88.9 (lower half),2,64,0.59137,0.58907,0.01434,0.16033,0.43284,0.66471,False
cts_mmse30_lv <= 26 (lower half)  AND  cts_mmse30_first_ad_dx <= 21 (lower half),2,71,0.59286,0.59085,0.01304,0.15396,0.44279,0.66974,False
cts_mmse30_first_ad_dx <= 21 (lower half),1,71,0.59286,0.59085,0.01304,0.15396,0.44279,0.66974,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial > -0.043 (upper half),2,76,0.59735,0.59548,0.01378,0.13557,0.43284,0.66471,False
celltype_microglia <= -0.284 (low third),1,134,0.60789,0.60656,0.01017,0.13098,0.49254,0.69794,False
celltype_astrocyte > 0.235 (high third)  AND  cts_mmse30_lv <= 23 (low third),2,49,0.5862,0.58435,0.01562,0.1182,0.43284,0.66471,False
cts_mmse30_lv <= 26 (lower half)  AND  Study = ROS,2,87,0.59735,0.59593,0.01201,0.11771,0.47264,0.69794,False
pmi <= 5.67 (low third),1,134,0.6076,0.60656,0.01017,0.10232,0.49254,0.69794,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_astrocyte <= 0.0643 (lower half),2,95,0.60009,0.599,0.01092,0.09967,0.48756,0.69794,False
celltype_neuron > 0.194 (high third)  AND  pmi <= 5.67 (low third),2,43,0.58084,0.57936,0.01553,0.09568,0.47761,0.69794,False
celltype_neuron > 0.194 (high third)  AND  celltype_microglia <= -0.284 (low third),2,60,0.59037,0.58907,0.01434,0.09069,0.45771,0.68886,False
celltype_endothelial -0.263-0.217 (middle third),1,133,0.60745,0.60656,0.01017,0.08749,0.49254,0.69794,False
celltype_neuron -0.149-0.194 (middle third),1,133,0.60744,0.60656,0.01017,0.08662,0.49254,0.69794,False
ceradsc = 4,1,106,0.60294,0.60227,0.01113,0.06086,0.47761,0.69794,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_neuron <= 0.0321 (lower half),2,64,0.58994,0.58907,0.01434,0.06024,0.47264,0.69794,False
celltype_neuron > 0.194 (high third)  AND  age_death > 89.4 (upper half),2,64,0.58983,0.58907,0.01434,0.05237,0.47761,0.69794,False
celltype_neuron > 0.0321 (upper half)  AND  cts_mmse30_lv > 26 (upper half),2,89,0.59635,0.59593,0.01201,0.03496,0.51244,0.69794,False
cts_mmse30_lv <= 26 (lower half)  AND  msex = 1,2,61,0.58949,0.58907,0.01434,0.02931,0.48756,0.69794,False
celltype_microglia > 0.197 (high third),1,133,0.60684,0.60656,0.01017,0.02744,0.50249,0.69794,False
celltype_astrocyte > 0.235 (high third)  AND  age_death <= 89.4 (lower half),2,63,0.58938,0.58907,0.01434,0.02096,0.49254,0.69794,False
celltype_astrocyte > 0.235 (high third)  AND  braaksc 3-4 (middle third),2,40,0.57961,0.57936,0.01553,0.01634,0.50746,0.69794,False
celltype_microglia -0.284-0.197 (middle third),1,133,0.60657,0.60656,0.01017,0.00109,0.51244,0.69794,False
celltype_neuron > 0.0321 (upper half)  AND  pmi <= 5.67 (low third),2,62,0.58894,0.58907,0.01434,-0.0091,0.49751,0.69794,False
age_first_ad_dx 86.5-90 (middle third),1,88,0.59579,0.59593,0.01201,-0.01173,0.52239,0.70828,False
cts_mmse30_lv <= 26 (lower half)  AND  pmi <= 5.67 (low third),2,72,0.59043,0.59085,0.01304,-0.03256,0.50249,0.69794,False
pmi <= 6.5 (lower half),1,201,0.6124,0.61266,0.0079,-0.03341,0.49751,0.69794,False
celltype_neuron > 0.194 (high third)  AND  age_at_visit_max 85.7-90 (middle third),2,82,0.59465,0.59548,0.01378,-0.06029,0.53234,0.71533,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_oligodendrocyte <= -0.127 (lower half),2,74,0.59005,0.59085,0.01304,-0.06203,0.51244,0.69794,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_oligodendrocyte <= -0.371 (low third),2,73,0.58989,0.59085,0.01304,-0.07413,0.51244,0.69794,False
celltype_neuron > 0.194 (high third)  AND  educ > 16 (upper half),2,53,0.58318,0.58435,0.01562,-0.07469,0.53234,0.71533,False
cts_mmse30_lv <= 26 (lower half)  AND  age_death <= 89.4 (lower half),2,82,0.59398,0.59548,0.01378,-0.10886,0.57711,0.72988,False
celltype_astrocyte <= -0.186 (low third),1,134,0.60539,0.60656,0.01017,-0.11476,0.55721,0.72988,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_microglia > 0.197 (high third),2,63,0.58734,0.58907,0.01434,-0.12121,0.54726,0.72888,False
Study = MAP,1,252,0.61601,0.61683,0.00605,-0.1348,0.57214,0.72988,False
celltype_astrocyte > 0.235 (high third)  AND  pmi <= 5.67 (low third),2,56,0.58705,0.58907,0.01434,-0.14129,0.55721,0.72988,False
celltype_astrocyte > 0.235 (high third)  AND  educ 14-18 (middle third),2,51,0.58208,0.58435,0.01562,-0.14502,0.57214,0.72988,False
celltype_endothelial <= -0.263 (low third),1,134,0.60507,0.60656,0.01017,-0.14675,0.57214,0.72988,False
celltype_endothelial > 0.217 (high third),1,133,0.60506,0.60656,0.01017,-0.14753,0.57214,0.72988,False
braaksc > 4 (upper half),1,74,0.58889,0.59085,0.01304,-0.15094,0.57214,0.72988,False
braaksc > 4 (high third),1,74,0.58889,0.59085,0.01304,-0.15094,0.57214,0.72988,False
ceradsc = 3,1,43,0.57701,0.57936,0.01553,-0.15114,0.54229,0.72546,False
celltype_astrocyte > 0.235 (high third)  AND  Study = ROS,2,46,0.58188,0.58435,0.01562,-0.1581,0.57711,0.72988,False
braaksc 3-4 (middle third),1,131,0.60491,0.60656,0.01017,-0.16277,0.58706,0.73628,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc > 4 (upper half),2,62,0.58673,0.58907,0.01434,-0.16381,0.57711,0.72988,False
cts_mmse30_lv <= 26 (lower half)  AND  braaksc > 4 (high third),2,62,0.58673,0.58907,0.01434,-0.16381,0.57711,0.72988,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_endothelial > 0.217 (high third),2,46,0.58112,0.58435,0.01562,-0.20655,0.59701,0.73951,False
cts_mmse30_lv <= 26 (lower half)  AND  age_first_ad_dx 86.5-90 (middle third),2,85,0.59263,0.59548,0.01378,-0.20719,0.60697,0.74876,False
cts_mmse30_lv <= 26 (lower half)  AND  age_at_visit_max <= 88.9 (lower half),2,79,0.59236,0.59548,0.01378,-0.22703,0.61194,0.74876,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_astrocyte -0.186-0.235 (middle third),2,70,0.58784,0.59085,0.01304,-0.23164,0.59701,0.73951,False
cts_mmse30_lv <= 26 (lower half)  AND  apoe_genotype = 34,2,40,0.57509,0.57936,0.01553,-0.2744,0.58706,0.73628,False
Study = ROS,1,148,0.60392,0.60722,0.01018,-0.32387,0.59701,0.73951,False
celltype_oligodendrocyte > 0.164 (high third),1,133,0.60296,0.60656,0.01017,-0.35392,0.64677,0.78183,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_neuron <= -0.149 (low third),2,44,0.57382,0.57936,0.01553,-0.35627,0.62189,0.75785,False
educ 14-18 (middle third),1,168,0.60756,0.61085,0.00916,-0.35943,0.61194,0.74876,False
celltype_astrocyte > 0.235 (high third)  AND  apoe_genotype = 33,2,86,0.59116,0.59593,0.01201,-0.39739,0.64677,0.78183,False
cts_mmse30_lv <= 26 (lower half)  AND  educ > 16 (upper half),2,86,0.59071,0.59593,0.01201,-0.43518,0.66667,0.80267,False
celltype_astrocyte > 0.235 (high third)  AND  cts_mmse30_lv > 26 (upper half),2,53,0.57687,0.58435,0.01562,-0.47894,0.69154,0.82601,False
celltype_microglia <= -0.077 (lower half),1,200,0.60885,0.61266,0.0079,-0.48235,0.68159,0.81737,False
celltype_neuron > 0.0321 (upper half)  AND  educ > 16 (upper half),2,77,0.58881,0.59548,0.01378,-0.4843,0.71144,0.84309,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_microglia > 0.197 (high third),2,50,0.57559,0.58435,0.01562,-0.56058,0.72139,0.85153,False
cts_mmse30_lv > 28 (high third),1,90,0.58902,0.59593,0.01201,-0.57569,0.70149,0.83458,False
celltype_astrocyte > 0.235 (high third)  AND  celltype_oligodendrocyte <= -0.371 (low third),2,52,0.5748,0.58435,0.01562,-0.61092,0.73134,0.8599,False
celltype_oligodendrocyte > -0.127 (upper half),1,200,0.60783,0.61266,0.0079,-0.61129,0.76119,0.88123,False
pmi > 7.61 (high third),1,133,0.59997,0.60656,0.01017,-0.64854,0.74627,0.87065,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_neuron <= 0.0321 (lower half),2,99,0.59192,0.599,0.01092,-0.64869,0.74129,0.86821,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_astrocyte <= -0.186 (low third),2,60,0.57889,0.58907,0.01434,-0.71047,0.77114,0.88593,False
age_at_visit_max <= 85.7 (low third),1,134,0.59915,0.60656,0.01017,-0.7293,0.76119,0.88123,False
cts_mmse30_lv <= 26 (lower half)  AND  age_death <= 86.8 (low third),2,45,0.56794,0.57936,0.01553,-0.73491,0.77114,0.88593,False
celltype_neuron > 0.0321 (upper half)  AND  celltype_astrocyte -0.186-0.235 (middle third),2,56,0.57792,0.58907,0.01434,-0.77811,0.78109,0.89395,False
cts_mmse30_lv <= 26 (lower half)  AND  educ 14-18 (middle third),2,84,0.5844,0.59548,0.01378,-0.80445,0.81592,0.91982,False
apoe_genotype = 33,1,256,0.61291,0.61788,0.00617,-0.80644,0.79104,0.90191,False
cts_mmse30_lv <= 23 (low third),1,136,0.5983,0.60744,0.01004,-0.91046,0.801,0.90981,False
celltype_oligodendrocyte <= -0.371 (low third),1,134,0.59715,0.60656,0.01017,-0.92569,0.81592,0.91982,False
cts_mmse30_lv <= 26 (lower half)  AND  age_first_ad_dx <= 86.5 (low third),2,42,0.56495,0.57936,0.01553,-0.92733,0.85075,0.938,False
age_first_ad_dx <= 86.5 (low third),1,44,0.56456,0.57936,0.01553,-0.95297,0.8607,0.93858,False
cts_mmse30_lv <= 26 (lower half)  AND  educ > 18 (high third),2,41,0.56422,0.57936,0.01553,-0.97448,0.87065,0.93858,False
cts_mmse30_lv <= 26 (lower half)  AND  celltype_neuron <= -0.149 (low third),2,72,0.5778,0.59085,0.01304,-1.00166,0.83085,0.92968,False
celltype_neuron > 0.194 (high third)  AND  celltype_oligodendrocyte <= -0.371 (low third),2,42,0.56378,0.57936,0.01553,-1.00293,0.87562,0.93858,False
age_death <= 89.4 (lower half),1,200,0.60464,0.61266,0.0079,-1.01479,0.8408,0.93044,False
cts_mmse30_lv <= 26 (lower half)  AND  age_at_visit_max <= 85.7 (low third),2,47,0.56784,0.58435,0.01562,-1.05658,0.83085,0.92968,False
celltype_neuron > 0.0321 (upper half)  AND  cogdx = 4,2,55,0.5732,0.58907,0.01434,-1.10738,0.83582,0.93044,False
celltype_neuron > 0.0321 (upper half)  AND  dcfdx_lv = 4,2,51,0.56636,0.58435,0.01562,-1.15125,0.87065,0.93858,False
cts_mmse30_first_ad_dx > 21 (upper half),1,55,0.57241,0.58907,0.01434,-1.16268,0.8408,0.93044,False
cts_mmse30_first_ad_dx <= 18 (low third),1,48,0.56614,0.58435,0.01562,-1.16566,0.88557,0.93858,False
cts_mmse30_lv <= 26 (lower half)  AND  cts_mmse30_first_ad_dx <= 18 (low third),2,48,0.56614,0.58435,0.01562,-1.16566,0.88557,0.93858,False
cts_mmse30_lv <= 26 (lower half)  AND  ceradsc = 1,2,78,0.57939,0.59548,0.01378,-1.16786,0.89055,0.94054,False
age_at_visit_max <= 88.9 (lower half),1,200,0.60339,0.61266,0.0079,-1.17334,0.8806,0.93858,False
msex = 1,1,119,0.59103,0.60413,0.01094,-1.19759,0.88557,0.93858,False
cts_mmse30_lv <= 26 (lower half)  AND  cts_mmse30_first_ad_dx > 21 (upper half),2,51,0.56558,0.58435,0.01562,-1.20159,0.90547,0.94634,False
celltype_astrocyte > 0.235 (high third)  AND  educ > 16 (upper half),2,57,0.57164,0.58907,0.01434,-1.21591,0.87065,0.93858,False
age_death <= 86.8 (low third),1,134,0.59397,0.60656,0.01017,-1.23907,0.88557,0.93858,False
cts_mmse30_lv <= 26 (lower half)  AND  age_first_ad_dx <= 89 (lower half),2,63,0.57105,0.58907,0.01434,-1.25728,0.8806,0.93858,False
celltype_neuron > 0.0321 (upper half)  AND  ceradsc = 1,2,48,0.56427,0.58435,0.01562,-1.28482,0.9204,0.95862,False
age_first_ad_dx <= 89 (lower half),1,66,0.57317,0.59085,0.01304,-1.3568,0.90547,0.94634,False
cts_mmse30_lv > 26 (upper half),1,190,0.60159,0.61252,0.00805,-1.35863,0.89552,0.94249,False
educ > 16 (upper half),1,153,0.59289,0.60722,0.01018,-1.40714,0.95025,0.97338,False
celltype_astrocyte > 0.235 (high third)  AND  ceradsc = 1,2,40,0.5555,0.57936,0.01553,-1.53593,0.9403,0.97261,False
educ > 18 (high third),1,74,0.5698,0.59085,0.01304,-1.61561,0.9403,0.97261,False
celltype_astrocyte > 0.235 (high third)  AND  cogdx = 4,2,42,0.55391,0.57936,0.01553,-1.63856,0.95025,0.97338,False
cogdx = 4,1,109,0.58336,0.60227,0.01113,-1.699,0.9602,0.97338,False
dcfdx_lv = 4,1,104,0.58018,0.599,0.01092,-1.72363,0.95522,0.97338,False
celltype_neuron <= -0.149 (low third),1,134,0.58894,0.60656,0.01017,-1.73303,0.96517,0.97338,False
cts_mmse30_lv <= 26 (lower half)  AND  cogdx = 4,2,106,0.58296,0.60227,0.01113,-1.73411,0.97015,0.97338,False
cts_mmse30_lv <= 26 (lower half)  AND  dcfdx_lv = 4,2,102,0.57929,0.599,0.01092,-1.80512,0.9602,0.97338,False
celltype_astrocyte -0.186-0.235 (middle third),1,133,0.58649,0.60656,0.01017,-1.97421,0.97015,0.97338,False
celltype_neuron <= 0.0321 (lower half),1,200,0.59634,0.61266,0.0079,-2.06492,0.97015,0.97338,False
ceradsc = 1,1,113,0.5762,0.60227,0.01113,-2.34171,0.98507,0.98507,False
