region,depth,n_listed,n_usable,auroc,null_usable,z_fixed,p_fixed,z_orig,q_orig,q_fixed,strong_fixed
PMI <= 5.17 (low third)  AND  amyAny = 1,2,178,178,0.64889,0.6356,1.66452,0.05473,2.01316,0.1489,0.26652,False
PMI <= 6.83 (lower half)  AND  celltype_neuron <= -0.0632 (low third),2,128,107,0.64751,0.6269,1.89112,0.02985,1.99139,0.08934,0.22388,False
PMI <= 6.83 (lower half)  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,345,345,0.65128,0.64065,2.09468,0.00995,1.98651,0.17517,0.19639,False
celltype_neuron <= 0.103 (lower half)  AND  PMI <= 5.17 (low third),2,143,117,0.64817,0.63033,1.77109,0.0398,1.98401,0.13029,0.25297,False
celltype_neuron <= 0.103 (lower half)  AND  PMI <= 6.83 (lower half),2,220,187,0.65091,0.63496,1.94267,0.04478,1.97617,0.10971,0.25441,False
race = White  AND  isHispanic = FALSE,2,430,366,0.65103,0.64145,1.98293,0.0398,1.97486,0.14053,0.25297,False
celltype_neuron <= 0.103 (lower half)  AND  isHispanic = FALSE,2,343,287,0.65117,0.63943,1.98145,0.01493,1.97108,0.18199,0.22388,False
PMI <= 5.17 (low third)  AND  celltype_oligodendrocyte <= -0.11 (lower half),2,140,121,0.64766,0.63033,1.72096,0.0398,1.93912,0.13029,0.25297,False
celltype_neuron <= -0.0632 (low third)  AND  PMI 5.17-10 (middle third),2,96,82,0.64649,0.62296,1.93848,0.02488,1.9331,0.08934,0.22388,False
PMI <= 5.17 (low third)  AND  Braak = Stage III,2,50,44,0.63778,0.60846,1.90356,0.02985,1.92765,0.1489,0.22388,False
PMI <= 6.83 (lower half)  AND  cohort = ROS,2,109,109,0.64487,0.6269,1.64893,0.06468,1.9219,0.08934,0.26652,False
race = White,1,465,401,0.64974,0.64147,1.99272,0.02488,1.91996,0.15882,0.22388,False
celltype_neuron <= -0.0632 (low third)  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,199,197,0.64965,0.63573,1.81978,0.04478,1.91773,0.14053,0.25441,False
race = White  AND  reag = Intermediate Likelihood,2,144,144,0.64742,0.63143,1.56595,0.07463,1.91714,0.13029,0.27985,False
PMI <= 5.17 (low third)  AND  ageDeath > 83.6 (upper half),2,171,147,0.64707,0.63216,1.847,0.04478,1.91315,0.08934,0.25441,False
race = White  AND  derivedOutcomeBasedOnMayoDx = FALSE,2,403,401,0.64974,0.64147,1.99272,0.02488,1.90837,0.15882,0.22388,False
PMI <= 5.17 (low third)  AND  amyCerad = Moderate/Probable/C2,2,62,62,0.64097,0.61572,1.67667,0.04975,1.88663,0.15882,0.26277,False
PMI <= 6.83 (lower half)  AND  Braak = Stage III,2,71,64,0.63722,0.61572,1.42813,0.07463,1.86967,0.1489,0.27985,False
PMI <= 6.83 (lower half)  AND  celltype_endothelial <= -0.0425 (lower half),2,206,167,0.64923,0.63459,1.65918,0.06468,1.82978,0.14053,0.26652,False
PMI <= 5.17 (low third)  AND  cohort = ROS,2,85,85,0.64099,0.62296,1.48535,0.0597,1.81635,0.10971,0.26652,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_microglia -0.289-0.179 (middle third),2,159,108,0.64608,0.6269,1.75972,0.0398,1.80772,0.14053,0.25297,False
PMI <= 6.83 (lower half)  AND  isHispanic = FALSE,2,341,310,0.65004,0.63998,1.72993,0.04975,1.80294,0.18951,0.26277,False
celltype_neuron <= 0.103 (lower half)  AND  dataContributionGroup = Rush,2,191,191,0.64816,0.63496,1.60703,0.05473,1.79898,0.16751,0.26652,False
celltype_neuron <= -0.0632 (low third)  AND  celltype_microglia -0.289-0.179 (middle third),2,101,58,0.64464,0.61572,1.92083,0.02985,1.79656,0.14053,0.22388,False
race = White  AND  dataContributionGroup = Emory,2,62,61,0.6394,0.61572,1.57254,0.0597,1.79128,0.15882,0.26652,False
celltype_neuron <= 0.103 (lower half)  AND  Braak = Stage IV,2,76,69,0.64059,0.61761,1.72332,0.05473,1.78883,0.10971,0.26652,False
race = White  AND  ageDeath > 83.6 (upper half),2,308,263,0.65008,0.63843,1.83933,0.04975,1.76878,0.15882,0.26277,False
celltype_neuron <= 0.103 (lower half)  AND  bScore = Braak Stage III-IV,2,142,122,0.64572,0.63033,1.52827,0.06468,1.76657,0.15882,0.26652,False
celltype_neuron <= -0.0632 (low third),1,322,197,0.64965,0.63573,1.81978,0.04478,1.74825,0.1489,0.25441,False
PMI <= 6.83 (lower half)  AND  ageDeath <= 83.6 (lower half),2,160,121,0.64545,0.63033,1.50146,0.06965,1.7473,0.1489,0.27787,False
PMI <= 5.17 (low third)  AND  apoeGenotype = 33,2,125,97,0.64248,0.62688,1.29039,0.10945,1.7322,0.18951,0.34204,False
celltype_neuron <= 0.103 (lower half)  AND  amyCerad = Moderate/Probable/C2,2,78,78,0.63976,0.62296,1.38361,0.06965,1.73172,0.14053,0.27787,False
PMI <= 6.83 (lower half)  AND  dataContributionGroup = Rush,2,181,181,0.64619,0.6356,1.32541,0.0796,1.73001,0.18199,0.28429,False
celltype_neuron <= 0.103 (lower half)  AND  celltype_endothelial -0.298-0.239 (middle third),2,124,93,0.64235,0.62506,1.5319,0.0597,1.72076,0.18951,0.26652,False
