region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_astrocyte <= 0.00686 (lower half),1,95,0.58089,0.57499,0.00828,0.7131,0.22388,0.65098,False
celltype_neuron > 0.187 (high third),1,63,0.57595,0.56875,0.01042,0.69037,0.26866,0.65098,False
celltype_microglia > 0.00693 (upper half)  AND  lastMMSE <= 25 (lower half),2,56,0.57576,0.56875,0.01042,0.67261,0.26866,0.65098,False
celltype_microglia > 0.00693 (upper half)  AND  PlaqueTotal > 12.1 (upper half),2,53,0.57561,0.56764,0.01267,0.6288,0.29353,0.65821,False
PlaqueTotal > 12.1 (upper half),1,95,0.58014,0.57499,0.00828,0.62239,0.25373,0.65098,False
PlaqueTotal > 13.5 (high third)  AND  TangleTotal > 11.8 (high third),2,40,0.57349,0.56482,0.01414,0.61271,0.26866,0.65098,False
sex = female  AND  celltype_astrocyte <= 0.00686 (lower half),2,43,0.57324,0.56482,0.01414,0.59534,0.27861,0.65821,False
apoeGenotype = e3-3  AND  ageDeath > 86 (upper half),2,48,0.57475,0.56764,0.01267,0.56097,0.30348,0.65821,False
celltype_neuron -0.147-0.187 (middle third),1,63,0.57434,0.56875,0.01042,0.53591,0.30348,0.65821,False
pmi <= 3 (lower half),1,117,0.58042,0.57717,0.00667,0.48716,0.32338,0.65821,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_neuron <= -0.147 (low third),2,44,0.57153,0.56482,0.01414,0.47462,0.31841,0.65821,False
celltype_microglia > 0.00693 (upper half)  AND  ageDeath <= 86 (lower half),2,53,0.57333,0.56764,0.01267,0.44912,0.35821,0.65821,False
PlaqueTotal > 13.5 (high third)  AND  celltype_neuron <= -1.75e-05 (lower half),2,42,0.57116,0.56482,0.01414,0.44816,0.32836,0.65821,False
lastMMSE > 28 (high third),1,48,0.5732,0.56764,0.01267,0.43835,0.35821,0.65821,False
celltype_microglia <= -0.272 (low third),1,64,0.57332,0.56875,0.01042,0.43792,0.33333,0.65821,False
apoeGenotype = e3-3  AND  PlaqueTotal <= 12.1 (lower half),2,56,0.57324,0.56875,0.01042,0.43065,0.33333,0.65821,False
ageDeath <= 82 (low third),1,73,0.57517,0.57096,0.00992,0.42486,0.34826,0.65821,False
pmi <= 2.5 (low third),1,65,0.57291,0.56875,0.01042,0.39906,0.33831,0.65821,False
apoeGenotype = e3-3  AND  diagnosis = control,2,63,0.57288,0.56875,0.01042,0.39549,0.34328,0.65821,False
apoeGenotype = e3-3  AND  TangleTotal <= 6 (low third),2,40,0.57004,0.56482,0.01414,0.36901,0.36816,0.65821,False
celltype_neuron > -1.75e-05 (upper half),1,95,0.57774,0.57499,0.00828,0.33178,0.38806,0.65821,False
celltype_microglia > 0.252 (high third),1,63,0.57211,0.56875,0.01042,0.32218,0.38308,0.65821,False
celltype_microglia > 0.00693 (upper half)  AND  CERAD = 3,2,60,0.57203,0.56875,0.01042,0.31421,0.38806,0.65821,False
celltype_microglia > 0.00693 (upper half)  AND  TangleTotal > 8 (upper half),2,55,0.57203,0.56875,0.01042,0.31407,0.38806,0.65821,False
sex = female  AND  PlaqueTotal <= 12.1 (lower half),2,47,0.57157,0.56764,0.01267,0.30966,0.40299,0.65821,False
PlaqueTotal 8-13.5 (middle third),1,69,0.57368,0.57096,0.00992,0.27438,0.39303,0.65821,False
ageDeath > 88 (high third),1,63,0.57147,0.56875,0.01042,0.2608,0.39303,0.65821,False
pmi 2.5-3.25 (middle third),1,66,0.5733,0.57096,0.00992,0.23651,0.40299,0.65821,False
celltype_oligodendrocyte <= -0.129 (lower half),1,95,0.57687,0.57499,0.00828,0.22768,0.41791,0.65821,False
celltype_astrocyte > 0.213 (high third),1,63,0.57108,0.56875,0.01042,0.22328,0.39801,0.65821,False
ageDeath > 86 (upper half),1,86,0.57671,0.57496,0.00819,0.21396,0.40796,0.65821,False
celltype_microglia > 0.00693 (upper half)  AND  sex = male,2,57,0.57074,0.56875,0.01042,0.19062,0.40796,0.65821,False
lastMMSE <= 18 (low third),1,67,0.57255,0.57096,0.00992,0.16037,0.43781,0.67112,False
apoeGenotype = e3-3  AND  TangleTotal <= 8 (lower half),2,62,0.57035,0.56875,0.01042,0.15324,0.41791,0.65821,False
sex = female  AND  lastMMSE <= 25 (lower half),2,40,0.56678,0.56482,0.01414,0.13848,0.45274,0.67112,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_endothelial <= -0.0477 (lower half),2,42,0.56623,0.56482,0.01414,0.09956,0.45274,0.67112,False
sex = female  AND  celltype_neuron <= -1.75e-05 (lower half),2,43,0.56618,0.56482,0.01414,0.09647,0.45274,0.67112,False
apoeGenotype = e3-3  AND  lastMMSE 18-28 (middle third),2,41,0.56603,0.56482,0.01414,0.08525,0.45274,0.67112,False
TangleTotal <= 8 (lower half),1,98,0.57558,0.57499,0.00828,0.07143,0.50249,0.71741,False
sex = female  AND  celltype_endothelial > -0.0477 (upper half),2,50,0.56852,0.56764,0.01267,0.0688,0.49254,0.71333,False
celltype_oligodendrocyte > -0.129 (upper half),1,95,0.57555,0.57499,0.00828,0.06817,0.50746,0.71741,False
celltype_microglia > 0.00693 (upper half)  AND  lastMMSE <= 18 (low third),2,42,0.56516,0.56482,0.01414,0.02424,0.47264,0.69247,False
celltype_oligodendrocyte -0.462-0.276 (middle third),1,63,0.56829,0.56875,0.01042,-0.04471,0.51244,0.71741,False
celltype_microglia > 0.00693 (upper half)  AND  diagnosis = Alzheimer Disease,2,50,0.5668,0.56764,0.01267,-0.06641,0.54229,0.73471,False
apoeGenotype = e3-3  AND  lastMMSE > 25 (upper half),2,56,0.56788,0.56875,0.01042,-0.0842,0.52239,0.72331,False
TangleTotal > 8 (upper half),1,92,0.57424,0.57496,0.00819,-0.08761,0.53234,0.72907,False
ageDeath <= 86 (lower half),1,104,0.5741,0.57499,0.00828,-0.10808,0.55721,0.74139,False
celltype_endothelial > -0.0477 (upper half),1,95,0.57382,0.57499,0.00828,-0.14142,0.56716,0.74139,False
celltype_neuron <= -1.75e-05 (lower half),1,95,0.57376,0.57499,0.00828,-0.14862,0.57214,0.74139,False
diagnosis = Alzheimer Disease,1,90,0.57341,0.57496,0.00819,-0.1885,0.57711,0.74139,False
apoeGenotype = e3-3  AND  sex = male,2,53,0.56499,0.56764,0.01267,-0.20969,0.60199,0.74139,False
diagnosis = control,1,100,0.57308,0.57499,0.00828,-0.2311,0.59701,0.74139,False
celltype_neuron <= -0.147 (low third),1,64,0.56631,0.56875,0.01042,-0.23465,0.58209,0.74139,False
celltype_microglia > 0.00693 (upper half)  AND  celltype_astrocyte > 0.00686 (upper half),2,48,0.56447,0.56764,0.01267,-0.25084,0.61194,0.74139,False
celltype_endothelial <= -0.261 (low third),1,64,0.56613,0.56875,0.01042,-0.2516,0.59204,0.74139,False
celltype_microglia -0.272-0.252 (middle third),1,63,0.5659,0.56875,0.01042,-0.27357,0.59204,0.74139,False
apoeGenotype = e3-3  AND  celltype_neuron > -1.75e-05 (upper half),2,51,0.56406,0.56764,0.01267,-0.28253,0.62687,0.75224,False
TangleTotal <= 6 (low third),1,64,0.56503,0.56875,0.01042,-0.3575,0.61194,0.74139,False
celltype_endothelial <= -0.0477 (lower half),1,95,0.57187,0.57499,0.00828,-0.37748,0.63682,0.75697,False
PlaqueTotal <= 12.1 (lower half),1,95,0.57165,0.57499,0.00828,-0.40329,0.65174,0.76036,False
sex = female  AND  celltype_microglia <= 0.00693 (lower half),2,43,0.55808,0.56482,0.01414,-0.47661,0.65174,0.76036,False
ageDeath 82-88 (middle third),1,54,0.55963,0.56764,0.01267,-0.63224,0.69652,0.80194,False
pmi > 3.25 (high third),1,59,0.56187,0.56875,0.01042,-0.65992,0.75124,0.8231,False
apoeGenotype = e3-3  AND  celltype_microglia <= 0.00693 (lower half),2,48,0.55899,0.56764,0.01267,-0.68314,0.70647,0.80194,False
apoeGenotype = e3-4,1,62,0.56163,0.56875,0.01042,-0.68319,0.75124,0.8231,False
Braak = 5,1,48,0.55892,0.56764,0.01267,-0.68844,0.70647,0.80194,False
celltype_microglia > 0.00693 (upper half)  AND  TangleTotal > 11.8 (high third),2,41,0.55482,0.56482,0.01414,-0.70685,0.74627,0.8231,False
