ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,SAR1A,AP2A1,ECE1,SNX6,SEC24D,VPS35,ARF6,COPB1,RAB1A,BIN1,HSPA5,VLDLR,COPG1,APBA2,PLG,SEC23A,RAB1B,IDE,LRP1,COPZ1,OSBP,ADAM17,COPG2,AP3B2,COPE,SIGMAR1,ABCA7,COPB2,VPS26A,BACE1,ADAM10,GGA2,SYK,RTN4,MIA3,MFN2,SEC13,SORL1,PREB,TMED2,AP1G1,APP,SEC24C,MAPK14,VDAC1,ITPR2,SEC16A,SORT1,SEC23B,VPS29,TMED9,PSEN1,PICALM,MAP2K3,SEC31A,NCSTN,SNX4,APBA1,SEC24A,AP4S1,MAPKAPK2,APOE,GGA1,AP2B1,TMED10,HSPA9,ITPR1,CLU,COPA,RTN3,EIF2S1,AP4M1,AP4B1,GGA3,SEC24B,PLCG2,SAR1B,GORASP1,SREBF2,AP4E1
1,SORT1,AP2B1,OSBP,LRP1,ADAM10,VPS29,VPS26A,VDAC1,TMED9,BIN1,TMED2,RAB1A,EIF2S1,VPS35,TMED10,ARF6,SYK,ITPR2,AP3B2,AP1G1,AP4B1,IDE,COPG2,SEC16A,PLG,ADAM17,APBA2,VLDLR,SEC24C,COPZ1,SIGMAR1,COPE,PICALM,ABCA7,AP4S1,APP,MAPKAPK2,NCSTN,RAB1B,COPB2,COPG1,MIA3,RTN4,MFN2,BACE1,MAP2K3,SNX6,SORL1,SAR1A,ECE1,COPB1,PREB,ITPR1,SEC13,GGA2,SEC24A,SEC23B,COPA,RTN3,SNX4,PSEN1,MAPK14,AP4E1,HSPA9,CLU,HSPA5,SEC31A,APOE,SEC23A,APBA1,GORASP1,SAR1B,AP2A1,PLCG2,SEC24B,SEC24D,GGA3,GGA1,AP4M1,SREBF2
2,VPS26A,VPS29,SEC23A,ARF6,SEC24B,HSPA9,ITPR2,ADAM17,GGA3,APBA2,ADAM10,SEC13,MAPK14,SEC23B,RAB1A,RAB1B,SORT1,PLG,COPE,TMED10,RTN3,IDE,AP3B2,VLDLR,TMED9,SEC16A,AP2B1,PREB,CLU,VDAC1,SAR1A,COPG2,RTN4,BACE1,MIA3,COPZ1,HSPA5,SYK,AP4S1,GGA2,PICALM,SNX6,MAP2K3,AP1G1,NCSTN,COPB1,COPG1,BIN1,COPA,AP2A1,SNX4,MFN2,LRP1,ECE1,MAPKAPK2,OSBP,AP4B1,TMED2,SIGMAR1,COPB2,ABCA7,EIF2S1,SEC24C,SEC24D,PSEN1,SEC24A,SEC31A,APOE,SORL1,AP4E1,VPS35,APP,APBA1,AP4M1,GGA1,GORASP1,PLCG2,ITPR1,SREBF2,SAR1B
3,SEC16A,SORT1,AP1G1,BIN1,ADAM17,ITPR2,SNX4,AP3B2,SYK,VPS26A,VPS29,TMED10,SEC31A,RAB1A,PREB,GGA2,ABCA7,MAPKAPK2,RAB1B,PICALM,SIGMAR1,MIA3,NCSTN,MFN2,ARF6,AP4B1,VDAC1,ADAM10,LRP1,IDE,COPG2,PLG,HSPA9,VPS35,AP4S1,ECE1,MAP2K3,SEC24D,OSBP,COPG1,SEC13,TMED2,CLU,BACE1,RTN4,SEC23B,APBA2,COPB1,TMED9,HSPA5,SAR1A,GORASP1,SNX6,SEC23A,PSEN1,EIF2S1,APP,VLDLR,SEC24A,AP4E1,RTN3,AP2A1,APOE,COPB2,SORL1,SAR1B,SEC24C,PLCG2,AP2B1,COPA,COPE,APBA1,COPZ1,MAPK14,ITPR1,GGA3,SEC24B,AP4M1,SREBF2,GGA1
4,VPS26A,RAB1B,TMED10,VPS29,ARF6,HSPA9,SORL1,TMED9,VLDLR,ADAM17,SNX4,BIN1,SNX6,GGA2,HSPA5,COPE,MFN2,SIGMAR1,IDE,ABCA7,SYK,VPS35,MAPK14,SEC24D,LRP1,COPG2,SORT1,PREB,RAB1A,ITPR2,SEC23A,APBA2,PLG,AP4B1,COPA,COPZ1,AP2B1,AP1G1,AP4S1,MIA3,SEC24C,RTN4,EIF2S1,MAP2K3,ECE1,OSBP,COPG1,AP3B2,SEC31A,SEC24B,NCSTN,COPB1,SEC13,APBA1,ADAM10,SEC24A,SEC23B,RTN3,TMED2,APOE,SEC16A,PSEN1,APP,VDAC1,CLU,GGA3,PICALM,AP2A1,AP4E1,SAR1A,MAPKAPK2,SAR1B,COPB2,GGA1,GORASP1,AP4M1,SREBF2,BACE1,ITPR1,PLCG2
5,LRP1,BIN1,GGA2,ADAM10,ECE1,ADAM17,ITPR2,TMED10,AP3B2,PREB,SIGMAR1,MIA3,SEC13,IDE,RAB1B,EIF2S1,VDAC1,VPS26A,SEC16A,SEC24D,AP4B1,COPG1,AP2B1,COPB1,MFN2,SYK,COPG2,AP1G1,VPS29,OSBP,RTN4,RAB1A,ARF6,SNX4,APBA2,MAPK14,ABCA7,APOE,RTN3,COPE,VPS35,SNX6,SAR1B,SEC24C,HSPA5,TMED2,PICALM,MAPKAPK2,CLU,MAP2K3,SEC23B,PSEN1,APP,PLG,NCSTN,TMED9,AP4S1,COPZ1,COPB2,SORL1,SAR1A,VLDLR,BACE1,SEC31A,SEC24B,GGA3,AP4E1,APBA1,SEC23A,GORASP1,AP2A1,ITPR1,PLCG2,SEC24A,HSPA9,GGA1,COPA,SREBF2,SORT1,AP4M1
6,ARF6,VPS26A,SYK,VPS29,TMED2,NCSTN,MAPK14,APBA2,EIF2S1,TMED10,SIGMAR1,COPG2,SAR1B,AP4B1,HSPA9,GGA2,HSPA5,RAB1A,PLG,AP4S1,SNX4,SEC13,AP1G1,ADAM10,SEC16A,MIA3,COPB1,PICALM,TMED9,COPG1,RTN3,ITPR2,ABCA7,PREB,BIN1,COPA,IDE,VPS35,RTN4,SEC23A,OSBP,AP2A1,ECE1,SEC24D,BACE1,MAP2K3,LRP1,VLDLR,COPZ1,SNX6,SORT1,SEC23B,VDAC1,GGA3,SEC24C,SEC24B,APOE,ADAM17,SEC24A,COPE,SORL1,PSEN1,MAPKAPK2,CLU,MFN2,AP2B1,APP,AP4M1,PLCG2,COPB2,APBA1,SEC31A,RAB1B,GGA1,GORASP1,AP3B2,ITPR1,SAR1A,AP4E1,SREBF2
7,MFN2,SNX6,TMED2,BIN1,VPS29,RAB1B,SEC13,TMED9,HSPA5,COPB1,ADAM17,COPG1,APBA2,VPS26A,AP3B2,SORL1,TMED10,SORT1,RTN4,SNX4,RAB1A,GGA2,ECE1,ARF6,SEC24D,MAPK14,MIA3,BACE1,PREB,VPS35,ITPR2,AP1G1,COPA,VDAC1,AP2B1,AP4S1,SEC23A,LRP1,RTN3,SIGMAR1,ABCA7,VLDLR,PICALM,COPG2,PLG,APBA1,SYK,ADAM10,APOE,NCSTN,SEC23B,GGA1,SEC24C,OSBP,IDE,MAP2K3,APP,PSEN1,SAR1A,GGA3,SEC24A,AP4B1,COPB2,MAPKAPK2,COPZ1,HSPA9,COPE,AP2A1,PLCG2,GORASP1,EIF2S1,SEC16A,SREBF2,SEC31A,ITPR1,SEC24B,AP4E1,SAR1B,CLU,AP4M1
8,ARF6,SEC13,VPS29,ECE1,NCSTN,BIN1,EIF2S1,AP4B1,ABCA7,PREB,RAB1A,COPE,RAB1B,SORL1,LRP1,VPS26A,MAPK14,AP2B1,TMED2,OSBP,VPS35,ADAM10,SORT1,MIA3,APBA1,COPG2,SIGMAR1,SEC23A,COPG1,COPB1,SNX4,ITPR2,SEC16A,VLDLR,HSPA9,MAP2K3,COPZ1,PICALM,ADAM17,MAPKAPK2,HSPA5,COPA,SNX6,TMED9,TMED10,PLG,GGA2,APP,AP1G1,SAR1A,RTN4,BACE1,RTN3,VDAC1,IDE,SEC31A,PLCG2,SAR1B,APBA2,SEC23B,MFN2,GGA3,SYK,SEC24C,AP3B2,CLU,SEC24A,APOE,SEC24D,AP4S1,AP2A1,ITPR1,GORASP1,SEC24B,GGA1,AP4E1,SREBF2,COPB2,AP4M1,PSEN1
9,COPG1,RAB1B,AP2B1,COPG2,PLG,SIGMAR1,ECE1,ARF6,SEC24D,SEC23A,ADAM17,RTN3,HSPA9,SEC31A,PREB,SAR1A,IDE,COPB1,MAPK14,RTN4,MIA3,ABCA7,VPS26A,AP3B2,SORL1,MFN2,LRP1,RAB1A,AP4B1,VPS29,SEC24A,SEC24C,SORT1,SEC23B,TMED10,MAP2K3,COPA,APOE,NCSTN,SNX4,ITPR2,SAR1B,SEC16A,APBA2,HSPA5,ADAM10,BIN1,SEC13,MAPKAPK2,AP1G1,PICALM,SYK,TMED2,AP4S1,PLCG2,VPS35,OSBP,GORASP1,COPE,GGA3,SNX6,BACE1,APBA1,TMED9,COPZ1,CLU,VDAC1,GGA2,GGA1,VLDLR,ITPR1,APP,EIF2S1,AP2A1,PSEN1,SEC24B,AP4M1,AP4E1,COPB2,SREBF2
