region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_neuron > 0.187 (high third),1,63,0.57226,0.56403,0.01127,0.73037,0.21393,0.48442,False
celltype_endothelial <= -0.0477 (lower half)  AND  sex = male,2,64,0.57204,0.56403,0.01127,0.71133,0.21891,0.48442,False
ageDeath <= 82 (low third),1,73,0.57211,0.56541,0.00962,0.69681,0.27363,0.5148,False
celltype_oligodendrocyte > 0.276 (high third),1,63,0.5717,0.56403,0.01127,0.6812,0.22886,0.48442,False
celltype_endothelial <= -0.0477 (lower half)  AND  lastMMSE 18-28 (middle third),2,40,0.56606,0.55721,0.01322,0.66949,0.25373,0.48559,False
celltype_endothelial <= -0.0477 (lower half)  AND  celltype_astrocyte <= 0.00686 (lower half),2,59,0.57126,0.56403,0.01127,0.64158,0.24876,0.48442,False
celltype_endothelial <= -0.0477 (lower half)  AND  CERAD = 3,2,46,0.56782,0.56036,0.0117,0.63768,0.24876,0.48442,False
celltype_endothelial <= -0.0477 (lower half)  AND  celltype_microglia <= 0.00693 (lower half),2,53,0.56776,0.56036,0.0117,0.63287,0.24876,0.48442,False
celltype_endothelial <= -0.0477 (lower half)  AND  PlaqueTotal <= 12.1 (lower half),2,56,0.57114,0.56403,0.01127,0.63073,0.24876,0.48442,False
ageDeath <= 86 (lower half),1,104,0.57824,0.57316,0.00809,0.62759,0.24378,0.48442,False
apoeGenotype = e3-3  AND  ageDeath > 86 (upper half),2,48,0.56748,0.56036,0.0117,0.60922,0.24876,0.48442,False
celltype_astrocyte -0.218-0.213 (middle third),1,63,0.57016,0.56403,0.01127,0.54399,0.30846,0.54347,False
celltype_endothelial <= -0.0477 (lower half)  AND  TangleTotal <= 8 (lower half),2,56,0.57015,0.56403,0.01127,0.5433,0.30846,0.54347,False
apoeGenotype = e3-3  AND  lastMMSE 18-28 (middle third),2,41,0.56388,0.55721,0.01322,0.50465,0.30846,0.54347,False
celltype_endothelial <= -0.261 (low third)  AND  lastMMSE > 25 (upper half),2,40,0.56386,0.55721,0.01322,0.50335,0.30846,0.54347,False
celltype_endothelial <= -0.0477 (lower half)  AND  celltype_neuron > -1.75e-05 (upper half),2,58,0.56899,0.56403,0.01127,0.43986,0.34328,0.56872,False
celltype_endothelial <= -0.261 (low third)  AND  TangleTotal <= 8 (lower half),2,42,0.5626,0.55721,0.01322,0.40749,0.34328,0.56872,False
celltype_microglia > 0.00693 (upper half),1,95,0.57642,0.57316,0.00809,0.402,0.32338,0.55224,False
PlaqueTotal <= 12.1 (lower half),1,95,0.57638,0.57316,0.00809,0.39766,0.32338,0.55224,False
