source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
COPA,COPG2,0.6,0.0,0.0,190,0.0021628098953091882,0.01458836478404629,0
COPA,COPZ1,0.6,0.0,0.0,190,0.45409404433253064,0.636286563138047,0
COPA,GORASP1,0.3,0.0,0.0,52,0.09364233003776787,0.23324291915269205,0
COPA,RAB1A,0.3,0.0,0.0,190,0.07115188837630969,0.19255727328989541,0
COPA,TMED10,0.4,0.0,0.0,190,0.06680868940561306,0.18603731484785452,0
SORL1,EIF2S1,0.2,0.0,0.0,190,0.0006970642833232641,0.005994752836580072,0
COPA,COPE,0.6,0.0,0.0,190,0.5882387578419311,0.7520730617651736,0
PSEN1,NCSTN,0.8,0.0,0.0,190,0.037304251314853015,0.12280059762975538,0
RAB1A,ARF6,0.3,0.0,0.0,190,0.6776885857799821,0.820862230663077,0
RAB1A,GORASP1,0.3,0.0,0.0,52,0.2762880937112679,0.46249685759939735,0
RAB1B,ARF6,0.3,0.0,0.0,190,0.44529737891804927,0.6277963047041349,0
RAB1B,COPA,0.5,0.0,0.0,190,0.7925774131725173,0.9013111739879205,0
TMED2,TMED9,0.7,0.0,0.0,190,1.136326859855189e-09,5.5842348541455e-08,0
AP4E1,AP4B1,0.4,0.0,0.0,78,0.03178043022308715,0.10842416767271602,0
APOE,ABCA7,0.7,0.0,0.0,114,0.5906107153147936,0.7520730617651736,0
SEC24D,SAR1B,0.5,0.0,0.0,190,0.507588385841426,0.6825014494632746,0
SEC24D,SEC23A,0.5,0.0,0.0,190,0.8366172977733541,0.9356241097391345,0
SEC24D,SEC23B,0.5,0.0,0.0,190,0.9062932529084089,0.9757899186243902,0
SEC31A,TMED10,0.2,0.0,0.0,190,0.2812913591338134,0.4685919009299362,0
SEC31A,TMED2,0.2,0.0,0.0,190,0.6118198692460317,0.767900270783525,0
SIGMAR1,MFN2,0.3,0.0,0.0,155,0.746918297313144,0.8724614406645893,0
APOE,LRP1,0.6,0.0,0.0,190,0.1927352869836134,0.3742295283585568,0
VDAC1,TMED10,0.4,0.0,0.0,190,0.00014832120291423,0.0015009965574988681,0
SEC24D,SAR1A,0.6,0.0,0.0,190,0.3007149899256445,0.48910617746771495,0
SEC24D,OSBP,0.4,0.0,0.0,190,0.001790319030801102,0.01310361162969317,0
SEC24C,SEC23A,0.5,0.0,0.0,190,5.77963279041435e-06,9.037243999556983e-05,0
SEC24B,SEC23A,0.4,0.0,0.0,190,0.0009068065398113533,0.007499272162097621,0
SEC23B,TMED2,0.3,0.0,0.0,190,0.4103657568971514,0.5994302351278984,0
SEC23B,SAR1A,0.4,0.0,0.0,190,0.9497891848968514,0.9883101592021,0
SEC23A,TMED10,0.3,0.0,0.0,190,0.5335665003429093,0.7039100909642767,0
GGA1,SORL1,0.3,0.0,0.0,190,0.2468307102331497,0.435492234165483,0
GGA1,BACE1,0.7,0.0,0.0,182,0.1284181194233402,0.2935271301104919,0
EIF2S1,PSEN1,0.2,0.0,0.0,190,0.7152254313293445,0.8425943437578578,0
EIF2S1,MAPK14,0.3,0.0,0.0,181,0.15119251913124454,0.3220447466324961,0
SORL1,LRP1,0.5,0.0,0.0,190,3.386315608073215e-07,8.628833845756934e-06,0
SORT1,GGA2,0.3,0.0,0.0,190,0.004566873092111818,0.024356656491263028,0
OSBP,ITPR1,0.3,0.0,0.0,190,0.024420696271968564,0.08936935656975731,0
SORL1,PSEN1,0.2,0.0,0.0,190,0.25311657130283627,0.44087139507937056,0
SORL1,PICALM,0.3,0.0,0.0,190,0.5108840791767245,0.6825014494632746,0
SEC13,SEC31A,0.7,0.0,0.0,190,4.470338949278768e-07,9.921268377754169e-06,0
SEC16A,PREB,0.3,0.0,0.0,190,0.24866347655028107,0.435492234165483,0
SEC16A,SAR1B,0.6,0.0,0.0,190,0.704606470269082,0.83437048458714,0
SEC16A,SEC24D,0.6,0.0,0.0,190,0.9280240647822359,0.9868323903712183,0
SEC23A,SEC24A,0.6,0.0,0.0,190,0.313590544470694,0.5040894733547605,0
COPB1,APP,0.2,0.0,-0.3542,190,0.9967409041850807,0.9978214418179785,0
COPB1,COPA,0.5,0.0,0.0,190,9.275680969202585e-07,1.772685696336494e-05,0
COPB1,TMED2,0.3,0.0,0.0,190,0.005274805951561763,0.027286214245672877,0
HSPA9,VDAC1,0.3,0.0,0.0,190,2.137325432975529e-05,0.00030009793834431917,0
IDE,BACE1,0.2,0.0,0.0,182,0.07683960678816068,0.19851144828769257,0
IDE,LRP1,0.3,0.0,0.0,190,0.07703859984420627,0.19851144828769257,0
ITPR1,EIF2S1,0.5,0.0,0.0,190,0.16236739892791383,0.33851142564365067,0
ITPR1,ITPR2,0.3,0.0,0.0,190,0.06101656701966448,0.17883213470282214,0
ITPR1,MFN2,0.4,0.0,0.0,190,0.1480517904237299,0.3220447466324961,0
PICALM,AP2A1,0.3,0.0,0.0,190,0.00015053599195846207,0.0015009965574988681,0
PICALM,BIN1,0.3,0.0,0.0,190,0.022239716807766426,0.08596025372889494,0
PSEN1,BACE1,0.3,0.0,0.0,182,0.6733200536021929,0.820862230663077,0
MAP2K3,EIF2S1,0.3,0.0,0.0,172,0.3511764245037672,0.5439081203846284,0
ITPR1,VDAC1,0.3,0.0,0.0,190,0.0018559447842747899,0.01324512111538618,0
SYK,PLCG2,0.5,0.0,0.0,154,0.8952054666958453,0.9668781178755755,0
TMED10,GORASP1,0.4,0.0,0.0,52,0.8911923960865908,0.9655753834764953,0
TMED10,HSPA5,0.4,0.0,0.0,190,6.205500287120351e-05,0.0007236244402608138,0
TMED10,ADAM10,0.2,0.0,0.0,190,0.24876227910906223,0.435492234165483,0
TMED10,EIF2S1,0.5,0.0,0.0,190,0.11933916681464614,0.2783232093846662,0
TMED10,OSBP,0.6,0.0,0.0,190,0.9688026780365216,0.9899859500053644,0
TMED10,PREB,0.3,0.0,0.0,190,0.2902524389957873,0.47546113816452773,0
