protein_a,protein_b,n_datasets,prior_C_a_to_b,prior_C_b_to_a,dir_ROSMAP,W_ROSMAP,beta_ROSMAP,dir_Diverse,W_Diverse,beta_Diverse,dir_Banner,W_Banner,beta_Banner,direction_consistent,mean_W
COPA,COPE,2,0.6,0.5,COPA->COPE,0.0878,0.2073,COPA->COPE,0.3557,0.7055,,0.0,0.0,1,0.14783333333333334
PLCG2,SYK,2,0.5,0.5,PLCG2->SYK,0.2301,0.3743,SYK->PLCG2,0.2132,0.4888,,0.0,0.0,0,0.14776666666666669
VPS26A,VPS35,2,0.5,0.5,,0.0,0.0,VPS26A->VPS35,0.2281,0.1864,VPS26A->VPS35,0.1372,0.233,1,0.12176666666666665
NCSTN,PSEN1,2,0.6,0.8,NCSTN->PSEN1,0.0936,-0.0006,PSEN1->NCSTN,0.27,0.3594,,0.0,0.0,0,0.12120000000000002
APOE,APP,2,0.4,0.0,,0.0,0.0,APOE->APP,0.1717,0.4024,APOE->APP,0.1658,0.7111,1,0.1125
BACE1,EIF2S1,2,0.2,0.7,EIF2S1->BACE1,0.1562,0.3943,EIF2S1->BACE1,0.1365,0.0568,,0.0,0.0,1,0.09756666666666668
BIN1,PICALM,2,0.3,0.3,PICALM->BIN1,0.1316,0.7314,BIN1->PICALM,0.1552,0.2221,,0.0,0.0,0,0.0956
APP,VPS29,2,0.0,0.6,,0.0,0.0,VPS29->APP,0.1073,0.605,VPS29->APP,0.17,1.5049,1,0.09243333333333333
MAPK14,MAPKAPK2,2,0.8,0.3,MAPK14->MAPKAPK2,0.1283,0.2256,MAPKAPK2->MAPK14,0.148,0.3861,,0.0,0.0,0,0.0921
MFN2,VDAC1,2,0.6,0.4,MFN2->VDAC1,0.1311,0.4286,MFN2->VDAC1,0.1313,0.3557,,0.0,0.0,1,0.08746666666666665
COPA,TMED10,2,0.4,0.6,COPA->TMED10,0.069,0.0445,COPA->TMED10,0.1801,0.4398,,0.0,0.0,1,0.08303333333333333
BACE1,PICALM,2,0.0,0.5,PICALM->BACE1,0.1132,0.4908,PICALM->BACE1,0.1191,-0.1246,,0.0,0.0,1,0.07743333333333334
GORASP1,TMED2,2,0.4,0.4,GORASP1->TMED2,0.1304,0.1138,GORASP1->TMED2,0.0944,0.0371,,0.0,0.0,1,0.07493333333333334
SAR1B,SEC23B,2,0.7,0.0,SAR1B->SEC23B,0.0421,0.3564,SAR1B->SEC23B,0.1777,0.2101,,0.0,0.0,1,0.07326666666666666
AP2A1,BIN1,2,0.3,0.3,,0.0,0.0,BIN1->AP2A1,0.1168,0.0643,BIN1->AP2A1,0.0852,0.0458,1,0.06733333333333334
MAPK14,SYK,2,0.0,0.4,SYK->MAPK14,0.1012,0.1884,SYK->MAPK14,0.1004,0.0609,,0.0,0.0,1,0.0672
GORASP1,TMED10,2,0.4,0.4,GORASP1->TMED10,0.1233,0.0963,GORASP1->TMED10,0.0779,0.0652,,0.0,0.0,1,0.06706666666666666
MIA3,TMED2,2,0.3,0.3,,0.0,0.0,MIA3->TMED2,0.0742,0.0453,TMED2->MIA3,0.1232,0.2865,0,0.06580000000000001
COPA,RAB1B,2,0.3,0.5,RAB1B->COPA,0.1453,-0.0776,RAB1B->COPA,0.0496,-0.0227,,0.0,0.0,1,0.06496666666666667
SEC23A,TMED10,2,0.3,0.4,SEC23A->TMED10,0.0731,-0.1769,TMED10->SEC23A,0.1182,-0.0279,,0.0,0.0,0,0.06376666666666667
OSBP,SEC24D,2,0.4,0.4,,0.0,0.0,OSBP->SEC24D,0.1005,0.5297,OSBP->SEC24D,0.0901,0.6019,1,0.06353333333333333
SEC23A,TMED2,2,0.3,0.4,SEC23A->TMED2,0.0582,0.128,TMED2->SEC23A,0.1258,0.084,,0.0,0.0,0,0.06133333333333333
COPA,RAB1A,2,0.3,0.5,RAB1A->COPA,0.1053,0.0019,RAB1A->COPA,0.0762,-0.1976,,0.0,0.0,1,0.0605
MFN2,OSBP,2,0.3,0.3,,0.0,0.0,MFN2->OSBP,0.0424,-0.1124,OSBP->MFN2,0.1389,-0.652,0,0.06043333333333333
EIF2S1,TMED9,2,0.0,0.5,TMED9->EIF2S1,0.1198,0.1374,TMED9->EIF2S1,0.0611,0.141,,0.0,0.0,1,0.0603
TMED10,VDAC1,2,0.4,0.4,,0.0,0.0,VDAC1->TMED10,0.0667,0.096,TMED10->VDAC1,0.1087,0.0771,0,0.05846666666666667
SAR1A,SEC24C,2,0.6,0.3,SEC24C->SAR1A,0.0545,0.2557,SAR1A->SEC24C,0.1176,0.0003,,0.0,0.0,0,0.05736666666666667
SEC23A,SEC24A,2,0.6,0.4,SEC23A->SEC24A,0.0829,-0.0003,SEC24A->SEC23A,0.0888,0.0445,,0.0,0.0,0,0.05723333333333334
RAB1B,TMED2,2,0.4,0.4,TMED2->RAB1B,0.1068,0.1776,RAB1B->TMED2,0.0639,0.1829,,0.0,0.0,0,0.056900000000000006
SEC16A,TMED10,2,0.4,0.4,SEC16A->TMED10,0.0668,0.0586,SEC16A->TMED10,0.0999,-0.0117,,0.0,0.0,1,0.055566666666666674
AP2A1,APBA1,2,0.0,0.3,APBA1->AP2A1,0.0925,0.0843,APBA1->AP2A1,0.0739,0.0071,,0.0,0.0,1,0.055466666666666664
PSEN1,TMED10,2,0.4,0.7,PSEN1->TMED10,0.0925,-0.0573,TMED10->PSEN1,0.0731,-0.1275,,0.0,0.0,0,0.0552
EIF2S1,TMED10,2,0.3,0.5,EIF2S1->TMED10,0.0836,-0.0968,EIF2S1->TMED10,0.0819,-0.1136,,0.0,0.0,1,0.05516666666666666
OSBP,TMED10,2,0.4,0.6,OSBP->TMED10,0.07,-0.0834,TMED10->OSBP,0.093,0.0374,,0.0,0.0,0,0.05433333333333334
MAPK14,PLCG2,2,0.0,0.5,PLCG2->MAPK14,0.1178,0.0563,PLCG2->MAPK14,0.0395,0.0535,,0.0,0.0,1,0.05243333333333333
GGA1,GGA3,2,0.3,0.3,GGA3->GGA1,0.0963,0.1823,GGA1->GGA3,0.0603,0.2164,,0.0,0.0,0,0.052199999999999996
SAR1A,SEC24B,2,0.6,0.3,SAR1A->SEC24B,0.0716,0.1142,SAR1A->SEC24B,0.0839,-0.0577,,0.0,0.0,1,0.051833333333333335
BACE1,SORL1,2,0.2,0.6,SORL1->BACE1,0.118,-0.3227,BACE1->SORL1,0.0345,-0.1742,,0.0,0.0,0,0.050833333333333335
COPG2,TMED10,2,0.0,0.5,TMED10->COPG2,0.0184,0.0697,TMED10->COPG2,0.1315,-0.0423,,0.0,0.0,1,0.049966666666666666
AP2B1,PICALM,2,0.3,0.0,,0.0,0.0,AP2B1->PICALM,0.0471,0.0469,AP2B1->PICALM,0.0983,0.5452,1,0.048466666666666665
APP,VPS35,2,0.0,0.7,,0.0,0.0,VPS35->APP,0.0958,-0.1209,VPS35->APP,0.0485,1.7212,1,0.0481
SAR1A,SEC31A,2,0.3,0.3,SAR1A->SEC31A,0.094,0.203,SAR1A->SEC31A,0.0502,0.0233,,0.0,0.0,1,0.04806666666666667
LRP1,PICALM,2,0.3,0.3,LRP1->PICALM,0.055,-0.2192,PICALM->LRP1,0.0892,-0.2141,,0.0,0.0,0,0.04806666666666667
BACE1,LRP1,2,0.2,0.5,LRP1->BACE1,0.0907,0.1537,BACE1->LRP1,0.0531,0.0465,,0.0,0.0,0,0.047933333333333335
PICALM,SORL1,2,0.3,0.3,PICALM->SORL1,0.0767,0.2332,SORL1->PICALM,0.0667,0.1477,,0.0,0.0,0,0.0478
APP,EIF2S1,2,0.0,0.3,EIF2S1->APP,0.0896,1.1784,EIF2S1->APP,0.0529,0.5655,,0.0,0.0,1,0.04750000000000001
APP,RTN4,2,0.0,0.4,RTN4->APP,0.0635,-0.0637,RTN4->APP,0.079,-0.6842,,0.0,0.0,1,0.04750000000000001
SAR1A,SEC13,2,0.3,0.3,SAR1A->SEC13,0.0521,0.0372,SAR1A->SEC13,0.0834,0.1297,,0.0,0.0,1,0.04516666666666667
BACE1,MAP2K3,2,0.0,0.3,MAP2K3->BACE1,0.0703,0.5206,MAP2K3->BACE1,0.0604,0.1166,,0.0,0.0,1,0.04356666666666667
ARF6,RAB1B,2,0.3,0.3,ARF6->RAB1B,0.0917,0.2724,ARF6->RAB1B,0.034,0.1684,,0.0,0.0,1,0.0419
SEC13,TMED10,2,0.2,0.3,TMED10->SEC13,0.0592,-0.1196,SEC13->TMED10,0.0657,0.139,,0.0,0.0,0,0.041633333333333335
ITPR1,ITPR2,2,0.3,0.3,ITPR2->ITPR1,0.0598,0.0826,ITPR2->ITPR1,0.0647,0.0623,,0.0,0.0,1,0.0415
BACE1,TMED2,2,0.0,0.6,TMED2->BACE1,0.0748,-0.2559,TMED2->BACE1,0.0491,-0.188,,0.0,0.0,1,0.0413
COPG1,TMED2,2,0.0,0.6,TMED2->COPG1,0.0794,-0.0028,TMED2->COPG1,0.0422,-0.044,,0.0,0.0,1,0.04053333333333333
SEC24B,TMED2,2,0.2,0.3,SEC24B->TMED2,0.0381,0.3991,TMED2->SEC24B,0.0774,0.0413,,0.0,0.0,0,0.0385
HSPA9,TMED10,2,0.4,0.4,HSPA9->TMED10,0.0676,-0.0429,HSPA9->TMED10,0.0458,-0.0308,,0.0,0.0,1,0.0378
COPA,TMED9,2,0.0,0.5,,0.0,0.0,TMED9->COPA,0.0616,0.2106,TMED9->COPA,0.0515,0.0632,1,0.037700000000000004
APBA1,SORL1,2,0.2,0.0,,0.0,0.0,APBA1->SORL1,0.0362,-0.1359,APBA1->SORL1,0.075,-0.4814,1,0.037066666666666664
COPB1,TMED9,2,0.0,0.5,,0.0,0.0,TMED9->COPB1,0.0564,-0.0057,TMED9->COPB1,0.0509,0.1023,1,0.03576666666666667
SEC24D,SEC31A,2,0.4,0.0,SEC24D->SEC31A,0.0599,0.0183,SEC24D->SEC31A,0.0465,0.0355,,0.0,0.0,1,0.03546666666666667
BACE1,CLU,2,0.2,0.2,BACE1->CLU,0.0435,0.1475,CLU->BACE1,0.0607,0.0045,,0.0,0.0,0,0.03473333333333333
SAR1B,SEC13,2,0.3,0.0,SAR1B->SEC13,0.0464,0.0998,SAR1B->SEC13,0.057,-0.055,,0.0,0.0,1,0.034466666666666666
APP,SAR1B,2,0.0,0.4,SAR1B->APP,0.0187,0.401,,0.0,0.0,SAR1B->APP,0.0844,-1.1081,1,0.03436666666666666
EIF2S1,SORL1,2,0.2,0.2,EIF2S1->SORL1,0.0523,0.1676,,0.0,0.0,EIF2S1->SORL1,0.0488,-0.0125,1,0.0337
MIA3,SAR1B,2,0.4,0.0,,0.0,0.0,MIA3->SAR1B,0.0709,0.1022,MIA3->SAR1B,0.0248,0.1299,1,0.031900000000000005
MAP2K3,MAPK14,2,0.8,0.3,MAPK14->MAP2K3,0.0594,0.252,MAPK14->MAP2K3,0.0352,0.0515,,0.0,0.0,1,0.03153333333333334
GGA2,GGA3,2,0.3,0.3,GGA2->GGA3,0.0561,0.1595,GGA3->GGA2,0.0348,-0.1359,,0.0,0.0,0,0.030299999999999997
COPE,TMED2,2,0.0,0.6,TMED2->COPE,0.0333,0.0736,TMED2->COPE,0.0568,-0.0221,,0.0,0.0,1,0.03003333333333334
EIF2S1,SYK,2,0.0,0.2,,0.0,0.0,SYK->EIF2S1,0.0457,0.0111,SYK->EIF2S1,0.0439,0.0348,1,0.029866666666666666
BACE1,SNX4,2,0.0,0.3,SNX4->BACE1,0.041,0.0788,SNX4->BACE1,0.0472,0.1186,,0.0,0.0,1,0.0294
APP,SNX6,2,0.0,0.5,,0.0,0.0,SNX6->APP,0.0551,-0.418,SNX6->APP,0.0318,1.7662,1,0.02896666666666667
BACE1,TMED10,2,0.0,0.8,TMED10->BACE1,0.0445,-0.3875,TMED10->BACE1,0.0422,0.2409,,0.0,0.0,1,0.0289
COPG1,TMED10,2,0.0,0.5,TMED10->COPG1,0.0384,0.0863,TMED10->COPG1,0.0473,0.0632,,0.0,0.0,1,0.028566666666666667
SEC24B,TMED10,2,0.0,0.3,TMED10->SEC24B,0.0121,0.0252,TMED10->SEC24B,0.0736,0.0248,,0.0,0.0,1,0.028566666666666667
BACE1,ECE1,2,0.2,0.2,ECE1->BACE1,0.0427,0.0491,ECE1->BACE1,0.0416,0.0172,,0.0,0.0,1,0.0281
APP,GGA1,2,0.0,0.5,,0.0,0.0,GGA1->APP,0.0544,-0.1822,GGA1->APP,0.0291,-1.6242,1,0.02783333333333333
SEC31A,TMED10,2,0.2,0.3,SEC31A->TMED10,0.0477,0.1562,SEC31A->TMED10,0.0342,-0.0297,,0.0,0.0,1,0.0273
COPE,TMED9,2,0.0,0.4,,0.0,0.0,TMED9->COPE,0.0427,0.0746,TMED9->COPE,0.0362,0.206,1,0.0263
AP3B2,BACE1,2,0.3,0.0,AP3B2->BACE1,0.0504,0.0492,AP3B2->BACE1,0.0273,-0.0515,,0.0,0.0,1,0.025900000000000003
SORL1,TMED2,2,0.0,0.3,,0.0,0.0,TMED2->SORL1,0.054,0.0696,TMED2->SORL1,0.0197,0.0944,1,0.024566666666666667
SAR1B,TMED9,2,0.0,0.3,,0.0,0.0,TMED9->SAR1B,0.0518,0.0885,TMED9->SAR1B,0.0201,0.1467,1,0.023966666666666664
MAP2K3,MAPKAPK2,2,0.6,0.0,MAP2K3->MAPKAPK2,0.0522,0.1587,MAP2K3->MAPKAPK2,0.0187,0.0339,,0.0,0.0,1,0.023633333333333336
APP,MFN2,2,0.0,0.3,MFN2->APP,0.0429,0.3639,MFN2->APP,0.0262,-0.2139,,0.0,0.0,1,0.023033333333333333
OSBP,TMED9,2,0.0,0.4,TMED9->OSBP,0.0202,-0.0411,TMED9->OSBP,0.047,0.0133,,0.0,0.0,1,0.0224
MAP2K3,SYK,2,0.0,0.3,SYK->MAP2K3,0.0578,0.0638,SYK->MAP2K3,0.0085,0.066,,0.0,0.0,1,0.022099999999999998
EIF2S1,TMED2,2,0.0,0.5,TMED2->EIF2S1,0.0244,0.0737,TMED2->EIF2S1,0.0418,0.0105,,0.0,0.0,1,0.022066666666666665
APP,COPB1,2,0.0,0.2,COPB1->APP,0.0439,0.8837,COPB1->APP,0.0221,-0.3554,,0.0,0.0,1,0.022000000000000002
GGA1,TMED9,2,0.0,0.2,TMED9->GGA1,0.0467,0.0448,TMED9->GGA1,0.0184,0.065,,0.0,0.0,1,0.021699999999999997
SEC16A,SEC23A,2,0.5,0.0,SEC16A->SEC23A,0.02,-0.1417,SEC16A->SEC23A,0.0436,0.1121,,0.0,0.0,1,0.0212
LRP1,TMED9,2,0.0,0.2,TMED9->LRP1,0.0089,0.0718,TMED9->LRP1,0.0515,-0.1236,,0.0,0.0,1,0.020133333333333333
SEC13,TMED9,2,0.0,0.2,TMED9->SEC13,0.0436,0.2195,TMED9->SEC13,0.0167,0.0751,,0.0,0.0,1,0.0201
SEC13,SEC23B,2,0.0,0.3,SEC23B->SEC13,0.0367,0.0331,SEC23B->SEC13,0.0235,0.0523,,0.0,0.0,1,0.020066666666666667
SAR1A,TMED9,2,0.0,0.3,TMED9->SAR1A,0.0385,-0.0348,TMED9->SAR1A,0.0216,0.1365,,0.0,0.0,1,0.020033333333333334
BIN1,LRP1,2,0.3,0.0,BIN1->LRP1,0.0275,-0.2431,BIN1->LRP1,0.0322,-0.1709,,0.0,0.0,1,0.0199
GGA2,SORL1,2,0.0,0.3,,0.0,0.0,SORL1->GGA2,0.0379,0.0867,SORL1->GGA2,0.0178,0.2595,1,0.018566666666666665
APP,ITPR2,2,0.0,0.2,,0.0,0.0,ITPR2->APP,0.0401,0.5083,ITPR2->APP,0.0135,0.9337,1,0.017866666666666666
ADAM10,SORL1,2,0.2,0.0,ADAM10->SORL1,0.0424,0.0434,ADAM10->SORL1,0.0094,0.0365,,0.0,0.0,1,0.017266666666666666
TMED9,VPS35,2,0.2,0.0,TMED9->VPS35,0.0325,-0.0676,TMED9->VPS35,0.0191,-0.1211,,0.0,0.0,1,0.0172
BACE1,VPS26A,2,0.0,0.3,VPS26A->BACE1,0.0155,0.1488,VPS26A->BACE1,0.036,0.2993,,0.0,0.0,1,0.017166666666666667
