source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
RAB1B,APP,0.3,0.0166,-0.1668,676,0.14983356664407432,0.18441054356193762,0
SREBF2,OSBP,0.5,0.0166,0.0286,484,0.014773483878609099,0.02253693327823295,1
APOE,HSPA5,0.3,0.0166,0.0163,676,1.3637499129272012e-06,3.5406035475242053e-06,1
OSBP,ITPR1,0.3,0.0164,-0.256,676,0.15576917850765398,0.1900163028604006,0
PLG,CLU,0.2,0.0162,0.0368,676,0.035753147898865086,0.0507178675348849,0
MFN2,BACE1,0.2,0.0161,-0.113,676,1.1248374823955515e-12,5.228974242487429e-12,1
TMED2,VDAC1,0.3,0.016,0.1664,676,3.5414771578222246e-06,8.703914262446054e-06,1
MAPK14,HSPA5,0.3,0.0158,0.0361,672,4.469063434246838e-06,1.0676095981811892e-05,1
NCSTN,TMED9,0.2,0.0158,0.001,676,0.04043689156480307,0.0566610619075041,0
AP3B2,APP,0.4,0.0156,-0.2238,676,0.0006953632295334427,0.0012895145604285944,1
SNX4,APP,0.5,0.0155,0.5876,676,0.4201000785123718,0.4745958194031392,0
SAR1B,SEC24A,0.6,0.0154,-0.0316,676,0.026546555438204056,0.03816176545452857,1
SNX4,VPS35,0.4,0.0151,-0.0946,676,0.3255917838068347,0.3721048957792396,0
SIGMAR1,ITPR1,0.3,0.015,0.024,656,0.1997682707851141,0.23902707878288434,0
SREBF2,TMED10,0.2,0.0149,0.016,484,0.10203172205140308,0.13023715170939762,0
TMED10,ECE1,0.2,0.0148,0.3936,676,7.680187588631685e-11,2.9425240489914534e-10,1
ARF6,SEC24D,0.3,0.0148,-0.215,676,1.8018608311801206e-05,4.0119102001680356e-05,1
SORT1,GGA2,0.3,0.0146,0.0592,676,0.20602070482725948,0.2439625558023314,0
AP4M1,APP,0.4,0.0144,0.0821,609,0.002985306941464159,0.005042717088445896,1
TMED9,PLCG2,0.2,0.0142,0.1617,669,6.423774836296339e-10,2.338389993318456e-09,1
SAR1A,COPA,0.3,0.014,0.1438,676,4.803435554231494e-05,0.0001016850357326544,1
SEC16A,BACE1,0.2,0.0139,-0.0137,676,0.07163589509023417,0.09663822710211982,0
APOE,EIF2S1,0.3,0.0139,0.0005,676,5.790392537110809e-05,0.00012108784393715004,1
TMED10,IDE,0.2,0.0138,0.2152,676,1.3741777321919264e-09,4.774920604788108e-09,1
SIGMAR1,EIF2S1,0.5,0.0137,0.0132,656,0.019109952623835365,0.02833544699396278,1
TMED10,CLU,0.2,0.0137,0.6314,676,1.814157617467811e-09,6.2720625166726325e-09,1
RTN3,APP,0.4,0.0137,0.1848,676,0.0029904485059388452,0.005042717088445896,1
SEC13,APP,0.2,0.0136,0.0875,676,0.07645089487496366,0.1026765223866837,0
AP4B1,APP,0.4,0.0136,0.0743,676,0.003162736471566042,0.005299306190086988,1
TMED10,APP,0.5,0.0134,-0.6018,676,0.020083095420950384,0.029714343332502936,1
TMED9,BIN1,0.2,0.0134,-0.7703,676,4.573836994606364e-09,1.557821709054049e-08,1
MFN2,ITPR1,0.5,0.0133,0.0362,676,0.49015128491636384,0.5456700388712918,0
SEC24B,BACE1,0.2,0.0131,0.0157,676,0.08807098765293492,0.11497692505734199,0
VDAC1,EIF2S1,0.3,0.0131,-0.0508,676,0.25552357047043056,0.29796646861636644,0
AP4M1,AP4E1,0.3,0.013,0.0816,609,0.0003401832914785855,0.0006501280681590744,1
SNX6,SORL1,0.3,0.0129,0.2559,676,0.00017501192353550386,0.0003480005878393834,1
TMED2,PLCG2,0.2,0.0129,0.0979,669,2.0030912954763012e-08,6.179940857792356e-08,1
VLDLR,LRP1,0.3,0.0129,0.0724,676,0.0001851947800874101,0.0003640400248575375,1
RAB1B,SEC24D,0.5,0.0128,0.0519,676,0.5059345922209422,0.5623311784297386,0
EIF2S1,PSEN1,0.2,0.0127,0.0209,676,0.09921308966318934,0.12723959751329422,0
ADAM17,BACE1,0.3,0.0124,-0.0367,676,0.00032579189827862984,0.0006243588468403825,1
TMED9,APP,0.4,0.0124,0.068,676,0.007365339342872758,0.01170289484502646,1
EIF2S1,GGA2,0.2,0.0123,-0.3183,676,0.10897114191771792,0.13807024979629823,0
VPS29,SORL1,0.3,0.0122,-0.0063,676,0.00039997014716237715,0.0007601642575903742,1
TMED10,PLCG2,0.2,0.0122,-0.0065,669,1.1785146382131871e-07,3.4067986180280367e-07,1
AP2B1,BACE1,0.5,0.0121,0.217,676,0.5301369658729688,0.5882810201945202,0
ABCA7,LRP1,0.3,0.012,0.024,629,0.0008272518516377591,0.0015177313971380755,1
GGA3,APP,0.5,0.012,-0.4999,676,0.03697036476884207,0.05222918061799455,0
TMED10,ADAM17,0.2,0.012,0.2907,676,1.6496704187819438e-07,4.6706718029711e-07,1
