region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  reag = Intermediate Likelihood,2,71,0.6372,0.60589,0.01728,1.81247,0.03483,0.11849,False
PMI 5.17-10 (middle third)  AND  celltype_neuron <= 0.103 (lower half),2,143,0.64382,0.62091,0.01264,1.81241,0.02985,0.11104,False
PMI 5.17-10 (middle third)  AND  sex = female,2,170,0.6473,0.62669,0.01146,1.79719,0.02985,0.11104,False
PMI 5.17-10 (middle third)  AND  celltype_microglia <= -0.0479 (lower half),2,131,0.64315,0.62014,0.01282,1.79509,0.02488,0.10359,False
ADoutcome = Other  AND  reag = Intermediate Likelihood,2,64,0.63153,0.60113,0.01702,1.7861,0.03483,0.11849,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  dataContributionGroup = Rush,2,134,0.64298,0.62014,0.01282,1.78175,0.02488,0.10359,False
ADoutcome = Other  AND  bScore = Braak Stage III-IV,2,129,0.64291,0.62014,0.01282,1.77609,0.02488,0.10359,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  race = Black or African American,2,86,0.64165,0.61275,0.01629,1.77442,0.02488,0.10359,False
PMI 5.17-10 (middle third)  AND  bScore = Braak Stage III-IV,2,103,0.64066,0.61518,0.01441,1.76797,0.0398,0.12619,False
ADoutcome = Other  AND  PMI <= 6.83 (lower half),2,69,0.63626,0.60589,0.01728,1.75795,0.03483,0.11849,False
reag = Intermediate Likelihood,1,209,0.64454,0.62806,0.00957,1.72146,0.04478,0.13881,False
PMI 5.17-10 (middle third)  AND  isHispanic = FALSE,2,229,0.64704,0.62885,0.01057,1.72069,0.04975,0.14925,False
PMI 5.17-10 (middle third)  AND  celltype_astrocyte > 0.236 (high third),2,89,0.64077,0.61275,0.01629,1.72055,0.02985,0.11104,False
ADoutcome = Other  AND  celltype_oligodendrocyte > -0.11 (upper half),2,93,0.64053,0.61275,0.01629,1.7053,0.03483,0.11849,False
PMI 5.17-10 (middle third)  AND  ageDeath 79-87.7 (middle third),2,90,0.64036,0.61275,0.01629,1.69544,0.03483,0.11849,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  ADoutcome = Other,2,57,0.62999,0.60113,0.01702,1.69521,0.0398,0.12619,False
ADoutcome = Other  AND  isHispanic = FALSE,2,118,0.64102,0.61752,0.01399,1.68029,0.04975,0.14925,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_neuron > 0.103 (upper half),2,180,0.64613,0.62702,0.01145,1.66887,0.04478,0.13881,False
PMI 5.17-10 (middle third)  AND  dataContributionGroup = Rush,2,146,0.64397,0.62426,0.01188,1.65954,0.05473,0.15905,False
PMI 5.17-10 (middle third)  AND  race = Black or African American,2,86,0.63948,0.61275,0.01629,1.64141,0.0398,0.12619,False
PMI 5.17-10 (middle third)  AND  sex = male,2,105,0.63846,0.61518,0.01441,1.61504,0.05473,0.15905,False
PMI 5.17-10 (middle third)  AND  ageDeath <= 83.6 (lower half),2,120,0.63987,0.61752,0.01399,1.5977,0.06468,0.17023,False
PMI 5.17-10 (middle third)  AND  Braak = Stage VI,2,68,0.63349,0.60589,0.01728,1.59751,0.04975,0.14925,False
ADoutcome = Other  AND  ageDeath > 87.7 (high third),2,58,0.6281,0.60113,0.01702,1.58452,0.05473,0.15905,False
PMI 5.17-10 (middle third)  AND  bScore = Braak Stage V-VI,2,124,0.63967,0.61752,0.01399,1.58382,0.06468,0.17023,False
ADoutcome = Other  AND  apoeGenotype = 33,2,113,0.6368,0.61579,0.01355,1.55097,0.06965,0.18162,False
PMI 5.17-10 (middle third)  AND  celltype_neuron > 0.103 (upper half),2,132,0.63977,0.62014,0.01282,1.53117,0.0597,0.16657,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_astrocyte > 0.236 (high third),2,118,0.63879,0.61752,0.01399,1.52097,0.0796,0.19654,False
PMI 5.17-10 (middle third)  AND  celltype_microglia <= -0.289 (low third),2,94,0.63736,0.61275,0.01629,1.51066,0.06468,0.17023,False
PMI 5.17-10 (middle third)  AND  ageDeath > 83.6 (upper half),2,155,0.63938,0.62163,0.0118,1.50323,0.0597,0.16657,False
PMI 5.17-10 (middle third)  AND  celltype_neuron > 0.277 (high third),2,80,0.63283,0.608,0.01655,1.49977,0.07463,0.19102,False
celltype_oligodendrocyte -0.482-0.323 (middle third)  AND  celltype_astrocyte <= 0.0206 (lower half),2,137,0.63945,0.62091,0.01264,1.46691,0.08955,0.21539,False
PMI 5.17-10 (middle third)  AND  amyCerad = Frequent/Definite/C3,2,129,0.63887,0.62014,0.01282,1.46084,0.07463,0.19102,False
PMI 5.17-10 (middle third)  AND  celltype_microglia > -0.0479 (upper half),2,144,0.63927,0.62091,0.01264,1.45268,0.09453,0.21796,False
celltype_microglia <= -0.289 (low third),1,322,0.64565,0.6341,0.00802,1.43985,0.0597,0.16657,False
ADoutcome = Other  AND  Braak = Stage III,2,96,0.63588,0.61518,0.01441,1.43599,0.06468,0.17023,False
