step,variable,adjusted_for,auroc,null_mean,gain_vs_current,z_vs_shuffled,n_subjects,kind
2,proteomePC3,proteomePC1 + proteomePC3,0.61956,0.61857,0.00097,6.54,964,proteome-derived
2,proteomePC4,proteomePC1 + proteomePC4,0.62119,0.61857,0.0026,23.43,964,proteome-derived
2,proteomePC5,proteomePC1 + proteomePC5,0.61308,0.61852,-0.00551,-28.13,964,proteome-derived
2,proteomePC6,proteomePC1 + proteomePC6,0.62146,0.61861,0.00287,14.25,964,proteome-derived
2,proteomePC7,proteomePC1 + proteomePC7,0.61096,0.61862,-0.00763,-48.3,964,proteome-derived
2,proteomePC8,proteomePC1 + proteomePC8,0.62442,0.61862,0.00584,30.32,964,proteome-derived
2,proteomePC9,proteomePC1 + proteomePC9,0.61928,0.6185,0.00069,3.65,964,proteome-derived
2,proteomePC10,proteomePC1 + proteomePC10,0.62017,0.61875,0.00159,6.03,964,proteome-derived
3,dataContributionGroup,proteomePC1 + proteomePC8 + dataContributionGroup,0.62337,0.62423,-0.00106,-3.92,964,technical
3,cohort,proteomePC1 + proteomePC8 + cohort,0.625,0.62408,0.00058,1.87,964,technical
3,sex,proteomePC1 + proteomePC8 + sex,0.62385,0.62444,-0.00058,-4.17,964,clinical/pathology
3,race,proteomePC1 + proteomePC8 + race,0.62234,0.62402,-0.00208,-7.38,961,clinical/pathology
3,isHispanic,proteomePC1 + proteomePC8 + isHispanic,0.62425,0.62436,-0.00017,-1.16,963,clinical/pathology
3,ageDeath,proteomePC1 + proteomePC8 + ageDeath,0.62509,0.6242,0.00066,3.54,963,clinical/pathology
3,PMI,proteomePC1 + proteomePC8 + PMI,0.62976,0.62963,0.00534,0.65,818,technical
3,apoeGenotype,proteomePC1 + proteomePC8 + apoeGenotype,0.62447,0.62482,4e-05,-2.19,895,clinical/pathology
3,amyThal,proteomePC1 + proteomePC8 + amyThal,0.61786,0.62422,-0.00656,-8.34,391,clinical/pathology
3,amyA,proteomePC1 + proteomePC8 + amyA,0.61995,0.62352,-0.00448,-5.36,398,clinical/pathology
3,amyCerad,proteomePC1 + proteomePC8 + amyCerad,0.62702,0.62711,0.00259,-0.19,676,clinical/pathology
3,Braak,proteomePC1 + proteomePC8 + Braak,0.62512,0.62523,0.0007,-0.28,908,clinical/pathology
3,mayoDx,proteomePC1 + proteomePC8 + mayoDx,0.60098,0.60684,-0.02344,-7.65,285,clinical/pathology
3,amyAny,proteomePC1 + proteomePC8 + amyAny,0.62882,0.62743,0.00439,6.66,676,clinical/pathology
3,bScore,proteomePC1 + proteomePC8 + bScore,0.62545,0.62544,0.00102,0.03,908,clinical/pathology
3,reag,proteomePC1 + proteomePC8 + reag,0.6257,0.62735,0.00128,-7.16,676,clinical/pathology
3,ADoutcome,proteomePC1 + proteomePC8 + ADoutcome,0.62485,0.6239,0.00043,8.24,961,clinical/pathology
3,derivedOutcomeBasedOnMayoDx,proteomePC1 + proteomePC8 + derivedOutcomeBasedOnMayoDx,0.6235,0.62447,-0.00093,-6.57,964,clinical/pathology
