region,depth,n,auroc,null_mean,null_sd,z,p_vs_random_same_size,q_fdr,strong
celltype_endothelial <= -0.0629 (lower half),1,51,0.57207,0.57224,0.012,-0.01406,0.54229,0.76842,False
celltype_astrocyte -0.237-0.251 (middle third)  AND  sex = male,2,40,0.56472,0.56524,0.01364,-0.03813,0.54726,0.76842,False
celltype_astrocyte <= -0.0155 (lower half)  AND  TangleTotal <= 6 (low third),2,43,0.56468,0.56524,0.01364,-0.04129,0.55224,0.76842,False
lastMMSE <= 18 (low third),1,67,0.57453,0.57498,0.00944,-0.04782,0.51741,0.76842,False
celltype_astrocyte <= -0.0155 (lower half)  AND  PlaqueTotal <= 12.1 (lower half),2,62,0.57383,0.57439,0.01094,-0.05095,0.49751,0.76842,False
TangleTotal <= 6 (low third),1,64,0.57352,0.57439,0.01094,-0.07934,0.50746,0.76842,False
celltype_oligodendrocyte > -0.073 (upper half),1,95,0.57886,0.57948,0.00706,-0.08803,0.51741,0.76842,False
celltype_astrocyte <= -0.237 (low third),1,64,0.5729,0.57439,0.01094,-0.13634,0.56219,0.76842,False
diagnosis = control,1,100,0.57843,0.57948,0.00706,-0.1485,0.55721,0.76842,False
TangleTotal <= 8 (lower half),1,98,0.57816,0.57948,0.00706,-0.18631,0.56716,0.76842,False
celltype_astrocyte <= -0.0155 (lower half)  AND  ageDeath > 86 (upper half),2,48,0.5698,0.57224,0.012,-0.20326,0.61692,0.79724,False
pmi 2.5-3.25 (middle third),1,66,0.57261,0.57498,0.00944,-0.25131,0.59701,0.79602,False
celltype_neuron <= 0.0182 (lower half),1,95,0.57758,0.57948,0.00706,-0.26882,0.61692,0.79724,False
celltype_neuron > 0.263 (high third),1,63,0.56957,0.57439,0.01094,-0.44038,0.70647,0.88572,False
PlaqueTotal <= 12.1 (lower half),1,95,0.57582,0.57948,0.00706,-0.51801,0.70647,0.88572,False
apoeGenotype = e3-3,1,92,0.57159,0.57751,0.00875,-0.67662,0.77114,0.92169,False
Braak = 5,1,48,0.56372,0.57224,0.012,-0.70977,0.77612,0.92169,False
celltype_astrocyte > -0.0155 (upper half),1,95,0.57421,0.57948,0.00706,-0.7461,0.76617,0.92169,False
celltype_endothelial > -0.0629 (upper half),1,50,0.56306,0.57224,0.012,-0.76474,0.79104,0.92169,False
lastMMSE > 25 (upper half),1,91,0.57042,0.57751,0.00875,-0.81005,0.78607,0.92169,False
pmi > 3 (upper half),1,73,0.5666,0.57498,0.00944,-0.88811,0.801,0.92169,False
celltype_astrocyte <= -0.0155 (lower half)  AND  lastMMSE > 25 (upper half),2,61,0.56402,0.57439,0.01094,-0.94789,0.83582,0.9293,False
celltype_astrocyte > 0.251 (high third),1,63,0.56373,0.57439,0.01094,-0.9747,0.8408,0.9293,False
PlaqueTotal <= 8 (low third),1,66,0.56543,0.57498,0.00944,-1.0122,0.8408,0.9293,False
celltype_astrocyte <= -0.0155 (lower half)  AND  sex = male,2,52,0.5596,0.57224,0.012,-1.05351,0.89055,0.93775,False
ageDeath 82-88 (middle third),1,54,0.55858,0.57224,0.012,-1.138,0.9005,0.93775,False
celltype_neuron > 0.0182 (upper half),1,95,0.57117,0.57948,0.00706,-1.17708,0.9005,0.93775,False
celltype_oligodendrocyte -0.464-0.391 (middle third),1,63,0.56077,0.57439,0.01094,-1.24553,0.9005,0.93775,False
celltype_astrocyte <= -0.0155 (lower half)  AND  PlaqueTotal <= 8 (low third),2,47,0.5566,0.57224,0.012,-1.30336,0.91542,0.93775,False
pmi > 3.25 (high third),1,59,0.55981,0.57439,0.01094,-1.33295,0.91542,0.93775,False
sex = male,1,109,0.56491,0.58136,0.00655,-2.51049,0.98507,0.98507,False
celltype_neuron -0.182-0.263 (middle third),1,63,0.54607,0.57439,0.01094,-2.58992,0.9801,0.98507,False
