source,target,prior_C,W,beta,n_pairwise,p_corr,q_fdr,data_supported
PSEN1,APP,0.7,0.0,0.0,312,0.39230747139748784,0.5537269519096167,0
SEC13,SAR1A,0.3,0.0,0.0,400,0.0004893843128386634,0.0020783728841543237,0
PSEN1,NCSTN,0.8,0.0,0.0,384,0.002159609571084242,0.0077386009630518665,0
ITPR1,ITPR2,0.3,0.0,0.0,400,5.9278355788736266e-05,0.00032367864113214725,0
ITPR1,OSBP,0.3,0.0,0.0,400,0.3957862854506833,0.5557162538572858,0
LRP1,VPS35,0.3,0.0,0.0,400,0.6146938984541839,0.736672029376451,0
ITPR1,EIF2S1,0.5,0.0,0.0,400,0.032407642773578195,0.07674937869816834,0
ITPR1,VDAC1,0.3,0.0,0.0,400,0.11368560347577147,0.20583077681929152,0
ITPR1,TMED10,0.3,0.0,0.0,400,0.06354428760106742,0.13168213816124816,0
TMED10,HSPA5,0.4,0.0,0.0,400,1.6195832722208069e-09,2.370794236782798e-08,0
TMED10,GORASP1,0.4,0.0,0.0,264,3.2286012934216125e-07,2.9617035864987593e-06,0
SEC23B,SEC24D,0.6,0.0,0.0,392,0.4286322345436962,0.5839583710219068,0
SEC23B,TMED2,0.3,0.0,0.0,400,0.8008007785662711,0.8679751181526757,0
BACE1,SORL1,0.2,0.0,0.0,400,7.512661662214627e-05,0.0003945581086720354,0
BIN1,AP2A1,0.3,0.0,0.0,400,0.7746481188830574,0.8527326492664695,0
SAR1A,SEC23B,0.7,0.0,0.0118,400,0.9998717429519872,0.9998717429519872,0
RTN3,RTN4,0.3,0.0,0.0,288,6.927504157408176e-10,1.1084006651853081e-08,0
SAR1B,TMED2,0.4,0.0,0.0,400,0.016348738509635606,0.044109537625997244,0
SAR1B,SEC24D,0.7,0.0,0.0,392,0.3182944530750531,0.47813664566732866,0
SAR1B,SEC16A,0.4,0.0,0.0,400,0.018841822174132623,0.049171708594821235,0
SAR1A,TMED2,0.4,0.0,0.0,400,0.006197492132624582,0.019469746973724715,0
SAR1A,TMED10,0.4,0.0,0.0,400,3.3814475369482695e-05,0.00019069146765741062,0
SAR1A,SEC24D,0.7,0.0,0.0,392,0.03246230988541713,0.07674937869816834,0
SAR1A,SEC24C,0.6,0.0,0.0,400,0.00026163811802899334,0.0011989602539726404,0
SEC13,TMED10,0.2,0.0,0.0,400,7.087307222473319e-05,0.0003809427632079409,0
SEC13,SEC31A,0.7,0.0,0.0,400,1.9559925302581705e-20,1.3457228608176213e-18,0
SEC13,SEC24D,0.3,0.0,0.0,392,0.1816290577188394,0.30412662420210596,0
TMED10,RTN3,0.2,0.0,0.0,288,0.38159829654874916,0.5458204324855289,0
TMED10,SAR1B,0.4,0.0,0.0,400,0.003817387527320669,0.012937746890623747,0
SAR1A,SEC24A,0.6,0.0,0.0,400,0.4022090255669035,0.562438637378109,0
TMED10,PREB,0.3,0.0,0.0,400,0.4840577060729544,0.6271783460982912,0
BACE1,ADAM10,0.3,0.0,0.0,400,4.674093970674691e-06,3.31523366167442e-05,0
ARF6,COPA,0.5,0.0,0.0,400,0.5508745399498469,0.6878433457087019,0
APOE,SREBF2,0.6,0.0,0.0,256,0.1626175767215613,0.2804032400612385,0
BACE1,ECE1,0.2,0.0,0.0,384,2.4405381193636265e-05,0.00013992418551018123,0
APP,BACE1,0.4,0.0,0.0,312,0.41871671556115153,0.574397478933371,0
TMED2,SEC24B,0.3,0.0,0.0,400,0.0001267029302554626,0.0006182384114592786,0
TMED10,PSEN1,0.7,0.0,0.0,400,2.9215880786150186e-06,2.1158448400917186e-05,0
TMED10,RAB1B,0.4,0.0,0.0,400,0.6437471966460151,0.755798756471772,0
TMED10,SEC23B,0.4,0.0,0.0,400,0.01995665310380725,0.050652673030315155,0
BACE1,EIF2S1,0.2,0.0,0.0,400,6.5846073739170665e-06,4.4413822286813154e-05,0
BACE1,GGA3,0.2,0.0,-0.0639,400,0.9984519682185997,0.9998717429519872,0
TMED2,SEC13,0.3,0.0,0.0,400,0.2538405410481676,0.40240159502566664,0
TMED2,SEC16A,0.4,0.0,0.0,400,0.07064284063890619,0.1442203986930785,0
TMED2,SEC23A,0.4,0.0,0.0,400,9.38291786772416e-05,0.00046594393535641365,0
TMED10,SEC16A,0.4,0.0,0.0,400,0.0007993911156068765,0.003179081430852781,0
TMED10,SEC23A,0.4,0.0,0.0,400,8.201561078885808e-07,7.196056780911977e-06,0
MFN2,SIGMAR1,0.4,0.0,0.0,216,0.29772235376332734,0.4531703083831178,0
MFN2,OSBP,0.3,0.0,0.0,400,0.7601052664158696,0.8448342864202234,0
MFN2,ITPR2,0.5,0.0,0.0,400,0.0011798830533782036,0.004534969501252537,0
MFN2,ITPR1,0.5,0.0,0.0,400,7.322501145613749e-06,4.844116142482942e-05,0
MFN2,EIF2S1,0.4,0.0,0.0,400,0.0057538937435795846,0.01841245997945467,0
MAPKAPK2,MAPK14,0.3,0.0,0.0,352,0.0025526938260862085,0.00900642744793493,0
TMED2,TMED9,0.7,0.0,0.0,400,3.3616458597617075e-09,4.534926179443245e-08,0
