ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,LRP1,ADAM10,VPS35,AP1G1,COPB1,VDAC1,TMED10,VPS29,AP2B1,TMED2,HSPA5,COPE,APBA1,VPS26A,ARF6,COPZ1,TMED9,RAB1B,BIN1,PREB,SEC23A,GORASP1,SNX4,PLCG2,SYK,PICALM,AP2A1,COPB2,ECE1,EIF2S1,SEC24A,NCSTN,AP4B1,SNX6,RTN4,GGA3,AP4S1,SEC24D,SEC16A,MIA3,SEC23B,SORT1,SAR1A,COPG2,ITPR2,COPG1,MFN2,GGA2,HSPA9,CLU,ADAM17,SAR1B,SORL1,RTN3,IDE,OSBP,AP4E1,SREBF2,APP,SEC24C,PLG,MAPK14,GGA1,APOE,MAPKAPK2,SIGMAR1,SEC31A,AP4M1,MAP2K3,RAB1A,SEC24B,PSEN1,SEC13,VLDLR,APBA2,COPA,BACE1,ABCA7,ITPR1,AP3B2
11,RTN4,RAB1B,OSBP,EIF2S1,TMED10,VPS35,AP1G1,COPB1,TMED9,ADAM10,LRP1,SEC31A,SEC13,PLCG2,MIA3,SYK,COPG2,IDE,SORT1,AP4S1,AP2A1,SNX6,RTN3,COPE,VPS29,SEC16A,CLU,BIN1,ARF6,MAPKAPK2,ITPR2,MAPK14,MFN2,GGA2,HSPA9,SNX4,AP2B1,GORASP1,TMED2,SEC23B,RAB1A,SEC24A,COPG1,COPB2,SREBF2,PSEN1,PREB,HSPA5,SEC23A,SEC24C,VPS26A,GGA3,AP4B1,SORL1,AP4E1,ABCA7,ECE1,VDAC1,ADAM17,APBA1,SAR1A,PICALM,MAP2K3,SEC24D,COPZ1,SEC24B,NCSTN,COPA,AP4M1,SAR1B,AP3B2,APP,PLG,GGA1,VLDLR,SIGMAR1,BACE1,APBA2,ITPR1,APOE
12,AP2B1,RAB1A,COPG2,COPE,COPG1,ADAM10,PREB,SEC16A,SEC23A,BIN1,AP2A1,SEC13,SEC31A,CLU,RAB1B,AP1G1,VPS35,HSPA9,ECE1,OSBP,GGA2,HSPA5,SEC23B,EIF2S1,ARF6,COPZ1,SORT1,TMED2,SEC24D,TMED10,TMED9,SNX6,SNX4,GGA3,VPS29,GORASP1,COPB1,ABCA7,RTN4,MIA3,PLCG2,APBA1,LRP1,PLG,SEC24A,PSEN1,IDE,SYK,SEC24C,APP,RTN3,SAR1A,MAPKAPK2,COPA,MFN2,ITPR2,AP4E1,VDAC1,ADAM17,NCSTN,MAPK14,AP4S1,PICALM,COPB2,MAP2K3,BACE1,SIGMAR1,GGA1,VPS26A,SORL1,APOE,APBA2,AP3B2,SAR1B,SREBF2,VLDLR,AP4M1,AP4B1,ITPR1,SEC24B
13,GGA2,LRP1,VPS26A,IDE,AP2B1,SEC13,ADAM10,VPS35,RAB1A,RAB1B,OSBP,BIN1,PLCG2,VPS29,COPG1,SYK,SEC31A,APBA1,COPE,HSPA5,EIF2S1,SORL1,SEC24D,SNX4,SEC16A,CLU,TMED10,MAPKAPK2,AP2A1,TMED9,TMED2,COPB1,SNX6,COPG2,ADAM17,COPZ1,AP1G1,SEC23A,SEC23B,SEC24A,MAP2K3,SORT1,MFN2,PREB,RTN3,VDAC1,HSPA9,NCSTN,SREBF2,COPB2,ARF6,MAPK14,SAR1A,ITPR2,AP4B1,PSEN1,GORASP1,APP,ECE1,GGA1,PLG,RTN4,SEC24B,AP4S1,MIA3,APBA2,GGA3,SAR1B,PICALM,ABCA7,SEC24C,AP4E1,APOE,COPA,AP4M1,VLDLR,SIGMAR1,ITPR1,BACE1,AP3B2
14,SORT1,BIN1,VPS35,EIF2S1,VPS29,COPE,COPB1,COPB2,SEC16A,ADAM10,VPS26A,TMED10,VDAC1,COPG1,ADAM17,CLU,MAP2K3,HSPA5,AP2B1,SNX4,ECE1,SORL1,AP4S1,MIA3,TMED2,AP2A1,COPG2,GORASP1,SNX6,PREB,PLCG2,SEC24D,MAPK14,NCSTN,AP4B1,SEC31A,SEC23B,SEC24A,LRP1,OSBP,SYK,RAB1A,RTN3,RAB1B,ITPR2,GGA2,HSPA9,SREBF2,SEC23A,ARF6,RTN4,SAR1B,SAR1A,PLG,COPZ1,MAPKAPK2,AP1G1,GGA3,SEC13,APP,COPA,PSEN1,MFN2,TMED9,IDE,PICALM,AP4M1,APBA1,APBA2,SIGMAR1,GGA1,SEC24C,ITPR1,ABCA7,SEC24B,BACE1,AP3B2,AP4E1,VLDLR,APOE
15,COPG2,COPE,ADAM10,RAB1A,SNX4,SEC23A,VPS26A,AP2A1,BIN1,AP1G1,SEC16A,COPG1,OSBP,SNX6,TMED2,COPB2,MFN2,COPB1,RAB1B,HSPA5,TMED10,SORT1,PICALM,PREB,GGA2,SEC24D,SYK,APBA1,ITPR2,EIF2S1,PLCG2,LRP1,SAR1B,MAP2K3,HSPA9,ADAM17,TMED9,PLG,AP4S1,SEC23B,ABCA7,COPZ1,SEC24B,AP2B1,SEC24C,ARF6,VDAC1,MAPKAPK2,SEC31A,AP3B2,APBA2,RTN3,SREBF2,APP,ECE1,VPS35,AP4B1,SEC24A,MAPK14,CLU,SAR1A,VPS29,MIA3,GGA3,IDE,SORL1,RTN4,VLDLR,PSEN1,COPA,AP4E1,NCSTN,SIGMAR1,APOE,SEC13,AP4M1,GORASP1,GGA1,ITPR1,BACE1
16,RTN3,RTN4,ADAM10,SORT1,GGA2,BIN1,AP2B1,AP1G1,GORASP1,PREB,AP2A1,TMED10,MIA3,EIF2S1,CLU,TMED2,APBA1,SEC13,SORL1,VPS29,HSPA5,VPS26A,MFN2,ECE1,COPG2,COPE,COPB1,RAB1A,SEC23A,IDE,RAB1B,ARF6,SYK,COPG1,PLCG2,COPB2,TMED9,SEC24D,VPS35,SREBF2,SEC16A,VDAC1,NCSTN,SEC31A,SEC23B,OSBP,SEC24A,SEC24B,ITPR2,SNX4,ADAM17,PSEN1,MAPK14,MAP2K3,SAR1B,COPZ1,AP4E1,APOE,PICALM,PLG,HSPA9,GGA1,SNX6,SAR1A,APP,AP4S1,COPA,MAPKAPK2,SEC24C,AP4M1,GGA3,AP4B1,APBA2,SIGMAR1,LRP1,AP3B2,BACE1,VLDLR,ITPR1,ABCA7
17,COPE,COPG1,COPB2,ADAM10,SORT1,APBA1,ECE1,CLU,VPS26A,GGA2,VPS29,OSBP,MAPKAPK2,MIA3,SEC31A,HSPA5,COPB1,SEC13,AP1G1,RTN4,MFN2,IDE,SEC16A,PLG,VPS35,SNX4,EIF2S1,SEC23A,SNX6,TMED9,AP4B1,SEC23B,AP2B1,SEC24A,AP4S1,TMED2,PSEN1,AP2A1,SORL1,RTN3,COPZ1,TMED10,SEC24D,COPG2,VDAC1,LRP1,NCSTN,ITPR2,HSPA9,RAB1A,BIN1,PICALM,MAPK14,SEC24C,PLCG2,MAP2K3,ARF6,SAR1A,PREB,GORASP1,GGA1,GGA3,SAR1B,ABCA7,APP,RAB1B,AP4E1,AP4M1,ADAM17,SREBF2,SEC24B,SYK,APBA2,BACE1,APOE,SIGMAR1,AP3B2,COPA,VLDLR,ITPR1
18,SEC13,TMED10,RTN3,MIA3,AP2A1,RAB1B,AP2B1,HSPA5,VPS26A,VPS29,LRP1,RAB1A,SORL1,OSBP,BIN1,COPG1,SEC23A,TMED2,VPS35,SEC31A,COPB2,RTN4,ARF6,COPB1,MFN2,ITPR2,ECE1,APBA1,ADAM10,COPE,SNX4,SEC16A,GORASP1,PREB,GGA2,SNX6,APP,CLU,AP4S1,MAPK14,PLG,VDAC1,NCSTN,COPZ1,PLCG2,SYK,EIF2S1,SORT1,IDE,TMED9,AP1G1,MAPKAPK2,SREBF2,MAP2K3,AP4B1,SAR1B,ADAM17,GGA3,HSPA9,SEC23B,SEC24A,COPA,AP4E1,GGA1,APOE,AP4M1,COPG2,SEC24C,SIGMAR1,AP3B2,ABCA7,SEC24B,APBA2,SAR1A,SEC24D,PICALM,VLDLR,ITPR1,PSEN1,BACE1
19,VPS29,LRP1,AP2A1,APBA1,COPE,COPG1,EIF2S1,MIA3,AP4S1,RTN4,BIN1,SEC24C,SEC23A,COPB2,VPS35,SORT1,SNX6,COPB1,NCSTN,VDAC1,RAB1A,RTN3,TMED10,GGA2,HSPA9,HSPA5,RAB1B,ECE1,AP1G1,ADAM10,VPS26A,PICALM,SYK,PLCG2,ADAM17,GORASP1,PREB,MAP2K3,SEC23B,GGA3,AP2B1,TMED2,IDE,MAPKAPK2,SEC24D,SNX4,AP4E1,SEC16A,COPG2,SEC31A,AP4B1,ABCA7,SAR1B,COPZ1,SEC24A,ITPR2,PLG,SEC13,TMED9,PSEN1,VLDLR,MFN2,SAR1A,APP,CLU,COPA,MAPK14,SORL1,OSBP,ARF6,BACE1,APOE,AP4M1,SIGMAR1,SEC24B,APBA2,AP3B2,SREBF2,ITPR1,GGA1
