ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,COPA,COPG1,SEC31A,RTN3,RTN4,SEC24C,SEC23A,MFN2,VDAC1,LRP1,VPS35,APBA1,RAB1B,PLCG2,MAPKAPK2,COPZ1,SORT1,ADAM10,AP2A1,SYK,ITPR2,EIF2S1,TMED2,TMED10,AP2B1,VPS26A,TMED9,VPS29,SAR1B,APBA2,ITPR1,SAR1A,COPB1,COPE,COPB2,IDE,GGA3,CLU,HSPA9,SNX6,PICALM,HSPA5,AP3B2,ADAM17,PSEN1,NCSTN,SEC13,RAB1A,AP1G1,PREB,ARF6,COPG2,SNX4,SEC24A,APP,BIN1,SEC24B,BACE1,OSBP,SORL1,SEC24D,MAPK14,APOE,SEC16A,SIGMAR1,MIA3,AP4S1,GGA2,SEC23B,GORASP1,SREBF2,GGA1,AP4E1,VLDLR,AP4B1,MAP2K3,ECE1,PLG,ABCA7,AP4M1
11,RAB1A,SEC24B,SEC31A,VPS29,TMED10,COPB1,VDAC1,ITPR1,VPS26A,COPG1,SEC23A,ADAM17,MFN2,RTN4,SAR1A,SNX6,AP2A1,SORT1,COPB2,APP,SEC24A,TMED2,TMED9,GGA3,GGA2,VPS35,SORL1,MIA3,PREB,AP2B1,LRP1,SAR1B,BACE1,SEC24C,COPA,RTN3,COPE,AP1G1,NCSTN,ADAM10,AP3B2,SNX4,SEC13,EIF2S1,MAPK14,PSEN1,APOE,CLU,MAPKAPK2,ITPR2,GORASP1,RAB1B,AP4S1,ARF6,OSBP,SEC16A,PICALM,HSPA9,HSPA5,APBA1,APBA2,PLCG2,BIN1,IDE,GGA1,VLDLR,COPG2,SYK,SIGMAR1,SEC23B,SREBF2,SEC24D,PLG,COPZ1,AP4E1,AP4B1,MAP2K3,AP4M1,ECE1,ABCA7
12,MIA3,MFN2,VDAC1,RTN4,APP,AP1G1,HSPA5,COPB2,SNX6,AP3B2,MAPK14,AP2A1,EIF2S1,VPS29,APBA1,VPS35,AP2B1,GGA3,COPA,PLCG2,SAR1A,SEC24A,SYK,SORL1,APOE,SORT1,SEC13,RTN3,ADAM10,CLU,RAB1B,BIN1,SEC24C,PICALM,RAB1A,MAPKAPK2,ITPR1,APBA2,ITPR2,COPG1,VPS26A,COPG2,TMED9,TMED2,COPB1,PREB,COPE,IDE,OSBP,LRP1,COPZ1,GGA1,HSPA9,SEC31A,SEC24B,PSEN1,NCSTN,TMED10,SAR1B,SIGMAR1,SEC23A,AP4S1,SNX4,BACE1,SEC16A,ARF6,GORASP1,GGA2,SEC24D,MAP2K3,AP4E1,ADAM17,VLDLR,PLG,AP4B1,AP4M1,SREBF2,SEC23B,ECE1,ABCA7
13,SNX6,OSBP,VPS29,CLU,PICALM,EIF2S1,RAB1B,AP2A1,SEC31A,VPS35,SEC24C,HSPA5,SEC23A,COPA,SEC13,COPG1,PLCG2,MAPK14,TMED2,APBA2,ADAM10,VDAC1,RAB1A,HSPA9,GGA1,MFN2,VPS26A,SEC24A,APP,SYK,ARF6,SEC24B,AP2B1,ITPR1,APOE,BIN1,ADAM17,TMED9,APBA1,BACE1,COPB2,GGA3,PREB,SORL1,COPE,MIA3,ITPR2,MAPKAPK2,AP4S1,TMED10,IDE,SEC16A,COPB1,SAR1B,PSEN1,NCSTN,GORASP1,COPG2,AP3B2,MAP2K3,COPZ1,SNX4,RTN3,SIGMAR1,LRP1,RTN4,SORT1,AP4E1,AP4B1,GGA2,VLDLR,SEC24D,AP4M1,AP1G1,SREBF2,SAR1A,PLG,ABCA7,ECE1,SEC23B
14,SEC24C,LRP1,RTN4,RAB1B,AP3B2,SEC13,MFN2,RAB1A,AP2A1,MAPK14,SEC31A,TMED9,HSPA5,AP2B1,COPZ1,VPS26A,BACE1,VPS29,IDE,SORT1,VPS35,ITPR1,ITPR2,SEC23A,GGA3,APBA1,TMED2,COPA,MAPKAPK2,AP1G1,SAR1B,MIA3,HSPA9,COPB1,COPG2,BIN1,RTN3,OSBP,SNX6,SEC16A,ADAM17,APP,PREB,GGA1,VDAC1,ARF6,PSEN1,SIGMAR1,NCSTN,CLU,AP4S1,SNX4,ADAM10,GORASP1,COPB2,COPE,TMED10,APOE,COPG1,PICALM,PLCG2,SYK,SEC23B,SEC24D,APBA2,SEC24B,GGA2,SAR1A,SEC24A,EIF2S1,SORL1,AP4E1,AP4B1,VLDLR,MAP2K3,PLG,AP4M1,ECE1,ABCA7,SREBF2
15,TMED9,LRP1,TMED10,SEC24C,APBA2,RAB1A,MAPKAPK2,PREB,AP2A1,MIA3,SEC13,SAR1A,GGA3,ARF6,COPB1,VDAC1,AP3B2,COPG2,SEC23A,ADAM17,VPS26A,ITPR1,TMED2,IDE,MFN2,RAB1B,VPS29,SNX6,COPZ1,APP,PSEN1,CLU,ADAM10,NCSTN,EIF2S1,BIN1,SORT1,OSBP,GORASP1,COPB2,MAPK14,COPE,ITPR2,PLCG2,SEC24A,SEC31A,COPA,HSPA9,AP2B1,RTN4,SORL1,HSPA5,COPG1,AP1G1,SYK,AP4S1,SEC16A,SAR1B,VPS35,APBA1,APOE,SNX4,BACE1,MAP2K3,SIGMAR1,PICALM,RTN3,ECE1,SEC23B,SEC24B,GGA1,GGA2,SREBF2,VLDLR,SEC24D,AP4E1,PLG,AP4M1,AP4B1,ABCA7
16,AP2B1,VPS29,RTN3,COPG1,LRP1,ARF6,MFN2,EIF2S1,COPB2,RAB1A,COPB1,BIN1,COPE,VPS35,SORT1,AP3B2,AP2A1,SAR1B,RAB1B,SEC13,VPS26A,COPA,GGA3,SEC23A,HSPA9,APOE,APBA2,APP,AP4S1,SORL1,ITPR2,VDAC1,PLCG2,MAPK14,SYK,ADAM10,TMED2,SNX6,SEC24A,SEC31A,ITPR1,COPG2,SEC24C,NCSTN,PSEN1,SEC16A,HSPA5,GGA1,GGA2,SEC24B,TMED9,PREB,BACE1,SAR1A,IDE,GORASP1,SNX4,MIA3,RTN4,SIGMAR1,COPZ1,TMED10,PICALM,ADAM17,VLDLR,ECE1,MAP2K3,AP4E1,OSBP,MAPKAPK2,SEC24D,CLU,SEC23B,AP4B1,APBA1,PLG,AP1G1,ABCA7,SREBF2,AP4M1
17,RAB1A,VPS35,TMED10,CLU,TMED9,MFN2,VDAC1,MIA3,ITPR1,RTN3,AP2B1,RTN4,MAPK14,COPG1,SEC31A,COPE,SNX6,PICALM,SEC13,OSBP,COPB1,COPB2,LRP1,ADAM17,IDE,VPS26A,GGA3,AP3B2,SYK,SORL1,AP1G1,NCSTN,MAPKAPK2,ADAM10,BIN1,AP2A1,SEC23A,TMED2,ARF6,EIF2S1,RAB1B,APBA1,COPG2,SEC24C,ITPR2,VPS29,APOE,APP,HSPA5,PLCG2,SEC16A,AP4S1,APBA2,COPZ1,GGA1,SAR1B,GORASP1,GGA2,BACE1,PSEN1,SNX4,PREB,SEC23B,SREBF2,SAR1A,COPA,VLDLR,SORT1,AP4E1,SEC24B,SEC24D,AP4B1,AP4M1,ECE1,HSPA9,MAP2K3,ABCA7,SEC24A,PLG,SIGMAR1
18,AP1G1,SEC31A,AP2B1,APP,TMED2,LRP1,MIA3,SEC23A,RTN3,TMED9,AP3B2,PREB,SORT1,SEC24B,RAB1B,NCSTN,PSEN1,COPA,EIF2S1,PICALM,GORASP1,ADAM17,SAR1A,CLU,COPE,PLCG2,SYK,SAR1B,RAB1A,AP2A1,APOE,VPS35,ARF6,COPZ1,VPS26A,VDAC1,COPG1,SEC24A,COPB1,COPG2,HSPA5,SNX4,BIN1,SEC16A,AP4S1,GGA3,VPS29,SEC13,SEC24C,APBA1,ITPR1,GGA1,ADAM10,ITPR2,COPB2,BACE1,GGA2,MFN2,SORL1,RTN4,IDE,TMED10,SIGMAR1,SNX6,APBA2,MAPKAPK2,OSBP,VLDLR,SEC23B,AP4E1,AP4B1,HSPA9,SEC24D,MAP2K3,ECE1,PLG,MAPK14,AP4M1,SREBF2,ABCA7
19,COPB2,LRP1,AP3B2,COPB1,AP1G1,MFN2,SEC31A,SAR1B,COPA,MIA3,SORT1,SORL1,AP2B1,COPE,APBA1,GGA1,PSEN1,NCSTN,ITPR2,TMED10,BIN1,ADAM10,RAB1B,APOE,RAB1A,TMED2,PREB,OSBP,HSPA9,APP,SEC13,HSPA5,PLCG2,SYK,VPS26A,APBA2,RTN4,PICALM,TMED9,RTN3,VDAC1,VPS35,COPG1,BACE1,ADAM17,ITPR1,SAR1A,GGA3,SIGMAR1,EIF2S1,ARF6,IDE,SEC16A,SNX6,VPS29,MAPKAPK2,SEC24C,GORASP1,SEC23A,CLU,COPZ1,GGA2,AP2A1,AP4S1,SNX4,SEC24B,SEC23B,SEC24A,MAP2K3,COPG2,AP4E1,SREBF2,AP4B1,VLDLR,SEC24D,MAPK14,AP4M1,ECE1,ABCA7,PLG
