ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,TMED10,MIA3,HSPA5,COPG1,COPB2,TMED2,COPA,RAB1A,AP2A1,SEC31A,ADAM10,VLDLR,RTN3,GGA1,COPB1,TMED9,ARF6,SORL1,PREB,RAB1B,AP2B1,SAR1B,SNX6,ECE1,SYK,AP1G1,VPS29,CLU,MAPK14,GGA3,VPS26A,GORASP1,RTN4,ITPR2,ADAM17,PICALM,PSEN1,AP4E1,HSPA9,APP,COPG2,AP4B1,COPZ1,GGA2,SEC16A,BACE1,COPE,BIN1,VDAC1,VPS35,NCSTN,SNX4,PLCG2,APBA1,SEC23B,IDE,OSBP,SORT1,SEC24C,SREBF2,AP4S1,ABCA7,EIF2S1,AP3B2,APOE,APBA2,SIGMAR1,MAPKAPK2,SEC24D,MFN2,MAP2K3,LRP1,ITPR1,SEC23A,AP4M1,SEC24A,SAR1A,PLG,SEC13,SEC24B
11,RTN3,SEC13,TMED10,TMED9,SNX6,AP2B1,AP2A1,MIA3,APP,COPB2,RTN4,ARF6,RAB1A,GGA1,PICALM,ECE1,MFN2,SEC31A,SAR1B,VLDLR,LRP1,APBA1,TMED2,COPE,COPB1,PREB,EIF2S1,MAPK14,COPG2,ITPR2,ADAM17,COPG1,VPS29,BIN1,HSPA9,MAPKAPK2,CLU,RAB1B,AP4E1,ADAM10,VPS35,SREBF2,ABCA7,SIGMAR1,NCSTN,VDAC1,PSEN1,BACE1,GGA2,AP4B1,SEC24C,SORT1,COPZ1,GORASP1,SYK,GGA3,VPS26A,SNX4,AP1G1,SEC24B,AP4M1,SEC23A,HSPA5,SEC24D,MAP2K3,COPA,IDE,OSBP,PLCG2,SEC23B,SORL1,SEC24A,AP4S1,ITPR1,APOE,AP3B2,APBA2,SAR1A,SEC16A,PLG
12,MIA3,HSPA5,RTN4,RTN3,SORT1,TMED10,VLDLR,APBA1,AP2B1,SNX6,RAB1B,BACE1,AP4E1,MFN2,AP2A1,SAR1B,SEC13,TMED9,COPB1,SAR1A,COPB2,SEC31A,APBA2,ARF6,ADAM10,TMED2,ECE1,IDE,GGA1,RAB1A,PREB,CLU,VPS29,SEC24A,COPA,MAPK14,APP,AP4B1,COPG2,GORASP1,MAPKAPK2,PICALM,NCSTN,GGA3,ITPR2,ADAM17,VPS35,AP1G1,VDAC1,GGA2,COPG1,PSEN1,SREBF2,ABCA7,SNX4,LRP1,SEC24C,AP3B2,SEC23B,PLCG2,EIF2S1,AP4M1,SIGMAR1,SEC24D,SEC23A,PLG,BIN1,HSPA9,SYK,COPE,COPZ1,OSBP,MAP2K3,VPS26A,AP4S1,SORL1,SEC16A,APOE,ITPR1,SEC24B
13,TMED9,AP2A1,TMED10,AP2B1,SNX6,RAB1B,EIF2S1,RTN3,PLCG2,ECE1,COPB2,VLDLR,RAB1A,MAPK14,HSPA5,BACE1,MIA3,COPE,ADAM10,COPB1,AP4E1,SEC13,AP1G1,COPZ1,TMED2,SAR1B,HSPA9,GGA1,PREB,GGA2,ABCA7,VDAC1,NCSTN,SYK,CLU,RTN4,APP,APBA1,LRP1,SEC23B,AP4B1,GGA3,COPG2,BIN1,SORL1,VPS26A,IDE,OSBP,SEC16A,VPS35,SEC24C,SNX4,SEC31A,COPA,APBA2,VPS29,SORT1,AP3B2,PLG,SEC23A,SIGMAR1,SEC24B,ITPR2,SEC24A,ADAM17,ITPR1,PSEN1,MAP2K3,COPG1,ARF6,PICALM,GORASP1,SAR1A,AP4S1,APOE,SREBF2,SEC24D,MAPKAPK2,AP4M1,MFN2
14,AP2B1,AP2A1,COPB2,SEC13,PREB,SNX6,MIA3,TMED2,TMED9,TMED10,GGA1,VLDLR,CLU,RTN3,SEC31A,MAPK14,SAR1B,HSPA5,COPE,COPB1,BIN1,ADAM10,AP4E1,BACE1,GORASP1,GGA3,SEC23A,COPG2,APP,AP1G1,ARF6,AP3B2,APBA2,GGA2,AP4B1,VDAC1,NCSTN,SYK,RTN4,EIF2S1,SREBF2,VPS35,ABCA7,LRP1,VPS29,MAPKAPK2,COPA,SEC24A,ECE1,ITPR2,PLCG2,RAB1B,ADAM17,SEC24C,COPG1,SEC24D,APBA1,SORT1,SNX4,COPZ1,OSBP,PICALM,HSPA9,IDE,SORL1,SAR1A,SEC16A,VPS26A,SIGMAR1,PLG,AP4M1,RAB1A,SEC24B,MFN2,ITPR1,MAP2K3,AP4S1,SEC23B,PSEN1,APOE
15,COPA,COPB2,APBA1,AP2A1,RTN4,RTN3,TMED2,SEC13,RAB1B,BACE1,MFN2,COPZ1,AP2B1,CLU,PREB,RAB1A,AP4E1,GORASP1,VLDLR,TMED9,COPE,VPS35,COPB1,AP1G1,EIF2S1,SYK,SNX6,SEC23B,SAR1B,ADAM10,SAR1A,OSBP,ECE1,MAPKAPK2,BIN1,LRP1,PLCG2,SORT1,IDE,HSPA9,SEC24D,SEC24C,SEC23A,MAPK14,SEC31A,HSPA5,SEC24A,GGA2,SEC16A,MIA3,GGA1,VPS29,TMED10,AP4S1,GGA3,NCSTN,ADAM17,ARF6,APBA2,AP3B2,APP,PICALM,SNX4,AP4M1,VPS26A,PLG,COPG1,SIGMAR1,VDAC1,PSEN1,SORL1,ITPR1,SEC24B,MAP2K3,SREBF2,ITPR2,AP4B1,APOE,ABCA7,COPG2
16,MIA3,TMED2,TMED10,SNX6,SEC13,TMED9,APBA1,RAB1A,COPZ1,AP2A1,AP1G1,APBA2,COPG1,RTN3,EIF2S1,VLDLR,BIN1,PREB,COPB1,RAB1B,MFN2,BACE1,AP2B1,HSPA5,RTN4,AP4E1,SEC24C,VPS35,GGA3,GGA1,SIGMAR1,GORASP1,SORT1,AP4S1,SNX4,SEC31A,SYK,MAPKAPK2,PICALM,ADAM10,APP,SREBF2,ABCA7,AP3B2,ARF6,SAR1B,VDAC1,SEC16A,PSEN1,NCSTN,COPG2,SEC23A,COPA,COPB2,MAPK14,ITPR1,HSPA9,VPS26A,CLU,ITPR2,ADAM17,GGA2,PLCG2,AP4B1,ECE1,IDE,OSBP,SEC24D,VPS29,PLG,COPE,LRP1,SEC23B,SEC24A,SORL1,SAR1A,SEC24B,AP4M1,MAP2K3,APOE
17,TMED9,RTN3,RAB1B,SORT1,TMED10,APBA1,APBA2,TMED2,PICALM,SEC31A,GGA3,HSPA5,EIF2S1,AP1G1,SAR1B,ADAM10,SNX6,COPB2,AP2A1,MIA3,SYK,CLU,PLCG2,GGA1,COPA,AP2B1,RTN4,COPZ1,MFN2,AP3B2,VPS35,VLDLR,SEC13,SEC24C,PREB,AP4E1,BACE1,VPS29,ECE1,RAB1A,NCSTN,VDAC1,VPS26A,BIN1,APP,GORASP1,SEC23B,COPE,SIGMAR1,LRP1,COPG1,IDE,ARF6,PSEN1,GGA2,SEC16A,MAPKAPK2,SEC24A,OSBP,SORL1,ITPR2,MAP2K3,ADAM17,AP4S1,AP4B1,HSPA9,SNX4,COPG2,PLG,COPB1,SEC24D,MAPK14,APOE,ITPR1,SEC23A,SAR1A,AP4M1,SEC24B,SREBF2,ABCA7
18,TMED2,GGA1,TMED10,HSPA5,MIA3,AP2A1,APBA1,PREB,RTN3,TMED9,EIF2S1,COPB2,MFN2,AP2B1,COPG2,ADAM10,SEC13,ECE1,COPZ1,OSBP,GGA3,RAB1A,RTN4,BACE1,SEC23A,COPG1,SNX6,BIN1,VLDLR,AP4B1,SORT1,SEC23B,SORL1,RAB1B,GORASP1,SEC24C,VPS35,VDAC1,MAPK14,AP4E1,AP1G1,NCSTN,HSPA9,SNX4,SEC31A,ITPR2,LRP1,ADAM17,GGA2,ABCA7,SREBF2,SAR1A,SEC16A,SYK,CLU,APP,VPS26A,APOE,IDE,SEC24A,MAPKAPK2,COPA,AP3B2,VPS29,COPB1,ARF6,AP4S1,MAP2K3,APBA2,PSEN1,ITPR1,PLG,PICALM,SIGMAR1,SAR1B,COPE,SEC24D,SEC24B,AP4M1,PLCG2
19,TMED9,RTN3,RAB1B,COPA,VLDLR,TMED2,COPB1,AP2B1,GGA3,SEC31A,SORT1,HSPA5,HSPA9,MIA3,TMED10,COPE,PREB,ADAM10,SEC13,PICALM,GGA1,AP4E1,BACE1,COPB2,AP2A1,RTN4,VPS35,COPG2,AP1G1,BIN1,SYK,SNX6,APP,AP4B1,MFN2,VDAC1,COPZ1,SIGMAR1,RAB1A,GORASP1,GGA2,NCSTN,SREBF2,ABCA7,CLU,SEC23B,APBA1,ECE1,PLCG2,SORL1,COPG1,SAR1B,EIF2S1,SEC23A,MAPK14,IDE,PSEN1,ARF6,VPS29,VPS26A,SEC24C,ITPR1,SEC16A,LRP1,SAR1A,ITPR2,SEC24D,APOE,MAP2K3,SEC24A,AP4M1,SEC24B,OSBP,SNX4,AP3B2,AP4S1,PLG,MAPKAPK2,APBA2,ADAM17
