ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,SORT1,SNX6,APBA2,CLU,EIF2S1,HSPA5,SEC23A,BIN1,AP2A1,TMED2,RTN4,ARF6,AP4E1,RAB1A,MAPK14,COPG2,SAR1A,OSBP,TMED10,SORL1,VLDLR,IDE,SIGMAR1,APBA1,LRP1,APOE,AP1G1,GGA2,SEC16A,ADAM10,VPS35,SEC23B,NCSTN,GGA1,COPA,SEC13,PLCG2,SEC24D,SEC24C,COPE,PSEN1,SEC31A,VPS29,BACE1,TMED9,PREB,GORASP1,SYK,AP3B2,GGA3,COPG1,MAP2K3,RTN3,COPB1,RAB1B,PICALM,VDAC1,ADAM17,AP4S1,ITPR2,SEC24A,VPS26A,SEC24B,AP4B1,COPB2,ITPR1,HSPA9,COPZ1,APP,SREBF2,PLG,MFN2,ABCA7,MAPKAPK2,SNX4,ECE1,AP2B1,MIA3,AP4M1,SAR1B
1,BIN1,SORT1,SORL1,APOE,PICALM,APBA1,APBA2,VPS35,AP1G1,RAB1A,SAR1A,SEC13,SAR1B,CLU,TMED10,HSPA9,EIF2S1,GGA3,SEC23A,VPS29,SEC23B,TMED9,AP4S1,LRP1,AP4E1,GORASP1,SEC24C,RTN4,MAPK14,MAP2K3,AP2A1,VDAC1,SEC31A,GGA1,PLG,TMED2,ADAM10,MFN2,COPE,NCSTN,PLCG2,AP3B2,SIGMAR1,ADAM17,COPG1,VLDLR,GGA2,PSEN1,COPG2,SNX4,SYK,HSPA5,PREB,SEC16A,MIA3,VPS26A,OSBP,AP4B1,SEC24B,SREBF2,RTN3,IDE,MAPKAPK2,COPB1,SNX6,ITPR2,SEC24D,COPA,SEC24A,ECE1,BACE1,ITPR1,COPZ1,RAB1B,ABCA7,APP,AP2B1,COPB2,AP4M1,ARF6
2,BIN1,SNX6,COPB1,HSPA5,RTN4,EIF2S1,SORT1,APBA2,APBA1,AP4E1,SEC23B,CLU,SAR1A,PREB,COPG1,SEC23A,RAB1A,AP1G1,ADAM10,PICALM,VLDLR,SAR1B,SORL1,MAP2K3,GGA2,APOE,TMED10,SEC24B,ARF6,RAB1B,SEC13,AP2A1,COPA,TMED2,SEC16A,TMED9,MFN2,AP4S1,GGA3,SYK,PLCG2,BACE1,NCSTN,GGA1,ECE1,COPG2,PSEN1,MAPK14,VPS35,SIGMAR1,SEC31A,OSBP,ABCA7,COPB2,SEC24C,RTN3,AP3B2,VDAC1,COPE,MIA3,COPZ1,ADAM17,MAPKAPK2,GORASP1,PLG,AP2B1,SNX4,SREBF2,IDE,VPS29,SEC24A,HSPA9,APP,AP4B1,LRP1,SEC24D,ITPR2,VPS26A,AP4M1,ITPR1
3,PICALM,BIN1,APOE,CLU,SORT1,OSBP,SEC24D,AP4E1,RTN4,APBA2,PLCG2,COPG1,COPB1,VDAC1,APBA1,ADAM10,VLDLR,BACE1,GGA1,SORL1,HSPA5,VPS35,SEC24B,RAB1A,LRP1,SEC13,AP1G1,EIF2S1,SEC23B,SEC23A,PREB,RAB1B,PLG,ARF6,COPE,SNX4,SIGMAR1,TMED2,SNX6,TMED9,TMED10,GGA3,VPS29,MAP2K3,IDE,SAR1A,AP4S1,AP3B2,COPA,ECE1,AP2A1,MAPK14,COPG2,PSEN1,GORASP1,SYK,HSPA9,ITPR1,SEC31A,MAPKAPK2,SEC16A,MFN2,AP2B1,ABCA7,VPS26A,AP4B1,SEC24A,NCSTN,COPB2,APP,ITPR2,COPZ1,SAR1B,MIA3,GGA2,RTN3,SEC24C,AP4M1,SREBF2,ADAM17
4,ADAM10,BIN1,SEC23A,SORL1,MFN2,APBA2,APOE,EIF2S1,SEC24D,OSBP,RTN4,AP4E1,HSPA5,VPS35,LRP1,APBA1,AP1G1,RAB1A,VLDLR,SAR1A,RAB1B,GGA2,PLG,COPB1,MAPK14,PLCG2,PICALM,NCSTN,SAR1B,SORT1,CLU,COPB2,ARF6,VPS29,AP4S1,SEC23B,SEC24B,TMED2,MAP2K3,AP3B2,ADAM17,COPG1,COPA,AP2A1,SEC16A,PREB,GGA3,TMED9,SEC13,BACE1,SREBF2,TMED10,ITPR1,COPE,GORASP1,SIGMAR1,SEC24A,COPG2,VPS26A,AP2B1,IDE,VDAC1,ECE1,HSPA9,MAPKAPK2,COPZ1,SYK,PSEN1,GGA1,ABCA7,RTN3,SNX6,SEC31A,AP4B1,SEC24C,MIA3,ITPR2,AP4M1,SNX4,APP
5,APOE,SORL1,APBA2,AP1G1,EIF2S1,VPS35,SAR1A,RTN3,SEC23A,HSPA9,ADAM10,RAB1A,COPG1,RTN4,BIN1,APBA1,COPB1,OSBP,AP4E1,CLU,SEC24D,SORT1,LRP1,ARF6,TMED2,TMED10,PREB,SEC13,PICALM,SEC23B,SEC24C,SEC24B,GGA3,VLDLR,VDAC1,SAR1B,GGA1,BACE1,NCSTN,PLCG2,AP3B2,SNX6,AP4S1,MAP2K3,SYK,COPG2,SEC31A,RAB1B,SIGMAR1,MIA3,MAPK14,SNX4,VPS29,ECE1,TMED9,IDE,COPA,COPE,GGA2,SREBF2,MAPKAPK2,ADAM17,ABCA7,PSEN1,AP2A1,AP4B1,ITPR1,APP,MFN2,GORASP1,HSPA5,PLG,COPZ1,COPB2,VPS26A,SEC24A,ITPR2,AP4M1,AP2B1,SEC16A
6,SAR1A,EIF2S1,TMED10,COPG2,RTN4,VPS35,HSPA5,GGA3,COPB1,AP1G1,RAB1B,OSBP,LRP1,BIN1,AP4E1,SEC13,SEC23A,SORT1,ADAM10,COPG1,SEC24C,CLU,APOE,SEC23B,MAPK14,PREB,ARF6,RAB1A,SEC24D,VPS29,GGA1,GORASP1,APBA1,APBA2,PLG,SEC16A,VLDLR,SEC24B,SYK,MAP2K3,TMED2,TMED9,SORL1,SNX6,ADAM17,AP3B2,PSEN1,AP4S1,SEC31A,BACE1,COPE,RTN3,GGA2,MAPKAPK2,SIGMAR1,VDAC1,COPA,AP2B1,SNX4,APP,SREBF2,AP2A1,ECE1,SEC24A,PICALM,IDE,HSPA9,ITPR2,AP4B1,COPB2,VPS26A,SAR1B,MIA3,COPZ1,NCSTN,ITPR1,AP4M1,MFN2,ABCA7,PLCG2
7,RAB1A,TMED2,COPB1,RAB1B,AP1G1,VPS35,APOE,SORL1,SYK,PLCG2,EIF2S1,PREB,ADAM10,HSPA5,SEC24D,RTN4,SEC23A,AP2A1,BIN1,SNX6,AP4E1,APBA1,ARF6,GGA3,MAPK14,COPG1,SAR1B,GGA2,CLU,NCSTN,APBA2,OSBP,LRP1,SORT1,SEC23B,MAP2K3,SEC31A,SAR1A,MAPKAPK2,PICALM,COPG2,SEC16A,SEC13,VDAC1,RTN3,GGA1,COPA,AP3B2,MIA3,IDE,SEC24C,VLDLR,ABCA7,SIGMAR1,COPE,VPS29,BACE1,HSPA9,ECE1,TMED9,TMED10,PSEN1,ADAM17,MFN2,ITPR1,AP4S1,ITPR2,SEC24B,GORASP1,SEC24A,SREBF2,AP4B1,COPZ1,VPS26A,AP2B1,AP4M1,APP,PLG,COPB2,SNX4
8,RAB1A,RAB1B,EIF2S1,SORL1,APOE,CLU,APBA1,HSPA5,TMED2,LRP1,AP1G1,VPS35,MFN2,SNX6,SEC24D,SEC23B,OSBP,MAP2K3,COPB1,BIN1,COPG2,GGA3,APBA2,TMED10,SEC13,SEC24B,SEC23A,VLDLR,SAR1A,SYK,ARF6,NCSTN,PLCG2,SNX4,ADAM10,SORT1,TMED9,BACE1,AP4E1,SIGMAR1,PREB,GGA1,MAPK14,AP4S1,PICALM,PLG,AP3B2,COPE,SEC24A,SEC16A,PSEN1,GORASP1,COPA,RTN4,SAR1B,GGA2,ADAM17,VPS26A,VDAC1,SEC24C,RTN3,COPG1,SEC31A,MAPKAPK2,VPS29,ITPR1,MIA3,ABCA7,ECE1,IDE,SREBF2,APP,HSPA9,COPB2,AP4B1,AP2B1,ITPR2,AP2A1,AP4M1,COPZ1
9,SORL1,CLU,APOE,AP2A1,ADAM10,GGA2,HSPA5,TMED2,VPS35,SORT1,LRP1,SEC31A,PICALM,RAB1B,BIN1,COPB1,PREB,RTN4,MAPK14,PLCG2,AP4E1,AP1G1,RAB1A,COPE,SNX6,SEC24D,SEC13,SEC23A,APBA1,SEC24C,APBA2,RTN3,OSBP,GORASP1,NCSTN,VPS29,SEC23B,BACE1,EIF2S1,SAR1A,PLG,AP3B2,ADAM17,SYK,TMED9,TMED10,COPG1,SEC16A,COPA,GGA3,VLDLR,ARF6,MAP2K3,MFN2,PSEN1,GGA1,COPG2,SEC24A,ITPR2,MIA3,VDAC1,SEC24B,IDE,VPS26A,ITPR1,AP4S1,MAPKAPK2,HSPA9,SREBF2,ABCA7,AP2B1,ECE1,SAR1B,AP4B1,SIGMAR1,SNX4,APP,COPB2,COPZ1,AP4M1
10,RAB1B,EIF2S1,SEC23A,SAR1A,ADAM10,TMED2,COPB1,SYK,COPG1,RAB1A,VPS35,SEC31A,SEC24D,OSBP,APBA1,PLCG2,HSPA5,SORL1,SNX6,SAR1B,APOE,LRP1,TMED10,PLG,CLU,AP4E1,RTN4,PREB,SEC24B,TMED9,GORASP1,SEC23B,RTN3,SEC24C,SORT1,MAP2K3,AP3B2,ADAM17,NCSTN,SIGMAR1,MAPKAPK2,AP1G1,GGA3,ARF6,BIN1,BACE1,MIA3,COPA,GGA2,ECE1,MAPK14,SEC13,IDE,APBA2,VLDLR,AP4B1,COPE,PSEN1,GGA1,AP4S1,SEC16A,ABCA7,AP2B1,ITPR2,SREBF2,VPS29,ITPR1,COPG2,COPZ1,SEC24A,APP,AP4M1,HSPA9,SNX4,VPS26A,AP2A1,VDAC1,COPB2,MFN2,PICALM
11,APOE,SORL1,APBA2,APBA1,VPS35,COPB1,TMED9,RAB1A,HSPA5,PLCG2,RAB1B,ADAM10,LRP1,NCSTN,SEC24D,MAPK14,AP1G1,BIN1,RTN4,SORT1,MFN2,SEC13,SEC31A,AP4E1,SEC23A,TMED10,SAR1B,EIF2S1,AP2A1,CLU,OSBP,SAR1A,MAP2K3,SEC24C,PREB,TMED2,SEC24B,SYK,PLG,GORASP1,RTN3,BACE1,ARF6,ADAM17,SEC23B,GGA1,AP3B2,PSEN1,SNX6,GGA3,VPS29,COPA,ITPR1,IDE,VLDLR,VPS26A,PICALM,COPG1,VDAC1,MIA3,SNX4,GGA2,SIGMAR1,SEC24A,SREBF2,SEC16A,COPG2,AP4S1,COPB2,ABCA7,COPE,AP4B1,COPZ1,HSPA9,ITPR2,APP,MAPKAPK2,ECE1,AP2B1,AP4M1
12,SAR1A,GGA2,VLDLR,AP1G1,VPS35,SORL1,APBA2,CLU,PICALM,ADAM10,LRP1,BIN1,RTN3,SNX6,SNX4,RAB1B,APBA1,SEC23A,COPG1,NCSTN,TMED10,SEC24D,PLCG2,TMED9,ARF6,COPB1,SEC13,APOE,SEC23B,OSBP,SEC16A,COPA,HSPA5,VPS29,AP4S1,SORT1,AP4E1,AP2A1,GGA3,SEC24B,MFN2,RAB1A,TMED2,SEC31A,MAP2K3,GORASP1,SAR1B,RTN4,SYK,EIF2S1,COPG2,MAPK14,IDE,BACE1,PLG,ITPR1,HSPA9,GGA1,SEC24C,PSEN1,ADAM17,AP3B2,ABCA7,COPZ1,VDAC1,SIGMAR1,ECE1,SEC24A,PREB,ITPR2,COPE,APP,MIA3,AP2B1,AP4B1,SREBF2,VPS26A,COPB2,MAPKAPK2,AP4M1
13,HSPA5,BIN1,SEC23A,AP1G1,SORL1,VPS35,LRP1,ADAM10,SORT1,SEC13,EIF2S1,APBA2,APOE,PREB,APBA1,SEC24B,AP4S1,RAB1B,CLU,RAB1A,MFN2,SEC24D,ARF6,RTN3,VPS29,SAR1B,AP4E1,OSBP,TMED2,COPG1,GORASP1,PICALM,GGA2,COPE,RTN4,SEC24C,MAPK14,PLCG2,AP3B2,SEC23B,COPA,SYK,MAP2K3,GGA1,VLDLR,SIGMAR1,TMED9,TMED10,SEC31A,COPB1,SAR1A,SEC16A,ADAM17,AP2A1,SNX6,NCSTN,PLG,PSEN1,HSPA9,GGA3,MIA3,VDAC1,COPG2,ECE1,MAPKAPK2,VPS26A,COPB2,COPZ1,SEC24A,ITPR1,BACE1,SREBF2,APP,ITPR2,IDE,SNX4,AP4B1,ABCA7,AP2B1,AP4M1
