ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
0,HSPA5,CLU,HSPA9,SEC13,SEC31A,VPS29,APOE,VPS35,ECE1,IDE,MAP2K3,PSEN1,RAB1B,SORL1,SEC23A,SEC24D,MIA3,SNX4,SNX6,TMED9,MFN2,AP4E1,COPZ1,ITPR2,PLG,MAPK14,APBA1,VDAC1,COPG1,COPB2,AP1G1,PREB,LRP1,TMED2,GGA3,GGA2,VPS26A,SAR1B,COPB1,SEC24B,SEC23B,COPA,ADAM10,APBA2,SREBF2,SORT1,BACE1,SAR1A,OSBP,RTN4,SEC24C,MAPKAPK2,ADAM17,GGA1,COPG2,EIF2S1,AP4S1,SIGMAR1,APP,VLDLR,SEC16A,PICALM,TMED10,GORASP1,COPE,AP4B1,AP3B2,PLCG2,RAB1A,SEC24A,ARF6,AP2B1,NCSTN,SYK,BIN1,ITPR1,AP2A1,RTN3,ABCA7,AP4M1
1,HSPA9,HSPA5,VPS35,VPS29,IDE,ECE1,SEC31A,COPB2,MIA3,SEC24A,APOE,PSEN1,CLU,SORL1,ADAM10,BIN1,SNX4,LRP1,AP1G1,GGA1,APBA2,APBA1,SAR1B,SEC23A,SEC24D,RAB1B,COPZ1,MAP2K3,MAPKAPK2,PREB,TMED9,MFN2,COPG1,ITPR2,SNX6,GORASP1,OSBP,COPB1,GGA2,GGA3,SEC23B,SORT1,PLG,VDAC1,BACE1,AP2A1,RAB1A,AP4E1,VPS26A,SAR1A,TMED2,TMED10,EIF2S1,MAPK14,RTN4,COPA,SEC16A,VLDLR,COPE,SEC13,SREBF2,AP3B2,AP4B1,AP2B1,SEC24C,PICALM,PLCG2,NCSTN,AP4M1,SYK,ADAM17,AP4S1,ITPR1,SIGMAR1,ARF6,APP,SEC24B,ABCA7,RTN3,COPG2
2,VPS35,ECE1,AP1G1,COPZ1,ITPR2,SEC24A,LRP1,CLU,MFN2,HSPA9,VPS29,SORL1,APOE,MIA3,SEC31A,IDE,COPB2,SNX6,SEC23B,MAP2K3,APBA2,SNX4,RAB1B,ADAM10,AP4E1,RAB1A,PICALM,GGA2,SEC23A,MAPK14,SEC24D,COPA,PLG,TMED10,PSEN1,COPB1,HSPA5,VDAC1,MAPKAPK2,TMED9,GGA3,COPE,BIN1,GGA1,SAR1B,BACE1,SEC13,SEC24B,OSBP,COPG1,PREB,VPS26A,SEC16A,AP4S1,ITPR1,GORASP1,APP,SAR1A,EIF2S1,SREBF2,AP2B1,APBA1,VLDLR,SEC24C,RTN4,ADAM17,PLCG2,TMED2,ABCA7,AP2A1,ARF6,COPG2,AP3B2,SORT1,AP4M1,AP4B1,SYK,RTN3,SIGMAR1,NCSTN
3,HSPA9,COPB2,IDE,CLU,ECE1,SEC31A,VPS35,VPS29,HSPA5,SEC13,APOE,RAB1B,PSEN1,SORL1,SAR1B,SEC24D,MIA3,TMED9,ITPR2,AP1G1,MFN2,APBA2,COPZ1,ADAM10,BIN1,SNX4,VDAC1,MAP2K3,SORT1,LRP1,APBA1,MAPK14,COPA,GGA3,COPB1,GGA2,COPG1,PLG,SEC23A,VPS26A,SEC23B,SEC16A,BACE1,MAPKAPK2,GGA1,EIF2S1,SEC24B,COPE,SREBF2,AP4E1,AP2A1,TMED10,SEC24A,RTN4,VLDLR,COPG2,OSBP,AP2B1,SEC24C,SNX6,ABCA7,GORASP1,TMED2,RTN3,AP3B2,ADAM17,ITPR1,PICALM,APP,RAB1A,AP4B1,NCSTN,SAR1A,SIGMAR1,SYK,ARF6,AP4M1,PREB,PLCG2,AP4S1
4,CLU,SEC13,HSPA9,HSPA5,VPS29,ECE1,IDE,SORL1,APOE,SEC31A,MAP2K3,SEC24A,COPG1,SAR1B,PSEN1,MIA3,LRP1,RAB1B,SEC24D,SNX6,SNX4,TMED2,AP1G1,ADAM10,MAPK14,SEC23A,PLG,TMED9,ITPR2,BIN1,COPB1,BACE1,COPZ1,GGA3,TMED10,GGA2,COPE,MFN2,VLDLR,GORASP1,EIF2S1,RAB1A,SEC23B,MAPKAPK2,OSBP,RTN4,PREB,APBA1,SREBF2,VPS26A,AP4B1,COPA,PICALM,VDAC1,SAR1A,SYK,AP4E1,APBA2,VPS35,ITPR1,NCSTN,AP2B1,GGA1,AP2A1,AP3B2,RTN3,COPG2,SORT1,ABCA7,APP,AP4S1,SEC24C,AP4M1,SEC16A,PLCG2,ADAM17,COPB2,SEC24B,SIGMAR1,ARF6
5,SEC13,ECE1,VPS35,HSPA9,VPS29,IDE,CLU,HSPA5,PSEN1,MIA3,SEC31A,APOE,SEC24A,SNX6,SNX4,ADAM10,RAB1B,COPB2,SEC23B,APBA1,BIN1,MFN2,SEC24D,COPA,TMED2,SORT1,SORL1,SAR1B,VDAC1,TMED9,ITPR2,MAP2K3,MAPK14,GGA3,PLG,SEC23A,COPZ1,AP4E1,VPS26A,COPE,SAR1A,RTN4,AP1G1,GORASP1,SREBF2,OSBP,PREB,BACE1,LRP1,MAPKAPK2,AP2B1,PICALM,AP2A1,COPG1,ABCA7,VLDLR,AP3B2,SEC16A,APP,APBA2,SEC24B,TMED10,EIF2S1,ADAM17,PLCG2,RTN3,SEC24C,COPG2,GGA2,RAB1A,ARF6,SIGMAR1,AP4B1,AP4S1,SYK,GGA1,ITPR1,COPB1,AP4M1,NCSTN
6,CLU,VPS29,HSPA9,HSPA5,SEC31A,VPS35,ECE1,IDE,SNX6,RAB1B,SEC24D,APBA1,COPZ1,ITPR2,APOE,MAP2K3,GGA1,VDAC1,AP1G1,SEC24A,SAR1B,COPG1,SNX4,PLG,LRP1,SORL1,MFN2,VPS26A,AP4E1,BACE1,PSEN1,TMED9,SORT1,GGA3,SEC23A,VLDLR,ADAM10,MAPK14,COPB1,MIA3,SREBF2,MAPKAPK2,RAB1A,GGA2,COPA,SEC23B,BIN1,OSBP,COPE,TMED10,SEC24C,PICALM,COPB2,APBA2,ABCA7,GORASP1,AP2B1,SIGMAR1,PREB,AP3B2,ITPR1,SEC13,SYK,SEC24B,EIF2S1,COPG2,RTN3,SAR1A,ADAM17,TMED2,AP4B1,RTN4,AP4S1,PLCG2,ARF6,NCSTN,AP2A1,APP,AP4M1,SEC16A
7,SEC13,MIA3,APOE,AP1G1,CLU,SEC24A,HSPA9,VPS35,ECE1,APBA2,HSPA5,SAR1B,MAP2K3,IDE,SEC31A,SAR1A,APBA1,SEC24D,MFN2,TMED9,ITPR2,RAB1B,PSEN1,ADAM10,COPG1,COPZ1,BIN1,SEC23A,SORT1,BACE1,GGA3,MAPK14,SEC24B,AP4E1,PLG,MAPKAPK2,COPB1,VDAC1,SORL1,VPS26A,OSBP,PICALM,COPA,COPE,EIF2S1,GGA2,SEC23B,VPS29,PREB,COPB2,TMED2,SNX6,LRP1,TMED10,SNX4,RAB1A,COPG2,AP2A1,APP,SYK,RTN4,RTN3,SEC16A,ITPR1,ADAM17,AP3B2,VLDLR,GGA1,AP4S1,AP4B1,SIGMAR1,SREBF2,SEC24C,NCSTN,AP4M1,PLCG2,ABCA7,ARF6,AP2B1,GORASP1
8,MIA3,VPS35,PSEN1,COPB2,HSPA5,CLU,ECE1,SORL1,HSPA9,SEC31A,APOE,IDE,RAB1B,SNX6,VPS29,COPG1,SEC23A,SEC24D,SNX4,AP1G1,SEC24A,MFN2,COPA,GGA3,MAPK14,TMED2,TMED9,PICALM,ITPR2,VPS26A,PLG,APBA1,VDAC1,PREB,OSBP,COPB1,GGA2,RAB1A,SEC23B,SAR1B,COPZ1,RTN3,AP4E1,BACE1,GORASP1,VLDLR,APBA2,SEC24B,SEC13,ADAM10,MAPKAPK2,BIN1,PLCG2,TMED10,COPG2,SEC16A,EIF2S1,COPE,SORT1,ABCA7,ITPR1,SREBF2,ARF6,MAP2K3,GGA1,SAR1A,LRP1,NCSTN,AP3B2,SYK,APP,ADAM17,RTN4,AP4B1,AP2B1,SIGMAR1,AP4M1,AP2A1,AP4S1,SEC24C
9,APOE,CLU,MIA3,VPS35,VPS29,PSEN1,COPB2,HSPA9,HSPA5,SEC31A,ECE1,IDE,SNX4,SEC23B,SNX6,APBA1,MAPK14,ITPR2,SAR1A,SEC24A,ADAM10,AP1G1,EIF2S1,BIN1,TMED9,RAB1B,GORASP1,AP4E1,BACE1,TMED2,MFN2,SEC23A,COPB1,VDAC1,SEC24D,SORT1,GGA3,COPA,COPE,SORL1,VPS26A,RTN4,MAPKAPK2,GGA2,TMED10,RAB1A,AP2B1,SREBF2,MAP2K3,SEC13,SEC24B,ABCA7,PICALM,PREB,AP4B1,APBA2,COPG1,PLG,AP2A1,SEC16A,SEC24C,ITPR1,GGA1,COPZ1,AP4M1,COPG2,SYK,ADAM17,RTN3,SAR1B,NCSTN,AP3B2,LRP1,SIGMAR1,VLDLR,OSBP,APP,PLCG2,ARF6,AP4S1
