ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,PLCG2,SYK,VPS29,MIA3,MFN2,SAR1A,TMED2,PICALM,MAPK14,PSEN1,VDAC1,AP3B2,NCSTN,RAB1B,TMED9,SAR1B,COPZ1,APBA1,APOE,APP,SEC13,RTN3,COPE,LRP1,SNX4,AP2B1,COPG1,COPG2,IDE,SEC24D,SEC23A,GORASP1,CLU,SEC24C,RTN4,ECE1,GGA2,ITPR1,ITPR2,APBA2,SEC31A,VPS26A,BACE1,HSPA5,MAPKAPK2,COPA,AP4B1,VLDLR,BIN1,GGA1,AP2A1,ADAM10,COPB2,PLG,SEC16A,PREB,HSPA9,RAB1A,COPB1,ADAM17,AP1G1,EIF2S1,SREBF2,SEC24B,SORL1,ARF6,TMED10,GGA3,SEC23B,OSBP,SORT1,MAP2K3,SIGMAR1,AP4S1,SNX6,SEC24A,AP4M1,AP4E1,VPS35,ABCA7
11,ARF6,ADAM10,BIN1,AP3B2,GGA1,SEC13,SAR1B,MFN2,SNX4,OSBP,APOE,CLU,SORL1,APBA2,AP2A1,VPS29,TMED9,SYK,MAPKAPK2,PSEN1,SEC16A,PREB,SAR1A,VDAC1,VPS26A,RTN4,COPB1,COPA,PICALM,RAB1A,NCSTN,GORASP1,GGA2,COPE,AP4M1,COPG1,SEC24B,SNX6,TMED2,TMED10,SEC24A,HSPA9,VPS35,AP2B1,APP,SREBF2,SIGMAR1,VLDLR,COPB2,APBA1,PLCG2,RTN3,MAP2K3,AP4B1,ADAM17,COPG2,AP4S1,ECE1,LRP1,MAPK14,IDE,SEC24D,SEC24C,EIF2S1,BACE1,AP1G1,ITPR2,HSPA5,ITPR1,SEC31A,SEC23B,PLG,SEC23A,RAB1B,SORT1,GGA3,COPZ1,ABCA7,MIA3,AP4E1
12,AP2A1,ITPR1,ADAM10,APBA1,LRP1,MFN2,VPS26A,ADAM17,ARF6,PICALM,PREB,SEC13,HSPA9,TMED10,SAR1B,SEC23B,SEC16A,TMED9,AP1G1,SYK,VPS29,RTN4,COPA,GGA2,COPB2,SEC23A,CLU,BIN1,MIA3,MAPK14,SEC31A,VDAC1,COPG1,RAB1A,SAR1A,COPE,GORASP1,PLG,GGA3,MAP2K3,SNX6,ECE1,MAPKAPK2,VPS35,IDE,APOE,AP4M1,SEC24A,SORL1,RTN3,AP4S1,SEC24D,COPZ1,PLCG2,BACE1,SNX4,TMED2,APBA2,RAB1B,COPG2,ITPR2,SEC24C,AP2B1,VLDLR,AP4B1,COPB1,GGA1,APP,NCSTN,HSPA5,PSEN1,OSBP,SREBF2,SIGMAR1,SORT1,EIF2S1,SEC24B,AP3B2,ABCA7,AP4E1
13,AP2A1,ADAM10,MIA3,MAPKAPK2,HSPA9,COPG2,ITPR2,SORT1,SEC23A,SEC13,ITPR1,ADAM17,AP3B2,SORL1,RTN3,COPB1,GGA3,COPG1,SYK,MFN2,APBA1,APBA2,COPB2,SNX4,AP4M1,LRP1,TMED2,AP4B1,SEC24A,TMED9,APOE,APP,BACE1,RAB1B,AP2B1,PICALM,TMED10,SAR1B,VPS26A,IDE,SEC24B,ARF6,HSPA5,MAPK14,GGA2,SNX6,SAR1A,COPZ1,SEC16A,VDAC1,SEC23B,SEC24C,SEC24D,VPS29,ECE1,AP4S1,BIN1,RAB1A,SEC31A,COPA,GGA1,EIF2S1,RTN4,SIGMAR1,COPE,SREBF2,PREB,GORASP1,PSEN1,CLU,PLCG2,OSBP,VLDLR,PLG,AP1G1,NCSTN,AP4E1,VPS35,ABCA7,MAP2K3
14,HSPA9,AP2A1,VPS29,VDAC1,SEC23B,SNX6,SAR1A,SEC23A,MAPK14,SEC24C,SEC24B,RTN3,CLU,PICALM,LRP1,SORL1,RAB1B,SNX4,GGA3,TMED9,SEC24A,COPB1,COPG2,COPG1,MFN2,TMED10,APOE,ITPR2,APBA2,HSPA5,SREBF2,VPS35,GGA1,AP4B1,SORT1,SEC16A,RAB1A,APP,COPA,COPB2,MAPKAPK2,PSEN1,ITPR1,PREB,GGA2,GORASP1,PLCG2,COPE,VPS26A,AP3B2,MIA3,NCSTN,ECE1,SEC13,VLDLR,IDE,ADAM10,SEC31A,AP1G1,TMED2,COPZ1,SYK,SEC24D,ARF6,AP2B1,BACE1,AP4M1,MAP2K3,SAR1B,RTN4,EIF2S1,AP4S1,ABCA7,APBA1,PLG,ADAM17,OSBP,SIGMAR1,AP4E1,BIN1
15,GGA1,RAB1A,MIA3,AP3B2,SAR1A,COPE,CLU,COPB2,RAB1B,GORASP1,NCSTN,HSPA9,AP2B1,SEC13,IDE,APP,MFN2,AP2A1,APBA2,BIN1,GGA2,APBA1,SORL1,COPA,SNX4,SREBF2,PREB,VPS26A,MAP2K3,VPS35,BACE1,SAR1B,ITPR1,TMED10,PLG,SEC23A,TMED9,VPS29,ECE1,SEC23B,GGA3,SEC24C,PICALM,SYK,PSEN1,ADAM10,ADAM17,SORT1,VDAC1,APOE,EIF2S1,SEC16A,SEC31A,COPG2,AP1G1,COPG1,ARF6,TMED2,SEC24D,SNX6,RTN3,MAPK14,RTN4,COPZ1,SEC24B,ITPR2,AP4M1,SEC24A,HSPA5,AP4B1,PLCG2,MAPKAPK2,AP4S1,OSBP,SIGMAR1,COPB1,LRP1,VLDLR,AP4E1,ABCA7
16,MFN2,HSPA5,LRP1,TMED2,SEC24C,TMED9,COPG1,VDAC1,COPB1,AP1G1,SNX6,GGA2,COPB2,ITPR2,COPG2,ECE1,SEC13,SORL1,MAPK14,ADAM10,AP2B1,SEC24A,VLDLR,APBA1,ARF6,RAB1A,SEC16A,SEC31A,SYK,APOE,RTN4,PLCG2,IDE,BIN1,COPZ1,SNX4,GGA1,VPS35,AP4M1,PSEN1,APBA2,PREB,SORT1,RAB1B,AP2A1,COPA,HSPA9,MAPKAPK2,GORASP1,APP,MIA3,CLU,RTN3,MAP2K3,AP4B1,VPS29,ADAM17,SEC24D,AP3B2,SAR1A,NCSTN,OSBP,VPS26A,PLG,TMED10,SEC23A,SAR1B,SREBF2,SIGMAR1,EIF2S1,COPE,BACE1,ITPR1,AP4S1,SEC23B,GGA3,SEC24B,PICALM,AP4E1,ABCA7
17,COPA,RTN4,MAPK14,HSPA9,MAPKAPK2,COPB1,AP3B2,RAB1A,VPS29,HSPA5,ITPR1,SORT1,SEC31A,SEC23A,SEC24A,AP4B1,AP2B1,SAR1A,PLG,RAB1B,TMED10,SEC24C,APBA2,SAR1B,MAP2K3,SEC13,LRP1,TMED9,PREB,APOE,ARF6,ADAM10,PICALM,GORASP1,VDAC1,GGA2,ECE1,SNX4,APP,CLU,COPB2,AP2A1,GGA3,BACE1,NCSTN,RTN3,EIF2S1,VPS26A,SEC24D,MIA3,SEC24B,VLDLR,SYK,ADAM17,PLCG2,SREBF2,SORL1,AP4S1,APBA1,IDE,GGA1,SNX6,COPZ1,SIGMAR1,MFN2,ITPR2,OSBP,TMED2,PSEN1,COPE,COPG1,AP1G1,AP4M1,VPS35,SEC23B,SEC16A,BIN1,COPG2,AP4E1,ABCA7
18,SORT1,GGA1,ADAM10,MFN2,MAPK14,VPS35,ITPR1,SEC24C,SEC24A,MAPKAPK2,RAB1B,COPA,AP1G1,COPE,ARF6,SNX6,PLG,SAR1B,TMED10,MAP2K3,GORASP1,GGA2,NCSTN,SEC23A,TMED9,ECE1,MIA3,VPS26A,SEC23B,RAB1A,SEC24B,SEC24D,SORL1,HSPA9,EIF2S1,VLDLR,SEC13,VDAC1,IDE,SREBF2,AP4B1,PICALM,AP2B1,AP3B2,PSEN1,APBA1,COPZ1,TMED2,BIN1,PLCG2,AP4M1,OSBP,SNX4,SEC16A,CLU,ITPR2,HSPA5,SIGMAR1,ADAM17,SAR1A,RTN3,SYK,VPS29,BACE1,LRP1,APBA2,GGA3,SEC31A,APOE,COPG1,COPB1,RTN4,COPG2,AP2A1,PREB,AP4S1,ABCA7,APP,COPB2,AP4E1
19,SNX6,GGA1,ADAM17,MAPK14,BIN1,RTN4,MIA3,APBA1,ECE1,LRP1,TMED9,ITPR1,VPS26A,SORT1,TMED10,MFN2,AP4M1,SEC24A,SEC24B,COPE,CLU,RAB1A,SEC16A,VDAC1,GGA3,SEC13,ADAM10,SNX4,PLG,SEC23B,RAB1B,COPG1,MAP2K3,COPB1,VPS29,AP1G1,SEC31A,AP3B2,PICALM,APBA2,PREB,SAR1B,MAPKAPK2,PSEN1,RTN3,PLCG2,SYK,COPZ1,GGA2,IDE,VLDLR,AP4B1,SORL1,NCSTN,OSBP,AP2B1,EIF2S1,VPS35,HSPA5,APP,SIGMAR1,SEC24C,AP4S1,SAR1A,ARF6,HSPA9,SEC23A,GORASP1,AP2A1,COPB2,SREBF2,APOE,COPG2,SEC24D,TMED2,COPA,BACE1,AP4E1,ITPR2,ABCA7
