cohort,outcome,beta,p,n
Braak<=2,TMED2,0.022467385351931622,0.7994196831459454,106
Braak<=2,TMED10,-0.002081348656211584,0.98209438781394,106
Braak<=2,TMED9,0.043028175685146886,0.5088825379058332,106
Braak<=2,AZscore,-0.021337149266814404,0.5734842077212404,106
Braak<=2+NCI,TMED2,0.2158851630121969,0.13534927450428097,58
Braak<=2+NCI,TMED10,-0.08686189513289469,0.6059652519901899,58
Braak<=2+NCI,TMED9,-0.03760518927538167,0.7487154640393208,58
Braak<=2+NCI,AZscore,-0.0047911108411621975,0.937958549770402,58
