ratio,beta,se,ci_lo,ci_hi,p,n
log(TMED2/TMED10),-0.033832452538461254,0.023240072422036028,-0.07938299448565186,0.011718089408729364,0.14597105782278086,616
log(TMED9/TMED2),0.05230633058779739,0.03732558182963297,-0.02085180979828323,0.12546447097387803,0.16162033909058937,616
log(TMED9/TMED10),0.018473878049336,0.02786782110655283,-0.036147051319507545,0.07309480741817954,0.5076397791563457,616
