outcome,main_beta,main_p,int_beta,int_p,n
TMED2,-0.0275367381177311,0.7998860773431973,-0.004045470120387804,0.8807963211299191,616
TMED10,-0.055574164945887655,0.5302128296729552,0.012021554956641419,0.584552795848317,616
TMED9,-0.05658497808216028,0.4735230985642876,0.01708154578096877,0.3836676733900543,616
AZscore,-0.023231699711879703,0.6072978878048487,0.001644419420357431,0.8835300216729152,616
