outcome,raw_beta,raw_p,adj_beta,adj_p,full_beta,full_p,n,fdr
TMED2,-0.025151826235797394,0.6191418912153743,-0.015406035529185472,0.7672592739323532,-0.043114777433023874,0.1745284914315853,616,0.8272143667084771
TMED10,0.03953612469599097,0.3740494804283106,0.037162476085631696,0.4174125805557999,-0.00928232489456256,0.7196890118430874,616,0.8272143667084771
TMED9,-0.003243701289919428,0.9267413548953323,0.01853954805729973,0.6060416283080455,0.009191553154773229,0.6903273568430319,616,0.8272143667084771
AZscore,-0.07511554796573189,0.3679312714102008,-0.01841808080091096,0.8272143667084771,-0.016899473884268854,0.20084007173706012,616,0.8272143667084771
