ordering,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11,pos12,pos13,pos14,pos15,pos16,pos17,pos18,pos19,pos20,pos21,pos22,pos23,pos24,pos25,pos26,pos27,pos28,pos29,pos30,pos31,pos32,pos33,pos34,pos35,pos36,pos37,pos38,pos39,pos40,pos41,pos42,pos43,pos44,pos45,pos46,pos47,pos48,pos49,pos50,pos51,pos52,pos53,pos54,pos55,pos56,pos57,pos58,pos59,pos60,pos61,pos62,pos63,pos64,pos65,pos66,pos67,pos68,pos69,pos70,pos71,pos72,pos73,pos74,pos75,pos76,pos77,pos78,pos79,pos80
10,ADAM10,AP2A1,ITPR2,AP1G1,RAB1A,RTN3,COPE,SNX6,VDAC1,SORL1,MFN2,CLU,SEC31A,AP2B1,ITPR1,HSPA5,COPB1,SEC24D,PLG,VPS29,TMED10,APBA1,COPG1,VPS35,HSPA9,ARF6,TMED2,PREB,GGA3,COPG2,RTN4,MIA3,APP,SEC16A,LRP1,NCSTN,TMED9,PLCG2,COPB2,SEC13,SYK,COPZ1,ADAM17,SORT1,GGA1,ECE1,APOE,RAB1B,GGA2,SEC23A,SAR1A,AP4S1,SEC23B,PICALM,SNX4,SAR1B,BIN1,SEC24C,PSEN1,OSBP,MAPK14,EIF2S1,BACE1,IDE,AP3B2,APBA2,VPS26A,COPA,MAPKAPK2,AP4M1,ABCA7,MAP2K3,VLDLR,SEC24B,GORASP1,SIGMAR1,SREBF2,AP4E1,SEC24A,AP4B1
11,VPS35,AP3B2,APP,HSPA9,TMED10,COPB1,SAR1A,MIA3,ITPR2,RTN4,MFN2,VPS29,ITPR1,RAB1B,CLU,BIN1,EIF2S1,LRP1,OSBP,COPB2,COPA,ARF6,ADAM17,COPZ1,VPS26A,AP2A1,SORL1,COPG2,COPG1,SEC16A,ADAM10,SNX4,SAR1B,RTN3,TMED2,SEC24D,GGA3,APOE,SEC24C,SEC31A,TMED9,PICALM,NCSTN,PSEN1,SEC24B,AP1G1,RAB1A,AP4S1,APBA2,VDAC1,HSPA5,SNX6,AP2B1,SEC23A,ECE1,PREB,APBA1,MAPKAPK2,SEC13,COPE,PLG,GGA2,MAPK14,SORT1,BACE1,PLCG2,GORASP1,ABCA7,IDE,SYK,SEC23B,AP4M1,GGA1,SEC24A,SIGMAR1,MAP2K3,VLDLR,SREBF2,AP4E1,AP4B1
12,GGA3,RAB1B,MFN2,LRP1,SAR1A,AP2A1,SORL1,VPS35,VPS29,APP,ARF6,SEC13,TMED9,TMED10,AP1G1,CLU,SORT1,VPS26A,ADAM10,HSPA9,GGA2,COPB1,MIA3,RAB1A,APOE,COPB2,COPG1,SEC23A,SEC31A,PLCG2,SYK,MAPKAPK2,COPE,SAR1B,TMED2,ITPR1,AP2B1,RTN3,APBA1,SEC16A,SEC24D,BIN1,AP3B2,PICALM,PREB,SEC24B,ADAM17,ITPR2,RTN4,COPG2,AP4S1,OSBP,HSPA5,COPA,SEC24C,NCSTN,IDE,VDAC1,ECE1,PSEN1,SNX6,GGA1,MAPK14,APBA2,SNX4,BACE1,COPZ1,PLG,SEC23B,SEC24A,EIF2S1,VLDLR,MAP2K3,AP4E1,SREBF2,AP4M1,ABCA7,SIGMAR1,AP4B1,GORASP1
13,SAR1B,AP2A1,RTN3,VPS26A,SNX4,SEC23B,VPS35,PSEN1,NCSTN,CLU,COPB1,COPA,HSPA9,COPB2,HSPA5,RAB1A,LRP1,TMED10,RTN4,TMED9,AP4S1,MIA3,SEC16A,APOE,ITPR1,SEC23A,SORT1,VPS29,AP3B2,BIN1,AP2B1,SEC24B,PICALM,ARF6,APBA1,PLCG2,COPG2,COPG1,SYK,SEC31A,AP1G1,PREB,ADAM10,SNX6,TMED2,VDAC1,EIF2S1,ITPR2,SORL1,GGA2,COPE,MFN2,ECE1,GGA3,APP,SAR1A,MAPKAPK2,BACE1,PLG,SEC24D,AP4M1,IDE,ADAM17,SEC24C,GGA1,SEC13,COPZ1,OSBP,RAB1B,GORASP1,MAPK14,ABCA7,SEC24A,VLDLR,AP4E1,SIGMAR1,APBA2,AP4B1,MAP2K3,SREBF2
14,VDAC1,HSPA5,AP2B1,ADAM10,SEC13,VPS29,AP3B2,AP2A1,SEC31A,MFN2,AP1G1,SNX6,BIN1,LRP1,EIF2S1,VPS35,RAB1A,OSBP,MIA3,RAB1B,NCSTN,MAPK14,VPS26A,SEC24C,COPB1,PREB,COPG1,CLU,SAR1A,GGA3,APBA1,COPA,SEC23A,TMED9,APOE,COPZ1,TMED2,SNX4,SEC24B,RTN3,GGA1,SYK,RTN4,SAR1B,GGA2,SORL1,HSPA9,PLCG2,COPB2,SEC24D,PLG,ITPR2,ITPR1,APBA2,VLDLR,SEC24A,ECE1,PICALM,PSEN1,APP,COPE,TMED10,MAPKAPK2,ADAM17,ARF6,IDE,COPG2,AP4M1,SORT1,AP4E1,BACE1,AP4S1,SEC16A,SREBF2,ABCA7,MAP2K3,SIGMAR1,SEC23B,AP4B1,GORASP1
15,RAB1A,SNX4,SNX6,SEC23B,RTN3,APP,APOE,AP3B2,TMED9,TMED10,ADAM10,TMED2,SEC24C,ECE1,AP2A1,LRP1,ITPR2,HSPA5,SEC13,MIA3,COPB2,COPA,VPS26A,GGA3,VDAC1,EIF2S1,HSPA9,RAB1B,SEC31A,SEC24D,PREB,COPG2,COPG1,SEC24B,CLU,COPE,AP1G1,ARF6,ITPR1,VPS35,PSEN1,NCSTN,SAR1A,OSBP,GGA2,BIN1,VPS29,BACE1,SEC23A,SYK,PLCG2,SAR1B,PICALM,GGA1,COPB1,SORT1,PLG,MFN2,RTN4,MAPKAPK2,SEC16A,MAPK14,AP4S1,SORL1,APBA1,IDE,AP2B1,APBA2,AP4E1,COPZ1,SIGMAR1,SEC24A,MAP2K3,VLDLR,GORASP1,SREBF2,ABCA7,AP4M1,AP4B1,ADAM17
16,RTN4,LRP1,ITPR1,ITPR2,VPS35,SORT1,AP4S1,SEC16A,TMED9,SAR1A,SEC13,RAB1B,COPB2,APP,SNX6,OSBP,MFN2,SEC31A,AP1G1,TMED10,ARF6,MIA3,SAR1B,COPB1,SEC23A,CLU,AP3B2,APBA1,RTN3,NCSTN,ADAM10,HSPA5,VDAC1,COPG2,COPG1,APOE,GGA3,SEC24B,ADAM17,BIN1,HSPA9,SEC24C,VPS29,AP2A1,SEC24D,MAPKAPK2,GGA1,GGA2,EIF2S1,SORL1,COPA,PICALM,AP2B1,PLG,SEC23B,TMED2,PSEN1,SNX4,COPE,RAB1A,PLCG2,PREB,VPS26A,IDE,SEC24A,VLDLR,MAPK14,COPZ1,SYK,ECE1,BACE1,APBA2,MAP2K3,SREBF2,ABCA7,AP4E1,AP4M1,GORASP1,AP4B1,SIGMAR1
17,ARF6,COPG1,RTN4,BACE1,MIA3,COPB1,COPE,SORT1,RTN3,VPS29,AP1G1,MFN2,APP,CLU,ADAM10,APOE,HSPA9,OSBP,SEC16A,COPZ1,TMED10,ITPR2,HSPA5,SEC24C,APBA1,TMED9,SAR1B,VPS26A,PSEN1,NCSTN,COPG2,COPA,GGA2,SEC31A,EIF2S1,SEC24B,ITPR1,TMED2,SNX4,AP4S1,PREB,RAB1B,MAPKAPK2,ECE1,PLCG2,SYK,SEC23A,SAR1A,IDE,PLG,SEC24D,COPB2,GGA1,SORL1,LRP1,SEC24A,GGA3,AP2A1,VLDLR,VPS35,AP2B1,SEC13,BIN1,RAB1A,PICALM,APBA2,MAPK14,SEC23B,SNX6,AP3B2,VDAC1,ABCA7,GORASP1,SIGMAR1,ADAM17,MAP2K3,AP4M1,AP4E1,SREBF2,AP4B1
18,SNX6,RAB1A,VDAC1,HSPA5,LRP1,ITPR2,COPA,CLU,SEC13,COPG1,PLCG2,SYK,VPS29,MFN2,COPZ1,RAB1B,NCSTN,SORT1,COPB2,SEC23A,APBA1,OSBP,SEC31A,VPS26A,ARF6,SORL1,MIA3,AP2B1,TMED2,PICALM,SEC24D,ADAM10,TMED10,COPG2,COPB1,PREB,VPS35,APP,SEC24C,AP3B2,ITPR1,MAPK14,SEC23B,SEC16A,AP1G1,GGA3,RTN4,ADAM17,SEC24B,TMED9,SAR1A,HSPA9,PSEN1,SAR1B,RTN3,GGA1,GGA2,AP4S1,EIF2S1,AP2A1,BACE1,PLG,APOE,GORASP1,ECE1,COPE,ABCA7,AP4E1,SNX4,SEC24A,VLDLR,APBA2,MAPKAPK2,BIN1,IDE,SREBF2,MAP2K3,SIGMAR1,AP4M1,AP4B1
19,VPS35,BIN1,ITPR2,APOE,RAB1B,RAB1A,AP2B1,SAR1B,SEC13,AP3B2,SEC31A,SNX6,COPG1,APP,COPE,CLU,ADAM10,ITPR1,SORT1,AP1G1,LRP1,SNX4,COPG2,TMED9,TMED2,COPB2,COPA,SEC24D,RTN4,TMED10,GGA3,APBA1,RTN3,VPS29,ECE1,GGA1,MAPKAPK2,SAR1A,MAPK14,SEC24C,OSBP,PREB,ARF6,AP2A1,NCSTN,SEC23A,PLCG2,ADAM17,PSEN1,HSPA5,SEC16A,SEC23B,MIA3,SYK,SORL1,AP4S1,VLDLR,SEC24A,HSPA9,VPS26A,VDAC1,GGA2,PICALM,IDE,SEC24B,MFN2,EIF2S1,PLG,BACE1,COPZ1,APBA2,COPB1,SIGMAR1,ABCA7,MAP2K3,AP4E1,GORASP1,AP4M1,SREBF2,AP4B1
