version,variable,protein,beta,se,z,p,n,strata,strata_same_sign,q
cell,cts_mmse30_first_ad_dx,RAB1B,0.11832251878472227,0.09037442468426012,1.3092478231325293,0.19045041753377057,126.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,RTN3,0.06861432029939046,0.1324662015464179,0.5179760535018219,0.604474977118553,92.0,1.0,1.0,0.8724806408505053
cell,cts_mmse30_first_ad_dx,RTN4,0.0048323301920927125,0.09633365243731422,0.05016243098679544,0.9599929495731485,108.0,1.0,1.0,0.9829483001452879
cell,cts_mmse30_first_ad_dx,SAR1A,0.07689937716367293,0.07395030469239287,1.0398791118379722,0.29839606810843733,126.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,SAR1B,-0.062358398590717685,0.07976626217622301,-0.7817640803194822,0.4343532343394958,126.0,1.0,1.0,0.8203947271787371
cell,cts_mmse30_first_ad_dx,SEC13,0.07032674136359121,0.10654117827320517,0.6600897653229559,0.5091962261631793,126.0,1.0,1.0,0.8325820484656491
cell,cts_mmse30_first_ad_dx,SEC16A,0.1996491275439452,0.09160786538028766,2.179388491535641,0.029302820342735878,126.0,1.0,1.0,0.5518902854767804
cell,cts_mmse30_first_ad_dx,SEC23A,-0.023644935698365302,0.09820051158382705,-0.2407822048684669,0.8097239223744338,126.0,1.0,1.0,0.9356702165200578
cell,cts_mmse30_first_ad_dx,SEC23B,0.05038861490825548,0.09742841514628242,0.5171860266083591,0.6050263054690288,126.0,1.0,1.0,0.8724806408505053
cell,cts_mmse30_first_ad_dx,SEC24A,-0.03046271470179003,0.0871874973368415,-0.3493931542053549,0.726794172042587,126.0,1.0,1.0,0.8873942211455366
cell,cts_mmse30_first_ad_dx,SEC24B,-0.16771046905742423,0.08450324788443792,-1.984662995282454,0.04718197849720823,126.0,1.0,1.0,0.6290930466294431
cell,cts_mmse30_first_ad_dx,SEC24C,0.09433051441944793,0.08371571236872982,1.1267958158674527,0.2598288199839006,126.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,SEC24D,0.16163961619905612,0.10736872656169538,1.505462729933525,0.1322051519193195,124.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,SEC31A,0.04264992769911703,0.09610936632269902,0.44376452921263315,0.6572128359256246,126.0,1.0,1.0,0.8762837812341662
cell,cts_mmse30_first_ad_dx,SIGMAR1,-0.1430630489204425,0.13627061026755286,-1.0498452207673643,0.29378928049704134,66.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,SNX4,0.06714710177648583,0.07140705387873408,0.9403426990632796,0.3470418040463613,126.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,SNX6,0.10388035116938976,0.09310141187039067,1.1157763247887666,0.26451789033936823,126.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,SORL1,-0.07209147600089737,0.07408987693655492,-0.9730273416789607,0.3305397133373472,126.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,SORT1,-0.14661292524656921,0.07791128383505656,-1.8817932144072822,0.05986409749401728,126.0,1.0,1.0,0.6841611142173403
cell,cts_mmse30_first_ad_dx,SREBF2,-0.07653412988176991,0.13652610853719255,-0.5605823728647509,0.5750822708619274,74.0,1.0,1.0,0.8724806408505053
cell,cts_mmse30_first_ad_dx,SYK,-0.048005225346679406,0.06985774204083695,-0.6871854707044045,0.49196585898969947,102.0,1.0,1.0,0.8325820484656491
cell,cts_mmse30_first_ad_dx,TMED10,0.11196832447196338,0.07380671155789961,1.5170480042878876,0.12925456450352515,126.0,1.0,1.0,0.8106968900141052
cell,cts_mmse30_first_ad_dx,TMED2,-0.0012479824297217989,0.08492124644831144,-0.014695762037376615,0.9882749003986769,126.0,1.0,1.0,0.9882749003986768
cell,cts_mmse30_first_ad_dx,TMED9,0.06710430944718225,0.09319548513299204,0.7200382009002142,0.471501475491401,126.0,1.0,1.0,0.8325820484656491
cell,cts_mmse30_first_ad_dx,VDAC1,-0.04153482324991925,0.08415969971921093,-0.4935239002574316,0.6216424566059849,126.0,1.0,1.0,0.8724806408505053
cell,cts_mmse30_first_ad_dx,VLDLR,0.183528482950889,0.10244841246947545,1.7914233957072923,0.07322537733243299,115.0,1.0,1.0,0.6942806603286912
cell,cts_mmse30_first_ad_dx,VPS26A,0.028354121347386536,0.0828261181319668,0.3423330947637789,0.7321002324450677,126.0,1.0,1.0,0.8873942211455366
cell,cts_mmse30_first_ad_dx,VPS29,-0.14803505450742085,0.08402587371652391,-1.7617794134083413,0.07810657428697776,126.0,1.0,1.0,0.6942806603286912
cell,cts_mmse30_first_ad_dx,VPS35,-0.12412928207794485,0.09357002941166578,-1.3265923165614515,0.18464357886853366,126.0,1.0,1.0,0.8106968900141052
cell,braaksc,ABCA7,-0.009555453831349451,0.02931922392316384,-0.32591087186997825,0.7444917898590947,1081.0,6.0,4.0,0.9030253890305279
cell,braaksc,ADAM10,0.030857173435023692,0.0107404396923855,2.872989776843128,0.00406607273762569,1307.0,6.0,5.0,0.046469402715722176
cell,braaksc,ADAM17,0.005610745015376627,0.022614071033931017,0.24810857836954925,0.8040503985200357,1275.0,6.0,3.0,0.9030253890305279
cell,braaksc,AP1G1,-0.004701162842666076,0.01690448404244848,-0.2781015280242265,0.7809344227983083,1307.0,6.0,4.0,0.9030253890305279
cell,braaksc,AP2A1,-0.02731871304087603,0.011017151769256366,-2.479652964127223,0.013151030874397092,1307.0,6.0,6.0,0.10520824699517675
