version,variable,protein,beta,se,z,p,n,strata,strata_same_sign,q
cell,braaksc,SEC13,-0.010226659075701713,0.02588417092600938,-0.3950931673622038,0.6927741312018685,1307.0,6.0,3.0,0.9030253890305279
cell,braaksc,SEC16A,0.018146390323257284,0.022715050952782603,0.798870773434666,0.42436534743168264,1307.0,6.0,3.0,0.7715733589666957
cell,braaksc,SEC23A,0.013526835779096769,0.01873624330246796,0.721960937458311,0.47031849411052673,1307.0,6.0,5.0,0.8175609868684566
cell,braaksc,SEC23B,-0.022093491972103425,0.021883871889003256,-1.009578747497855,0.3126971559755606,1307.0,6.0,3.0,0.6747457047437976
cell,braaksc,SEC24A,-0.002635342289858425,0.02517204533251249,-0.10469321245240998,0.916619248042149,1307.0,6.0,3.0,0.9575374560076466
cell,braaksc,SEC24B,0.010180847192150979,0.022984673837650335,0.44294068578315493,0.6578086379013917,1307.0,6.0,2.0,0.9030253890305279
cell,braaksc,SEC24C,-0.008165131674640112,0.02220830741398046,-0.3676611424020563,0.7131259179969098,1307.0,6.0,3.0,0.9030253890305279
cell,braaksc,SEC24D,0.05004685501283235,0.025204248778399583,1.985651524584349,0.047072031063222164,1299.0,6.0,5.0,0.19819802552935648
cell,braaksc,SEC31A,0.0011679123310093873,0.02185900195989289,0.05342935295729806,0.9573898183296664,1307.0,6.0,3.0,0.9695086767895357
cell,braaksc,SIGMAR1,-0.04107661818945048,0.033681016521559255,-1.2195777453200467,0.22262498709944334,1066.0,6.0,4.0,0.5747268366179948
cell,braaksc,SNX4,-0.017359805744549806,0.017729709842826753,-0.9791364832500852,0.32751254726707946,1307.0,6.0,5.0,0.6747457047437976
cell,braaksc,SNX6,-0.0018828064142586162,0.019789063793089146,-0.09514378416002384,0.9242006210626753,1307.0,6.0,4.0,0.9575374560076466
cell,braaksc,SORL1,-0.014960499032508767,0.027088195622767996,-0.552288503850521,0.5807507057111989,1307.0,6.0,3.0,0.8603714158684428
cell,braaksc,SORT1,0.018573605080290722,0.019034199498390043,0.9758017447417067,0.32916271998558144,1307.0,6.0,5.0,0.6747457047437976
cell,braaksc,SREBF2,-0.015020319782098678,0.03626844174621668,-0.4141429589724658,0.678769413155014,807.0,5.0,2.0,0.9030253890305279
cell,braaksc,SYK,-0.055496395028382974,0.02197137923199547,-2.5258493990021,0.01154189469749514,1223.0,6.0,4.0,0.10259461953329013
cell,braaksc,TMED10,-0.038345529682871235,0.027910926829677295,-1.373853685220477,0.16948711055017973,1307.0,6.0,5.0,0.4842488872862278
cell,braaksc,TMED2,-0.030729111037763403,0.027340646669149295,-1.1239350484141106,0.2610405813667772,1307.0,6.0,4.0,0.5966641859812051
cell,braaksc,TMED9,-0.039456434457779944,0.026116277233202013,-1.5107985761316085,0.13083977760950977,1307.0,6.0,3.0,0.4186872883504313
cell,braaksc,VDAC1,-0.03404480663445773,0.01703029438077684,-1.9990732909987887,0.04560042450239553,1307.0,6.0,2.0,0.19819802552935648
cell,braaksc,VLDLR,-0.016219636857225488,0.02707373555732421,-0.599091204938567,0.5491120663214839,1275.0,6.0,4.0,0.8603714158684428
cell,braaksc,VPS26A,0.03976927106944958,0.023043939535832635,1.7258017452966128,0.08438308574806634,1307.0,6.0,5.0,0.321459374278348
cell,braaksc,VPS29,0.01170582928054784,0.01658536528186396,0.7057926721305393,0.4803170797852182,1307.0,6.0,4.0,0.8175609868684566
cell,braaksc,VPS35,0.0070686126452724676,0.021566607658766567,0.3277572790822835,0.7430951908980655,1307.0,6.0,3.0,0.9030253890305279
cell,ceradsc,ABCA7,0.0037926658064300323,0.05981142618891878,0.06341038908603548,0.9494397146071843,391.0,2.0,1.0,0.9707938222937373
cell,ceradsc,ADAM10,0.008161962625572918,0.023422322147946817,0.3484694034185842,0.7274876881192709,587.0,2.0,1.0,0.9109906248542797
cell,ceradsc,ADAM17,0.06470044188507725,0.04554882918481387,1.4204633366657113,0.15547283502563264,555.0,2.0,2.0,0.4091186142960744
cell,ceradsc,AP1G1,-0.02504171395345605,0.04790402451317804,-0.5227476022722739,0.6011499072677873,587.0,2.0,1.0,0.8522623058265536
cell,ceradsc,AP2A1,-0.055204304613960906,0.03796762106301741,-1.4539837648067182,0.14595080739240873,587.0,2.0,2.0,0.4091186142960744
cell,ceradsc,AP2B1,-0.05607885645217577,0.035448246039348784,-1.581992417619938,0.1136513014540336,587.0,2.0,2.0,0.3953088746227255
cell,ceradsc,AP3B2,-0.09677745728746777,0.054325953624876404,-1.781422153317754,0.07484351182770423,429.0,2.0,2.0,0.3742175591385211
cell,ceradsc,AP4B1,0.04628336360280807,0.06437958749355471,0.7189136402503615,0.47219413152135215,353.0,2.0,1.0,0.8522623058265536
cell,ceradsc,AP4E1,0.0935520230783765,0.0557557698359332,1.6778895413633865,0.09336866463570485,456.0,2.0,2.0,0.3931312195187573
cell,ceradsc,AP4M1,0.05870423294463832,0.06526384551751,0.8994908663310108,0.3683912586868421,310.0,2.0,1.0,0.7072620335893981
cell,ceradsc,AP4S1,-0.00886986302362728,0.053227819760657935,-0.1666396080754603,0.8676536266750855,514.0,2.0,1.0,0.9707938222937373
cell,ceradsc,APBA1,-0.027884613506813958,0.039464418666432355,-0.706576061401154,0.47982996968314273,587.0,2.0,1.0,0.8522623058265536
cell,ceradsc,APBA2,-0.012198244391728154,0.047267155812527197,-0.25807020079882315,0.7963527290967963,587.0,2.0,2.0,0.9638533507837866
cell,ceradsc,APOE,0.20294015318363923,0.04823193923740691,4.207588506543945,2.581103235021813e-05,587.0,2.0,2.0,0.0010324412940087252
cell,ceradsc,APP,-0.00012669303435375626,0.048835073599714014,-0.0025943041550877933,0.997930047090569,499.0,2.0,1.0,0.997930047090569
cell,ceradsc,ARF6,-0.005850487542765477,0.047904204049132655,-0.122128895759649,0.9027969376610111,587.0,2.0,1.0,0.9707938222937373
cell,ceradsc,BACE1,0.14281373206103662,0.04979334744889151,2.86812876373942,0.004129074497861844,579.0,2.0,2.0,0.06592233429739243
cell,ceradsc,BIN1,-0.047201776962530015,0.033475937445149866,-1.410021064828128,0.15853346303972882,587.0,2.0,2.0,0.4091186142960744
cell,ceradsc,CLU,0.12612608376917936,0.04487436937270064,2.810648607039997,0.004944175072304432,587.0,2.0,2.0,0.06592233429739243
cell,ceradsc,COPA,0.07276326936776668,0.04927650139621598,1.4766322142617514,0.13977425157720086,587.0,2.0,2.0,0.4091186142960744
cell,ceradsc,COPB1,-0.008102157340156938,0.04818837603347872,-0.1681350982761484,0.8664769979458531,587.0,2.0,1.0,0.9707938222937373
cell,ceradsc,COPB2,0.030801907752503205,0.04816969588008253,0.6394457592006377,0.5225329888192809,587.0,2.0,2.0,0.8522623058265536
cell,ceradsc,COPE,-0.0042285145222644895,0.04952187951484038,-0.08538679395230378,0.9319538917178852,587.0,2.0,1.0,0.9707938222937373
cell,ceradsc,COPG1,0.029356500033111764,0.049327154789095086,0.595138725487603,0.5517507447030543,587.0,2.0,1.0,0.8522623058265536
cell,ceradsc,COPG2,0.03020725155236039,0.04984300376047628,0.6060479761116175,0.5444828955080698,587.0,2.0,2.0,0.8522623058265536
cell,ceradsc,COPZ1,-0.09578445021155292,0.047713914080828264,-2.0074741730324672,0.04469919795285757,587.0,2.0,2.0,0.2554239883020432
cell,ceradsc,ECE1,0.023078151047331612,0.04757500327622594,0.48508984672764416,0.6276126139752796,571.0,2.0,2.0,0.8522623058265536
cell,ceradsc,EIF2S1,0.08806095422669677,0.047629974345548894,1.8488557979860896,0.06447863776943574,587.0,2.0,2.0,0.3438860681036573
cell,ceradsc,GGA1,0.010267306227573679,0.045915572931662624,0.22361272161091805,0.8230586639031037,587.0,2.0,1.0,0.9638533507837866
cell,ceradsc,GGA2,0.10969045187439883,0.04788304806097878,2.290799276911292,0.021975025491027436,587.0,2.0,2.0,0.20074783197684037
cell,ceradsc,GGA3,-0.020878402140446208,0.040241884145312566,-0.5188226790041628,0.6038844012407512,587.0,2.0,1.0,0.8522623058265536
cell,ceradsc,GORASP1,0.09099547115768332,0.06376731797119084,1.4269922909223463,0.15358211671849786,316.0,2.0,2.0,0.4091186142960744
cell,ceradsc,HSPA5,0.01843810452328973,0.049583021249843304,0.3718632721145043,0.7099946518629223,587.0,2.0,2.0,0.9109906248542797
cell,ceradsc,HSPA9,-0.009959751666402339,0.04675842717922296,-0.21300442010649878,0.831323515051016,587.0,2.0,1.0,0.9638533507837866
cell,ceradsc,IDE,0.050880369263343356,0.0457493881099824,1.1121540935372944,0.26607190197463815,587.0,2.0,2.0,0.5912708932769737
cell,ceradsc,ITPR1,-0.07310611385539056,0.047655385735788494,-1.534057750800849,0.1250154459414489,587.0,2.0,2.0,0.40004942701263646
cell,ceradsc,ITPR2,0.15892516277188773,0.041182041554979884,3.8590889808052733,0.00011381049670473909,587.0,2.0,2.0,0.0030349465787930427
cell,ceradsc,LRP1,0.2263799282454394,0.04116371705806585,5.499501610267755,3.808662295024533e-08,587.0,2.0,2.0,3.0469298360196264e-06
cell,ceradsc,MAP2K3,0.15414700665164352,0.051219467811111176,3.0095394044333275,0.0026164413678326313,521.0,2.0,2.0,0.052328827356652625
cell,ceradsc,MAPK14,-0.057916369896097095,0.04418926262565974,-1.3106435014931959,0.1899782349492175,547.0,2.0,1.0,0.4605532968465879
cell,ceradsc,MAPKAPK2,-0.005010186491745983,0.04705742946949042,-0.10646961698140199,0.9152097604990228,513.0,2.0,1.0,0.9707938222937373
cell,ceradsc,MFN2,-0.03835694196120015,0.04243796716527549,-0.9038355162446471,0.36608262602441777,587.0,2.0,1.0,0.7072620335893981
cell,ceradsc,MIA3,-0.02430298561687661,0.049615789514068524,-0.4898236197568824,0.6242587152516208,587.0,2.0,1.0,0.8522623058265536
cell,ceradsc,NCSTN,0.02237040721693621,0.049812892365575734,0.44908870283540814,0.6533676696324415,571.0,2.0,1.0,0.8711568928432553
cell,ceradsc,OSBP,-0.07921066168512318,0.04669388936640855,-1.6963817484458064,0.0898136079172829,587.0,2.0,2.0,0.3931312195187573
cell,ceradsc,PICALM,-0.07231343952031655,0.04456407024399897,-1.622684802451462,0.1046568018002238,587.0,2.0,2.0,0.3953088746227255
cell,ceradsc,PLCG2,-0.08006444540209952,0.046056639809229624,-1.7383909406707265,0.08214195189779354,522.0,2.0,2.0,0.3865503618719696
cell,ceradsc,PLG,0.06567344792261806,0.047705892811713974,1.3766317754877493,0.16862612160340884,587.0,2.0,2.0,0.4215653040085221
cell,ceradsc,PREB,-0.004904204153041236,0.04840754225084781,-0.101310744669243,0.9193037870683021,587.0,2.0,1.0,0.9707938222937373
cell,ceradsc,PSEN1,-0.07768071451040141,0.0488426427846465,-1.5904281603455752,0.11173832694147869,587.0,2.0,2.0,0.3953088746227255
cell,ceradsc,RAB1A,-0.025974707033897745,0.04042663724750555,-0.6425146587105873,0.5205390746351942,587.0,2.0,2.0,0.8522623058265536
cell,ceradsc,RAB1B,-0.046562038338774384,0.04361451038071964,-1.0675813607059943,0.2857093951887425,587.0,2.0,1.0,0.6177500436513351
cell,ceradsc,RTN3,-0.11159835705437518,0.05213831733407201,-2.140428820119334,0.03232012749742095,477.0,2.0,2.0,0.23505547270851598
cell,ceradsc,RTN4,-0.11308212035370584,0.049655764002857455,-2.2773211252413414,0.022767056325208552,517.0,2.0,2.0,0.20074783197684037
cell,ceradsc,SAR1A,-0.03295361444941022,0.049486788307918264,-0.6659073174109663,0.5054703430766037,587.0,2.0,2.0,0.8522623058265536
cell,ceradsc,SAR1B,0.010553442592142222,0.04435989745294793,0.23790502679444075,0.8119547566215504,587.0,2.0,1.0,0.9638533507837866
cell,ceradsc,SEC13,0.024890359925453815,0.04948018113936874,0.5030369605023512,0.6149382865026196,587.0,2.0,1.0,0.8522623058265536
cell,ceradsc,SEC16A,-0.07484292931231472,0.047969438437486696,-1.5602210855532381,0.11870764445668858,587.0,2.0,2.0,0.3956921481889619
cell,ceradsc,SEC23A,0.024105664362122962,0.04809283668580132,0.5012319094340258,0.616207919568883,587.0,2.0,2.0,0.8522623058265536
cell,ceradsc,SEC23B,-0.034129213234417914,0.04522004145063726,-0.7547364429480626,0.45040713562658385,587.0,2.0,1.0,0.8379667639564351
cell,ceradsc,SEC24A,-0.002622837216114887,0.05059818127112812,-0.05183659076717659,0.9586588995150656,587.0,2.0,1.0,0.9707938222937373
cell,ceradsc,SEC24B,0.03344704228785793,0.049369691446981556,0.6774812907991724,0.4981006366720293,587.0,2.0,2.0,0.8522623058265536
cell,ceradsc,SEC24C,-0.02338287619432929,0.047564558234534836,-0.491602930043653,0.6230000716958995,587.0,2.0,2.0,0.8522623058265536
cell,ceradsc,SEC24D,-0.0028580665105389343,0.04952505349398185,-0.05770950880217098,0.9539800193924958,579.0,2.0,2.0,0.9707938222937373
cell,ceradsc,SEC31A,-0.01172426499083408,0.04899060432995029,-0.23931660266673785,0.8108600923347886,587.0,2.0,1.0,0.9638533507837866
cell,ceradsc,SIGMAR1,-0.06295717017901352,0.06800489497572747,-0.9257740961365266,0.354563391738266,368.0,2.0,1.0,0.7072620335893981
cell,ceradsc,SNX4,-0.08988548278524833,0.04012815298526447,-2.2399606285954734,0.025093478997105043,587.0,2.0,2.0,0.20074783197684037
cell,ceradsc,SNX6,0.05242096489412714,0.04510821930866877,1.1621155899641782,0.24518851561716626,587.0,2.0,1.0,0.5604308928392372
cell,ceradsc,SORL1,0.09787410209632719,0.04777741029298835,2.048543474753609,0.04050677678288902,587.0,2.0,2.0,0.2513098773599866
cell,ceradsc,SORT1,0.05692979321646059,0.039721543385951553,1.4332220846331751,0.15179438025643052,587.0,2.0,2.0,0.4091186142960744
cell,ceradsc,SREBF2,-0.031195643225821752,0.06448338927146084,-0.48377797101351133,0.6285434505470833,322.0,2.0,2.0,0.8522623058265536
cell,ceradsc,SYK,0.09329710322588476,0.0397479362396005,2.3472188005809906,0.018914144087464002,504.0,2.0,2.0,0.20074783197684037
cell,ceradsc,TMED10,0.020536730048635023,0.04907291946196439,0.4184941567324663,0.675585857894524,587.0,2.0,1.0,0.8860142398616708
cell,ceradsc,TMED2,-0.00627421165038063,0.047472968036429766,-0.13216387999094412,0.894854670046725,587.0,2.0,1.0,0.9707938222937373
cell,ceradsc,TMED9,0.10008457078275398,0.04893698257506702,2.0451724956525257,0.040837855070997825,587.0,2.0,2.0,0.2513098773599866
cell,ceradsc,VDAC1,0.039752051537962456,0.04446451532848855,0.8940174259021596,0.371312567634434,587.0,2.0,1.0,0.7072620335893981
cell,ceradsc,VLDLR,0.06155181828368429,0.05127073948281952,1.2005252684976366,0.2299354050973097,555.0,2.0,1.0,0.5410244825819052
cell,ceradsc,VPS26A,0.015539243395329016,0.04481626560662268,0.3467322228881275,0.7287924998834238,587.0,2.0,1.0,0.9109906248542797
cell,ceradsc,VPS29,0.06806197687846326,0.042429811476867994,1.6041074543913418,0.10869036904614822,587.0,2.0,1.0,0.3953088746227255
cell,ceradsc,VPS35,-0.04765249157506664,0.04908203294752406,-0.970874446582402,0.33161080444882696,587.0,2.0,2.0,0.6981280093659515
cell,amyThal,ABCA7,-0.0055865052228218914,0.06807433446758411,-0.08206477913466924,0.934595200800079,272.0,2.0,1.0,0.963486659857202
cell,amyThal,ADAM10,0.03765588065721811,0.028419764933130982,1.3249891667231883,0.18517474445156212,272.0,2.0,2.0,0.6992067548919493
cell,amyThal,ADAM17,0.010091406428744806,0.055810621221170004,0.1808151604110249,0.8565126629662629,272.0,2.0,2.0,0.9136135071640138
cell,amyThal,AP1G1,0.023484295975293442,0.03762241564574064,0.6242102101158455,0.5324895424264229,272.0,2.0,2.0,0.8519832678822766
cell,amyThal,AP2A1,0.059522896449926165,0.02454704563135244,2.42484970875278,0.015314725326305725,272.0,2.0,2.0,0.16448545601534528
cell,amyThal,AP2B1,0.03379391056718401,0.028589664700482215,1.1820324204996366,0.23719283704211291,272.0,2.0,1.0,0.6993805111193278
cell,amyThal,AP3B2,0.024800966353751387,0.02320077226756827,1.0689715871406567,0.2850824724797749,272.0,2.0,1.0,0.7602199266127331
cell,amyThal,AP4B1,-0.01975493501710292,0.06928493754211569,-0.2851259699136576,0.7755476343703347,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,AP4E1,-0.05315347372965883,0.07751109835241676,-0.6857530709729844,0.4928688341299571,270.0,2.0,2.0,0.8519832678822766
cell,amyThal,AP4M1,-0.028517855282432735,0.07558426741868297,-0.3772988249586933,0.7059515453200738,229.0,2.0,1.0,0.9017928203630787
cell,amyThal,AP4S1,-0.02916244145573014,0.06941062204846689,-0.4201437848427158,0.6743804183965487,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,APBA1,-0.03643444362574452,0.045917699482680235,-0.7934727574818352,0.4275024352799125,272.0,2.0,2.0,0.8341510932290976
cell,amyThal,APBA2,-0.03762769637106419,0.05410121716724163,-0.6955055420425517,0.4867385392631832,272.0,2.0,1.0,0.8519832678822766
cell,amyThal,APOE,0.22800251631528354,0.06709050239972471,3.398432090385108,0.0006777328639828301,272.0,2.0,2.0,0.027109314559313202
cell,amyThal,APP,0.2075187875025287,0.0432235972076264,4.8010531494105715,1.5783336795299378e-06,272.0,2.0,2.0,0.00012626669436239502
cell,amyThal,ARF6,0.09478059476042819,0.04415593654877892,2.146497213477159,0.03183333085018393,272.0,2.0,2.0,0.23151513345588312
cell,amyThal,BACE1,0.08540820061877254,0.05653677410682456,1.5106663223726962,0.13087348694696457,272.0,2.0,1.0,0.5930901617320856
cell,amyThal,BIN1,-0.046544546204012806,0.03160705206284793,-1.472600042277367,0.14085891341137033,272.0,2.0,2.0,0.5930901617320856
cell,amyThal,CLU,0.18015549158051386,0.05637561672350013,3.1956278627354897,0.0013952694473136082,272.0,2.0,1.0,0.03720718526169622
cell,amyThal,COPA,0.02489674178542554,0.06655082350986775,0.37410118271089465,0.7083290388063235,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,COPB1,0.04400592535681937,0.07775693324453758,0.5659421420135647,0.5714331125201068,272.0,2.0,1.0,0.8826122655432594
cell,amyThal,COPB2,0.04619853415858558,0.06078301916390276,0.7600565880745445,0.44722076037461156,272.0,2.0,1.0,0.8360760344084567
cell,amyThal,COPE,-0.021860623897297017,0.07476978758369315,-0.2923724221207322,0.7700018914554589,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,COPG1,0.06879688314837958,0.06912824883970109,0.9952065082381892,0.3196358370883976,272.0,2.0,2.0,0.8198554270083063
cell,amyThal,COPG2,-0.06551322426712852,0.05632570326263184,-1.1631141818444362,0.2447831788917647,272.0,2.0,2.0,0.6993805111193278
cell,amyThal,COPZ1,0.03270564565386207,0.07334222253205795,0.44593202284763594,0.6556463497770351,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,ECE1,0.10979602297165462,0.059740902228549914,1.837870184009099,0.06608153657548398,272.0,2.0,2.0,0.3637296050578071
cell,amyThal,EIF2S1,0.0851871498549093,0.07182040277115095,1.186113507694328,0.23557747685739017,272.0,2.0,2.0,0.6993805111193278
cell,amyThal,GGA1,-0.01410527529333719,0.042189876834219715,-0.33432843022420405,0.738131739284456,272.0,2.0,2.0,0.9017928203630787
cell,amyThal,GGA2,-0.025500956769085883,0.06162456817783781,-0.4138115287963487,0.6790121401226494,272.0,2.0,2.0,0.9017928203630787
cell,amyThal,GGA3,-0.04820535499013022,0.037626167891173345,-1.2811656804794789,0.2001354778634129,272.0,2.0,2.0,0.6992067548919493
cell,amyThal,GORASP1,-0.14633480216798517,0.07992032513983398,-1.831008594020957,0.06709926035282265,261.0,2.0,2.0,0.3637296050578071
cell,amyThal,HSPA5,-0.014518124733419987,0.06704817400894773,-0.2165327385572426,0.8285725087314604,272.0,2.0,1.0,0.9136135071640138
cell,amyThal,HSPA9,-0.014120063081284604,0.05583134827291234,-0.2529056438376436,0.8003411280722323,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,IDE,-0.015722743067255202,0.06165967110045303,-0.25499232783192194,0.7987290249167014,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,ITPR1,0.05337895390979376,0.0362337528868938,1.473183141597833,0.1407016595617823,272.0,2.0,1.0,0.5930901617320856
cell,amyThal,ITPR2,0.07085446186152333,0.03874693251637186,1.8286469988710714,0.06745250712760216,272.0,2.0,2.0,0.3637296050578071
cell,amyThal,LRP1,0.1117818961651795,0.04164125582352658,2.684402618376958,0.007265954710826519,272.0,2.0,2.0,0.09687939614435359
cell,amyThal,MAP2K3,0.043690546464416204,0.06966744016629946,0.6271300676488876,0.5305739791952677,272.0,2.0,2.0,0.8519832678822766
cell,amyThal,MAPK14,-0.02534714260324605,0.04874646062417771,-0.5199791385607624,0.603078115283556,272.0,2.0,1.0,0.8934490596793423
cell,amyThal,MAPKAPK2,0.04320377348451548,0.050481017770202065,0.8558419658095285,0.3920851990605684,272.0,2.0,1.0,0.8340498675781027
cell,amyThal,MFN2,-0.031050693301894534,0.03811037226653317,-0.8147570190271238,0.4152114080233207,272.0,2.0,1.0,0.8340498675781027
cell,amyThal,MIA3,-0.03400481322839172,0.05433498943576153,-0.6258363824399835,0.5314222654683844,272.0,2.0,2.0,0.8519832678822766
cell,amyThal,NCSTN,-0.003895553685891206,0.05747428407110228,-0.06777907282971911,0.9459615029081891,272.0,2.0,1.0,0.963486659857202
cell,amyThal,OSBP,-0.01929078655249136,0.06397270401901034,-0.30154714965243373,0.762997301873311,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,PICALM,-0.10601715063670537,0.058133391600804815,-1.8236876899375272,0.06819930094833884,272.0,2.0,2.0,0.3637296050578071
cell,amyThal,PLCG2,0.18241316438370508,0.061458073636871106,2.9680911487968977,0.002996554561396735,272.0,2.0,2.0,0.0599310912279347
cell,amyThal,PLG,0.02389602411595962,0.0723101788907315,0.3304655649112567,0.7410482076763556,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,PREB,0.06613988603123419,0.07124925626425767,0.9282887920391303,0.35325778633479743,272.0,2.0,1.0,0.8198554270083063
cell,amyThal,PSEN1,-0.15223460633547475,0.06463317945864111,-2.3553631062338494,0.018504613801726345,272.0,2.0,2.0,0.16448545601534528
cell,amyThal,RAB1A,0.09186834098337365,0.033357145414791047,2.7540828161704116,0.005885687287201695,272.0,2.0,2.0,0.09417099659522712
cell,amyThal,RAB1B,0.04328924184289594,0.05183084959669815,0.8352022430605431,0.4036038469788641,272.0,2.0,1.0,0.8340498675781027
cell,amyThal,RTN3,0.006479386374693242,0.03462884152916657,0.18710953322639737,0.8515747537292104,272.0,2.0,2.0,0.9136135071640138
cell,amyThal,RTN4,-0.035658090701439014,0.04713991616838507,-0.7564309315711836,0.44939086849454546,272.0,2.0,1.0,0.8360760344084567
cell,amyThal,SAR1A,-0.04331269419525754,0.06704693155339284,-0.6460056141535048,0.5182757195729308,272.0,2.0,1.0,0.8519832678822766
cell,amyThal,SAR1B,-0.06208678315776008,0.051024090550893755,-1.216813126651065,0.22367532450718586,272.0,2.0,2.0,0.6993805111193278
cell,amyThal,SEC13,-0.049011618380233685,0.060389369300536164,-0.8115934799106859,0.41702493378905137,272.0,2.0,2.0,0.8340498675781027
cell,amyThal,SEC16A,0.11795935496531706,0.05388503948037418,2.1890928558803378,0.028590091688082114,272.0,2.0,2.0,0.2287207335046569
cell,amyThal,SEC23A,0.02195833271096952,0.04134516651517856,0.5310979386891141,0.5953509125782082,272.0,2.0,1.0,0.8934490596793423
cell,amyThal,SEC23B,0.010782241230993363,0.05717536677106949,0.18858193379266847,0.8504204934850574,272.0,2.0,1.0,0.9136135071640138
cell,amyThal,SEC24A,0.07955346221368374,0.06463613193776048,1.2307893407094268,0.21840166325017207,272.0,2.0,2.0,0.6993805111193278
cell,amyThal,SEC24B,0.002765686135575843,0.04899942360422534,0.056443238147343255,0.9549887127751793,272.0,2.0,1.0,0.963486659857202
cell,amyThal,SEC24C,0.07379419597829914,0.05215227441559087,1.4149756037531211,0.15707564911179642,272.0,2.0,2.0,0.6283025964471857
cell,amyThal,SEC24D,-0.022179728646513363,0.06060944629365604,-0.36594507956814815,0.7144060572928185,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,SEC31A,0.03308821154175355,0.05116658579297345,0.6466761662705557,0.5178415514706266,272.0,2.0,2.0,0.8519832678822766
cell,amyThal,SIGMAR1,0.025241117323341125,0.07155527878643148,0.3527498984201767,0.724275947395898,264.0,2.0,1.0,0.9017928203630787
cell,amyThal,SNX4,0.09334784019590861,0.03933370163107713,2.373227952747664,0.017633377546816577,272.0,2.0,2.0,0.16448545601534528
cell,amyThal,SNX6,0.013074683131431305,0.04702189606072793,0.27805520888705954,0.7809699784834552,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,SORL1,-0.03892694259498728,0.06918947009253049,-0.562613683020384,0.5736979726031186,272.0,2.0,1.0,0.8826122655432594
cell,amyThal,SORT1,0.04063403683740945,0.04959695155640224,0.8192849673673985,0.4126238472552618,272.0,2.0,1.0,0.8340498675781027
cell,amyThal,SREBF2,0.07586659028207715,0.08265501853628243,0.917870343816747,0.358686749316134,192.0,2.0,1.0,0.8198554270083063
cell,amyThal,SYK,0.05014901648947316,0.05300397075451009,0.9461369738078726,0.3440787274607673,272.0,2.0,2.0,0.8198554270083063
cell,amyThal,TMED10,-0.06578257029294741,0.07107760526653738,-0.9255034697112564,0.35470407970469575,272.0,2.0,1.0,0.8198554270083063
cell,amyThal,TMED2,-0.08976220956287141,0.0702010166408938,-1.2786454364619948,0.20102194203143542,272.0,2.0,1.0,0.6992067548919493
cell,amyThal,TMED9,-0.017852641236971948,0.06650223451833169,-0.2684517500242909,0.7883516100325543,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,VDAC1,0.00852256778846497,0.031163892543785827,0.2734757147712087,0.7844875578812873,272.0,2.0,1.0,0.9017928203630787
cell,amyThal,VLDLR,-0.007780513128150009,0.05981304693644797,-0.13008053471037667,0.8965027103098941,272.0,2.0,1.0,0.9436870634840991
cell,amyThal,VPS26A,0.06638918556282353,0.0614478304013426,1.080415453714261,0.2799572172353757,272.0,2.0,1.0,0.7602199266127331
cell,amyThal,VPS29,0.06928856202333442,0.03915986802090626,1.7693768014321027,0.0768310143865358,272.0,2.0,2.0,0.38415507193267906
cell,amyThal,VPS35,-0.0022083994957206097,0.048240796328919505,-0.04577867000086633,0.9634866598572022,272.0,2.0,1.0,0.963486659857202
cell,amyA,ABCA7,-0.03945507400509958,0.12055435714778352,-0.3272803649621136,0.7434558419164208,273.0,2.0,1.0,0.9164455869669543
cell,amyA,ADAM10,0.06198530983869182,0.049681996217144406,1.2476412897697085,0.21216245052821225,277.0,2.0,2.0,0.7384609795156551
cell,amyA,ADAM17,0.09271235424587942,0.09736902941597143,0.9521749862556587,0.3410082445398701,277.0,2.0,2.0,0.7384609795156551
cell,amyA,AP1G1,-0.0034315536694185427,0.06851035308660225,-0.05008810369260249,0.9600521797177335,277.0,2.0,1.0,0.9600521797177335
cell,amyA,AP2A1,0.05802825806009981,0.044036864433314185,1.317720024048784,0.18759738883613508,277.0,2.0,2.0,0.7384609795156551
cell,amyA,AP2B1,0.031139940495283853,0.052330839282379575,0.5950590688456443,0.5518039875103216,277.0,2.0,2.0,0.8101891015810314
cell,amyA,AP3B2,0.042058930052667115,0.04105158732918214,1.0245384597532698,0.30558101482947075,277.0,2.0,2.0,0.7384609795156551
cell,amyA,AP4B1,-0.026000666351335338,0.12118284514732724,-0.21455731889876986,0.8301124734770566,277.0,2.0,1.0,0.922347192752285
cell,amyA,AP4E1,-0.08314778574355425,0.13670075823225522,-0.6082467048374799,0.5430238624678017,275.0,2.0,2.0,0.8101891015810314
cell,amyA,AP4M1,-0.09460024820946929,0.13291176613923367,-0.7117522470536537,0.47661820793397414,231.0,2.0,1.0,0.7943636798899569
