version,variable,cohort,stratum_n,held,remaining_variation,buckets,used
nocell,cts_mmse30_first_ad_dx,ROSMAP,126,"cts_mmse30_lv, braaksc, ceradsc",0.73,0-6:6 6-12:13 12-18:20 18-24:48 24-30:39,True
nocell,braaksc,ROSMAP,395,"cts_mmse30_lv, ceradsc",0.695,0:6 1:29 2:39 3:120 4:130 5:71,True
nocell,braaksc,Diverse,51,(none measured),0.846,1:7 2:14 3:14 5:7 6:9,True
nocell,braaksc,Diverse,400,amyCerad,0.463,1:36 2:35 3:87 4:93 5:67 6:82,True
nocell,braaksc,Diverse,93,amyThal,0.375,1:2 2:6 3:13 4:9 5:23 6:40,True
nocell,braaksc,Diverse,179,"amyThal, amyCerad",0.507,1:8 2:12 3:17 4:47 5:52 6:43,True
nocell,braaksc,Banner,189,"cts_mmse30_lv, ceradsc, PlaqueTotal, TangleTotal",0.157,1:6 2:15 3:38 4:57 5:47 6:26,True
nocell,ceradsc,ROSMAP,398,"cts_mmse30_lv, braaksc",0.663,0:106 1:43 2:138 3:111,True
nocell,ceradsc,Banner,189,"cts_mmse30_lv, braaksc, PlaqueTotal, TangleTotal",0.214,0:38 1:15 2:31 3:105,True
nocell,amyThal,Diverse,93,braaksc,0.381,1:6 2:7 3:12 4:9 5:59,True
nocell,amyThal,Diverse,179,"braaksc, amyCerad",0.378,1:17 2:12 3:41 4:27 5:82,True
nocell,amyA,Diverse,93,braaksc,0.382,1:13 2:12 3:68,True
nocell,amyA,Diverse,184,"braaksc, amyCerad",0.362,1:30 2:41 3:113,True
nocell,amyCerad,Diverse,400,braaksc,0.472,0:96 1:34 2:90 3:180,True
nocell,amyCerad,Diverse,179,"braaksc, amyThal",0.392,0:19 1:7 2:36 3:117,True
nocell,amyAny,Diverse,400,braaksc,0.618,0:96 1:304,True
nocell,amyAny,Diverse,179,"braaksc, amyThal",0.589,0:19 1:160,True
nocell,reag,Diverse,424,(none measured),0.879,0:24 1:136 2:139 3:125,True
nocell,reag,Diverse,185,amyThal,0.429,0:3 1:32 2:60 3:90,True
nocell,PlaqueTotal,Banner,189,"cts_mmse30_lv, braaksc, ceradsc, TangleTotal",0.224,0-3:43 3-6:13 6-9:15 9-12:22 12-15:96,True
nocell,TangleTotal,Banner,189,"cts_mmse30_lv, braaksc, ceradsc, PlaqueTotal",0.151,0-3:24 3-6:37 6-9:43 9-12:22 12-15:63,True
