protein,sex,apoe_genotype,cts_mmse30_lv,cts_mmse30_first_ad_dx,braaksc,ceradsc,amyThal,amyA,amyCerad,amyAny,reag,PlaqueTotal,TangleTotal
ABCA7,-0.7154044047357023,1.2082469713838522,0.503186113532113,-0.5045085168120156,-0.32591087186997825,0.06341038908603548,-0.08206477913466924,-0.3272803649621136,0.7495421495413039,-0.8951655172839201,0.8271781960558202,0.10855924993475324,-0.16751830269911352
ADAM10,3.5761738766375215,-0.37442630072159505,-1.364388896136177,0.5450217589173698,2.872989776843128,0.3484694034185842,1.3249891667231883,1.2476412897697085,1.1321562167873969,0.5252698539117081,4.145824902825505,-0.5674131492649193,1.0792094039847835
ADAM17,-0.619100631143435,-0.6827066048981556,-0.8079377585879787,-0.2138777569443063,0.24810857836954925,1.4204633366657113,0.1808151604110249,0.9521749862556587,1.6890164817165048,1.281607027780572,1.819151837220943,-0.3189442042534821,1.7805849468904207
AP1G1,-0.1812313411311475,-2.885494339017125,0.13215291917009406,-0.8559477509637109,-0.2781015280242265,-0.5227476022722739,0.6242102101158455,-0.05008810369260249,-0.9704546975867402,-1.0785289781640668,0.8251844725518689,1.1695029838965876,0.9763593584326671
AP2A1,-1.6579745829977173,-3.4009499414574713,3.094877595772907,-1.2232294778569863,-2.479652964127223,-1.4539837648067182,2.42484970875278,1.317720024048784,-1.222723044694185,-1.7735335282700126,-2.1638474297659642,1.0918805478076252,-0.28863417013014214
AP2B1,-1.3068089179000706,-2.0013301949039426,2.782654621032235,-0.9741982266637026,-2.3172972542993278,-1.581992417619938,1.1820324204996366,0.5950590688456443,-1.4669926892787413,-0.7896819022528228,-2.5744816245248576,1.3443135060964644,-0.590990425004941
AP3B2,-1.0663892619458182,-1.5464252667039529,0.9794544986339904,-0.19166470091279758,-4.386658086899687,-1.781422153317754,1.0689715871406567,1.0245384597532698,0.5743544137583565,0.5995446695085583,-4.172795096944172,1.4150508371202566,0.36625542844338205
AP4B1,-1.1944987057860923,-0.7871769260076934,1.490557303529643,-0.8811616784849933,-0.3934390512781337,0.7189136402503615,-0.2851259699136576,-0.21455731889876986,-0.4313356801129116,-0.2778809313832679,-0.8557095794108295,0.8867817935086612,0.8754381139945259
AP4E1,1.0459975055114428,-2.3832100954120934,0.011885424582305107,-2.1251691996089255,0.22523928366252322,1.6778895413633865,-0.6857530709729844,-0.6082467048374799,1.250928522788213,0.028256948491128635,0.643383621024936,0.24825836075045632,-0.3923676827346963
AP4M1,1.8851254940813382,-0.6561492371323128,-0.9093909404581836,0.9065466872093045,0.5182306678660205,0.8994908663310108,-0.3772988249586933,-0.7117522470536537,0.2393144834343276,0.13188393186905875,-0.7375317916520876,-3.5280697065307196,7.311482956013215e-05
AP4S1,-1.863177004967368,-0.5800734455817177,-2.62016434632711,1.2058045675846534,-0.22238952245444502,-0.1666396080754603,-0.4201437848427158,-1.2596018333384411,-1.331031014640154,-1.8185281132202566,-2.314002045347253,0.08470903834887937,-0.3089319446964133
APBA1,-1.6865692757433897,-0.28675151669091775,-2.828692589999338,-1.5723802846319015,-0.2698507855266262,-0.706576061401154,-0.7934727574818352,-1.15870141950886,2.681336036136396,2.595625591280863,2.7400389557649887,1.9241834169379068,0.3599792477681731
APBA2,-2.9637444231832086,-1.068798377847082,-0.7088308923583392,-0.050494317838662046,-0.1815798297840272,-0.25807020079882315,-0.6955055420425517,0.44482603402741505,-0.17391545859510052,-0.6620628974921448,0.6661013914951748,-1.9119052250131148,-0.1541714615326063
APOE,-0.5886222772378681,2.870904975544145,-0.1302255673619209,-0.31299022001042576,-0.6847924525293019,4.207588506543945,3.398432090385108,2.518783087483119,2.013044931422258,2.069882266656869,1.9278697650591485,-0.8045065644585774,-0.33344293941563036
