version,variable,cohort,protein,from_bucket,to_bucket,beta,se,n,p
cell,sex,Diverse,IDE,female,male,-0.1488212399700698,0.11742121264801464,400,0.20500744510633573
cell,sex,Diverse,ITPR1,female,male,0.2537793422475432,0.11573641238715468,400,0.02832644009833118
cell,sex,Diverse,ITPR2,female,male,0.05257482065796714,0.055064206245085213,400,0.33968328836782535
cell,sex,Diverse,LRP1,female,male,-0.030229710877763563,0.058112987917010146,400,0.6029321655254885
cell,sex,Diverse,MAP2K3,female,male,-0.12000501958749363,0.10293670729051789,392,0.24368979264636514
cell,sex,Diverse,MAPK14,female,male,0.019405205708509253,0.07123442795805476,398,0.7853042461094262
cell,sex,Diverse,MAPKAPK2,female,male,0.06951411516906762,0.06664709532930256,396,0.29693999033418483
cell,sex,Diverse,MFN2,female,male,-0.02770359281862863,0.05261285928087805,400,0.5985022696458713
cell,sex,Diverse,MIA3,female,male,0.13794668107944985,0.07814879322518471,400,0.07753353115241743
cell,sex,Diverse,NCSTN,female,male,0.008842907255083715,0.12224577936161883,400,0.9423336268894943
cell,sex,Diverse,OSBP,female,male,0.13205495458635902,0.08066070193001987,400,0.1015957998650767
cell,sex,Diverse,PICALM,female,male,0.04262421532831833,0.07281651701776742,400,0.558302549697291
cell,sex,Diverse,PLCG2,female,male,-0.021877599027905988,0.08468893442824198,397,0.7961530862598794
cell,sex,Diverse,PLG,female,male,-0.17952546771424685,0.09951325954482007,400,0.07122571865432764
cell,sex,Diverse,PREB,female,male,0.28240500295133897,0.08219604599882939,400,0.0005909176310759523
cell,sex,Diverse,PSEN1,female,male,0.01094782074955046,0.12144958040507618,400,0.928173636657092
cell,sex,Diverse,RAB1A,female,male,0.049652137756301035,0.04578908534763602,400,0.2782024515370082
cell,sex,Diverse,RAB1B,female,male,0.10784816963149829,0.09034820043281404,400,0.23259740744328894
cell,sex,Diverse,RTN3,female,male,0.0317594106645003,0.0609571339678968,400,0.6023582704301955
cell,sex,Diverse,RTN4,female,male,0.10481153068798374,0.06531314455634758,400,0.10854795050288739
cell,sex,Diverse,SAR1A,female,male,0.14335430162108473,0.10052000562455093,400,0.15383166471645135
cell,sex,Diverse,SAR1B,female,male,0.042265702234628014,0.0739841639636011,400,0.5678095906351801
cell,sex,Diverse,SEC13,female,male,0.2813470781872201,0.09626416297839814,400,0.0034705919984835652
cell,sex,Diverse,SEC16A,female,male,0.10561529419603505,0.08217294876449982,400,0.19869425838580035
cell,sex,Diverse,SEC23A,female,male,0.04442468995949154,0.06229297878602839,400,0.4757484514467145
cell,sex,Diverse,SEC23B,female,male,-0.05127166677248336,0.07683906392959165,400,0.5046057977113589
cell,sex,Diverse,SEC24A,female,male,0.23042806324479187,0.09263589815243234,400,0.012865903015626422
cell,sex,Diverse,SEC24B,female,male,0.11185027912029538,0.0879842653066038,400,0.20363858464124562
cell,sex,Diverse,SEC24C,female,male,0.07856119660391707,0.07595611312216423,400,0.3009972363477307
cell,sex,Diverse,SEC24D,female,male,0.18898540290714164,0.09339794746969912,400,0.043027516862062395
cell,sex,Diverse,SEC31A,female,male,0.16565820803931963,0.0758859447334104,400,0.02903659540862439
cell,sex,Diverse,SIGMAR1,female,male,-0.060910630442088234,0.1266344771207041,387,0.6305196026805454
cell,sex,Diverse,SNX4,female,male,0.2822470573448872,0.0631854471851214,400,7.93378296179674e-06
cell,sex,Diverse,SNX6,female,male,0.06839710819442091,0.06494825558473007,400,0.2922944555986947
cell,sex,Diverse,SORL1,female,male,0.04811584017389936,0.10158201343675952,400,0.6357388453401493
cell,sex,Diverse,SORT1,female,male,-0.14552922223524098,0.06428873492858196,400,0.023593708914474737
cell,sex,Diverse,SREBF2,female,male,0.13853129152993215,0.1282523074701455,295,0.2800769114148627
cell,sex,Diverse,SYK,female,male,0.04605412641070257,0.08021106167387619,397,0.5658583261459469
cell,sex,Diverse,TMED10,female,male,0.07321112819928102,0.10507788383843397,400,0.48597050462222025
cell,sex,Diverse,TMED2,female,male,0.0005447018223489995,0.10955345957266883,400,0.9960329195870631
cell,sex,Diverse,TMED9,female,male,-0.0820884905733054,0.0975172297612459,400,0.399908600553852
cell,sex,Diverse,VDAC1,female,male,-0.07645829308844011,0.07217772999032455,400,0.28946050233081644
cell,sex,Diverse,VLDLR,female,male,0.10178776589442842,0.10325364087552687,400,0.3242297127241056
cell,sex,Diverse,VPS26A,female,male,-0.05894993608192008,0.08057584362926926,400,0.4644078315310658
cell,sex,Diverse,VPS29,female,male,-0.07353883535303068,0.057889967925891725,400,0.20397035133947017
cell,sex,Diverse,VPS35,female,male,-0.048714288403612985,0.08588205034652921,400,0.5705625715714033
cell,sex,Diverse,ABCA7,female,male,0.29200287148439075,0.23091454371758077,93,0.20603286460323977
cell,sex,Diverse,ADAM10,female,male,0.08946636607243254,0.08410041868928265,93,0.28741747591485256
cell,sex,Diverse,ADAM17,female,male,-0.012392311350492381,0.149292987285581,93,0.9338462486939698
cell,sex,Diverse,AP1G1,female,male,-0.11420137784637602,0.10006657761999314,93,0.25376425573882155
cell,sex,Diverse,AP2A1,female,male,0.015202124617384662,0.06533283664080136,93,0.8160041929653303
cell,sex,Diverse,AP2B1,female,male,-0.038373960421858366,0.07624691288567585,93,0.6147636079263775
cell,sex,Diverse,AP3B2,female,male,-0.09893518617834143,0.06499829622119646,93,0.1279790944118453
cell,sex,Diverse,AP4B1,female,male,-0.3986911505612684,0.24183918507344235,93,0.09923378784138939
cell,sex,Diverse,AP4E1,female,male,0.02310938712382539,0.23524533799988087,91,0.9217454838133635
cell,sex,Diverse,AP4M1,female,male,0.42946149193838945,0.21585086742868453,59,0.046632663652826284
cell,sex,Diverse,AP4S1,female,male,-0.17151776506585162,0.1813850578104777,93,0.34435249121934275
cell,sex,Diverse,APBA1,female,male,-0.1860479644449845,0.11671816331473223,93,0.11093754682188237
cell,sex,Diverse,APBA2,female,male,-0.132910251866389,0.13031015534670606,93,0.3077506862053262
cell,sex,Diverse,APOE,female,male,0.04587115753370208,0.18197718730676835,93,0.8009862446434884
cell,sex,Diverse,APP,female,male,0.16672040463994053,0.12312671554596988,93,0.1757186763620383
cell,sex,Diverse,ARF6,female,male,-0.14236399664566457,0.14974473914855166,93,0.34175101467434177
cell,sex,Diverse,BACE1,female,male,0.19176000598246667,0.15643042054003375,93,0.2202556688920856
cell,sex,Diverse,BIN1,female,male,0.1407606956217769,0.1044047618598515,93,0.1775873024436081
cell,sex,Diverse,CLU,female,male,0.07245399740666225,0.16677145344210748,93,0.6639610887649308
cell,sex,Diverse,COPA,female,male,-0.004619566291013566,0.18433920299359371,93,0.980006993616528
cell,sex,Diverse,COPB1,female,male,-0.05650320187403439,0.2598406050298483,93,0.8278550828847588
cell,sex,Diverse,COPB2,female,male,-0.27142005370608036,0.17133697414837376,93,0.1131641216314555
cell,sex,Diverse,COPE,female,male,-0.4584997215070873,0.20433990696055213,93,0.024844693343472717
cell,sex,Diverse,COPG1,female,male,-0.053570331198667,0.20206711055517812,93,0.7909235059109567
cell,sex,Diverse,COPG2,female,male,-0.29600890668755175,0.13869281146830856,93,0.032820095687434846
cell,sex,Diverse,COPZ1,female,male,-0.29732568513587865,0.20045460463294215,93,0.13800615592545307
cell,sex,Diverse,ECE1,female,male,-0.08929219120941538,0.1781804768419803,93,0.6162772300374229
cell,sex,Diverse,EIF2S1,female,male,-0.41819328956823104,0.192491957561793,93,0.029816203679762558
cell,sex,Diverse,GGA1,female,male,-0.29037565865276294,0.1140020749864815,93,0.010861964336566913
cell,sex,Diverse,GGA2,female,male,0.3675173437682153,0.19634874180442302,93,0.061240080370925334
cell,sex,Diverse,GGA3,female,male,-0.30904076611164344,0.09896482688679249,93,0.0017917999828651525
cell,sex,Diverse,GORASP1,female,male,0.5988300575647367,0.26003295622775036,87,0.02128443496217729
cell,sex,Diverse,HSPA5,female,male,-0.3262153101987294,0.17320959332916006,93,0.05965215202201673
cell,sex,Diverse,HSPA9,female,male,-0.28592660774921747,0.14155418645097262,93,0.043392803718260084
cell,sex,Diverse,IDE,female,male,-0.19704724537882223,0.16268630792679084,93,0.22581501981478858
