norm,s_low,s_base,s_high,delta_high,delta_low,responds
persample,0.007668020203709602,0.007668020203709602,0.007668020203709602,0.0,0.0,False
globalz,0.007505348883569241,0.007321237586438656,0.007629700005054474,0.000308462418615818,0.00018411129713058472,True
globalrank,0.007976260967552662,0.007976260967552662,0.007976260967552662,0.0,0.0,False
