Outcome,rho_raw,p_raw,rho_resid,p_resid,n
Braak,-0.09543214730125361,0.016231586654709425,-0.023733951931133607,0.5508343394055935,634
CERAD,0.10807836673946408,0.006450503067213344,0.026958494403318763,0.4980372962642133,634
cogdx,-0.13902093676399463,0.0004470780293987971,-0.062473686499800896,0.11607159396041818,634
