norm,mean,SD,min,max,rho_braak,p_braak,p_NCI_vs_AD,n
persample,0.0077004523335277375,8.369663568520209e-05,0.007511592470109463,0.007971024140715599,0.04289206458975928,0.2808732938463546,0.17933789735300454,634
globalz,0.007550087543674495,0.0003320209671478544,0.006173649802803993,0.008106844499707222,-0.09543214730125361,0.016231586654709425,0.0004421382134100688,634
globalrank,0.007298775090342417,0.000989642064667258,0.0023594906087964773,0.008186779916286469,-0.09762809755981296,0.013923201082689796,0.0040783561178489094,634
