Outcome,Model,beta,p,r2,n
Braak,simple,-3.0366518926159046e-05,0.004723925026881307,0.012560513921684446,634
Braak,+demo,-2.5861408839992448e-05,0.06673479855253893,0.02873538637094808,363
Braak,+demo+cells,-1.1214998984509711e-05,0.30519936496358235,0.4397398368457647,363
CERAD,simple,3.496875017764458e-05,0.0022196190863161117,0.014710085016007901,634
CERAD,+demo,3.176869284514513e-05,0.03788970489026691,0.03130861502336035,363
CERAD,+demo+cells,2.400625600674405e-05,0.04328297133582649,0.4445262123710596,363
cogdx,simple,-3.4304495007483925e-05,0.00015142251288370977,0.022474261960750752,634
cogdx,+demo,-2.4727212164612995e-05,0.04487456775269668,0.03053167511896504,363
cogdx,+demo+cells,-1.5677079465679014e-05,0.10075886384412111,0.44233643529254474,363
