Outcome,Model,beta,p,r2,delta_aic,n
Braak,M2: +TMED2,-0.014315913691318967,0.948296695129541,0.18128085538208283,1.995682008121861,363
Braak,M3: +eRWR,-264.7933370007527,0.30519936496407674,0.183702460383666,0.9204107074497472,363
Braak,M4: +TMED2+eRWR,-294.0578714016591,0.28587491979313334,0.18392190980966916,2.8228104484597623,363
CERAD,M2: +TMED2,0.5434458365232356,0.007084769995103152,0.11309658438364134,-5.446198925237482,363
CERAD,M3: +eRWR,478.51764331140026,0.043282971336038936,0.10511508345259746,-2.1940682824436237,363
CERAD,M4: +TMED2+eRWR,293.91266894978605,0.24076203216803618,0.11655221658523607,-4.863314447842299,363
cogdx,M2: +TMED2,-0.21244830183847113,0.39989190996117746,0.07799156368758131,1.272305217867597,363
cogdx,M3: +eRWR,-484.1796942680596,0.10075886384449467,0.08315395879006904,-0.7658705793993477,363
cogdx,M4: +TMED2+eRWR,-452.21959186435885,0.1506118569340912,0.08337974600018716,1.144724169027313,363
