Outcome,rho,p,n,FDR
Braak,-0.09543214730125361,0.016231586654709425,634,0.016231586654709425
CERAD,0.10807836673946408,0.006450503067213344,634,0.009675754600820017
cogdx,-0.13902093676399463,0.0004470780293987971,634,0.0013412340881963913
