TMED,rho,p_sp,n_sp,beta,p_ols,n_ols
TMED2,-0.09050945909639482,0.07128111704479771,398,-0.09097048365932169,0.09057630602595801,398
TMED10,-0.25729897570274046,1.941630216427516e-07,398,-0.355687087577988,1.5982350655542901e-06,398
TMED9,-0.16286342604863485,0.0011114061860606692,398,-0.19947183786424733,0.01243274704540425,398
